PARID,LUC,LUC_desc,PROPERTY_LOC,PropLoc_desc,PROPERTY_CLASS,NBHD,ZONING,WATER,Water_desc,DEGREE_REMOD,degree_remod_desc,YEAR_REMOD,YRBLT,COMM_YRBLT,X_CO,Y_CO,situs
0401 00010000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1870,,2520104,184906,143 W STATE ST
0401 00020000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,,,2519953,185050,REAR W STATE ST
0401 00030100,M-20,I - Light Industrial,6,Neighborhood or Spot,I,99046000,C1,1,Public,,Not Listed,,,1982,2520242,185028,117 W STATE ST
0401 00030100,M-20,I - Light Industrial,6,Neighborhood or Spot,I,99046000,C1,1,Public,,Not Listed,,,1908,2520242,185028,117 W STATE ST
0401 00040100,V-11,C - Vacant Land Commercial,6,Neighborhood or Spot,C,99046000,C1,1,Public,,Not Listed,,,,2520373,184849,121 W STATE ST
0401 0006000E,E-40,E - Railroads,6,Neighborhood or Spot,E,99046000,C1,1,Public,,Not Listed,,,,2519970,185897,100 POMEROY AVE
0401 00060100,C-97,Not Listed,6,Neighborhood or Spot,C,99046000,C1,1,Public,,Not Listed,,,1899,2520550,185084,100 POMEROY AVE
0401 0007000E,E-70,E - Local Gov't (Townships & Boroughs),6,Neighborhood or Spot,E,99046000,C1,1,Public,,Not Listed,,,1958,2520415,185284,110 POMEROY AVE
0401 0008000E,E-70,E - Local Gov't (Townships & Boroughs),6,Neighborhood or Spot,E,99046000,R1,1,Public,,Not Listed,,,1940,2520129,185803,300 POMEROY AVE
0401 00090000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520281,185828,15 W THIRD ST
0401 00100000,R-40,A - Aparments (4-19 Units),5,Secondary Strip,A,99045000,R1,1,Public,,Not Listed,,,1884,2520429,185891,300 302 PENNSYLVANIA AVE
0401 00110000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520314,185924,310 PENNSYLVANIA AVE
0401 00120000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520285,185970,314 PENNSYLVANIA AVE
0401 00130000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520260,186024,318 PENNSYLVANIA AVE
0401 00140000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520264,186080,322 PENNSYLVANIA AVE
0401 00150000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1860,,2520250,186120,326 PENNSYLVANIA AVE
0401 00160000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1934,,2520233,186157,408 PENNSYLVANIA AVE
0401 00170000,R-10,R - Single Family/Cabin,5,Secondary Strip,R,04001000,R1,1,Public,,Not Listed,,1900,,2520175,186180,410 PENNSYLVANIA AVE
0401 00180000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520156,186224,412 PENNSYLVANIA AVE
0401 00190000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520137,186274,414 PENNSYLVANIA AVE
0401 0020000E,E-10,E - Churches,5,Secondary Strip,E,99045000,R1,1,Public,,Not Listed,,1925,1874,2520053,186390,410 412 PENNSYLVANIA AVE
0401 0020000E,E-10,E - Churches,5,Secondary Strip,E,99045000,R1,1,Public,,Not Listed,,1925,2008,2520053,186390,410 412 PENNSYLVANIA AVE
0401 0021000E,E-70,E - Local Gov't (Townships & Boroughs),6,Neighborhood or Spot,E,99046000,R1,3,None,,Not Listed,,,,2519650,186504,350 POMEROY AVE
0401 00220000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520073,186639,516 PENNSYLVANIA AVE
0401 00220100,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,1950,1928,,2520108,186548,512 PENNSYLVANIA AVE
0401 00220200,R-80,"R - Barns,Stables,Pools,Misc Bldg",6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2519978,186492,514 PENNSYLVANIA AVE
0401 0022030E,E-70,E - Local Gov't (Townships & Boroughs),6,Neighborhood or Spot,E,04001000,R1,3,None,,Not Listed,,,,2519705,186797,
0401 00230000,R-30,R - Multi Family/Dorms/Single,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520058,186721,520 PENNSYLVANIA AVE
0401 00240000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1946,,2520042,186814,522 PENNSYLVANIA AVE
0401 00250000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1920,,2519939,186864,524 PENNSYLVANIA AVE
0401 00260000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,1998,1898,,2520186,186913,525 PENNSYLVANIA AVE
0401 00270000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1970,1900,,2520231,186830,523 PENNSYLVANIA AVE
0401 00280000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1990,1920,,2520259,186765,517 PENNSYLVANIA AVE
0401 00290000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520282,186725,513 PENNSYLVANIA AVE
0401 00300000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520304,186673,507 PENNSYLVANIA AVE
0401 00310000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520328,186621,505 PENNSYLVANIA AVE
0401 00320000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520348,186572,501 PENNSYLVANIA AVE
0401 00330000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1920,,2520503,186643,502 CHATHAM ST
0401 00340000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1980,1920,,2520485,186690,502 CHATHAM ST
0401 00350000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1962,,2520462,186735,504 CHATHAM ST
0401 00360000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1953,,2520441,186782,506 CHATHAM ST
0401 00370000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,2022,1955,,2520415,186834,508 CHATHAM ST
0401 00380000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1948,,2520390,186889,510 CHATHAM ST
0401 00390000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1950,,2520373,186955,512 CHATHAM ST
0401 00400000,R-30,R - Multi Family/Dorms/Single,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1910,,2520387,186489,419 PENNSYLVANIA AVE
0401 00410000,C-60,C - Office Bldgs/Laboratory/Library,5,Secondary Strip,C,99045000,R1,1,Public,,Not Listed,,,1908,2520405,186442,417 PENNSYLVANIA AVE
0401 00420000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1920,,2520431,186394,413 PENNSYLVANIA AVE
0401 00430000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,2016,1920,,2520452,186349,411 PENNSYLVANIA AVE
0401 00440000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,1,Cosmetic Redecoration,,1900,,2520483,186283,401 PENNSYLVANIA AVE
0401 00450000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520632,186366,400 CHATHAM ST
0401 00460000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1980,1926,,2520593,186457,412 CHATHAM ST
0401 00470000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520556,186540,420 CHATHAM ST
0401 00470000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520556,186540,420 CHATHAM ST
0401 00480000,C-80,C - Warehouse,6,Neighborhood or Spot,C,99046000,R1,1,Public,,Not Listed,,,1890,2520741,186597,411 CHATHAM ST
0401 00490000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1994,1925,,2520783,186494,401 CHATHAM ST
0401 00500000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1959,,2520817,186420,200 FOURTH ST
0401 00510000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1977,,2520952,186494,400 NEW ST
0401 00510100,V-10,R - Vacant Land Residential,8,Industrial Site,R,04001000,R1,1,Public,,Not Listed,,,,2520870,186659,420 CHATHAM ST
