"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0702 00010100","R-10","R - Single Family/Cabin","300  SWAN RD","Atglen",1723,"Before 1991","1950 or older"
"0703 00030000","R-10","R - Single Family/Cabin","451  ROSEMONT AVE","Atglen",1900,"Before 1991","1950 or older"
"0703 00030100","R-10","R - Single Family/Cabin","435  ROSEMONT AVE","Atglen",1933,"Before 1991","1950 or older"
"0703 00040000","R-10","R - Single Family/Cabin","228  ZION HILL RD","Atglen",1955,"Before 1991","1951-1960"
"0703 00050000","R-10","R - Single Family/Cabin","427  ROSEMONT AVE","Atglen",1920,"Before 1991","1950 or older"
"0703 00070000","R-10","R - Single Family/Cabin","421  ROSEMONT AVE","Atglen",1957,"Before 1991","1951-1960"
"0703 00080000","R-10","R - Single Family/Cabin","401  ROSEMONT AVE","Atglen",2021,"1991 or Later","2011-2022"
"0703 00090000","R-20","R - Two Family","219  LIBERTY ST","Atglen",1890,"Before 1991","1950 or older"
"0703 00100100","R-10","R - Single Family/Cabin","203  LIBERTY ST","Atglen",1973,"Before 1991","1971-1980"
"0703 00140000","R-10","R - Single Family/Cabin","743  VALLEY AVE","Atglen",1954,"Before 1991","1951-1960"
"0703 00140100","R-10","R - Single Family/Cabin","751  VALLEY AVE","Atglen",1953,"Before 1991","1951-1960"
"0703 00140200","R-60","R - Dwelling W/Comm Use Primary R","803  VALLEY AVE","Atglen",1992,"1991 or Later","1991-2000"
"0703 00140200","R-60","R - Dwelling W/Comm Use Primary R","803  VALLEY AVE","Atglen",1983,"Before 1991","1981-1990"
"0703 00150000","R-10","R - Single Family/Cabin","731  VALLEY AVE","Atglen",1959,"Before 1991","1951-1960"
"0703 00160000","R-10","R - Single Family/Cabin","723  VALLEY AVE","Atglen",1956,"Before 1991","1951-1960"
"0703 00170000","R-10","R - Single Family/Cabin","711  VALLEY AVE","Atglen",1951,"Before 1991","1951-1960"
"0703 00180000","R-10","R - Single Family/Cabin","705  VALLEY AVE","Atglen",1950,"Before 1991","1950 or older"
"0703 00190000","R-10","R - Single Family/Cabin","645  VALLEY AVE","Atglen",1923,"Before 1991","1950 or older"
"0703 001901A0","R-10","R - Single Family/Cabin","651  VALLEY AVE","Atglen",2019,"1991 or Later","2011-2022"
"0703 00200000","R-10","R - Single Family/Cabin","639  VALLEY AVE","Atglen",1923,"Before 1991","1950 or older"
"0703 00210000","R-10","R - Single Family/Cabin","633  VALLEY AVE","Atglen",1903,"Before 1991","1950 or older"
"0703 00220000","R-10","R - Single Family/Cabin","621  VALLEY AVE","Atglen",1904,"Before 1991","1950 or older"
"0703 00230000","R-60","R - Dwelling W/Comm Use Primary R","619  VALLEY AVE","Atglen",1904,"Before 1991","1950 or older"
"0703 00240000","R-10","R - Single Family/Cabin","547  VALLEY AVE","Atglen",1903,"Before 1991","1950 or older"
"0703 00250000","R-10","R - Single Family/Cabin","543  VALLEY AVE","Atglen",1900,"Before 1991","1950 or older"
"0703 00250000","R-10","R - Single Family/Cabin","543  VALLEY AVE","Atglen",1993,"1991 or Later","1991-2000"
"0703 00260000","R-10","R - Single Family/Cabin","531  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00270000","R-10","R - Single Family/Cabin","529  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00280000","R-10","R - Single Family/Cabin","523  VALLEY AVE","Atglen",1929,"Before 1991","1950 or older"
"0703 00300000","R-10","R - Single Family/Cabin","507  VALLEY AVE","Atglen",1882,"Before 1991","1950 or older"
"0703 00310000","R-10","R - Single Family/Cabin","501  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00320000","R-10","R - Single Family/Cabin","451  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00330000","R-30","R - Multi Family/Dorms/Single","445  VALLEY AVE","Atglen",1904,"Before 1991","1950 or older"
"0703 00340000","R-10","R - Single Family/Cabin","437  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00350000","R-10","R - Single Family/Cabin","433  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00360100","R-10","R - Single Family/Cabin","429  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00370000","R-10","R - Single Family/Cabin","423  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00380000","R-10","R - Single Family/Cabin","421  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00390000","R-10","R - Single Family/Cabin","419  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00410000","R-20","R - Two Family","407  VALLEY AVE","Atglen",1880,"Before 1991","1950 or older"
"0703 00420000","R-30","R - Multi Family/Dorms/Single","321  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00470000","R-10","R - Single Family/Cabin","203  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00490000","R-30","R - Multi Family/Dorms/Single","302  VALLEY AVE","Atglen",1993,"1991 or Later","1991-2000"
"0703 00510000","R-20","R - Two Family","216 W MAIN ST","Atglen",1890,"Before 1991","1950 or older"
"0703 00540000","R-20","R - Two Family","322  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00550000","R-10","R - Single Family/Cabin","216  CHESTER ST","Atglen",1890,"Before 1991","1950 or older"
"0703 00560000","R-10","R - Single Family/Cabin","404  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00580000","R-10","R - Single Family/Cabin","414  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00590000","R-30","R - Multi Family/Dorms/Single","424  VALLEY AVE","Atglen",1855,"Before 1991","1950 or older"
"0703 00600000","R-10","R - Single Family/Cabin","432  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00610000","R-10","R - Single Family/Cabin","438  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00620000","R-10","R - Single Family/Cabin","442  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00620100","R-10","R - Single Family/Cabin","444  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00630000","R-10","R - Single Family/Cabin","448  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00640000","R-10","R - Single Family/Cabin","212  NORWOOD ST","Atglen",1952,"Before 1991","1951-1960"
"0703 00650000","R-10","R - Single Family/Cabin","504  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00660000","R-10","R - Single Family/Cabin","514  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00660100","R-20","R - Two Family","515  DALLAS ST","Atglen",1948,"Before 1991","1950 or older"
"0703 00670000","R-10","R - Single Family/Cabin","522  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00680000","R-10","R - Single Family/Cabin","530  VALLEY AVE","Atglen",1892,"Before 1991","1950 or older"
"0703 00690000","R-20","R - Two Family","540  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00700100","R-10","R - Single Family/Cabin","202  HIGH ST","Atglen",1890,"Before 1991","1950 or older"
"0703 00710000","R-20","R - Two Family","604  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00720000","R-20","R - Two Family","612  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00730000","R-10","R - Single Family/Cabin","622  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00740000","R-10","R - Single Family/Cabin","630  VALLEY AVE","Atglen",1904,"Before 1991","1950 or older"
"0703 00750000","R-20","R - Two Family","640  VALLEY AVE","Atglen",1900,"Before 1991","1950 or older"
"0703 00760000","R-10","R - Single Family/Cabin","642  VALLEY AVE","Atglen",1900,"Before 1991","1950 or older"
"0703 00770000","R-10","R - Single Family/Cabin","646  VALLEY AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 00780200","R-10","R - Single Family/Cabin","740  VALLEY AVE","Atglen",1969,"Before 1991","1961-1970"
"0703 00780300","R-10","R - Single Family/Cabin","720  VALLEY AVE","Atglen",1912,"Before 1991","1950 or older"
"0703 007803A0","R-10","R - Single Family/Cabin","710  VALLEY AVE","Atglen",2019,"1991 or Later","2011-2022"
"0703 00780400","R-10","R - Single Family/Cabin","240  CHARLES ST","Atglen",1999,"1991 or Later","1991-2000"
"0703 00780500","R-10","R - Single Family/Cabin","715  THIRD AVE","Atglen",1999,"1991 or Later","1991-2000"
"0703 00780600","R-10","R - Single Family/Cabin","727  THIRD AVE","Atglen",1983,"Before 1991","1981-1990"
"0703 00780700","R-10","R - Single Family/Cabin","739  THIRD AVE","Atglen",1983,"Before 1991","1981-1990"
"0703 00780800","R-10","R - Single Family/Cabin","751  THIRD AVE","Atglen",1999,"1991 or Later","1991-2000"
"0703 00780900","R-10","R - Single Family/Cabin","752  THIRD AVE","Atglen",1998,"1991 or Later","1991-2000"
"0703 00781000","R-10","R - Single Family/Cabin","321  ISRAEL MILL RD","Atglen",1998,"1991 or Later","1991-2000"
"0703 00781100","R-10","R - Single Family/Cabin","755  RIDGE AVE","Atglen",1998,"1991 or Later","1991-2000"
"0703 00781200","R-10","R - Single Family/Cabin","740  THIRD AVE","Atglen",1999,"1991 or Later","1991-2000"
"0703 00781300","R-10","R - Single Family/Cabin","728  THIRD AVE","Atglen",1977,"Before 1991","1971-1980"
"0703 00781400","R-10","R - Single Family/Cabin","716  THIRD AVE","Atglen",1977,"Before 1991","1971-1980"
"0703 00781500","R-10","R - Single Family/Cabin","310  CHARLES ST","Atglen",1977,"Before 1991","1971-1980"
"0703 00781600","R-10","R - Single Family/Cabin","328  CHARLES ST","Atglen",1977,"Before 1991","1971-1980"
"0703 00781700","R-10","R - Single Family/Cabin","719  RIDGE AVE","Atglen",1977,"Before 1991","1971-1980"
"0703 00781800","R-10","R - Single Family/Cabin","731  RIDGE AVE","Atglen",1977,"Before 1991","1971-1980"
"0703 00781900","R-10","R - Single Family/Cabin","743  RIDGE AVE","Atglen",1977,"Before 1991","1971-1980"
"0703 00782000","R-10","R - Single Family/Cabin","752  VALLEY AVE","Atglen",1980,"Before 1991","1971-1980"
"0703 00782200","R-10","R - Single Family/Cabin","226  ISRAEL MILL RD","Atglen",1998,"1991 or Later","1991-2000"
"0703 00782400","R-10","R - Single Family/Cabin","308  ISRAEL MILL RD","Atglen",1999,"1991 or Later","1991-2000"
"0703 00782500","R-10","R - Single Family/Cabin","320  ISRAEL MILL RD","Atglen",1980,"Before 1991","1971-1980"
"0703 00782600","R-10","R - Single Family/Cabin","332  ISRAEL MILL RD","Atglen",1980,"Before 1991","1971-1980"
"0703 00790000","R-10","R - Single Family/Cabin","621  THIRD AVE","Atglen",1932,"Before 1991","1950 or older"
"0703 00800000","R-10","R - Single Family/Cabin","615  THIRD AVE","Atglen",1921,"Before 1991","1950 or older"
"0703 00810000","R-10","R - Single Family/Cabin","611  THIRD AVE","Atglen",1949,"Before 1991","1950 or older"
"0703 00830000","R-10","R - Single Family/Cabin","607  THIRD AVE","Atglen",1900,"Before 1991","1950 or older"
"0703 00840000","R-10","R - Single Family/Cabin","222  HIGH ST","Atglen",1900,"Before 1991","1950 or older"
"0703 00840100","R-10","R - Single Family/Cabin","224  HIGH ST","Atglen",1900,"Before 1991","1950 or older"
"0703 00850000","R-10","R - Single Family/Cabin","230  HIGH ST","Atglen",1916,"Before 1991","1950 or older"
"0703 00860000","R-10","R - Single Family/Cabin","234  HIGH ST","Atglen",1900,"Before 1991","1950 or older"
"0703 00870000","R-10","R - Single Family/Cabin","236  HIGH ST","Atglen",1900,"Before 1991","1950 or older"
"0703 00880000","R-10","R - Single Family/Cabin","603  THIRD AVE","Atglen",1900,"Before 1991","1950 or older"
"0703 00890000","R-10","R - Single Family/Cabin","309  CHARLES ST","Atglen",1965,"Before 1991","1961-1970"
"0703 00890100","R-10","R - Single Family/Cabin","303  CHARLES ST","Atglen",1964,"Before 1991","1961-1970"
"0703 00900000","R-10","R - Single Family/Cabin","612  THIRD AVE","Atglen",1905,"Before 1991","1950 or older"
"0703 00910000","R-10","R - Single Family/Cabin","614  THIRD AVE","Atglen",1905,"Before 1991","1950 or older"
"0703 00920000","R-10","R - Single Family/Cabin","606  THIRD AVE","Atglen",1900,"Before 1991","1950 or older"
"0703 00930000","R-10","R - Single Family/Cabin","604  THIRD AVE","Atglen",1900,"Before 1991","1950 or older"
"0703 00940000","R-10","R - Single Family/Cabin","316  HIGH ST","Atglen",1912,"Before 1991","1950 or older"
"0703 00950000","R-10","R - Single Family/Cabin","314  HIGH ST","Atglen",1912,"Before 1991","1950 or older"
"0703 00960000","R-10","R - Single Family/Cabin","308  HIGH ST","Atglen",1916,"Before 1991","1950 or older"
"0703 00970000","R-10","R - Single Family/Cabin","302  HIGH ST","Atglen",1900,"Before 1991","1950 or older"
"0703 00980000","R-10","R - Single Family/Cabin","315  HIGH ST","Atglen",1904,"Before 1991","1950 or older"
"0703 00990000","R-30","R - Multi Family/Dorms/Single","303  HIGH ST","Atglen",1907,"Before 1991","1950 or older"
"0703 01000100","R-10","R - Single Family/Cabin","526  DALLAS ST","Atglen",1977,"Before 1991","1971-1980"
"0703 010001A0","R-10","R - Single Family/Cabin","524  DALLAS ST","Atglen",1977,"Before 1991","1971-1980"
"0703 01000200","R-10","R - Single Family/Cabin","235  HIGH ST","Atglen",1907,"Before 1991","1950 or older"
"0703 01010000","R-10","R - Single Family/Cabin","229  HIGH ST","Atglen",1914,"Before 1991","1950 or older"
"0703 01020000","R-10","R - Single Family/Cabin","220  NORWOOD ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01030000","R-10","R - Single Family/Cabin","222  NORWOOD ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01040000","R-10","R - Single Family/Cabin","232  NORWOOD ST","Atglen",1932,"Before 1991","1950 or older"
"0703 01050000","R-10","R - Single Family/Cabin","306  NORWOOD ST","Atglen",1924,"Before 1991","1950 or older"
"0703 01060000","R-10","R - Single Family/Cabin","312  NORWOOD ST","Atglen",1950,"Before 1991","1950 or older"
"0703 01060100","R-10","R - Single Family/Cabin","525  MIFFLIN ST","Atglen",1988,"Before 1991","1981-1990"
"0703 01070000","R-10","R - Single Family/Cabin","313  NORWOOD ST","Atglen",1907,"Before 1991","1950 or older"
"0703 01080000","R-10","R - Single Family/Cabin","309  NORWOOD ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01090000","R-10","R - Single Family/Cabin","305  NORWOOD ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01100000","R-10","R - Single Family/Cabin","233  NORWOOD ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01110000","R-10","R - Single Family/Cabin","227  NORWOOD ST","Atglen",1925,"Before 1991","1950 or older"
"0703 01120000","R-10","R - Single Family/Cabin","221  NORWOOD ST","Atglen",1952,"Before 1991","1951-1960"
"0703 01130000","R-10","R - Single Family/Cabin","436  DALLAS ST","Atglen",1952,"Before 1991","1951-1960"
"0703 01150000","R-10","R - Single Family/Cabin","302  CHESTER ST","Atglen",1934,"Before 1991","1950 or older"
"0703 01160000","R-20","R - Two Family","314  CHESTER ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01170000","R-30","R - Multi Family/Dorms/Single","331  CHURCH ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01180000","R-10","R - Single Family/Cabin","327  CHESTER ST","Atglen",1930,"Before 1991","1950 or older"
"0703 01220000","R-40","A - Aparments (4-19 Units)","302 W MAIN ST","Atglen",1898,"Before 1991","1950 or older"
"0703 01230000","R-10","R - Single Family/Cabin","310 W MAIN ST","Atglen",1850,"Before 1991","1950 or older"
"0703 01240000","R-10","R - Single Family/Cabin","316 W MAIN ST","Atglen",1918,"Before 1991","1950 or older"
"0703 01250000","R-10","R - Single Family/Cabin","318 W MAIN ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01260000","R-10","R - Single Family/Cabin","324 W MAIN ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01270000","R-10","R - Single Family/Cabin","334 W MAIN ST","Atglen",1922,"Before 1991","1950 or older"
"0703 01280000","R-10","R - Single Family/Cabin","643  RIDGE AVE","Atglen",1963,"Before 1991","1961-1970"
"0703 01280100","R-10","R - Single Family/Cabin","651  RIDGE AVE","Atglen",1976,"Before 1991","1971-1980"
"0703 01280200","R-10","R - Single Family/Cabin","637  RIDGE AVE","Atglen",1960,"Before 1991","1951-1960"
"0703 01290000","R-10","R - Single Family/Cabin","627  RIDGE AVE","Atglen",1950,"Before 1991","1950 or older"
"0703 01300000","R-10","R - Single Family/Cabin","619  RIDGE AVE","Atglen",1940,"Before 1991","1950 or older"
"0703 01310000","R-10","R - Single Family/Cabin","322  HIGH ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01310100","R-20","R - Two Family","324  HIGH ST","Atglen",1900,"Before 1991","1950 or older"
"0703 01320000","R-10","R - Single Family/Cabin","332  HIGH ST","Atglen",1914,"Before 1991","1950 or older"
"0703 01330000","R-10","R - Single Family/Cabin","543  RIDGE AVE","Atglen",1924,"Before 1991","1950 or older"
"0703 01340000","R-10","R - Single Family/Cabin","325  HIGH ST","Atglen",1947,"Before 1991","1950 or older"
"0703 01350000","R-10","R - Single Family/Cabin","535  RIDGE AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 01360000","R-10","R - Single Family/Cabin","529  RIDGE AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 01360100","R-10","R - Single Family/Cabin","527  RIDGE AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 01370000","R-10","R - Single Family/Cabin","523  RIDGE AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 01370100","R-10","R - Single Family/Cabin","521  RIDGE AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 01380000","R-10","R - Single Family/Cabin","515  RIDGE AVE","Atglen",1945,"Before 1991","1950 or older"
"0703 01390000","R-10","R - Single Family/Cabin","501  RIDGE AVE","Atglen",1914,"Before 1991","1950 or older"
"0703 01400000","R-10","R - Single Family/Cabin","441  RIDGE AVE","Atglen",1880,"Before 1991","1950 or older"
"0703 01410000","R-10","R - Single Family/Cabin","433  RIDGE AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 01420000","R-10","R - Single Family/Cabin","431  RIDGE AVE","Atglen",1890,"Before 1991","1950 or older"
"0703 01440000","R-40","A - Aparments (4-19 Units)","323  RIDGE AVE","Atglen",1894,"Before 1991","1950 or older"
"0703 01440100","R-10","R - Single Family/Cabin","331  CHESTER ST","Atglen",1983,"Before 1991","1981-1990"
"0703 01440200","R-10","R - Single Family/Cabin","333  CHESTER ST","Atglen",1983,"Before 1991","1981-1990"
"0703 01440300","R-10","R - Single Family/Cabin","356 W MAIN ST","Atglen",1984,"Before 1991","1981-1990"
"0703 01440400","R-10","R - Single Family/Cabin","354 W MAIN ST","Atglen",1983,"Before 1991","1981-1990"
"0703 01470300","R-60","R - Dwelling W/Comm Use Primary R","430  RIDGE AVE","Atglen",1985,"Before 1991","1981-1990"
"0703 01470400","R-10","R - Single Family/Cabin","542  RIDGE AVE","Atglen",1988,"Before 1991","1981-1990"
"0703 01470500","R-10","R - Single Family/Cabin","602  RIDGE AVE","Atglen",1988,"Before 1991","1981-1990"
"0703 01470600","R-10","R - Single Family/Cabin","604  RIDGE AVE","Atglen",1988,"Before 1991","1981-1990"
"0703 01470700","R-10","R - Single Family/Cabin","630  RIDGE AVE","Atglen",1988,"Before 1991","1981-1990"
"0703 01470800","R-10","R - Single Family/Cabin","642  RIDGE AVE","Atglen",1989,"Before 1991","1981-1990"
"0703 01470900","R-10","R - Single Family/Cabin","540  RIDGE AVE","Atglen",1987,"Before 1991","1981-1990"
"0703 01471000","R-10","R - Single Family/Cabin","530  RIDGE AVE","Atglen",1989,"Before 1991","1981-1990"
"0703 01471100","R-10","R - Single Family/Cabin","502  RIDGE AVE","Atglen",1989,"Before 1991","1981-1990"
"0703 01471200","R-10","R - Single Family/Cabin","442  RIDGE AVE","Atglen",1989,"Before 1991","1981-1990"
"0703 01471300","R-10","R - Single Family/Cabin","432  RIDGE AVE","Atglen",1988,"Before 1991","1981-1990"
"0703 01480000","R-10","R - Single Family/Cabin","426  MOORES DR","Atglen",1993,"1991 or Later","1991-2000"
"0703 01490000","R-10","R - Single Family/Cabin","420  MOORES DR","Atglen",1993,"1991 or Later","1991-2000"
"0703 01500000","R-10","R - Single Family/Cabin","421  MOORES DR","Atglen",1992,"1991 or Later","1991-2000"
"0703 01510000","R-10","R - Single Family/Cabin","427  MOORES DR","Atglen",1994,"1991 or Later","1991-2000"
"0704 00010100","R-10","R - Single Family/Cabin","129  LIBERTY ST","Atglen",1900,"Before 1991","1950 or older"
"0704 00080000","R-10","R - Single Family/Cabin","108  GREEN ST","Atglen",1900,"Before 1991","1950 or older"
"0704 00110000","R-20","R - Two Family","175  VALLEY AVE","Atglen",1967,"Before 1991","1961-1970"
"0704 00120000","R-20","R - Two Family","107 E MAIN ST","Atglen",1855,"Before 1991","1950 or older"
"0704 00130000","R-20","R - Two Family","119 E MAIN ST","Atglen",1880,"Before 1991","1950 or older"
"0704 00140000","R-40","A - Aparments (4-19 Units)","201  MAIN ST","Atglen",1900,"Before 1991","1950 or older"
"0704 00150000","R-10","R - Single Family/Cabin","203 W MAIN ST","Atglen",1915,"Before 1991","1950 or older"
"0704 00170000","R-10","R - Single Family/Cabin","206 E MAIN ST","Atglen",1940,"Before 1991","1950 or older"
"0704 00170100","R-40","A - Aparments (4-19 Units)","205  DALLAS ST","Atglen",1915,"Before 1991","1950 or older"
"0704 00180000","R-30","R - Multi Family/Dorms/Single","183  DALLAS ST","Atglen",1900,"Before 1991","1950 or older"
"0704 00190000","R-10","R - Single Family/Cabin","213 E MAIN ST","Atglen",1920,"Before 1991","1950 or older"
"0704 00190100","R-10","R - Single Family/Cabin","209 E MAIN ST","Atglen",1900,"Before 1991","1950 or older"
