"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0401 00010000","R-10","R - Single Family/Cabin","143 W STATE ST","Avondale",1870,"Before 1991","1950 or older"
"0401 00090000","R-10","R - Single Family/Cabin","15 W THIRD ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00100000","R-40","A - Aparments (4-19 Units)","300  PENNSYLVANIA AVE","Avondale",1884,"Before 1991","1950 or older"
"0401 00110000","R-10","R - Single Family/Cabin","310  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00120000","R-10","R - Single Family/Cabin","314  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00130000","R-10","R - Single Family/Cabin","318  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00140000","R-10","R - Single Family/Cabin","322  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00150000","R-10","R - Single Family/Cabin","326  PENNSYLVANIA AVE","Avondale",1860,"Before 1991","1950 or older"
"0401 00160000","R-10","R - Single Family/Cabin","408  PENNSYLVANIA AVE","Avondale",1934,"Before 1991","1950 or older"
"0401 00170000","R-10","R - Single Family/Cabin","410  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00180000","R-10","R - Single Family/Cabin","412  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00190000","R-10","R - Single Family/Cabin","414  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00220000","R-20","R - Two Family","516  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00220100","R-20","R - Two Family","512  PENNSYLVANIA AVE","Avondale",1928,"Before 1991","1950 or older"
"0401 00230000","R-30","R - Multi Family/Dorms/Single","520  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00240000","R-10","R - Single Family/Cabin","522  PENNSYLVANIA AVE","Avondale",1946,"Before 1991","1950 or older"
"0401 00250000","R-10","R - Single Family/Cabin","524  PENNSYLVANIA AVE","Avondale",1920,"Before 1991","1950 or older"
"0401 00260000","R-10","R - Single Family/Cabin","525  PENNSYLVANIA AVE","Avondale",1898,"Before 1991","1950 or older"
"0401 00270000","R-10","R - Single Family/Cabin","523  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00280000","R-10","R - Single Family/Cabin","517  PENNSYLVANIA AVE","Avondale",1920,"Before 1991","1950 or older"
"0401 00290000","R-10","R - Single Family/Cabin","513  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00300000","R-10","R - Single Family/Cabin","507  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00310000","R-10","R - Single Family/Cabin","505  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00320000","R-10","R - Single Family/Cabin","501  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00330000","R-10","R - Single Family/Cabin","502  CHATHAM ST","Avondale",1920,"Before 1991","1950 or older"
"0401 00340000","R-10","R - Single Family/Cabin","502  CHATHAM ST","Avondale",1920,"Before 1991","1950 or older"
"0401 00350000","R-10","R - Single Family/Cabin","504  CHATHAM ST","Avondale",1962,"Before 1991","1961-1970"
"0401 00360000","R-10","R - Single Family/Cabin","506  CHATHAM ST","Avondale",1953,"Before 1991","1951-1960"
"0401 00370000","R-10","R - Single Family/Cabin","508  CHATHAM ST","Avondale",1955,"Before 1991","1951-1960"
"0401 00380000","R-10","R - Single Family/Cabin","510  CHATHAM ST","Avondale",1948,"Before 1991","1950 or older"
"0401 00390000","R-10","R - Single Family/Cabin","512  CHATHAM ST","Avondale",1950,"Before 1991","1950 or older"
"0401 00400000","R-30","R - Multi Family/Dorms/Single","419  PENNSYLVANIA AVE","Avondale",1910,"Before 1991","1950 or older"
"0401 00420000","R-20","R - Two Family","413  PENNSYLVANIA AVE","Avondale",1920,"Before 1991","1950 or older"
"0401 00430000","R-20","R - Two Family","411  PENNSYLVANIA AVE","Avondale",1920,"Before 1991","1950 or older"
"0401 00440000","R-20","R - Two Family","401  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00450000","R-10","R - Single Family/Cabin","400  CHATHAM ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00460000","R-10","R - Single Family/Cabin","412  CHATHAM ST","Avondale",1926,"Before 1991","1950 or older"
"0401 00470000","R-20","R - Two Family","420  CHATHAM ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00470000","R-20","R - Two Family","420  CHATHAM ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00490000","R-10","R - Single Family/Cabin","401  CHATHAM ST","Avondale",1925,"Before 1991","1950 or older"
"0401 00500000","R-10","R - Single Family/Cabin","200  FOURTH ST","Avondale",1959,"Before 1991","1951-1960"
"0401 00510000","R-10","R - Single Family/Cabin","400  NEW ST","Avondale",1977,"Before 1991","1971-1980"
"0401 00510200","R-10","R - Single Family/Cabin","402  NEW ST","Avondale",1977,"Before 1991","1971-1980"
"0401 00520000","R-10","R - Single Family/Cabin","319  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00530000","R-10","R - Single Family/Cabin","317  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00540000","R-20","R - Two Family","315  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00550000","R-10","R - Single Family/Cabin","305  PENNSYLVANIA AVE","Avondale",1900,"Before 1991","1950 or older"
"0401 00560000","R-60","R - Dwelling W/Comm Use Primary R","301  PENNSYLVANIA AVE","Avondale",1887,"Before 1991","1950 or older"
"0401 00570000","R-10","R - Single Family/Cabin","300  CHATHAM ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00580000","R-10","R - Single Family/Cabin","302  CHATHAM ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00590000","R-10","R - Single Family/Cabin","306  CHATHAM ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00600000","R-10","R - Single Family/Cabin","318  CHATHAM ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00600100","R-10","R - Single Family/Cabin","316  CHATHAM ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00610000","R-10","R - Single Family/Cabin","101 E FOURTH ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00620000","R-10","R - Single Family/Cabin","320  CHATHAM ST","Avondale",1922,"Before 1991","1950 or older"
"0401 00630000","R-10","R - Single Family/Cabin","319  CHATHAM ST","Avondale",1930,"Before 1991","1950 or older"
"0401 00640000","R-10","R - Single Family/Cabin","315  CHATHAM ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00660000","R-10","R - Single Family/Cabin","301  CHATHAM ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00670000","R-10","R - Single Family/Cabin","201 E THIRD ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00680000","R-10","R - Single Family/Cabin","316  NEW ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00690000","R-10","R - Single Family/Cabin","300  NEW ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00700000","R-10","R - Single Family/Cabin","501  CHATHAM ST","Avondale",1908,"Before 1991","1950 or older"
"0401 00720000","R-10","R - Single Family/Cabin","315  NEW ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00730000","R-10","R - Single Family/Cabin","301 E THIRD ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00740000","R-10","R - Single Family/Cabin","303 E THIRD ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00750000","R-10","R - Single Family/Cabin","307  THIRD ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00750100","R-10","R - Single Family/Cabin","305 E THIRD ST","Avondale",1958,"Before 1991","1951-1960"
"0401 00760000","R-10","R - Single Family/Cabin","311 E THIRD ST","Avondale",1900,"Before 1991","1950 or older"
"0401 00770100","R-10","R - Single Family/Cabin","101  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00770200","R-10","R - Single Family/Cabin","103  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00770300","R-10","R - Single Family/Cabin","105  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00770400","R-10","R - Single Family/Cabin","107  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00770500","R-10","R - Single Family/Cabin","109  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00770600","R-10","R - Single Family/Cabin","111  GARNER DR","Avondale",2012,"1991 or Later","2011-2022"
"0401 00770700","R-10","R - Single Family/Cabin","113  GARNER DR","Avondale",2009,"1991 or Later","2001-2010"
"0401 00770800","R-10","R - Single Family/Cabin","115  GARNER DR","Avondale",2009,"1991 or Later","2001-2010"
"0401 00770900","R-10","R - Single Family/Cabin","117  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00771000","R-10","R - Single Family/Cabin","119  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00771100","R-10","R - Single Family/Cabin","127  GARNER DR","Avondale",2011,"1991 or Later","2011-2022"
"0401 00771200","R-10","R - Single Family/Cabin","129  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00771300","R-10","R - Single Family/Cabin","131  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00771400","R-10","R - Single Family/Cabin","133  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00771500","R-10","R - Single Family/Cabin","135  GARNER DR","Avondale",2011,"1991 or Later","2011-2022"
"0401 00771600","R-10","R - Single Family/Cabin","137  GARNER DR","Avondale",2011,"1991 or Later","2011-2022"
"0401 00771700","R-10","R - Single Family/Cabin","139  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00771800","R-10","R - Single Family/Cabin","141  GARNER DR","Avondale",2010,"1991 or Later","2001-2010"
"0401 00771900","R-10","R - Single Family/Cabin","145  GARNER DR","Avondale",2011,"1991 or Later","2011-2022"
