"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"6501 00010300","R-10","R - Single Family/Cabin","1045  SQUIRE CHEYNEY DR","Birmingham",1992,"1991 or Later","1991-2000"
"6501 00010400","R-10","R - Single Family/Cabin","1043  SQUIRE CHEYNEY DR","Birmingham",1993,"1991 or Later","1991-2000"
"6501 00010500","R-10","R - Single Family/Cabin","1031  COUNTRY CLUB RD","Birmingham",2020,"1991 or Later","2011-2022"
"6501M00010000","R-10","R - Single Family/Cabin","917  GENERAL HOWE DR","Birmingham",1971,"Before 1991","1971-1980"
"6501M00020000","R-10","R - Single Family/Cabin","915  GENERAL HOWE DR","Birmingham",1970,"Before 1991","1961-1970"
"6501M00030000","R-10","R - Single Family/Cabin","913  GENERAL HOWE DR","Birmingham",1966,"Before 1991","1961-1970"
"6501M00040000","R-10","R - Single Family/Cabin","911  GENERAL HOWE DR","Birmingham",1968,"Before 1991","1961-1970"
"6501M00070000","R-10","R - Single Family/Cabin","910  GENERAL HOWE DR","Birmingham",1985,"Before 1991","1981-1990"
"6501M00080000","R-10","R - Single Family/Cabin","912  GENERAL HOWE DR","Birmingham",1969,"Before 1991","1961-1970"
"6501M00090000","R-10","R - Single Family/Cabin","914  GENERAL HOWE DR","Birmingham",1967,"Before 1991","1961-1970"
"6501M00100000","R-10","R - Single Family/Cabin","916  GENERAL HOWE DR","Birmingham",1975,"Before 1991","1971-1980"
"6501Q00010000","R-10","R - Single Family/Cabin","806 N WASHINGTON RIDGE","Birmingham",1971,"Before 1991","1971-1980"
"6501Q00020000","R-10","R - Single Family/Cabin","804 N WASHINGTON RIDGE","Birmingham",1971,"Before 1991","1971-1980"
"6501Q00030000","R-10","R - Single Family/Cabin","802 N WASHINGTON RIDGE","Birmingham",1970,"Before 1991","1961-1970"
"6501Q00050000","R-10","R - Single Family/Cabin","800 N WASHINGTON RIDGE","Birmingham",1982,"Before 1991","1981-1990"
"6501Q00060000","R-10","R - Single Family/Cabin","801 N WASHINGTON RIDGE","Birmingham",1971,"Before 1991","1971-1980"
"6501Q00070000","R-10","R - Single Family/Cabin","803 N WASHINGTON RIDGE","Birmingham",1970,"Before 1991","1961-1970"
"6501Q00080000","R-10","R - Single Family/Cabin","805 N WASHINGTON RIDGE","Birmingham",1970,"Before 1991","1961-1970"
