"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3901 00050100","R-10","R - Single Family/Cabin","1505  FITZWILLIAM CRT","Caln",2016,"1991 or Later","2011-2022"
"3901 00050200","R-10","R - Single Family/Cabin","1509  FITZWILLIAM CRT","Caln",2016,"1991 or Later","2011-2022"
"3901 00050300","R-10","R - Single Family/Cabin","1513  FITZWILLIAM CRT","Caln",2008,"1991 or Later","2001-2010"
"3901 00050400","R-10","R - Single Family/Cabin","1517  FITZWILLIAM CRT","Caln",2009,"1991 or Later","2001-2010"
"3901 00050500","R-10","R - Single Family/Cabin","1521  FITZWILLIAM CRT","Caln",2010,"1991 or Later","2001-2010"
"3901 00050600","R-10","R - Single Family/Cabin","1516  FITZWILLIAM CRT","Caln",2007,"1991 or Later","2001-2010"
"3901 00050700","R-10","R - Single Family/Cabin","1512  FITZWILLIAM CRT","Caln",2010,"1991 or Later","2001-2010"
"3901 00050800","R-10","R - Single Family/Cabin","1508  FITZWILLIAM CRT","Caln",2008,"1991 or Later","2001-2010"
"3901 00050900","R-10","R - Single Family/Cabin","1504  FITZWILLIAM CRT","Caln",2008,"1991 or Later","2001-2010"
"3901 01150000","R-10","R - Single Family/Cabin","1121  WOODRUFF RD","Caln",2007,"1991 or Later","2001-2010"
"3901 01160000","R-10","R - Single Family/Cabin","1125  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01170000","R-10","R - Single Family/Cabin","1129  WOODRUFF RD","Caln",2007,"1991 or Later","2001-2010"
"3901 01180000","R-10","R - Single Family/Cabin","1133  WOODRUFF RD","Caln",2009,"1991 or Later","2001-2010"
"3901 01190000","R-10","R - Single Family/Cabin","1137  WOODRUFF RD","Caln",2015,"1991 or Later","2011-2022"
"3901 01200000","R-10","R - Single Family/Cabin","1141  WOODRUFF RD","Caln",2017,"1991 or Later","2011-2022"
"3901 01210000","R-10","R - Single Family/Cabin","1145  WOODRUFF RD","Caln",2016,"1991 or Later","2011-2022"
"3901 01220000","R-10","R - Single Family/Cabin","1149  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01230000","R-10","R - Single Family/Cabin","1153  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01240000","R-10","R - Single Family/Cabin","1157  WOODRUFF RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01250000","R-10","R - Single Family/Cabin","1161  WOODRUFF RD","Caln",2007,"1991 or Later","2001-2010"
"3901 01260000","R-10","R - Single Family/Cabin","1165  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01270000","R-10","R - Single Family/Cabin","1169  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01280000","R-10","R - Single Family/Cabin","1173  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01290000","R-10","R - Single Family/Cabin","1177  WOODRUFF RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01300000","R-10","R - Single Family/Cabin","1181  WOODRUFF RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01310000","R-10","R - Single Family/Cabin","1460  BALMORAL RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01320000","R-10","R - Single Family/Cabin","1456  BALMORAL RD","Caln",2007,"1991 or Later","2001-2010"
"3901 01330000","R-10","R - Single Family/Cabin","1452  BALMORAL RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01340000","R-10","R - Single Family/Cabin","1448  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01350000","R-10","R - Single Family/Cabin","1444  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01360000","R-10","R - Single Family/Cabin","1440  BALMORAL RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01370000","R-10","R - Single Family/Cabin","1436  BALMORAL RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01380000","R-10","R - Single Family/Cabin","1428  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01390000","R-10","R - Single Family/Cabin","1424  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01400000","R-10","R - Single Family/Cabin","1420  BALMORAL RD","Caln",2007,"1991 or Later","2001-2010"
"3901 01410000","R-10","R - Single Family/Cabin","1416  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01420000","R-10","R - Single Family/Cabin","1412  BALMORAL RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01430000","R-10","R - Single Family/Cabin","1408  BALMORAL RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01440000","R-10","R - Single Family/Cabin","1413  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01450000","R-10","R - Single Family/Cabin","1405  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01460000","R-10","R - Single Family/Cabin","1108  WOODRUFF RD","Caln",2008,"1991 or Later","2001-2010"
"3901 01470000","R-10","R - Single Family/Cabin","1112  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01480000","R-10","R - Single Family/Cabin","1116  WOODRUFF RD","Caln",2010,"1991 or Later","2001-2010"
"3901 01490000","R-10","R - Single Family/Cabin","1120  WOODRUFF RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01500000","R-10","R - Single Family/Cabin","1124  WOODRUFF RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01510000","R-10","R - Single Family/Cabin","1128  WOODRUFF RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01520000","R-10","R - Single Family/Cabin","1132  WOODRUFF RD","Caln",2007,"1991 or Later","2001-2010"
"3901 01530000","R-10","R - Single Family/Cabin","1136  WOODRUFF RD","Caln",2017,"1991 or Later","2011-2022"
"3901 01540000","R-10","R - Single Family/Cabin","1140  WOODRUFF RD","Caln",2016,"1991 or Later","2011-2022"
"3901 01550000","R-10","R - Single Family/Cabin","1144  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01560000","R-10","R - Single Family/Cabin","1156  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01570000","R-10","R - Single Family/Cabin","1164  WOODRUFF RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01580000","R-10","R - Single Family/Cabin","1168  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01590000","R-10","R - Single Family/Cabin","1172  WOODRUFF RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01600000","R-10","R - Single Family/Cabin","1457  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01610000","R-10","R - Single Family/Cabin","1604  ALBERMARLE CRT","Caln",2005,"1991 or Later","2001-2010"
"3901 01620000","R-10","R - Single Family/Cabin","1608  ALBERMARLE CRT","Caln",2005,"1991 or Later","2001-2010"
"3901 01630000","R-10","R - Single Family/Cabin","1612  ALBERMARLE CRT","Caln",2005,"1991 or Later","2001-2010"
"3901 01640000","R-10","R - Single Family/Cabin","1613  ALBERMARLE CRT","Caln",2006,"1991 or Later","2001-2010"
"3901 01650000","R-10","R - Single Family/Cabin","1609  ALBERMARLE CRT","Caln",2006,"1991 or Later","2001-2010"
"3901 01660000","R-10","R - Single Family/Cabin","1441  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01670000","R-10","R - Single Family/Cabin","1437  BALMORAL RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01680000","R-10","R - Single Family/Cabin","1433  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01690000","R-10","R - Single Family/Cabin","1429  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01700000","R-10","R - Single Family/Cabin","1425  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01710000","R-10","R - Single Family/Cabin","1421  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01720000","R-10","R - Single Family/Cabin","1417  BALMORAL RD","Caln",2005,"1991 or Later","2001-2010"
"3901 01730000","R-10","R - Single Family/Cabin","1052  WOODRUFF RD","Caln",2006,"1991 or Later","2001-2010"
"3901 01740000","R-10","R - Single Family/Cabin","1305  NORTHUMBERLAND RD","Caln",2007,"1991 or Later","2001-2010"
"3901 01750000","R-10","R - Single Family/Cabin","1317  NORTHUMBERLAND RD","Caln",2007,"1991 or Later","2001-2010"
"3901 01760000","R-10","R - Single Family/Cabin","1321  NORTHUMBERLAND RD","Caln",2008,"1991 or Later","2001-2010"
"3901 01770000","R-10","R - Single Family/Cabin","1325  NORTHUMBERLAND RD","Caln",2017,"1991 or Later","2011-2022"
"3901 01780000","R-10","R - Single Family/Cabin","1329  NORTHUMBERLAND RD","Caln",2017,"1991 or Later","2011-2022"
"3901 01790000","R-10","R - Single Family/Cabin","1333  NORTHUMBERLAND RD","Caln",2009,"1991 or Later","2001-2010"
"3901 01800000","R-10","R - Single Family/Cabin","1337  NORTHUMBERLAND RD","Caln",2007,"1991 or Later","2001-2010"
"3901 01810000","R-10","R - Single Family/Cabin","1341  NORTHUMBERLAND RD","Caln",2018,"1991 or Later","2011-2022"
"3901 01820000","R-10","R - Single Family/Cabin","1345  NORTHUMBERLAND RD","Caln",2017,"1991 or Later","2011-2022"
"3901 01830000","R-10","R - Single Family/Cabin","1349  NORTHUMBERLAND RD","Caln",2010,"1991 or Later","2001-2010"
"3901 01840000","R-10","R - Single Family/Cabin","1353  NORTHUMBERLAND RD","Caln",2017,"1991 or Later","2011-2022"
"3901 01850000","R-10","R - Single Family/Cabin","1357  NORTHUMBERLAND RD","Caln",2016,"1991 or Later","2011-2022"
"3901 01860000","R-10","R - Single Family/Cabin","1361  NORTHUMBERLAND RD","Caln",2017,"1991 or Later","2011-2022"
"3901 01870000","R-10","R - Single Family/Cabin","1365  NORTHUMBERLAND RD","Caln",2016,"1991 or Later","2011-2022"
