"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1601 00010000","R-10","R - Single Family/Cabin","178  HARLAN DR","Coatesville",1959,"Before 1991","1951-1960"
"1601 00020000","R-10","R - Single Family/Cabin","188  HARLAN DR","Coatesville",1955,"Before 1991","1951-1960"
"1601 00030000","R-10","R - Single Family/Cabin","196  HARLAN DR","Coatesville",1956,"Before 1991","1951-1960"
"1601 00040000","R-10","R - Single Family/Cabin","230  HARLAN DR","Coatesville",1995,"1991 or Later","1991-2000"
"1601 00050000","R-90","A - Apt Complex (20 or more units","407  CEDAR ST","Coatesville",1954,"Before 1991","1951-1960"
"1601 00060000","R-10","R - Single Family/Cabin","205  SLACK DR","Coatesville",1956,"Before 1991","1951-1960"
"1601 00070000","R-10","R - Single Family/Cabin","211  SLACK DR","Coatesville",1956,"Before 1991","1951-1960"
"1601 00080000","R-10","R - Single Family/Cabin","215  SLACK DR","Coatesville",1956,"Before 1991","1951-1960"
"1601 00090000","R-10","R - Single Family/Cabin","219  SLACK DR","Coatesville",1956,"Before 1991","1951-1960"
"1601 00100000","R-10","R - Single Family/Cabin","225  SLACK DR","Coatesville",1963,"Before 1991","1961-1970"
"1601 00110000","R-90","A - Apt Complex (20 or more units","100  HARLAN DR","Coatesville",1954,"Before 1991","1951-1960"
"1601 00110000","R-90","A - Apt Complex (20 or more units","100  HARLAN DR","Coatesville",1954,"Before 1991","1951-1960"
"1601 00120000","R-90","A - Apt Complex (20 or more units","100  HARLAN DR","Coatesville",1954,"Before 1991","1951-1960"
"1601 00120000","R-90","A - Apt Complex (20 or more units","100  HARLAN DR","Coatesville",1954,"Before 1991","1951-1960"
"1601 00190000","R-10","R - Single Family/Cabin","317  BUCHANAN AVE","Coatesville",1964,"Before 1991","1961-1970"
"1601 00200000","R-10","R - Single Family/Cabin","315  BUCHANAN DR","Coatesville",1969,"Before 1991","1961-1970"
"1601 00210000","R-10","R - Single Family/Cabin","313  BUCHANAN DR","Coatesville",1965,"Before 1991","1961-1970"
"1601 00220000","R-10","R - Single Family/Cabin","311  BUCHANAN DR","Coatesville",1970,"Before 1991","1961-1970"
"1601 00240000","R-10","R - Single Family/Cabin","307  BUCHANAN DR","Coatesville",1961,"Before 1991","1961-1970"
"1601 00250000","R-10","R - Single Family/Cabin","304  BUCHANAN DR","Coatesville",1970,"Before 1991","1961-1970"
"1601 00260000","R-10","R - Single Family/Cabin","306  BUCHANAN DR","Coatesville",1971,"Before 1991","1971-1980"
"1601 00270000","R-10","R - Single Family/Cabin","308  BUCHANAN DR","Coatesville",1967,"Before 1991","1961-1970"
"1601 00280000","R-10","R - Single Family/Cabin","310  BUCHANAN DR","Coatesville",1971,"Before 1991","1971-1980"
"1601 00290000","R-10","R - Single Family/Cabin","312  BUCHANAN DR","Coatesville",1964,"Before 1991","1961-1970"
"1601 00300000","R-10","R - Single Family/Cabin","314  BUCHANAN DR","Coatesville",1963,"Before 1991","1961-1970"
"1601 00310000","R-10","R - Single Family/Cabin","202  DULLES DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00320000","R-10","R - Single Family/Cabin","301  DULLES DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00330000","R-10","R - Single Family/Cabin","303  ADAMS DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00340000","R-10","R - Single Family/Cabin","301  ADAMS DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00350000","R-10","R - Single Family/Cabin","305  ADAMS DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00360000","R-10","R - Single Family/Cabin","307  ADAMS DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00370000","R-10","R - Single Family/Cabin","309  ADAMS DR","Coatesville",1975,"Before 1991","1971-1980"
"1601 00390000","R-10","R - Single Family/Cabin","304  ADAMS DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00420000","R-10","R - Single Family/Cabin","298  DULLES DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00430000","R-10","R - Single Family/Cabin","296  DULLES DR","Coatesville",1974,"Before 1991","1971-1980"
"1601 00450000","R-10","R - Single Family/Cabin","299  DULLES DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00470000","R-10","R - Single Family/Cabin","303  DULLES DR","Coatesville",1974,"Before 1991","1971-1980"
"1601 00480000","R-10","R - Single Family/Cabin","305  DULLES DR","Coatesville",1974,"Before 1991","1971-1980"
"1601 00530000","R-10","R - Single Family/Cabin","204  DULLES DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00540000","R-10","R - Single Family/Cabin","206  DULLES DR","Coatesville",1973,"Before 1991","1971-1980"
"1601 00560000","R-10","R - Single Family/Cabin","300  ADAMS DR","Coatesville",2001,"1991 or Later","2001-2010"
"1601 00570000","R-10","R - Single Family/Cabin","302  ADAMS DR","Coatesville",2006,"1991 or Later","2001-2010"
"1601 00580000","R-10","R - Single Family/Cabin","201  DULLES DR","Coatesville",2001,"1991 or Later","2001-2010"
"1601A00010100","R-10","R - Single Family/Cabin","365 E GLENCREST RD","Coatesville",1930,"Before 1991","1950 or older"
"1602 00020000","R-10","R - Single Family/Cabin","411  CEDAR ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00030000","R-10","R - Single Family/Cabin","415  CEDAR ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00050000","R-10","R - Single Family/Cabin","421  CEDAR ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00060000","R-10","R - Single Family/Cabin","425  CEDAR ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00070000","R-10","R - Single Family/Cabin","427  CEDAR ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00080000","R-10","R - Single Family/Cabin","431  CEDAR ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00080100","R-10","R - Single Family/Cabin","430  COLFAX ST","Coatesville",1966,"Before 1991","1961-1970"
"1602 00100000","R-10","R - Single Family/Cabin","523  COLFAX ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00100100","R-10","R - Single Family/Cabin","521  COLFAX ST","Coatesville",1967,"Before 1991","1961-1970"
"1602 00120000","R-10","R - Single Family/Cabin","525  COLFAX ST","Coatesville",1880,"Before 1991","1950 or older"
"1602 00130000","R-10","R - Single Family/Cabin","527  COLFAX ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00180000","R-10","R - Single Family/Cabin","575  BLACK HORSE HILL RD","Coatesville",1900,"Before 1991","1950 or older"
"1602 00200000","R-10","R - Single Family/Cabin","559  BLACK HORSE HILL RD","Coatesville",1900,"Before 1991","1950 or older"
"1602 00210000","R-10","R - Single Family/Cabin","539  BLACK HORSE HILL RD","Coatesville",1900,"Before 1991","1950 or older"
"1602 00220000","R-10","R - Single Family/Cabin","537  CEDAR ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00230000","R-10","R - Single Family/Cabin","515  CEDAR ST","Coatesville",1959,"Before 1991","1951-1960"
"1602 00240000","R-10","R - Single Family/Cabin","505  CEDAR ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00260000","R-10","R - Single Family/Cabin","527  CEDAR ST","Coatesville",1900,"Before 1991","1950 or older"
"1602 00260100","R-10","R - Single Family/Cabin","526  COLFAX ST","Coatesville",1965,"Before 1991","1961-1970"
"1602 00270000","R-10","R - Single Family/Cabin","323  GRAHAM AVE","Coatesville",1900,"Before 1991","1950 or older"
"1602 00280000","R-10","R - Single Family/Cabin","524  COLFAX ST","Coatesville",1955,"Before 1991","1951-1960"
