"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1101 000201C0","R-10","R - Single Family/Cabin","285  NORWOOD RD","Downingtown",1981,"Before 1991","1981-1990"
"1101 000201D0","R-10","R - Single Family/Cabin","287  NORWOOD RD","Downingtown",1981,"Before 1991","1981-1990"
"1101 00020500","R-90","A - Apt Complex (20 or more units","101  NORWOOD RD","Downingtown",1971,"Before 1991","1971-1980"
"1101 00020500","R-90","A - Apt Complex (20 or more units","101  NORWOOD RD","Downingtown",1971,"Before 1991","1971-1980"
"1101 00020500","R-90","A - Apt Complex (20 or more units","101  NORWOOD RD","Downingtown",1971,"Before 1991","1971-1980"
"1101 00020500","R-90","A - Apt Complex (20 or more units","101  NORWOOD RD","Downingtown",1971,"Before 1991","1971-1980"
"1101 00030000","R-10","R - Single Family/Cabin","433  FARMHOUSE RD","Downingtown",1975,"Before 1991","1971-1980"
"1101 00030100","R-90","A - Apt Complex (20 or more units","101  NORWOOD HOUSE RD","Downingtown",1973,"Before 1991","1971-1980"
"1101 00030100","R-90","A - Apt Complex (20 or more units","101  NORWOOD HOUSE RD","Downingtown",1973,"Before 1991","1971-1980"
"1101 00030100","R-90","A - Apt Complex (20 or more units","101  NORWOOD HOUSE RD","Downingtown",1973,"Before 1991","1971-1980"
"1101 00030100","R-90","A - Apt Complex (20 or more units","101  NORWOOD HOUSE RD","Downingtown",1973,"Before 1991","1971-1980"
"1101 00030100","R-90","A - Apt Complex (20 or more units","101  NORWOOD HOUSE RD","Downingtown",1971,"Before 1991","1971-1980"
"1101 00030400","R-10","R - Single Family/Cabin","184  OLD LIONVILLE RD","Downingtown",1975,"Before 1991","1971-1980"
"1101 00030500","R-10","R - Single Family/Cabin","431  FARMHOUSE RD","Downingtown",1975,"Before 1991","1971-1980"
"1101 00030600","R-10","R - Single Family/Cabin","313  KENT CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00030700","R-10","R - Single Family/Cabin","311  KENT CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00030800","R-10","R - Single Family/Cabin","309  KENT CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00030900","R-10","R - Single Family/Cabin","307  KENT CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00031000","R-10","R - Single Family/Cabin","305  KENT CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00031100","R-10","R - Single Family/Cabin","303  KENT CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00031200","R-10","R - Single Family/Cabin","301  KENT CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00031300","R-10","R - Single Family/Cabin","313  PAUL CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00031400","R-10","R - Single Family/Cabin","311  PAUL CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00031500","R-10","R - Single Family/Cabin","309  PAUL CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00031600","R-10","R - Single Family/Cabin","307  PAUL CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00031700","R-10","R - Single Family/Cabin","305  PAUL CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00031800","R-10","R - Single Family/Cabin","303  PAUL CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00031900","R-10","R - Single Family/Cabin","301  PAUL CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00032000","R-10","R - Single Family/Cabin","315  DAVID CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00032100","R-10","R - Single Family/Cabin","313  DAVID CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00032200","R-10","R - Single Family/Cabin","311  DAVID CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00032300","R-10","R - Single Family/Cabin","309  DAVID CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00032400","R-10","R - Single Family/Cabin","307  DAVID CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00032500","R-10","R - Single Family/Cabin","305  DAVID CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00032600","R-10","R - Single Family/Cabin","303  DAVID CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00032700","R-10","R - Single Family/Cabin","301  DAVID CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00032800","R-10","R - Single Family/Cabin","319  DEVON CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00032900","R-10","R - Single Family/Cabin","317  DEVON CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00033000","R-10","R - Single Family/Cabin","315  DEVON CIR","Downingtown",1974,"Before 1991","1971-1980"
"1101 00033100","R-10","R - Single Family/Cabin","313  DEVON CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00033200","R-10","R - Single Family/Cabin","311  DEVON CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00033300","R-10","R - Single Family/Cabin","309  DEVON CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00033400","R-10","R - Single Family/Cabin","307  DEVON CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00033500","R-10","R - Single Family/Cabin","305  DEVON CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00033600","R-10","R - Single Family/Cabin","303  DEVON CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00033700","R-10","R - Single Family/Cabin","301  DEVON CIR","Downingtown",1975,"Before 1991","1971-1980"
"1101 00033800","R-10","R - Single Family/Cabin","402  FARMHOUSE RD","Downingtown",1975,"Before 1991","1971-1980"
"1101 00033900","R-10","R - Single Family/Cabin","404  FARMHOUSE RD","Downingtown",1975,"Before 1991","1971-1980"
"1101 00034000","R-10","R - Single Family/Cabin","406  FARMHOUSE RD","Downingtown",1975,"Before 1991","1971-1980"
"1101 00034100","R-10","R - Single Family/Cabin","408  FARMHOUSE RD","Downingtown",1975,"Before 1991","1971-1980"
"1101 00034200","R-10","R - Single Family/Cabin","410  FARMHOUSE RD","Downingtown",1975,"Before 1991","1971-1980"
"1101 00034300","R-10","R - Single Family/Cabin","412  FARMHOUSE RD","Downingtown",1975,"Before 1991","1971-1980"
"1101 00034400","R-10","R - Single Family/Cabin","414  FARMHOUSE RD","Downingtown",1975,"Before 1991","1971-1980"
