"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"5103 00060200","R-10","R - Single Family/Cabin","828  GUTHRIE RD","East Bradford",1900,"Before 1991","1950 or older"
"5103 00290200","R-10","R - Single Family/Cabin","696  SUNSET HOLLOW RD","East Bradford",1977,"Before 1991","1971-1980"
"5103 002902A0","R-10","R - Single Family/Cabin","694  SUNSET HOLLOW RD","East Bradford",1977,"Before 1991","1971-1980"
"5103 00290400","R-10","R - Single Family/Cabin","912  GREENE COUNTRIE DR","East Bradford",1900,"Before 1991","1950 or older"
"5103 00320100","R-10","R - Single Family/Cabin","723  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00320200","R-10","R - Single Family/Cabin","721  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00320300","R-10","R - Single Family/Cabin","719  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00320400","R-10","R - Single Family/Cabin","717  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00320500","R-10","R - Single Family/Cabin","715  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00320600","R-10","R - Single Family/Cabin","713  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00320700","R-10","R - Single Family/Cabin","711  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00320800","R-10","R - Single Family/Cabin","709  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00320900","R-10","R - Single Family/Cabin","707  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00321000","R-10","R - Single Family/Cabin","705  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00321100","R-10","R - Single Family/Cabin","703  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00321200","R-10","R - Single Family/Cabin","706  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00321300","R-10","R - Single Family/Cabin","708  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00321400","R-10","R - Single Family/Cabin","710  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00321500","R-10","R - Single Family/Cabin","712  CLOVER RIDGE DR","East Bradford",1988,"Before 1991","1981-1990"
"5103 00321700","R-10","R - Single Family/Cabin","716  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00321800","R-10","R - Single Family/Cabin","718  CLOVER RIDGE DR","East Bradford",1988,"Before 1991","1981-1990"
"5103 00321900","R-10","R - Single Family/Cabin","720  CLOVER RIDGE DR","East Bradford",1988,"Before 1991","1981-1990"
"5103 00322000","R-10","R - Single Family/Cabin","722  CLOVER RIDGE DR","East Bradford",1987,"Before 1991","1981-1990"
"5103 00370000","R-10","R - Single Family/Cabin","689  MIMOSA TREE LN","East Bradford",1979,"Before 1991","1971-1980"
"5103 00380000","R-10","R - Single Family/Cabin","691  MIMOSA TREE LN","East Bradford",1980,"Before 1991","1971-1980"
"5103 00390000","R-10","R - Single Family/Cabin","693  MIMOSA TREE LN","East Bradford",1980,"Before 1991","1971-1980"
"5103 00400000","R-20","R - Two Family","911  GREENE COUNTRIE DR","East Bradford",1890,"Before 1991","1950 or older"
"5103 00410000","R-10","R - Single Family/Cabin","901  PINEVIEW DR","East Bradford",1979,"Before 1991","1971-1980"
"5103 00420000","R-10","R - Single Family/Cabin","908  GREENE COUNTRIE DR","East Bradford",1984,"Before 1991","1981-1990"
"5103 00430000","R-10","R - Single Family/Cabin","910  GREENE COUNTRIE DR","East Bradford",2021,"1991 or Later","2011-2022"
"5103 00440000","R-10","R - Single Family/Cabin","914  GREENE COUNTRIE DR","East Bradford",1900,"Before 1991","1950 or older"
"5103 00450000","R-10","R - Single Family/Cabin","921  PINEVIEW DR","East Bradford",1978,"Before 1991","1971-1980"
"5103 00460000","R-10","R - Single Family/Cabin","919  PINEVIEW DR","East Bradford",1978,"Before 1991","1971-1980"
"5103 00470000","R-10","R - Single Family/Cabin","917  PINEVIEW DR","East Bradford",1979,"Before 1991","1971-1980"
"5103 00480000","R-10","R - Single Family/Cabin","915  PINEVIEW DR","East Bradford",1978,"Before 1991","1971-1980"
"5103 00490000","R-10","R - Single Family/Cabin","913  PINEVIEW DR","East Bradford",1978,"Before 1991","1971-1980"
"5103 00500000","R-10","R - Single Family/Cabin","911  PINEVIEW DR","East Bradford",1979,"Before 1991","1971-1980"
