"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"2905 00015200","R-10","R - Single Family/Cabin","126  REBECCA DR","East Brandywine",2006,"1991 or Later","2001-2010"
"3002 00020000","R-10","R - Single Family/Cabin","53  EMMA CRT","East Brandywine",1784,"Before 1991","1950 or older"
"3002 00020000","R-10","R - Single Family/Cabin","53  EMMA CRT","East Brandywine",2018,"1991 or Later","2011-2022"
"3002 00140000","R-10","R - Single Family/Cabin","58  HIGHSPIRE RD","East Brandywine",1985,"Before 1991","1981-1990"
"3002 00430100","R-10","R - Single Family/Cabin","11  PATTERDALE PL","East Brandywine",2003,"1991 or Later","2001-2010"
"3002 00430200","R-10","R - Single Family/Cabin","13  PATTERDALE PL","East Brandywine",2002,"1991 or Later","2001-2010"
"3002 00430300","R-10","R - Single Family/Cabin","15  PATTERDALE PL","East Brandywine",2002,"1991 or Later","2001-2010"
"3002 00430400","R-10","R - Single Family/Cabin","17  PATTERDALE PL","East Brandywine",2002,"1991 or Later","2001-2010"
"3002 00430500","R-10","R - Single Family/Cabin","19  PATTERDALE PL","East Brandywine",2003,"1991 or Later","2001-2010"
"3002 00430600","R-10","R - Single Family/Cabin","20  PATTERDALE PL","East Brandywine",2009,"1991 or Later","2001-2010"
"3002 00430700","R-10","R - Single Family/Cabin","16  PATTERDALE PL","East Brandywine",2003,"1991 or Later","2001-2010"
"3002 00430800","R-10","R - Single Family/Cabin","10  PATTERDALE PL","East Brandywine",2003,"1991 or Later","2001-2010"
"3002 00430900","R-10","R - Single Family/Cabin","12  PATTERDALE PL","East Brandywine",2002,"1991 or Later","2001-2010"
"3002 00431000","R-10","R - Single Family/Cabin","124  LITTLE WASHINGTON RD","East Brandywine",2003,"1991 or Later","2001-2010"
"3002 00431100","R-10","R - Single Family/Cabin","172  LITTLE WASHINGTON RD","East Brandywine",2002,"1991 or Later","2001-2010"
"3002 00431300","R-10","R - Single Family/Cabin","182  LITTLE WASHINGTON RD","East Brandywine",2002,"1991 or Later","2001-2010"
"3002 00523200","R-10","R - Single Family/Cabin","102  HOLLY DR","East Brandywine",1978,"Before 1991","1971-1980"
"3002 00523900","R-10","R - Single Family/Cabin","101  FIRETHORN DR","East Brandywine",1978,"Before 1991","1971-1980"
"3002 00525500","R-10","R - Single Family/Cabin","118  HOLLY DR","East Brandywine",1988,"Before 1991","1981-1990"
"3002 00525700","R-10","R - Single Family/Cabin","114  HOLLY DR","East Brandywine",1978,"Before 1991","1971-1980"
"3002 00526400","R-10","R - Single Family/Cabin","107  EVERGREEN DR","East Brandywine",1979,"Before 1991","1971-1980"
"3002 00527200","R-10","R - Single Family/Cabin","105  ELMWOOD DR","East Brandywine",1984,"Before 1991","1981-1990"
"3002 00529400","R-10","R - Single Family/Cabin","108  BRIARWOOD DR","East Brandywine",1979,"Before 1991","1971-1980"
"3002 00530100","R-10","R - Single Family/Cabin","12  RICO CIR","East Brandywine",2016,"1991 or Later","2011-2022"
"3002 005301C0","R-10","R - Single Family/Cabin","14  RICO CIR","East Brandywine",2005,"1991 or Later","2001-2010"
"3002 005301D0","R-10","R - Single Family/Cabin","13  RICO CIR","East Brandywine",2015,"1991 or Later","2011-2022"
"3002 005301E0","R-10","R - Single Family/Cabin","11  RICO CIR","East Brandywine",2006,"1991 or Later","2001-2010"
"3002 005301F0","R-10","R - Single Family/Cabin","15  RICO CIR","East Brandywine",2006,"1991 or Later","2001-2010"
"3002 00572100","R-10","R - Single Family/Cabin","103  SCHOOL LN","East Brandywine",2006,"1991 or Later","2001-2010"
"3002 03000000","R-10","R - Single Family/Cabin","101  PINEBROOKE CIR","East Brandywine",1995,"1991 or Later","1991-2000"
"3002 03010000","R-10","R - Single Family/Cabin","102  PINEBROOKE CIR","East Brandywine",1995,"1991 or Later","1991-2000"
"3002 03020000","R-10","R - Single Family/Cabin","103  PINEBROOKE CIR","East Brandywine",1995,"1991 or Later","1991-2000"
"3002 03030000","R-10","R - Single Family/Cabin","104  PINEBROOKE CIR","East Brandywine",1995,"1991 or Later","1991-2000"
"3002 03040000","R-10","R - Single Family/Cabin","201  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03050000","R-10","R - Single Family/Cabin","202  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03060000","R-10","R - Single Family/Cabin","203  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03070000","R-10","R - Single Family/Cabin","204  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03080000","R-10","R - Single Family/Cabin","301  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03090000","R-10","R - Single Family/Cabin","302  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03100000","R-10","R - Single Family/Cabin","303  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03110000","R-10","R - Single Family/Cabin","304  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03120000","R-10","R - Single Family/Cabin","305  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03130000","R-10","R - Single Family/Cabin","401  PINEBROOKE CIR","East Brandywine",1994,"1991 or Later","1991-2000"
"3002 03140000","R-10","R - Single Family/Cabin","402  PINEBROOKE CIR","East Brandywine",1994,"1991 or Later","1991-2000"
"3002 03150000","R-10","R - Single Family/Cabin","403  PINEBROOKE CIR","East Brandywine",1994,"1991 or Later","1991-2000"
"3002 03160000","R-10","R - Single Family/Cabin","404  PINEBROOKE CIR","East Brandywine",1994,"1991 or Later","1991-2000"
"3002 03170000","R-10","R - Single Family/Cabin","501  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03180000","R-10","R - Single Family/Cabin","502  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03190000","R-10","R - Single Family/Cabin","503  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03200000","R-10","R - Single Family/Cabin","504  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03210000","R-10","R - Single Family/Cabin","601  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03220000","R-10","R - Single Family/Cabin","602  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03230000","R-10","R - Single Family/Cabin","603  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03240000","R-10","R - Single Family/Cabin","604  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03250000","R-10","R - Single Family/Cabin","605  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03260000","R-10","R - Single Family/Cabin","606  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03270000","R-10","R - Single Family/Cabin","701  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03280000","R-10","R - Single Family/Cabin","702  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03290000","R-10","R - Single Family/Cabin","703  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03300000","R-10","R - Single Family/Cabin","704  PINEBROOKE CIR","East Brandywine",1990,"Before 1991","1981-1990"
"3002 03320000","R-10","R - Single Family/Cabin","220  PATRIOT LN","East Brandywine",2016,"1991 or Later","2011-2022"
"3002 03330000","R-10","R - Single Family/Cabin","222  PATRIOT LN","East Brandywine",2015,"1991 or Later","2011-2022"
"3002 03340000","R-10","R - Single Family/Cabin","224  PATRIOT LN","East Brandywine",2015,"1991 or Later","2011-2022"
"3002 03350000","R-10","R - Single Family/Cabin","226  PATRIOT LN","East Brandywine",2015,"1991 or Later","2011-2022"
"3002 03360000","R-10","R - Single Family/Cabin","228  PATRIOT LN","East Brandywine",2017,"1991 or Later","2011-2022"
"3002 03370000","R-10","R - Single Family/Cabin","230  PATRIOT LN","East Brandywine",2017,"1991 or Later","2011-2022"
"3002 03380000","R-10","R - Single Family/Cabin","232  PATRIOT LN","East Brandywine",2016,"1991 or Later","2011-2022"
"3002 03390000","R-10","R - Single Family/Cabin","234  PATRIOT LN","East Brandywine",2016,"1991 or Later","2011-2022"
"3002 03400000","R-10","R - Single Family/Cabin","236  PATRIOT LN","East Brandywine",2016,"1991 or Later","2011-2022"
"3002 03410000","R-10","R - Single Family/Cabin","238  PATRIOT LN","East Brandywine",2016,"1991 or Later","2011-2022"
"3002 03420000","R-10","R - Single Family/Cabin","237  PATRIOT LN","East Brandywine",2015,"1991 or Later","2011-2022"
"3002 03430000","R-10","R - Single Family/Cabin","235  PATRIOT LN","East Brandywine",2015,"1991 or Later","2011-2022"
"3002 03440000","R-10","R - Single Family/Cabin","229  PATRIOT LN","East Brandywine",2015,"1991 or Later","2011-2022"
"3002 03450000","R-10","R - Single Family/Cabin","225  PATRIOT LN","East Brandywine",2017,"1991 or Later","2011-2022"
"3002 03460000","R-10","R - Single Family/Cabin","217  PATRIOT LN","East Brandywine",2017,"1991 or Later","2011-2022"
"3002 03470000","R-10","R - Single Family/Cabin","215  PATRIOT LN","East Brandywine",2016,"1991 or Later","2011-2022"
"3002 03480000","R-10","R - Single Family/Cabin","209  PATRIOT LN","East Brandywine",2016,"1991 or Later","2011-2022"
"3002 03490000","R-10","R - Single Family/Cabin","207  PATRIOT LN","East Brandywine",2014,"1991 or Later","2011-2022"
"3002 03500000","R-10","R - Single Family/Cabin","205  PATRIOT LN","East Brandywine",2014,"1991 or Later","2011-2022"
