"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3306 00960000","R-10","R - Single Family/Cabin","901  LIVINGSTON DR","East Caln",2000,"1991 or Later","1991-2000"
"3306 00980000","R-10","R - Single Family/Cabin","908  LIVINGSTON DR","East Caln",2000,"1991 or Later","1991-2000"
"3306H00090000","R-10","R - Single Family/Cabin","929  KINGS ARMS DR","East Caln",1999,"1991 or Later","1991-2000"
"3306H00100000","R-10","R - Single Family/Cabin","927  KINGS ARMS DR","East Caln",1997,"1991 or Later","1991-2000"
"3306H00110000","R-10","R - Single Family/Cabin","925  KINGS ARMS DR","East Caln",1997,"1991 or Later","1991-2000"
"4001 00250500","R-10","R - Single Family/Cabin","330  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00250600","R-10","R - Single Family/Cabin","331  STERLING LN","East Caln",2006,"1991 or Later","2001-2010"
"4001 00270000","R-10","R - Single Family/Cabin","342  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00270100","R-10","R - Single Family/Cabin","360  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00270200","R-10","R - Single Family/Cabin","358  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00270300","R-10","R - Single Family/Cabin","356  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00270400","R-10","R - Single Family/Cabin","354  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00270500","R-10","R - Single Family/Cabin","352  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00270600","R-10","R - Single Family/Cabin","350  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00270700","R-10","R - Single Family/Cabin","348  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00270800","R-10","R - Single Family/Cabin","346  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00270900","R-10","R - Single Family/Cabin","344  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00271000","R-10","R - Single Family/Cabin","338  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00271100","R-10","R - Single Family/Cabin","336  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00271200","R-10","R - Single Family/Cabin","334  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00271300","R-10","R - Single Family/Cabin","332  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00271400","R-10","R - Single Family/Cabin","333  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00271500","R-10","R - Single Family/Cabin","335  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00271600","R-10","R - Single Family/Cabin","337  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00271700","R-10","R - Single Family/Cabin","339  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00271800","R-10","R - Single Family/Cabin","341  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00271900","R-10","R - Single Family/Cabin","343  STERLING LN","East Caln",2004,"1991 or Later","2001-2010"
"4001 00272000","R-10","R - Single Family/Cabin","345  STERLING LN","East Caln",2003,"1991 or Later","2001-2010"
"4001 00272100","R-10","R - Single Family/Cabin","347  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00272200","R-10","R - Single Family/Cabin","349  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00272300","R-10","R - Single Family/Cabin","351  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00272400","R-10","R - Single Family/Cabin","353  STERLING LN","East Caln",2006,"1991 or Later","2001-2010"
"4001 00272700","R-10","R - Single Family/Cabin","342  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00272800","R-10","R - Single Family/Cabin","340  STERLING LN","East Caln",2005,"1991 or Later","2001-2010"
"4001 00300000","R-10","R - Single Family/Cabin","910  LIVINGSTON DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00310000","R-10","R - Single Family/Cabin","912  LIVINGSTON DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00320000","R-10","R - Single Family/Cabin","914  LIVINGSTON DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00330000","R-10","R - Single Family/Cabin","953  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00340000","R-10","R - Single Family/Cabin","955  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00350000","R-10","R - Single Family/Cabin","957  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00360000","R-10","R - Single Family/Cabin","959  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00370000","R-10","R - Single Family/Cabin","961  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00380000","R-10","R - Single Family/Cabin","963  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00390000","R-10","R - Single Family/Cabin","965  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00400000","R-10","R - Single Family/Cabin","964  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00410000","R-10","R - Single Family/Cabin","962  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00420000","R-10","R - Single Family/Cabin","960  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00430000","R-10","R - Single Family/Cabin","958  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00440000","R-10","R - Single Family/Cabin","956  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00450000","R-10","R - Single Family/Cabin","901  GEORGE PITT DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00460000","R-10","R - Single Family/Cabin","903  GEORGE PITT DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00470000","R-10","R - Single Family/Cabin","905  GEORGE PITT DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00480000","R-10","R - Single Family/Cabin","907  GEORGE PITT DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00490000","R-10","R - Single Family/Cabin","909  GEORGE PITT DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00500000","R-10","R - Single Family/Cabin","908  GEORGE PITT DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00510000","R-10","R - Single Family/Cabin","906  GEORGE PITT DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00520000","R-10","R - Single Family/Cabin","904  GEORGE PITT DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00530000","R-10","R - Single Family/Cabin","902  GEORGE PITT DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00540000","R-10","R - Single Family/Cabin","900  GEORGE PITT DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00550000","R-10","R - Single Family/Cabin","952  BURDETTE DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00560000","R-10","R - Single Family/Cabin","950  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00570000","R-10","R - Single Family/Cabin","948  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00580000","R-10","R - Single Family/Cabin","946  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00590000","R-10","R - Single Family/Cabin","944  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00600000","R-10","R - Single Family/Cabin","942  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00610000","R-10","R - Single Family/Cabin","940  KINGS ARMS DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00620000","R-10","R - Single Family/Cabin","938  KINGS ARMS DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00630000","R-10","R - Single Family/Cabin","936  KINGS ARMS DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00640000","R-10","R - Single Family/Cabin","931  KINGS ARMS DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00650000","R-10","R - Single Family/Cabin","947  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00660000","R-10","R - Single Family/Cabin","945  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00670000","R-10","R - Single Family/Cabin","943  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00680000","R-10","R - Single Family/Cabin","941  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00690000","R-10","R - Single Family/Cabin","939  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00700000","R-10","R - Single Family/Cabin","937  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00710000","R-10","R - Single Family/Cabin","935  BURDETTE DR","East Caln",1999,"1991 or Later","1991-2000"
"4001 00720000","R-10","R - Single Family/Cabin","903  LIVINGSTON DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00730000","R-10","R - Single Family/Cabin","905  LIVINGSTON DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00740000","R-10","R - Single Family/Cabin","907  LIVINGSTON DR","East Caln",2000,"1991 or Later","1991-2000"
"4001 00750000","R-10","R - Single Family/Cabin","909  LIVINGSTON DR","East Caln",2000,"1991 or Later","1991-2000"
"4001H00020000","R-10","R - Single Family/Cabin","6  MAGGIES LN","East Caln",1970,"Before 1991","1961-1970"
"4001H00030000","R-10","R - Single Family/Cabin","2  MAGGIES LN","East Caln",1971,"Before 1991","1971-1980"
