"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1704 00601100","R-10","R - Single Family/Cabin","808  BAUMAN CIR","East Coventry",2013,"1991 or Later","2011-2022"
"1704 00601200","R-10","R - Single Family/Cabin","810  BAUMAN CIR","East Coventry",2012,"1991 or Later","2011-2022"
"1704 00601300","R-10","R - Single Family/Cabin","809  BAUMAN CIR","East Coventry",2013,"1991 or Later","2011-2022"
"1704 00602200","R-10","R - Single Family/Cabin","923 E MILL CREEK WAY","East Coventry",2008,"1991 or Later","2001-2010"
"1801 00120000","R-10","R - Single Family/Cabin","280  SANATOGA RD","East Coventry",1978,"Before 1991","1971-1980"
"1801 00431900","R-90","A - Apt Complex (20 or more units","804  VAUGHN RD","East Coventry",1965,"Before 1991","1961-1970"
"1801 00431900","R-90","A - Apt Complex (20 or more units","804  VAUGHN RD","East Coventry",1965,"Before 1991","1961-1970"
"1801 00431900","R-90","A - Apt Complex (20 or more units","804  VAUGHN RD","East Coventry",1969,"Before 1991","1961-1970"
"1801 01110200","R-10","R - Single Family/Cabin","6  LUBOLD RD","East Coventry",2007,"1991 or Later","2001-2010"
"1801 01110300","R-10","R - Single Family/Cabin","10  LUBOLD RD","East Coventry",2008,"1991 or Later","2001-2010"
"1801 01110400","R-10","R - Single Family/Cabin","16  LUBOLD RD","East Coventry",2008,"1991 or Later","2001-2010"
"1801 01110500","R-10","R - Single Family/Cabin","22  LUBOLD RD","East Coventry",2008,"1991 or Later","2001-2010"
"1801 01110600","R-10","R - Single Family/Cabin","26  LUBOLD RD","East Coventry",2008,"1991 or Later","2001-2010"
"1801 01110700","R-10","R - Single Family/Cabin","30  LUBOLD RD","East Coventry",2008,"1991 or Later","2001-2010"
"1801 01110800","R-10","R - Single Family/Cabin","34  LUBOLD RD","East Coventry",2008,"1991 or Later","2001-2010"
"1801 01110900","R-10","R - Single Family/Cabin","38  LUBOLD RD","East Coventry",2008,"1991 or Later","2001-2010"
"1801 01111000","R-10","R - Single Family/Cabin","42  LUBOLD RD","East Coventry",2008,"1991 or Later","2001-2010"
"1801 01111200","R-10","R - Single Family/Cabin","50  LUBOLD RD","East Coventry",2008,"1991 or Later","2001-2010"
"1801 01111300","R-10","R - Single Family/Cabin","53  LUBOLD RD","East Coventry",2006,"1991 or Later","2001-2010"
"1801 01111400","R-10","R - Single Family/Cabin","45  LUBOLD RD","East Coventry",2008,"1991 or Later","2001-2010"
