"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3903R00170100","R-10","R - Single Family/Cabin","1441  ROBIN RD","East Fallowfield",1954,"Before 1991","1951-1960"
"3903R01370000","R-10","R - Single Family/Cabin","201  SEVENTEENTH AVE","East Fallowfield",1959,"Before 1991","1951-1960"
"4701 00010000","R-10","R - Single Family/Cabin","1801  WEST CHESTER RD","East Fallowfield",1943,"Before 1991","1950 or older"
"4701Q00070000","R-10","R - Single Family/Cabin","1300  ROBIN RD","East Fallowfield",1956,"Before 1991","1951-1960"
"4701Q00090000","R-10","R - Single Family/Cabin","1405  CARDINAL DR","East Fallowfield",1956,"Before 1991","1951-1960"
"4701R00010000","R-10","R - Single Family/Cabin","1415  ROBIN RD","East Fallowfield",1952,"Before 1991","1951-1960"
"4701R00030000","R-10","R - Single Family/Cabin","1501  ROBIN RD","East Fallowfield",1956,"Before 1991","1951-1960"
"4701R00040000","R-10","R - Single Family/Cabin","1505  ROBIN RD","East Fallowfield",1984,"Before 1991","1981-1990"
"4701R00050000","R-10","R - Single Family/Cabin","1509  ROBIN RD","East Fallowfield",1955,"Before 1991","1951-1960"
"4701R00060000","R-10","R - Single Family/Cabin","1515  ROBIN RD","East Fallowfield",1956,"Before 1991","1951-1960"
"4701R00070000","R-10","R - Single Family/Cabin","1521  ROBIN RD","East Fallowfield",1957,"Before 1991","1951-1960"
"4701R00080000","R-10","R - Single Family/Cabin","1601  ROBIN RD","East Fallowfield",1955,"Before 1991","1951-1960"
"4701R00090000","R-10","R - Single Family/Cabin","1647  ROBIN RD","East Fallowfield",1957,"Before 1991","1951-1960"
"4701R00100000","R-10","R - Single Family/Cabin","1695  ROBIN RD","East Fallowfield",1956,"Before 1991","1951-1960"
"4701R00110000","R-10","R - Single Family/Cabin","1701  VALMONT DR","East Fallowfield",1969,"Before 1991","1961-1970"
"4701R00120100","R-10","R - Single Family/Cabin","285 S SEVENTEENTH AVE","East Fallowfield",1957,"Before 1991","1951-1960"
"4701R00140000","R-10","R - Single Family/Cabin","1703  VALMONT DR","East Fallowfield",1953,"Before 1991","1951-1960"
"4701R00150000","R-10","R - Single Family/Cabin","1705  VALMONT DR","East Fallowfield",1954,"Before 1991","1951-1960"
"4701R00160000","R-10","R - Single Family/Cabin","1707  VALMONT DR","East Fallowfield",1953,"Before 1991","1951-1960"
"4701R00170000","R-10","R - Single Family/Cabin","1706  REED ST","East Fallowfield",1980,"Before 1991","1971-1980"
"4701R00170100","R-10","R - Single Family/Cabin","1709  VALMONT DR","East Fallowfield",1954,"Before 1991","1951-1960"
"4701R00170200","R-10","R - Single Family/Cabin","1708  REED ST","East Fallowfield",1974,"Before 1991","1971-1980"
