"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"5301 00040200","R-10","R - Single Family/Cabin","1202  JOSHUA DR","East Goshen",1990,"Before 1991","1981-1990"
"5301 00040300","R-10","R - Single Family/Cabin","1204  JOSHUA DR","East Goshen",1993,"1991 or Later","1991-2000"
"5301 00040400","R-10","R - Single Family/Cabin","1206  JOSHUA DR","East Goshen",1992,"1991 or Later","1991-2000"
"5301 00040500","R-10","R - Single Family/Cabin","1208  JOSHUA DR","East Goshen",1993,"1991 or Later","1991-2000"
"5301 00040600","R-10","R - Single Family/Cabin","1205  JOSHUA DR","East Goshen",1995,"1991 or Later","1991-2000"
"5301 00040800","R-10","R - Single Family/Cabin","1203  JOSHUA DR","East Goshen",1993,"1991 or Later","1991-2000"
"5301 00060000","R-10","R - Single Family/Cabin","1319  GREENHILL RD","East Goshen",1993,"1991 or Later","1991-2000"
"5301 00060100","R-10","R - Single Family/Cabin","1317  GREENHILL RD","East Goshen",1993,"1991 or Later","1991-2000"
"5301 00070000","R-10","R - Single Family/Cabin","1329  GREENHILL RD","East Goshen",1957,"Before 1991","1951-1960"
"5301 00080000","R-10","R - Single Family/Cabin","1321  GREENHILL RD","East Goshen",1959,"Before 1991","1951-1960"
"5301 001002A0","R-10","R - Single Family/Cabin","1244  KILLERN LN","East Goshen",1993,"1991 or Later","1991-2000"
"5301 001002B0","R-10","R - Single Family/Cabin","1242  KILLERN LN","East Goshen",1993,"1991 or Later","1991-2000"
"5301 001002C0","R-10","R - Single Family/Cabin","1240  KILLERN LN","East Goshen",1993,"1991 or Later","1991-2000"
"5301 001002D0","R-10","R - Single Family/Cabin","1235  KILLERN LN","East Goshen",1993,"1991 or Later","1991-2000"
"5301 001002E0","R-10","R - Single Family/Cabin","1237  KILLERN LN","East Goshen",1993,"1991 or Later","1991-2000"
"5301 001002F0","R-10","R - Single Family/Cabin","1239  KILLERN LN","East Goshen",1993,"1991 or Later","1991-2000"
"5301 001002G0","R-10","R - Single Family/Cabin","1241  KILLERN LN","East Goshen",1993,"1991 or Later","1991-2000"
"5301 001002H0","R-10","R - Single Family/Cabin","1243  KILLERN LN","East Goshen",1993,"1991 or Later","1991-2000"
"5301 001002J0","R-10","R - Single Family/Cabin","1245  KILLERN LN","East Goshen",1993,"1991 or Later","1991-2000"
"5301 00110000","R-10","R - Single Family/Cabin","1241  GREAT OAK CIR","East Goshen",1995,"1991 or Later","1991-2000"
"5301 00110100","R-10","R - Single Family/Cabin","1344  MORSTEIN RD","East Goshen",1961,"Before 1991","1961-1970"
"5301 00110200","R-10","R - Single Family/Cabin","1346  MORSTEIN RD","East Goshen",1983,"Before 1991","1981-1990"
"5301 00110400","R-10","R - Single Family/Cabin","1235  GREAT OAK CIR","East Goshen",2003,"1991 or Later","2001-2010"
"5301 00110500","R-10","R - Single Family/Cabin","1239  GREAT OAK CIR","East Goshen",1998,"1991 or Later","1991-2000"
"5301 00120000","R-10","R - Single Family/Cabin","1350  MORSTEIN RD","East Goshen",1985,"Before 1991","1981-1990"
"5301 00120100","R-10","R - Single Family/Cabin","1342  MORSTEIN RD","East Goshen",1968,"Before 1991","1961-1970"
"5301 00130000","R-10","R - Single Family/Cabin","1352  MORSTEIN RD","East Goshen",1959,"Before 1991","1951-1960"
"5301 00210000","R-10","R - Single Family/Cabin","1431  GREENHILL RD","East Goshen",1989,"Before 1991","1981-1990"
"5301 00230100","R-55","R - Town House (Common Law Condo)","1559  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00230200","R-55","R - Town House (Common Law Condo)","1560  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00230300","R-55","R - Town House (Common Law Condo)","1561  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00230400","R-55","R - Town House (Common Law Condo)","1562  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00230500","R-55","R - Town House (Common Law Condo)","1563  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00230600","R-55","R - Town House (Common Law Condo)","1564  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00230700","R-55","R - Town House (Common Law Condo)","1565  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00230800","R-55","R - Town House (Common Law Condo)","1566  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00230900","R-55","R - Town House (Common Law Condo)","1567  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00231000","R-55","R - Town House (Common Law Condo)","1568  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00231100","R-55","R - Town House (Common Law Condo)","1569  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00231200","R-55","R - Town House (Common Law Condo)","1570  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00231300","R-55","R - Town House (Common Law Condo)","1571  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00231400","R-55","R - Town House (Common Law Condo)","1572  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00231500","R-55","R - Town House (Common Law Condo)","1573  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00231600","R-55","R - Town House (Common Law Condo)","1574  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00231700","R-55","R - Town House (Common Law Condo)","1575  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00231800","R-55","R - Town House (Common Law Condo)","1576  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00231900","R-55","R - Town House (Common Law Condo)","1577  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00232000","R-55","R - Town House (Common Law Condo)","1578  VASSAR CRT","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00240000","R-10","R - Single Family/Cabin","1202  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00250000","R-10","R - Single Family/Cabin","1204  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00260000","R-10","R - Single Family/Cabin","1206  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00270000","R-10","R - Single Family/Cabin","1208  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00280000","R-10","R - Single Family/Cabin","1210  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00290000","R-10","R - Single Family/Cabin","1212  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00300000","R-10","R - Single Family/Cabin","1214  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00310000","R-10","R - Single Family/Cabin","1217  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00320000","R-10","R - Single Family/Cabin","1215  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00330000","R-10","R - Single Family/Cabin","1213  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00340000","R-10","R - Single Family/Cabin","1211  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00350000","R-10","R - Single Family/Cabin","1209  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00360000","R-10","R - Single Family/Cabin","1207  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00370000","R-10","R - Single Family/Cabin","1205  CULBERTSON CIR","East Goshen",1998,"1991 or Later","1991-2000"
"5301 00380000","R-10","R - Single Family/Cabin","1203  CULBERTSON CIR","East Goshen",1999,"1991 or Later","1991-2000"
"5301 00390000","R-10","R - Single Family/Cabin","1201  CULBERTSON CIR","East Goshen",2000,"1991 or Later","1991-2000"
"5301 00400000","R-10","R - Single Family/Cabin","1241  EASTWICK CIR","East Goshen",2000,"1991 or Later","1991-2000"
"5301 00410000","R-10","R - Single Family/Cabin","1243  EASTWICK CIR","East Goshen",2000,"1991 or Later","1991-2000"
