"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"4905 00220700","R-10","R - Single Family/Cabin","300  LAURALI DR","East Marlborough",2013,"1991 or Later","2011-2022"
"6102 00500600","R-10","R - Single Family/Cabin","827  MEADOWVIEW DR","East Marlborough",1978,"Before 1991","1971-1980"
"6102 00510100","R-10","R - Single Family/Cabin","841  OAK TREE RD","East Marlborough",2010,"1991 or Later","2001-2010"
"6102 00510200","R-10","R - Single Family/Cabin","835  OAK TREE RD","East Marlborough",2012,"1991 or Later","2011-2022"
"6102 005801A0","R-10","R - Single Family/Cabin","101  GLENELG FARM DR","East Marlborough",2014,"1991 or Later","2011-2022"
"6102 005801B0","R-10","R - Single Family/Cabin","103  GLENELG FARM DR","East Marlborough",2013,"1991 or Later","2011-2022"
"6102 005801C0","R-10","R - Single Family/Cabin","105  GLENELG FARM DR","East Marlborough",2006,"1991 or Later","2001-2010"
"6102 005801D0","R-10","R - Single Family/Cabin","107  GLENELG FARM DR","East Marlborough",2023,"1991 or Later","2011-2022"
"6102 005801E0","R-10","R - Single Family/Cabin","109  GLENELG FARM DR","East Marlborough",2007,"1991 or Later","2001-2010"
"6102 005801F0","R-10","R - Single Family/Cabin","111  GLENELG FARM DR","East Marlborough",2018,"1991 or Later","2011-2022"
"6102 005801G0","R-10","R - Single Family/Cabin","112  GLENELG FARM DR","East Marlborough",2014,"1991 or Later","2011-2022"
"6102 005801H0","R-10","R - Single Family/Cabin","110  GLENELG FARM DR","East Marlborough",2009,"1991 or Later","2001-2010"
"6102 005801J0","R-10","R - Single Family/Cabin","108  GLENELG FARM DR","East Marlborough",2013,"1991 or Later","2011-2022"
"6102 005801K0","R-10","R - Single Family/Cabin","203  LAURALI DR","East Marlborough",2007,"1991 or Later","2001-2010"
"6102 005801M0","R-10","R - Single Family/Cabin","204  LAURALI DR","East Marlborough",2015,"1991 or Later","2011-2022"
"6102N00260100","R-10","R - Single Family/Cabin","1670 W DOE RUN RD","East Marlborough",1900,"Before 1991","1950 or older"
"6102P00370000","R-10","R - Single Family/Cabin","108  SOLTNER DR","East Marlborough",1993,"1991 or Later","1991-2000"
"6102P00380000","R-10","R - Single Family/Cabin","106  SOLTNER DR","East Marlborough",1992,"1991 or Later","1991-2000"
"6102P00460000","R-10","R - Single Family/Cabin","813  WILLIAM THOMAS DR","East Marlborough",1986,"Before 1991","1981-1990"
"6102P00500000","R-10","R - Single Family/Cabin","100  CHRISTIE LN","East Marlborough",1987,"Before 1991","1981-1990"
"6103 000102C0","R-10","R - Single Family/Cabin","805  ROBERTS WAY","East Marlborough",1994,"1991 or Later","1991-2000"
"6105 00165600","R-10","R - Single Family/Cabin","749  UNIONVILLE RD","East Marlborough",1986,"Before 1991","1981-1990"
"6105 00290100","R-50","R - Condominium","106  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00290200","R-50","R - Condominium","108  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00290300","R-50","R - Condominium","102  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00290400","R-50","R - Condominium","104  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00290500","R-50","R - Condominium","202  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00290600","R-50","R - Condominium","204  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00290700","R-50","R - Condominium","206  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00290800","R-50","R - Condominium","208  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00290900","R-50","R - Condominium","210  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00291000","R-50","R - Condominium","212  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00291100","R-50","R - Condominium","302  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00291200","R-50","R - Condominium","304  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00291300","R-50","R - Condominium","306  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00291400","R-50","R - Condominium","308  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00291500","R-50","R - Condominium","310  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00291600","R-50","R - Condominium","312  RIVER BIRCH CIR","East Marlborough",2004,"1991 or Later","2001-2010"
"6105 00350100","R-10","R - Single Family/Cabin","2  IVYSTONE PL","East Marlborough",2002,"1991 or Later","2001-2010"
"6105 00350200","R-10","R - Single Family/Cabin","3  IVYSTONE PL","East Marlborough",2002,"1991 or Later","2001-2010"
"6105 00420100","R-10","R - Single Family/Cabin","743  UNIONVILLE RD","East Marlborough",1966,"Before 1991","1961-1970"
"6105 00420200","R-10","R - Single Family/Cabin","741  UNIONVILLE RD","East Marlborough",1966,"Before 1991","1961-1970"
"6105 00420300","R-10","R - Single Family/Cabin","739  UNIONVILLE RD","East Marlborough",1965,"Before 1991","1961-1970"
"6105 00420400","R-10","R - Single Family/Cabin","737  UNIONVILLE RD","East Marlborough",1967,"Before 1991","1961-1970"
"6105 00460000","R-10","R - Single Family/Cabin","700  WILLOWDALE LN","East Marlborough",1850,"Before 1991","1950 or older"
"6105 00470000","R-10","R - Single Family/Cabin","223 E STREET RD","East Marlborough",1900,"Before 1991","1950 or older"
"6105 00480000","R-10","R - Single Family/Cabin","96  VIOLET DR","East Marlborough",1900,"Before 1991","1950 or older"
"6105 00480300","R-10","R - Single Family/Cabin","245  KATSURA DR","East Marlborough",2001,"1991 or Later","2001-2010"
"6105 00480400","R-10","R - Single Family/Cabin","243  KATSURA DR","East Marlborough",2001,"1991 or Later","2001-2010"
"6105 00480500","R-10","R - Single Family/Cabin","241  KATSURA DR","East Marlborough",2001,"1991 or Later","2001-2010"
"6105 00480600","R-10","R - Single Family/Cabin","239  KATSURA DR","East Marlborough",2001,"1991 or Later","2001-2010"
