"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"2403 01000000","R-10","R - Single Family/Cabin","37  BROWNSTONE LN","East Nantmeal",2015,"1991 or Later","2011-2022"
"2403 01010000","R-10","R - Single Family/Cabin","39  BROWNSTONE LN","East Nantmeal",2013,"1991 or Later","2011-2022"
"2403 01020000","R-10","R - Single Family/Cabin","61  BROWNSTONE LN","East Nantmeal",2003,"1991 or Later","2001-2010"
"2403 01030000","R-10","R - Single Family/Cabin","63  BROWNSTONE LN","East Nantmeal",2006,"1991 or Later","2001-2010"
"2403 01040000","R-10","R - Single Family/Cabin","99  BROWNSTONE LN","East Nantmeal",2021,"1991 or Later","2011-2022"
"2403 01060100","R-10","R - Single Family/Cabin","69  BROWNSTONE LN","East Nantmeal",2006,"1991 or Later","2001-2010"
"2403 01080000","R-10","R - Single Family/Cabin","202  PRIVET LN","East Nantmeal",2019,"1991 or Later","2011-2022"
"2403 01110000","R-10","R - Single Family/Cabin","208  PRIVET LN","East Nantmeal",2023,"1991 or Later","2011-2022"
"2403 01120000","R-10","R - Single Family/Cabin","62  BROWNSTONE LN","East Nantmeal",2007,"1991 or Later","2001-2010"
"2403 01170000","R-10","R - Single Family/Cabin","82  BROWNSTONE LN","East Nantmeal",2013,"1991 or Later","2011-2022"
"2403 01230000","R-10","R - Single Family/Cabin","89  BROWNSTONE LN","East Nantmeal",2018,"1991 or Later","2011-2022"
"2403 01270000","R-10","R - Single Family/Cabin","104  ORCHARD HILL LN","East Nantmeal",2005,"1991 or Later","2001-2010"
"2403 01280000","R-10","R - Single Family/Cabin","106  ORCHARD HILL LN","East Nantmeal",2007,"1991 or Later","2001-2010"
"2403 01290000","R-10","R - Single Family/Cabin","108  ORCHARD HILL LN","East Nantmeal",2006,"1991 or Later","2001-2010"
"2403 01300000","R-10","R - Single Family/Cabin","107  ORCHARD HILL LN","East Nantmeal",2011,"1991 or Later","2011-2022"
"2403 01310000","R-10","R - Single Family/Cabin","103  ORCHARD HILL LN","East Nantmeal",2021,"1991 or Later","2011-2022"
"2408 000601A0","R-10","R - Single Family/Cabin","3494  CONESTOGA RD","East Nantmeal",2003,"1991 or Later","2001-2010"
