"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0607 00050700","R-10","R - Single Family/Cabin","753 W LOCUST ST","East Nottingham",1969,"Before 1991","1961-1970"
"0607 00140000","R-10","R - Single Family/Cabin","610 W LOCUST ST","East Nottingham",1957,"Before 1991","1951-1960"
"6902 00190000","R-10","R - Single Family/Cabin","457  FIFTH ST","East Nottingham",1929,"Before 1991","1950 or older"
"6902 00190100","R-10","R - Single Family/Cabin","465  FIFTH ST","East Nottingham",1958,"Before 1991","1951-1960"
"6902 00890200","R-10","R - Single Family/Cabin","136  WEDGEWOOD RD","East Nottingham",2000,"1991 or Later","1991-2000"
"6902 00890300","R-10","R - Single Family/Cabin","138  WEDGEWOOD RD","East Nottingham",2000,"1991 or Later","1991-2000"
"6902 00890400","R-10","R - Single Family/Cabin","100  WINSTON WAY","East Nottingham",2001,"1991 or Later","2001-2010"
"6902 00890500","R-10","R - Single Family/Cabin","104  WINSTON WAY","East Nottingham",2000,"1991 or Later","1991-2000"
"6902 00890600","R-10","R - Single Family/Cabin","106  WINSTON WAY","East Nottingham",2000,"1991 or Later","1991-2000"
"6902 00890700","R-10","R - Single Family/Cabin","200  SHEFFIELD LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6902 00890800","R-10","R - Single Family/Cabin","202  SHEFFIELD LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6902 00900100","R-10","R - Single Family/Cabin","105  WINSTON WAY","East Nottingham",2000,"1991 or Later","1991-2000"
"6902 00900200","R-10","R - Single Family/Cabin","103  WINSTON WAY","East Nottingham",1999,"1991 or Later","1991-2000"
"6902 00900300","R-10","R - Single Family/Cabin","142  WEDGEWOOD RD","East Nottingham",2000,"1991 or Later","1991-2000"
"6902Q00010000","R-10","R - Single Family/Cabin","422  PENN AVE","East Nottingham",1900,"Before 1991","1950 or older"
"6902Q00020000","R-20","R - Two Family","424 S THIRD ST","East Nottingham",1920,"Before 1991","1950 or older"
"6902Q00040000","R-10","R - Single Family/Cabin","2109  BALTIMORE PK","East Nottingham",1890,"Before 1991","1950 or older"
"6902Q00060000","R-10","R - Single Family/Cabin","2117  BALTIMORE PK","East Nottingham",1900,"Before 1991","1950 or older"
"6902Q00070000","R-10","R - Single Family/Cabin","2125  BALTIMORE PK","East Nottingham",1946,"Before 1991","1950 or older"
"6902Q00180100","R-10","R - Single Family/Cabin","125  MOUNT PLEASANT RD","East Nottingham",2010,"1991 or Later","2001-2010"
"6902R00020000","R-10","R - Single Family/Cabin","141  GRANT ST","East Nottingham",1995,"1991 or Later","1991-2000"
"6902R00050000","R-10","R - Single Family/Cabin","153  GRANT ST","East Nottingham",1940,"Before 1991","1950 or older"
"6902R00060000","R-10","R - Single Family/Cabin","415  FRANKLIN ST","East Nottingham",1930,"Before 1991","1950 or older"
"6902R00070100","R-10","R - Single Family/Cabin","412  NOTTINGHAM AVE","East Nottingham",1920,"Before 1991","1950 or older"
"6902R00100000","R-10","R - Single Family/Cabin","413  NOTTINGHAM AVE","East Nottingham",1920,"Before 1991","1950 or older"
"6902R00120000","R-10","R - Single Family/Cabin","416  FIFTH ST","East Nottingham",1920,"Before 1991","1950 or older"
"6902R00140000","R-10","R - Single Family/Cabin","412 S FIFTH ST","East Nottingham",1920,"Before 1991","1950 or older"
"6902R00150000","R-10","R - Single Family/Cabin","413  FIFTH ST","East Nottingham",1925,"Before 1991","1950 or older"
"6902R00160000","R-10","R - Single Family/Cabin","415 S FIFTH ST","East Nottingham",1925,"Before 1991","1950 or older"
"6902R00170000","R-10","R - Single Family/Cabin","417  FIFTH ST","East Nottingham",1962,"Before 1991","1961-1970"
