"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"2601 00160100","R-10","R - Single Family/Cabin","728  PIKELAND AVE","East Pikeland",1920,"Before 1991","1950 or older"
"2601 00610100","R-10","R - Single Family/Cabin","129  VERDANT DR","East Pikeland",2009,"1991 or Later","2001-2010"
"2601 00610200","R-10","R - Single Family/Cabin","127  VERDANT DR","East Pikeland",2009,"1991 or Later","2001-2010"
"2601 00610300","R-10","R - Single Family/Cabin","125  VERDANT DR","East Pikeland",2010,"1991 or Later","2001-2010"
"2601 00610400","R-10","R - Single Family/Cabin","123  VERDANT DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00610500","R-10","R - Single Family/Cabin","121  VERDANT DR","East Pikeland",2010,"1991 or Later","2001-2010"
"2601 00610600","R-10","R - Single Family/Cabin","119  VERDANT DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00610700","R-10","R - Single Family/Cabin","117  VERDANT DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00610800","R-10","R - Single Family/Cabin","115  VERDANT DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00610900","R-10","R - Single Family/Cabin","113  VERDANT DR","East Pikeland",2009,"1991 or Later","2001-2010"
"2601 00611000","R-10","R - Single Family/Cabin","111  VERDANT DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00611100","R-10","R - Single Family/Cabin","109  VERDANT DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00611200","R-10","R - Single Family/Cabin","107  VERDANT DR","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00611300","R-10","R - Single Family/Cabin","105  VERDANT DR","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00611400","R-10","R - Single Family/Cabin","103  VERDANT DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00611500","R-10","R - Single Family/Cabin","216  CLOVER LN","East Pikeland",2010,"1991 or Later","2001-2010"
"2601 00611600","R-10","R - Single Family/Cabin","219  CLOVER LN","East Pikeland",2011,"1991 or Later","2011-2022"
"2601 00611700","R-10","R - Single Family/Cabin","217  CLOVER LN","East Pikeland",2010,"1991 or Later","2001-2010"
"2601 00611800","R-10","R - Single Family/Cabin","215  CLOVER LN","East Pikeland",2010,"1991 or Later","2001-2010"
"2601 00611900","R-10","R - Single Family/Cabin","213  CLOVER LN","East Pikeland",2010,"1991 or Later","2001-2010"
"2601 00612000","R-10","R - Single Family/Cabin","211  CLOVER LN","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00612100","R-10","R - Single Family/Cabin","102  VERDANT DR","East Pikeland",2007,"1991 or Later","2001-2010"
"2601 00612200","R-10","R - Single Family/Cabin","104  VERDANT DR","East Pikeland",2011,"1991 or Later","2011-2022"
"2601 00612300","R-10","R - Single Family/Cabin","106  VERDANT DR","East Pikeland",2009,"1991 or Later","2001-2010"
"2601 00612400","R-10","R - Single Family/Cabin","108  VERDANT DR","East Pikeland",2007,"1991 or Later","2001-2010"
"2601 00612500","R-10","R - Single Family/Cabin","110  VERDANT DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00612600","R-10","R - Single Family/Cabin","112  VERDANT DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00612700","R-10","R - Single Family/Cabin","114  VERDANT DR","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00612800","R-10","R - Single Family/Cabin","116  VERDANT DR","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00612900","R-10","R - Single Family/Cabin","118  VERDANT DR","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00613000","R-10","R - Single Family/Cabin","120  VERDANT DR","East Pikeland",2009,"1991 or Later","2001-2010"
"2601 00613100","R-10","R - Single Family/Cabin","122  VERDANT DR","East Pikeland",2011,"1991 or Later","2011-2022"
"2601 00613200","R-10","R - Single Family/Cabin","124  VERDANT DR","East Pikeland",2009,"1991 or Later","2001-2010"
"2601 00613300","R-10","R - Single Family/Cabin","126  VERDANT DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00613400","R-10","R - Single Family/Cabin","128  VERDANT DR","East Pikeland",2010,"1991 or Later","2001-2010"
"2601 00613500","R-10","R - Single Family/Cabin","130  VERDANT DR","East Pikeland",2011,"1991 or Later","2011-2022"
"2601 00613600","R-10","R - Single Family/Cabin","132  VERDANT DR","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00613700","R-10","R - Single Family/Cabin","134  VERDANT DR","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00613800","R-10","R - Single Family/Cabin","208  CLOVER LN","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00613900","R-10","R - Single Family/Cabin","206  CLOVER LN","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00614000","R-10","R - Single Family/Cabin","204  CLOVER LN","East Pikeland",2009,"1991 or Later","2001-2010"
"2601 00614100","R-10","R - Single Family/Cabin","202  CLOVER LN","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00614200","R-10","R - Single Family/Cabin","209  CLOVER LN","East Pikeland",2009,"1991 or Later","2001-2010"
"2601 00614300","R-10","R - Single Family/Cabin","207  CLOVER LN","East Pikeland",2011,"1991 or Later","2011-2022"
"2601 00614400","R-10","R - Single Family/Cabin","205  CLOVER LN","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00614500","R-10","R - Single Family/Cabin","203  CLOVER LN","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00614600","R-10","R - Single Family/Cabin","201  CLOVER LN","East Pikeland",2011,"1991 or Later","2011-2022"
"2601 00614700","R-10","R - Single Family/Cabin","302  FAWN LN","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00614800","R-10","R - Single Family/Cabin","304  FAWN LN","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00614900","R-10","R - Single Family/Cabin","306  FAWN LN","East Pikeland",2010,"1991 or Later","2001-2010"
"2601 00615000","R-10","R - Single Family/Cabin","308  FAWN LN","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00615100","R-10","R - Single Family/Cabin","309  FAWN LN","East Pikeland",2011,"1991 or Later","2011-2022"
"2601 00615200","R-10","R - Single Family/Cabin","307  FAWN LN","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00615300","R-10","R - Single Family/Cabin","305  FAWN LN","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00615400","R-10","R - Single Family/Cabin","303  FAWN LN","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00615500","R-10","R - Single Family/Cabin","301  FAWN LN","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00615600","R-10","R - Single Family/Cabin","401  THISTLE DR","East Pikeland",2007,"1991 or Later","2001-2010"
"2601 00615700","R-10","R - Single Family/Cabin","403  THISTLE DR","East Pikeland",2007,"1991 or Later","2001-2010"
"2601 00615900","R-10","R - Single Family/Cabin","411  THISTLE DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00616000","R-10","R - Single Family/Cabin","414  THISTLE DR","East Pikeland",2011,"1991 or Later","2011-2022"
"2601 00616100","R-10","R - Single Family/Cabin","412  THISTLE DR","East Pikeland",2007,"1991 or Later","2001-2010"
"2601 00616200","R-10","R - Single Family/Cabin","410  THISTLE DR","East Pikeland",2010,"1991 or Later","2001-2010"
"2601 00616300","R-10","R - Single Family/Cabin","408  THISTLE DR","East Pikeland",2008,"1991 or Later","2001-2010"
"2601 00616400","R-10","R - Single Family/Cabin","406  THISTLE DR","East Pikeland",2011,"1991 or Later","2011-2022"
"2601 00616500","R-10","R - Single Family/Cabin","404  THISTLE DR","East Pikeland",2012,"1991 or Later","2011-2022"
"2601 00616600","R-10","R - Single Family/Cabin","402  THISTLE DR","East Pikeland",2011,"1991 or Later","2011-2022"
"2601 00616700","R-10","R - Single Family/Cabin","400  THISTLE DR","East Pikeland",2007,"1991 or Later","2001-2010"
"2601 00850000","R-10","R - Single Family/Cabin","1052  SPRING CITY RD","East Pikeland",1971,"Before 1991","1971-1980"
"2602 00190000","R-60","R - Dwelling W/Comm Use Primary R","62  RIDGE RD","East Pikeland",1952,"Before 1991","1951-1960"
"2602 00290200","R-10","R - Single Family/Cabin","100  HERITAGE CRT","East Pikeland",2003,"1991 or Later","2001-2010"
"2602 00300100","R-10","R - Single Family/Cabin","101  HERITAGE CRT","East Pikeland",2004,"1991 or Later","2001-2010"
"2602 003001A0","R-10","R - Single Family/Cabin","103  HERITAGE CRT","East Pikeland",2003,"1991 or Later","2001-2010"
"2602 003001B0","R-10","R - Single Family/Cabin","105  HERITAGE CRT","East Pikeland",2003,"1991 or Later","2001-2010"
"2602 003001C0","R-10","R - Single Family/Cabin","107  HERITAGE CRT","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 003001D0","R-10","R - Single Family/Cabin","109  HERITAGE CRT","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 003001E0","R-10","R - Single Family/Cabin","111  HERITAGE CRT","East Pikeland",2003,"1991 or Later","2001-2010"
"2602 003001F0","R-10","R - Single Family/Cabin","113  HERITAGE CRT","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 003001G0","R-10","R - Single Family/Cabin","115  HERITAGE CRT","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 003001H0","R-10","R - Single Family/Cabin","117  HERITAGE CRT","East Pikeland",2003,"1991 or Later","2001-2010"
"2602 003001J0","R-10","R - Single Family/Cabin","110  HERITAGE CRT","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 003001K0","R-10","R - Single Family/Cabin","108  HERITAGE CRT","East Pikeland",2003,"1991 or Later","2001-2010"
"2602 003001L0","R-10","R - Single Family/Cabin","106  HERITAGE CRT","East Pikeland",2003,"1991 or Later","2001-2010"
"2602 003001M0","R-10","R - Single Family/Cabin","104  HERITAGE CRT","East Pikeland",2004,"1991 or Later","2001-2010"
"2602 003001N0","R-10","R - Single Family/Cabin","102  HERITAGE CRT","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 00550200","R-10","R - Single Family/Cabin","101  BRIMFUL DR","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00550300","R-10","R - Single Family/Cabin","103  BRIMFUL DR","East Pikeland",1999,"1991 or Later","1991-2000"
"2602 00550400","R-10","R - Single Family/Cabin","105  BRIMFUL DR","East Pikeland",1999,"1991 or Later","1991-2000"
"2602 00550500","R-10","R - Single Family/Cabin","107  BRIMFUL DR","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00550600","R-10","R - Single Family/Cabin","109  BRIMFUL DR","East Pikeland",1999,"1991 or Later","1991-2000"
"2602 00550700","R-10","R - Single Family/Cabin","111  BRIMFUL DR","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00550800","R-10","R - Single Family/Cabin","113  BRIMFUL DR","East Pikeland",1999,"1991 or Later","1991-2000"
"2602 00550900","R-10","R - Single Family/Cabin","115  BRIMFUL DR","East Pikeland",1999,"1991 or Later","1991-2000"
"2602 00551000","R-10","R - Single Family/Cabin","117  BRIMFUL DR","East Pikeland",1999,"1991 or Later","1991-2000"
"2602 00551100","R-10","R - Single Family/Cabin","119  BRIMFUL DR","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00551200","R-10","R - Single Family/Cabin","121  BRIMFUL DR","East Pikeland",1999,"1991 or Later","1991-2000"
"2602 00551300","R-10","R - Single Family/Cabin","123  BRIMFUL DR","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00551400","R-10","R - Single Family/Cabin","125  BRIMFUL DR","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00551500","R-10","R - Single Family/Cabin","124  BRIMFUL DR","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00551600","R-10","R - Single Family/Cabin","122  BRIMFUL DR","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00551700","R-10","R - Single Family/Cabin","120  BRIMFUL DR","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00551800","R-10","R - Single Family/Cabin","118  BRIMFUL DR","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00551900","R-10","R - Single Family/Cabin","116  BRIMFUL DR","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00552000","R-10","R - Single Family/Cabin","114  BRIMFUL DR","East Pikeland",1999,"1991 or Later","1991-2000"
"2602 00552100","R-10","R - Single Family/Cabin","112  BRIMFUL DR","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00552200","R-10","R - Single Family/Cabin","110  BRIMFUL DR","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00552300","R-10","R - Single Family/Cabin","108  BRIMFUL DR","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00552400","R-10","R - Single Family/Cabin","106  BRIMFUL DR","East Pikeland",1999,"1991 or Later","1991-2000"
"2602 00552500","R-10","R - Single Family/Cabin","104  BRIMFUL DR","East Pikeland",1999,"1991 or Later","1991-2000"
"2602 00552600","R-10","R - Single Family/Cabin","102  BRIMFUL DR","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00553100","R-10","R - Single Family/Cabin","201  DYLAN LN","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 00553200","R-10","R - Single Family/Cabin","203  DYLAN LN","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 00553300","R-10","R - Single Family/Cabin","205  DYLAN LN","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00553400","R-10","R - Single Family/Cabin","207  DYLAN LN","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00553500","R-10","R - Single Family/Cabin","209  DYLAN LN","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00553600","R-10","R - Single Family/Cabin","211  DYLAN LN","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00553700","R-10","R - Single Family/Cabin","213  DYLAN LN","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00553800","R-10","R - Single Family/Cabin","215  DYLAN LN","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00553900","R-10","R - Single Family/Cabin","217  DYLAN LN","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 00554000","R-10","R - Single Family/Cabin","216  DYLAN LN","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00554100","R-10","R - Single Family/Cabin","214  DYLAN LN","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00554200","R-10","R - Single Family/Cabin","212  DYLAN LN","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 00554300","R-10","R - Single Family/Cabin","210  DYLAN LN","East Pikeland",2001,"1991 or Later","2001-2010"
"2602 00554400","R-10","R - Single Family/Cabin","208  DYLAN LN","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 00554500","R-10","R - Single Family/Cabin","206  DYLAN LN","East Pikeland",2000,"1991 or Later","1991-2000"
"2602 00554600","R-10","R - Single Family/Cabin","204  DYLAN LN","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 00554700","R-10","R - Single Family/Cabin","202  DYLAN LN","East Pikeland",2002,"1991 or Later","2001-2010"
"2602 00960100","R-10","R - Single Family/Cabin","177  CAMP COUNCIL RD","East Pikeland",2015,"1991 or Later","2011-2022"
"2602 00960200","R-10","R - Single Family/Cabin","175  CAMP COUNCIL RD","East Pikeland",2015,"1991 or Later","2011-2022"
"2602 01420000","R-10","R - Single Family/Cabin","108  KIMBERBRAE DR","East Pikeland",1982,"Before 1991","1981-1990"
"2602 01420300","R-10","R - Single Family/Cabin","104  KIMBERBRAE DR","East Pikeland",1971,"Before 1991","1971-1980"
"2602 014203A0","R-10","R - Single Family/Cabin","106  KIMBERBRAE DR","East Pikeland",1993,"1991 or Later","1991-2000"
"2602 014203B0","R-10","R - Single Family/Cabin","102  KIMBERBRAE DR","East Pikeland",1994,"1991 or Later","1991-2000"
"2602 01420400","R-10","R - Single Family/Cabin","122  KIMBERBRAE DR","East Pikeland",1968,"Before 1991","1961-1970"
"2602 014204A0","R-10","R - Single Family/Cabin","124  KIMBERBRAE DR","East Pikeland",1993,"1991 or Later","1991-2000"
"2602 014205C0","R-10","R - Single Family/Cabin","107  KIMBERBRAE DR","East Pikeland",1993,"1991 or Later","1991-2000"
"2602 014205D0","R-10","R - Single Family/Cabin","109  KIMBERBRAE DR","East Pikeland",1994,"1991 or Later","1991-2000"
"2602 014205E0","R-10","R - Single Family/Cabin","111  KIMBERBRAE DR","East Pikeland",1994,"1991 or Later","1991-2000"
"2602 014205F0","R-10","R - Single Family/Cabin","113  KIMBERBRAE DR","East Pikeland",1990,"Before 1991","1981-1990"
"2602 014205G0","R-10","R - Single Family/Cabin","100  KATIE WAY","East Pikeland",1992,"1991 or Later","1991-2000"
"2602 014205H0","R-10","R - Single Family/Cabin","102  KATIE WAY","East Pikeland",1991,"1991 or Later","1991-2000"
"2602 014205J0","R-10","R - Single Family/Cabin","104  KATIE WAY","East Pikeland",1990,"Before 1991","1981-1990"
"2602 014205K0","R-10","R - Single Family/Cabin","103  KATIE WAY","East Pikeland",1990,"Before 1991","1981-1990"
"2602 014205L0","R-10","R - Single Family/Cabin","101  KATIE WAY","East Pikeland",1990,"Before 1991","1981-1990"
"2602 014205M0","R-10","R - Single Family/Cabin","119  KIMBERBRAE DR","East Pikeland",1992,"1991 or Later","1991-2000"
"2602 014205N0","R-10","R - Single Family/Cabin","121  KIMBERBRAE DR","East Pikeland",1992,"1991 or Later","1991-2000"
"2602 014205P0","R-10","R - Single Family/Cabin","123  KIMBERBRAE DR","East Pikeland",1992,"1991 or Later","1991-2000"
"2602 014205Q0","R-10","R - Single Family/Cabin","125  KIMBERBRAE DR","East Pikeland",1992,"1991 or Later","1991-2000"
"2602 014205R0","R-10","R - Single Family/Cabin","127  KIMBERBRAE DR","East Pikeland",1993,"1991 or Later","1991-2000"
"2602 014205S0","R-10","R - Single Family/Cabin","132  KIMBERBRAE DR","East Pikeland",1993,"1991 or Later","1991-2000"
"2602 014205T0","R-10","R - Single Family/Cabin","130  KIMBERBRAE DR","East Pikeland",1994,"1991 or Later","1991-2000"
"2602 014205U0","R-10","R - Single Family/Cabin","128  KIMBERBRAE DR","East Pikeland",1993,"1991 or Later","1991-2000"
"2602 014205V0","R-10","R - Single Family/Cabin","126  KIMBERBRAE DR","East Pikeland",1992,"1991 or Later","1991-2000"
"2602 014205W0","R-10","R - Single Family/Cabin","118  KIMBERBRAE DR","East Pikeland",1992,"1991 or Later","1991-2000"
"2602 014205X0","R-10","R - Single Family/Cabin","116  KIMBERBRAE DR","East Pikeland",1991,"1991 or Later","1991-2000"
"2602 01790000","R-10","R - Single Family/Cabin","373  COLDSTREAM RD","East Pikeland",1941,"Before 1991","1950 or older"
"2602 01800000","R-10","R - Single Family/Cabin","369  COLDSTREAM RD","East Pikeland",1941,"Before 1991","1950 or older"
"2602 01810000","R-40","A - Aparments (4-19 Units)","1302  HARES HILL RD","East Pikeland",1900,"Before 1991","1950 or older"
"2602 01820000","R-10","R - Single Family/Cabin","365  COLDSTREAM RD","East Pikeland",1941,"Before 1991","1950 or older"
"2602 01880000","R-10","R - Single Family/Cabin","380  COLDSTREAM RD","East Pikeland",1941,"Before 1991","1950 or older"
"2602 01900100","R-10","R - Single Family/Cabin","376  COLDSTREAM RD","East Pikeland",1946,"Before 1991","1950 or older"
"2602 01910100","R-10","R - Single Family/Cabin","1101  LANTERN CIR","East Pikeland",1987,"Before 1991","1981-1990"
"2602 01910200","R-10","R - Single Family/Cabin","1102  LANTERN CIR","East Pikeland",1987,"Before 1991","1981-1990"
"2602 01910300","R-10","R - Single Family/Cabin","1103  LANTERN CIR","East Pikeland",1987,"Before 1991","1981-1990"
"2602 01910400","R-10","R - Single Family/Cabin","1104  LANTERN CIR","East Pikeland",1987,"Before 1991","1981-1990"
"2602 01910500","R-10","R - Single Family/Cabin","74  DOGWOOD TERR","East Pikeland",1987,"Before 1991","1981-1990"
"2602 01910600","R-10","R - Single Family/Cabin","72  DOGWOOD TERR","East Pikeland",1987,"Before 1991","1981-1990"
"2602 01910700","R-10","R - Single Family/Cabin","71  DOGWOOD TERR","East Pikeland",1988,"Before 1991","1981-1990"
"2602 01910800","R-10","R - Single Family/Cabin","73  DOGWOOD TERR","East Pikeland",1987,"Before 1991","1981-1990"
"2602 01910900","R-10","R - Single Family/Cabin","75  DOGWOOD TERR","East Pikeland",1987,"Before 1991","1981-1990"
"2602 01911000","R-10","R - Single Family/Cabin","1203  CARRIAGE HILL DR","East Pikeland",1988,"Before 1991","1981-1990"
"2602 01911100","R-10","R - Single Family/Cabin","1201  CARRIAGE HILL DR","East Pikeland",1988,"Before 1991","1981-1990"
"2602 01911200","R-10","R - Single Family/Cabin","1205  CARRIAGE HILL DR","East Pikeland",1988,"Before 1991","1981-1990"
"2602 01911300","R-10","R - Single Family/Cabin","1207  CARRIAGE HILL DR","East Pikeland",1988,"Before 1991","1981-1990"
"2602 01911400","R-10","R - Single Family/Cabin","1209  CARRIAGE HILL DR","East Pikeland",1988,"Before 1991","1981-1990"
"2602 01911500","R-10","R - Single Family/Cabin","1208  CARRIAGE HILL DR","East Pikeland",1988,"Before 1991","1981-1990"
"2602 01911600","R-10","R - Single Family/Cabin","1206  CARRIAGE HILL DR","East Pikeland",1988,"Before 1991","1981-1990"
"2602 01911700","R-10","R - Single Family/Cabin","1204  CARRIAGE HILL DR","East Pikeland",1988,"Before 1991","1981-1990"
"2602 01911800","R-10","R - Single Family/Cabin","1202  CARRIAGE HILL DR","East Pikeland",1987,"Before 1991","1981-1990"
"2602 019401A0","R-90","A - Apt Complex (20 or more units","3000  BALFOUR CIR","East Pikeland",2009,"1991 or Later","2001-2010"
"2602 01970000","R-10","R - Single Family/Cabin","1325  HARES HILL RD","East Pikeland",1941,"Before 1991","1950 or older"
"2602 01980000","R-10","R - Single Family/Cabin","1321  HARES HILL RD","East Pikeland",1941,"Before 1991","1950 or older"
"2602 01990000","R-10","R - Single Family/Cabin","1317  HARES HILL RD","East Pikeland",1941,"Before 1991","1950 or older"
"2602 02100000","R-10","R - Single Family/Cabin","2160  KIMBERTON RD","East Pikeland",1900,"Before 1991","1950 or older"
