"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1403 00310000","R-10","R - Single Family/Cabin","618  HECKEL AVE","East Vincent",1980,"Before 1991","1971-1980"
"1404 01290000","R-20","R - Two Family","511  VINCENT ST","East Vincent",1880,"Before 1991","1950 or older"
"1404 01310000","R-10","R - Single Family/Cabin","531  NEW ST","East Vincent",1900,"Before 1991","1950 or older"
"1404 05360000","R-10","R - Single Family/Cabin","533  NEW ST","East Vincent",1915,"Before 1991","1950 or older"
"1406 00990000","R-10","R - Single Family/Cabin","128 S WALL ST","East Vincent",1958,"Before 1991","1951-1960"
"2101 00030000","R-10","R - Single Family/Cabin","141  KEEN RD","East Vincent",2015,"1991 or Later","2011-2022"
"2101 00050100","R-61","C - Dwelling W/Comm Use Primary C","119  ALACKNESS RD","East Vincent",1977,"Before 1991","1971-1980"
"2101 00050100","R-61","C - Dwelling W/Comm Use Primary C","119  ALACKNESS RD","East Vincent",1959,"Before 1991","1951-1960"
"2101 00130000","R-10","R - Single Family/Cabin","405  REITNOUR RD","East Vincent",1810,"Before 1991","1950 or older"
"2101 00370000","R-10","R - Single Family/Cabin","3204  SCHUYLKILL RD","East Vincent",1956,"Before 1991","1951-1960"
"2101 00810000","R-10","R - Single Family/Cabin","112  SHADY LN","East Vincent",1960,"Before 1991","1951-1960"
"2101 00930100","R-10","R - Single Family/Cabin","808 W MARION AVE","East Vincent",1956,"Before 1991","1951-1960"
"2101 00930200","R-10","R - Single Family/Cabin","810 W MARION AVE","East Vincent",1959,"Before 1991","1951-1960"
"2101 00930300","R-10","R - Single Family/Cabin","806  WESTFIELD AVE","East Vincent",1957,"Before 1991","1951-1960"
"2101 00930400","R-10","R - Single Family/Cabin","807 W MARION AVE","East Vincent",1960,"Before 1991","1951-1960"
"2101 00930500","R-10","R - Single Family/Cabin","14  TRACY AVE","East Vincent",1961,"Before 1991","1961-1970"
"2101 00930600","R-10","R - Single Family/Cabin","808  WESTFIELD AVE","East Vincent",1960,"Before 1991","1951-1960"
"2101 00930700","R-10","R - Single Family/Cabin","16  TRACY AVE","East Vincent",1964,"Before 1991","1961-1970"
"2101 00930800","R-10","R - Single Family/Cabin","20  TRACY AVE","East Vincent",1967,"Before 1991","1961-1970"
"2101 00930900","R-10","R - Single Family/Cabin","22  TRACY AVE","East Vincent",1967,"Before 1991","1961-1970"
"2101 00931000","R-10","R - Single Family/Cabin","24  TRACY AVE","East Vincent",1967,"Before 1991","1961-1970"
"2101 00931100","R-10","R - Single Family/Cabin","26  TRACY AVE","East Vincent",1968,"Before 1991","1961-1970"
"2101 00931300","R-10","R - Single Family/Cabin","805  TERRY LN","East Vincent",1967,"Before 1991","1961-1970"
"2101 00931500","R-10","R - Single Family/Cabin","23  CARRIGAN AVE","East Vincent",1968,"Before 1991","1961-1970"
"2101 00931600","R-10","R - Single Family/Cabin","20  CARRIGAN AVE","East Vincent",1966,"Before 1991","1961-1970"
"2101 00931700","R-10","R - Single Family/Cabin","804  TERRY LN","East Vincent",1972,"Before 1991","1971-1980"
"2101 00931800","R-10","R - Single Family/Cabin","806  TERRY LN","East Vincent",1972,"Before 1991","1971-1980"
"2101 00931900","R-10","R - Single Family/Cabin","808  TERRY LN","East Vincent",1971,"Before 1991","1971-1980"
"2101 00932000","R-10","R - Single Family/Cabin","807  WESTFIELD AVE","East Vincent",1964,"Before 1991","1961-1970"
"2101 00932100","R-10","R - Single Family/Cabin","805  WESTFIELD AVE","East Vincent",1965,"Before 1991","1961-1970"
"2101 00932200","R-10","R - Single Family/Cabin","803  WESTFIELD AVE","East Vincent",1966,"Before 1991","1961-1970"
"2101 00932300","R-10","R - Single Family/Cabin","18  CARRIGAN AVE","East Vincent",1962,"Before 1991","1961-1970"
"2101 00950000","R-10","R - Single Family/Cabin","804  WESTFIELD AVE","East Vincent",1959,"Before 1991","1951-1960"
"2101 00960000","R-10","R - Single Family/Cabin","16  CARRIGAN AVE","East Vincent",1959,"Before 1991","1951-1960"
"2101 00970000","R-10","R - Single Family/Cabin","14  CARRIGAN AVE","East Vincent",1953,"Before 1991","1951-1960"
"2101 00990000","R-10","R - Single Family/Cabin","805 W MARION AVE","East Vincent",1961,"Before 1991","1961-1970"
"2101 01000000","R-10","R - Single Family/Cabin","806 W MARION AVE","East Vincent",1955,"Before 1991","1951-1960"
"2101 01010000","R-10","R - Single Family/Cabin","804 W MARION AVE","East Vincent",1954,"Before 1991","1951-1960"
"2101 01030000","R-10","R - Single Family/Cabin","12  CARRIGAN AVE","East Vincent",1953,"Before 1991","1951-1960"
"2101 01040000","R-10","R - Single Family/Cabin","10  CARRIGAN AVE","East Vincent",1962,"Before 1991","1961-1970"
"2101 01050000","R-10","R - Single Family/Cabin","8  CARRIGAN AVE","East Vincent",1952,"Before 1991","1951-1960"
"2101 01060000","R-10","R - Single Family/Cabin","6  CARRIGAN AVE","East Vincent",1953,"Before 1991","1951-1960"
"2101 01070000","R-10","R - Single Family/Cabin","4  CARRIGAN AVE","East Vincent",1953,"Before 1991","1951-1960"
"2101 01080000","R-10","R - Single Family/Cabin","2  CARRIGAN AVE","East Vincent",1955,"Before 1991","1951-1960"
"2101 01110000","R-10","R - Single Family/Cabin","821  BRIDGE ST","East Vincent",1950,"Before 1991","1950 or older"
"2101 01120000","R-10","R - Single Family/Cabin","817  BRIDGE ST","East Vincent",1950,"Before 1991","1950 or older"
"2101 01130000","R-10","R - Single Family/Cabin","813 W BRIDGE ST","East Vincent",1949,"Before 1991","1950 or older"
"2101 01140000","R-10","R - Single Family/Cabin","807  BRIDGE ST","East Vincent",1927,"Before 1991","1950 or older"
"2101 01150000","R-10","R - Single Family/Cabin","805  BRIDGE ST","East Vincent",1925,"Before 1991","1950 or older"
"2101 01160000","R-10","R - Single Family/Cabin","1  CARRIGAN AVE","East Vincent",1950,"Before 1991","1950 or older"
"2101 01170000","R-10","R - Single Family/Cabin","3  CARRIGAN AVE","East Vincent",1951,"Before 1991","1951-1960"
"2101 01180000","R-10","R - Single Family/Cabin","5  CARRIGAN AVE","East Vincent",1952,"Before 1991","1951-1960"
"2101 01190000","R-10","R - Single Family/Cabin","7  CARRIGAN AVE","East Vincent",1952,"Before 1991","1951-1960"
"2101 01200000","R-20","R - Two Family","9  CARRIGAN AVE","East Vincent",1963,"Before 1991","1961-1970"
"2101 01210000","R-10","R - Single Family/Cabin","802 W MARION AVE","East Vincent",1951,"Before 1991","1951-1960"
"2101 01220000","R-10","R - Single Family/Cabin","801 W MARION AVE","East Vincent",1951,"Before 1991","1951-1960"
"2101 01240000","R-10","R - Single Family/Cabin","13  CARRIGAN AVE","East Vincent",1956,"Before 1991","1951-1960"
"2101 01250000","R-10","R - Single Family/Cabin","15  CARRIGAN AVE","East Vincent",1953,"Before 1991","1951-1960"
"2101 01260000","R-10","R - Single Family/Cabin","17  CARRIGAN AVE","East Vincent",1953,"Before 1991","1951-1960"
"2101 01270000","R-10","R - Single Family/Cabin","19  CARRIGAN AVE","East Vincent",1955,"Before 1991","1951-1960"
"2101 01290000","R-10","R - Single Family/Cabin","130  PENNHURST RD","East Vincent",1890,"Before 1991","1950 or older"
