"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"4201R00010000","R-10","R - Single Family/Cabin","2  JAMES THOMAS RD","East Whiteland",1976,"Before 1991","1971-1980"
"4201R00020000","R-10","R - Single Family/Cabin","288 N PHOENIXVILLE PK","East Whiteland",1977,"Before 1991","1971-1980"
"4201R00030000","R-10","R - Single Family/Cabin","286 N PHOENIXVILLE PK","East Whiteland",1977,"Before 1991","1971-1980"
"4201R00040000","R-10","R - Single Family/Cabin","284 N PHOENIXVILLE PK","East Whiteland",1976,"Before 1991","1971-1980"
"4201R00050000","R-10","R - Single Family/Cabin","330  SIDLEY RD","East Whiteland",1976,"Before 1991","1971-1980"
"4201R00060000","R-10","R - Single Family/Cabin","285 N PHOENIXVILLE PK","East Whiteland",1976,"Before 1991","1971-1980"
"4202 000803A0","R-90","A - Apt Complex (20 or more units","S ATWATER DR","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 000803A0","R-90","A - Apt Complex (20 or more units","S ATWATER DR","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 000803A0","R-90","A - Apt Complex (20 or more units","S ATWATER DR","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 000803A0","R-90","A - Apt Complex (20 or more units","S ATWATER DR","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01000000","R-55","R - Town House (Common Law Condo)","520 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01010000","R-55","R - Town House (Common Law Condo)","518 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01020000","R-55","R - Town House (Common Law Condo)","516 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01030000","R-55","R - Town House (Common Law Condo)","514 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01040000","R-55","R - Town House (Common Law Condo)","512 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01050000","R-55","R - Town House (Common Law Condo)","510 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01060000","R-55","R - Town House (Common Law Condo)","508 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01070000","R-55","R - Town House (Common Law Condo)","506 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01080000","R-55","R - Town House (Common Law Condo)","410 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01090000","R-55","R - Town House (Common Law Condo)","408 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01100000","R-55","R - Town House (Common Law Condo)","406 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01110000","R-55","R - Town House (Common Law Condo)","404 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01120000","R-55","R - Town House (Common Law Condo)","402 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01130000","R-55","R - Town House (Common Law Condo)","400 S ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01140000","R-55","R - Town House (Common Law Condo)","608 N ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01150000","R-55","R - Town House (Common Law Condo)","606 N ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01160000","R-55","R - Town House (Common Law Condo)","604 N ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01170000","R-55","R - Town House (Common Law Condo)","602 N ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01180000","R-55","R - Town House (Common Law Condo)","600 N ATWATER DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01190000","R-55","R - Town House (Common Law Condo)","601  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01200000","R-55","R - Town House (Common Law Condo)","603  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01210000","R-55","R - Town House (Common Law Condo)","605  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01220000","R-55","R - Town House (Common Law Condo)","607  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01230000","R-55","R - Town House (Common Law Condo)","609  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01240000","R-55","R - Town House (Common Law Condo)","864  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01250000","R-55","R - Town House (Common Law Condo)","862  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01260000","R-55","R - Town House (Common Law Condo)","860  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01270000","R-55","R - Town House (Common Law Condo)","858  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01280000","R-55","R - Town House (Common Law Condo)","856  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01290000","R-55","R - Town House (Common Law Condo)","854  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01300000","R-55","R - Town House (Common Law Condo)","852  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01310000","R-55","R - Town House (Common Law Condo)","850  STONECLIFFE RD","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01320000","R-10","R - Single Family/Cabin","615  STONECLIFFE RD","East Whiteland",2018,"1991 or Later","2011-2022"
"4202 01330000","R-10","R - Single Family/Cabin","613  STONECLIFFE RD","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01340000","R-10","R - Single Family/Cabin","608  STONECLIFFE RD","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01350000","R-10","R - Single Family/Cabin","610  STONECLIFFE RD","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01360000","R-10","R - Single Family/Cabin","612  STONECLIFFE RD","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01370000","R-10","R - Single Family/Cabin","614  STONECLIFFE RD","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01380000","R-55","R - Town House (Common Law Condo)","201  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01390000","R-55","R - Town House (Common Law Condo)","203  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01400000","R-55","R - Town House (Common Law Condo)","205  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01410000","R-55","R - Town House (Common Law Condo)","207  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01420000","R-55","R - Town House (Common Law Condo)","228  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01430000","R-55","R - Town House (Common Law Condo)","226  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01440000","R-55","R - Town House (Common Law Condo)","224  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01450000","R-55","R - Town House (Common Law Condo)","222  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01460000","R-55","R - Town House (Common Law Condo)","220  PATRIOTS PATH DR","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01470000","R-55","R - Town House (Common Law Condo)","218  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01480000","R-55","R - Town House (Common Law Condo)","216  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01490000","R-55","R - Town House (Common Law Condo)","214  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01500000","R-55","R - Town House (Common Law Condo)","212  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01510000","R-55","R - Town House (Common Law Condo)","210  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01520000","R-55","R - Town House (Common Law Condo)","208  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01530000","R-55","R - Town House (Common Law Condo)","206  PATRIOTS PATH","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01540000","R-55","R - Town House (Common Law Condo)","215  PATRIOTS PATH","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01550000","R-55","R - Town House (Common Law Condo)","217  PATRIOTS PATH","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01560000","R-55","R - Town House (Common Law Condo)","219  PATRIOTS PATH","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01570000","R-55","R - Town House (Common Law Condo)","221  PATRIOTS PATH","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01580000","R-55","R - Town House (Common Law Condo)","223  PATRIOTS PATH","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01590000","R-55","R - Town House (Common Law Condo)","225  PATRIOTS PATH","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01600000","R-55","R - Town House (Common Law Condo)","601  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01610000","R-55","R - Town House (Common Law Condo)","603  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01620000","R-55","R - Town House (Common Law Condo)","605  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01630000","R-55","R - Town House (Common Law Condo)","607  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01640000","R-55","R - Town House (Common Law Condo)","609  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01650000","R-55","R - Town House (Common Law Condo)","611  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01660000","R-55","R - Town House (Common Law Condo)","613  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01670000","R-55","R - Town House (Common Law Condo)","615  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01680000","R-55","R - Town House (Common Law Condo)","617  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01690000","R-55","R - Town House (Common Law Condo)","619  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01700000","R-55","R - Town House (Common Law Condo)","621  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01710000","R-55","R - Town House (Common Law Condo)","623  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01720000","R-55","R - Town House (Common Law Condo)","625  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01730000","R-55","R - Town House (Common Law Condo)","627  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01740000","R-55","R - Town House (Common Law Condo)","629  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01750000","R-55","R - Town House (Common Law Condo)","631  CLIFF LN","East Whiteland",2016,"1991 or Later","2011-2022"
"4202 01760000","R-55","R - Town House (Common Law Condo)","628  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01770000","R-55","R - Town House (Common Law Condo)","626  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01780000","R-55","R - Town House (Common Law Condo)","624  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01790000","R-55","R - Town House (Common Law Condo)","622  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01800000","R-55","R - Town House (Common Law Condo)","620  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01810000","R-55","R - Town House (Common Law Condo)","608  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01820000","R-55","R - Town House (Common Law Condo)","606  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
"4202 01830000","R-55","R - Town House (Common Law Condo)","604  CLIFF LN","East Whiteland",2017,"1991 or Later","2011-2022"
