"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"4310G00920600","R-55","R - Town House (Common Law Condo)","14  BRANCH AVE","Easttown",2022,"1991 or Later","2011-2022"
"5501 00010000","R-10","R - Single Family/Cabin","209  DARBY RD","Easttown",1956,"Before 1991","1951-1960"
"5501 00020000","R-10","R - Single Family/Cabin","215  DARBY RD","Easttown",1965,"Before 1991","1961-1970"
"5501 00030000","R-10","R - Single Family/Cabin","211  DARBY RD","Easttown",1956,"Before 1991","1951-1960"
"5501 00080000","R-10","R - Single Family/Cabin","208  DARBY RD","Easttown",1962,"Before 1991","1961-1970"
"5501 00090000","R-10","R - Single Family/Cabin","212  DARBY RD","Easttown",1959,"Before 1991","1951-1960"
"5501 00110100","R-10","R - Single Family/Cabin","220  DARBY RD","Easttown",2003,"1991 or Later","2001-2010"
"5501R00010000","R-10","R - Single Family/Cabin","1562  GREENLAWN RD","Easttown",1962,"Before 1991","1961-1970"
"5501R01010000","R-55","R - Town House (Common Law Condo)","501  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01020000","R-55","R - Town House (Common Law Condo)","502  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01030000","R-55","R - Town House (Common Law Condo)","503  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01040000","R-55","R - Town House (Common Law Condo)","504  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01050000","R-55","R - Town House (Common Law Condo)","505  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01060000","R-55","R - Town House (Common Law Condo)","506  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01070000","R-55","R - Town House (Common Law Condo)","507  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01080000","R-55","R - Town House (Common Law Condo)","508  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01090000","R-55","R - Town House (Common Law Condo)","509  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01100000","R-55","R - Town House (Common Law Condo)","510  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01110000","R-55","R - Town House (Common Law Condo)","511  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01120000","R-55","R - Town House (Common Law Condo)","512  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01130000","R-55","R - Town House (Common Law Condo)","513  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01140000","R-55","R - Town House (Common Law Condo)","514  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01150000","R-55","R - Town House (Common Law Condo)","515  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01160000","R-55","R - Town House (Common Law Condo)","516  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01170000","R-55","R - Town House (Common Law Condo)","517  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01180000","R-55","R - Town House (Common Law Condo)","518  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01190000","R-55","R - Town House (Common Law Condo)","519  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01200000","R-55","R - Town House (Common Law Condo)","520  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01210000","R-55","R - Town House (Common Law Condo)","521  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01220000","R-55","R - Town House (Common Law Condo)","522  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
"5501R01230000","R-55","R - Town House (Common Law Condo)","523  FOXWOOD LN","Easttown",1978,"Before 1991","1971-1980"
