"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1302 00160200","R-10","R - Single Family/Cabin","31 N CHESTNUT ST","Elverson",1997,"1991 or Later","1991-2000"
"1302 00240100","R-55","R - Town House (Common Law Condo)","104  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00240200","R-55","R - Town House (Common Law Condo)","106  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00240300","R-55","R - Town House (Common Law Condo)","108  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00240400","R-55","R - Town House (Common Law Condo)","110  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00240500","R-55","R - Town House (Common Law Condo)","126  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00240600","R-55","R - Town House (Common Law Condo)","128  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00240700","R-55","R - Town House (Common Law Condo)","130  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00240800","R-55","R - Town House (Common Law Condo)","132  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00240900","R-55","R - Town House (Common Law Condo)","136  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00241000","R-55","R - Town House (Common Law Condo)","138  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00241100","R-55","R - Town House (Common Law Condo)","140  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00241200","R-55","R - Town House (Common Law Condo)","142  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00241300","R-55","R - Town House (Common Law Condo)","131  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00241400","R-55","R - Town House (Common Law Condo)","129  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00241500","R-55","R - Town House (Common Law Condo)","127  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00241600","R-55","R - Town House (Common Law Condo)","125  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00241700","R-55","R - Town House (Common Law Condo)","123  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00241800","R-55","R - Town House (Common Law Condo)","121  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00241900","R-55","R - Town House (Common Law Condo)","119  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00242000","R-55","R - Town House (Common Law Condo)","117  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00242100","R-55","R - Town House (Common Law Condo)","115  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00242200","R-55","R - Town House (Common Law Condo)","113  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00242300","R-55","R - Town House (Common Law Condo)","111  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00242400","R-55","R - Town House (Common Law Condo)","109  WILDFLOWER CRT","Elverson",2021,"1991 or Later","2011-2022"
"1302 00242500","R-55","R - Town House (Common Law Condo)","107  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00242600","R-55","R - Town House (Common Law Condo)","105  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00242700","R-55","R - Town House (Common Law Condo)","103  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00242800","R-55","R - Town House (Common Law Condo)","101  WILDFLOWER CRT","Elverson",2020,"1991 or Later","2011-2022"
"1302 00410100","R-10","R - Single Family/Cabin","36  SPRINGFIELD DR","Elverson",2021,"1991 or Later","2011-2022"
"1303 00040000","R-10","R - Single Family/Cabin","76 W MAIN ST","Elverson",1900,"Before 1991","1950 or older"
"1303 00050000","R-10","R - Single Family/Cabin","70 W MAIN ST","Elverson",1990,"Before 1991","1981-1990"
"1303 00050100","R-10","R - Single Family/Cabin","74 W MAIN ST","Elverson",1901,"Before 1991","1950 or older"
"1303 00050200","R-10","R - Single Family/Cabin","82 W MAIN ST","Elverson",2013,"1991 or Later","2011-2022"
"1303 00050300","R-10","R - Single Family/Cabin","84 W MAIN ST","Elverson",2013,"1991 or Later","2011-2022"
"1303 00050400","R-10","R - Single Family/Cabin","86 W MAIN ST","Elverson",2014,"1991 or Later","2011-2022"
"1303 00050500","R-10","R - Single Family/Cabin","88 W MAIN ST","Elverson",2014,"1991 or Later","2011-2022"
"1303 00050600","R-10","R - Single Family/Cabin","101 N YEINGST DR","Elverson",2013,"1991 or Later","2011-2022"
"1303 00050700","R-10","R - Single Family/Cabin","103 N YEINGST DR","Elverson",2013,"1991 or Later","2011-2022"
"1303 00050800","R-10","R - Single Family/Cabin","105 N YEINGST DR","Elverson",2013,"1991 or Later","2011-2022"
"1303 00050900","R-10","R - Single Family/Cabin","107 N YEINGST DR","Elverson",2013,"1991 or Later","2011-2022"
"1303 00051000","R-10","R - Single Family/Cabin","124 N YEINGST DR","Elverson",2011,"1991 or Later","2011-2022"
"1303 00051100","R-10","R - Single Family/Cabin","122 N YEINGST DR","Elverson",2014,"1991 or Later","2011-2022"
"1303 00051200","R-10","R - Single Family/Cabin","120 N YEINGST DR","Elverson",2013,"1991 or Later","2011-2022"
"1303 00051300","R-10","R - Single Family/Cabin","125 N YEINGST DR","Elverson",2012,"1991 or Later","2011-2022"
"1303 00051400","R-10","R - Single Family/Cabin","127 N YEINGST DR","Elverson",2012,"1991 or Later","2011-2022"
"1303 00051500","R-10","R - Single Family/Cabin","129 N YEINGST DR","Elverson",2012,"1991 or Later","2011-2022"
"1303 00051600","R-10","R - Single Family/Cabin","131 N YEINGST DR","Elverson",2012,"1991 or Later","2011-2022"
"1303 00051700","R-10","R - Single Family/Cabin","123 N YEINGST DR","Elverson",2012,"1991 or Later","2011-2022"
"1303 00051800","R-10","R - Single Family/Cabin","121 N YEINGST DR","Elverson",2015,"1991 or Later","2011-2022"
"1303 00051900","R-10","R - Single Family/Cabin","119 N YEINGST DR","Elverson",2012,"1991 or Later","2011-2022"
"1303 00052000","R-10","R - Single Family/Cabin","118 N YEINGST DR","Elverson",2013,"1991 or Later","2011-2022"
"1303 00052100","R-10","R - Single Family/Cabin","116 N YEINGST DR","Elverson",2014,"1991 or Later","2011-2022"
"1303 00052200","R-10","R - Single Family/Cabin","114 N YEINGST DR","Elverson",2013,"1991 or Later","2011-2022"
"1303 00052300","R-10","R - Single Family/Cabin","112 N YEINGST DR","Elverson",2013,"1991 or Later","2011-2022"
"1303 00052400","R-10","R - Single Family/Cabin","117 N YEINGST DR","Elverson",2014,"1991 or Later","2011-2022"
"1303 00052500","R-10","R - Single Family/Cabin","115 N YEINGST DR","Elverson",2014,"1991 or Later","2011-2022"
"1303 00052600","R-10","R - Single Family/Cabin","113 N YEINGST DR","Elverson",2016,"1991 or Later","2011-2022"
"1303 00052700","R-10","R - Single Family/Cabin","111 N YEINGST DR","Elverson",2014,"1991 or Later","2011-2022"
"1303 00052800","R-10","R - Single Family/Cabin","109 N YEINGST DR","Elverson",2014,"1991 or Later","2011-2022"
"1303 00060000","R-10","R - Single Family/Cabin","66 W MAIN ST","Elverson",1924,"Before 1991","1950 or older"
"1303 00070000","R-10","R - Single Family/Cabin","60 W MAIN ST","Elverson",1897,"Before 1991","1950 or older"
"1303 00090000","R-10","R - Single Family/Cabin","52 W MAIN ST","Elverson",1994,"1991 or Later","1991-2000"
"1303 00090100","R-10","R - Single Family/Cabin","50 W MAIN ST","Elverson",1929,"Before 1991","1950 or older"
"1303 00100000","R-10","R - Single Family/Cabin","44 W MAIN ST","Elverson",1924,"Before 1991","1950 or older"
