"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1201 00010000","R-10","R - Single Family/Cabin","4951  HORSESHOE PK","Honey Brook",1965,"Before 1991","1961-1970"
"1201 00020000","R-10","R - Single Family/Cabin","785  WAWASSAN DR","Honey Brook",1955,"Before 1991","1951-1960"
"1201 00030100","R-10","R - Single Family/Cabin","741  WAWASSAN DR","Honey Brook",1960,"Before 1991","1951-1960"
"1201 00040000","R-10","R - Single Family/Cabin","570  MEADOW DR","Honey Brook",1981,"Before 1991","1981-1990"
"1201 00040100","R-10","R - Single Family/Cabin","671  WAWASSAN DR","Honey Brook",1961,"Before 1991","1961-1970"
"1201 00040200","R-10","R - Single Family/Cabin","680  WAWASSAN DR","Honey Brook",1960,"Before 1991","1951-1960"
"1201 00040300","R-10","R - Single Family/Cabin","650  WAWASSAN DR","Honey Brook",1965,"Before 1991","1961-1970"
"1201 00040400","R-10","R - Single Family/Cabin","620  WAWASSAN DR","Honey Brook",1965,"Before 1991","1961-1970"
"1201 00040500","R-10","R - Single Family/Cabin","627  WAWASSAN DR","Honey Brook",1965,"Before 1991","1961-1970"
"1201 00040600","R-10","R - Single Family/Cabin","599  WAWASSAN DR","Honey Brook",1965,"Before 1991","1961-1970"
"1201 00040700","R-10","R - Single Family/Cabin","700  MEADOW DR","Honey Brook",1960,"Before 1991","1951-1960"
"1201 00041000","R-10","R - Single Family/Cabin","640  MEADOW DR","Honey Brook",1995,"1991 or Later","1991-2000"
"1201 00041300","R-10","R - Single Family/Cabin","610  MEADOW DR","Honey Brook",1981,"Before 1991","1981-1990"
"1201 00050000","R-10","R - Single Family/Cabin","700  WAWASSAN DR","Honey Brook",1977,"Before 1991","1971-1980"
"1201 00060000","R-10","R - Single Family/Cabin","720  WAWASSAN DR","Honey Brook",1957,"Before 1991","1951-1960"
"1201 00070000","R-10","R - Single Family/Cabin","4851  HORSESHOE PK","Honey Brook",1955,"Before 1991","1951-1960"
"1201 00080000","R-10","R - Single Family/Cabin","4841  HORSESHOE PK","Honey Brook",1955,"Before 1991","1951-1960"
"1201 00090000","R-20","R - Two Family","4831  HORSESHOE PK","Honey Brook",1900,"Before 1991","1950 or older"
"1201 00100000","R-10","R - Single Family/Cabin","4821  HORSESHOE PK","Honey Brook",1952,"Before 1991","1951-1960"
"1201 00110000","R-20","R - Two Family","4801  HORSESHOE PK","Honey Brook",1870,"Before 1991","1950 or older"
"1201 00110100","R-10","R - Single Family/Cabin","4811  HORSESHOE PK","Honey Brook",1870,"Before 1991","1950 or older"
"1201 00120000","R-30","R - Multi Family/Dorms/Single","4791  HORSESHOE PK","Honey Brook",1870,"Before 1991","1950 or older"
