"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0301 00020000","R-10","R - Single Family/Cabin","555  HAZEL AVE","Kennett Square",1961,"Before 1991","1961-1970"
"0301 00040000","R-10","R - Single Family/Cabin","557  HAZEL AVE","Kennett Square",1988,"Before 1991","1981-1990"
"0301 00050000","R-10","R - Single Family/Cabin","559  HAZEL AVE","Kennett Square",1984,"Before 1991","1981-1990"
"0301 00070000","R-10","R - Single Family/Cabin","563  HAZEL AVE","Kennett Square",1984,"Before 1991","1981-1990"
"0302 00010000","R-10","R - Single Family/Cabin","415  IRWIN ST","Kennett Square",1920,"Before 1991","1950 or older"
"0302 00010100","R-10","R - Single Family/Cabin","501  IRWIN ST","Kennett Square",1965,"Before 1991","1961-1970"
"0302 00010200","R-10","R - Single Family/Cabin","503  IRWIN ST","Kennett Square",1953,"Before 1991","1951-1960"
"0302 00010300","R-10","R - Single Family/Cabin","608  MEADOW CREEK LN","Kennett Square",1996,"1991 or Later","1991-2000"
"0302 00010400","R-10","R - Single Family/Cabin","606  MEADOW CREEK LN","Kennett Square",1995,"1991 or Later","1991-2000"
"0302 00010500","R-10","R - Single Family/Cabin","604  MEADOW CREEK LN","Kennett Square",1993,"1991 or Later","1991-2000"
"0302 00010600","R-10","R - Single Family/Cabin","602  MEADOW CREEK LN","Kennett Square",1999,"1991 or Later","1991-2000"
"0302 00010700","R-10","R - Single Family/Cabin","600  MEADOW CREEK LN","Kennett Square",1999,"1991 or Later","1991-2000"
"0302 00010800","R-10","R - Single Family/Cabin","601  MEADOW CREEK LN","Kennett Square",1993,"1991 or Later","1991-2000"
"0302 00010900","R-10","R - Single Family/Cabin","603  MEADOW CREEK LN","Kennett Square",1994,"1991 or Later","1991-2000"
"0302 00011000","R-10","R - Single Family/Cabin","605  MEADOW CREEK LN","Kennett Square",1998,"1991 or Later","1991-2000"
"0302 00020000","R-10","R - Single Family/Cabin","411  IRWIN ST","Kennett Square",1931,"Before 1991","1950 or older"
"0302 00030000","R-10","R - Single Family/Cabin","409  IRWIN ST","Kennett Square",1926,"Before 1991","1950 or older"
