"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0303 01810000","R-10","R - Single Family/Cabin","535  KENVIEW AVE","Kennett",1955,"Before 1991","1951-1960"
"0303 01930000","R-10","R - Single Family/Cabin","534  KENVIEW AVE","Kennett",1955,"Before 1991","1951-1960"
"0303 01970000","R-10","R - Single Family/Cabin","612 E CYPRESS ST","Kennett",1950,"Before 1991","1950 or older"
"0305 02620100","R-10","R - Single Family/Cabin","534  SOUTHVIEW AVE","Kennett",1968,"Before 1991","1961-1970"
"6201 00010100","R-10","R - Single Family/Cabin","1061 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00010200","R-10","R - Single Family/Cabin","25  ELMWOOD DR","Kennett",1910,"Before 1991","1950 or older"
"6201 00030000","R-10","R - Single Family/Cabin","1057 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00040000","R-10","R - Single Family/Cabin","1059 E BALTIMORE PK","Kennett",1962,"Before 1991","1961-1970"
"6201 00050000","R-10","R - Single Family/Cabin","39  DOGWOOD DR","Kennett",1930,"Before 1991","1950 or older"
"6201 00060000","R-10","R - Single Family/Cabin","25  DOGWOOD DR","Kennett",1936,"Before 1991","1950 or older"
"6201 00060100","R-10","R - Single Family/Cabin","21  DOGWOOD DR","Kennett",1958,"Before 1991","1951-1960"
"6201 00060200","R-10","R - Single Family/Cabin","24  ELMWOOD DR","Kennett",1861,"Before 1991","1950 or older"
"6201 00060300","R-10","R - Single Family/Cabin","34  ELMWOOD DR","Kennett",1930,"Before 1991","1950 or older"
"6201 00060400","R-10","R - Single Family/Cabin","36  ELMWOOD DR","Kennett",1930,"Before 1991","1950 or older"
"6201 00060500","R-10","R - Single Family/Cabin","23  DOGWOOD DR","Kennett",1936,"Before 1991","1950 or older"
"6201 00060600","R-10","R - Single Family/Cabin","27  DOGWOOD DR","Kennett",1936,"Before 1991","1950 or older"
"6201 00060700","R-10","R - Single Family/Cabin","32  ELMWOOD DR","Kennett",1928,"Before 1991","1950 or older"
"6201 00060800","R-10","R - Single Family/Cabin","30  ELMWOOD DR","Kennett",1928,"Before 1991","1950 or older"
"6201 00060900","R-10","R - Single Family/Cabin","28  ELMWOOD DR","Kennett",1928,"Before 1991","1950 or older"
"6201 00061000","R-10","R - Single Family/Cabin","26  ELMWOOD DR","Kennett",1930,"Before 1991","1950 or older"
"6201 00061100","R-10","R - Single Family/Cabin","29  DOGWOOD DR","Kennett",1936,"Before 1991","1950 or older"
"6201 00070000","R-10","R - Single Family/Cabin","31  DOGWOOD DR","Kennett",1932,"Before 1991","1950 or older"
"6201 00070100","R-10","R - Single Family/Cabin","33  DOGWOOD DR","Kennett",1932,"Before 1991","1950 or older"
"6201 00070200","R-10","R - Single Family/Cabin","35  DOGWOOD DR","Kennett",1930,"Before 1991","1950 or older"
"6201 00070300","R-10","R - Single Family/Cabin","37  DOGWOOD DR","Kennett",1930,"Before 1991","1950 or older"
"6201 00080000","R-10","R - Single Family/Cabin","22  ELMWOOD DR","Kennett",1930,"Before 1991","1950 or older"
"6201 00090000","R-10","R - Single Family/Cabin","3  HOLLY DR","Kennett",1929,"Before 1991","1950 or older"
"6201 00090100","R-10","R - Single Family/Cabin","5  HOLLY DR","Kennett",1929,"Before 1991","1950 or older"
"6201 00100000","R-10","R - Single Family/Cabin","7  HOLLY DR","Kennett",1929,"Before 1991","1950 or older"
"6201 00110000","R-10","R - Single Family/Cabin","1063 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00120000","R-10","R - Single Family/Cabin","1065 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00130000","R-10","R - Single Family/Cabin","1067 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00140000","R-10","R - Single Family/Cabin","1071 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00140100","R-10","R - Single Family/Cabin","1069 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00150000","R-10","R - Single Family/Cabin","1073 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00160000","R-10","R - Single Family/Cabin","1075 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00160100","R-10","R - Single Family/Cabin","1081 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00160200","R-10","R - Single Family/Cabin","1077 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00160300","R-10","R - Single Family/Cabin","1079 E BALTIMORE PK","Kennett",1846,"Before 1991","1950 or older"
"6201 00170000","R-10","R - Single Family/Cabin","1085 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00180000","R-10","R - Single Family/Cabin","1083 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00190000","R-10","R - Single Family/Cabin","1087 E BALTIMORE PK","Kennett",1840,"Before 1991","1950 or older"
"6201 00200000","R-10","R - Single Family/Cabin","1089 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00210000","R-10","R - Single Family/Cabin","1091 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00250000","R-10","R - Single Family/Cabin","1060 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00260000","R-10","R - Single Family/Cabin","1062 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00260100","R-10","R - Single Family/Cabin","1064 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00270000","R-10","R - Single Family/Cabin","1066 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00370000","R-10","R - Single Family/Cabin","1046 E BALTIMORE PK","Kennett",1974,"Before 1991","1971-1980"
"6201 00370100","R-10","R - Single Family/Cabin","1044 E BALTIMORE PK","Kennett",1950,"Before 1991","1950 or older"
"6201 00390000","R-10","R - Single Family/Cabin","1050 E BALTIMORE PK","Kennett",1960,"Before 1991","1951-1960"
"6201 00410000","R-10","R - Single Family/Cabin","1052 E BALTIMORE PK","Kennett",1920,"Before 1991","1950 or older"
"6201 00440000","R-10","R - Single Family/Cabin","6  MAPLE LN","Kennett",1934,"Before 1991","1950 or older"
"6201 00480000","R-10","R - Single Family/Cabin","1101 E BALTIMORE PK","Kennett",1900,"Before 1991","1950 or older"
"6201 00540100","R-10","R - Single Family/Cabin","101  HIDDEN POND DR","Kennett",2007,"1991 or Later","2001-2010"
"6201 00540200","R-10","R - Single Family/Cabin","103  HIDDEN POND DR","Kennett",2011,"1991 or Later","2011-2022"
"6201 00540300","R-10","R - Single Family/Cabin","105  HIDDEN POND DR","Kennett",2011,"1991 or Later","2011-2022"
"6201 00540400","R-10","R - Single Family/Cabin","107  HIDDEN POND DR","Kennett",2011,"1991 or Later","2011-2022"
"6201 00540500","R-10","R - Single Family/Cabin","106  HIDDEN POND RD","Kennett",2006,"1991 or Later","2001-2010"
"6201 00540600","R-10","R - Single Family/Cabin","104  HIDDEN POND DR","Kennett",2006,"1991 or Later","2001-2010"
"6201 00540700","R-10","R - Single Family/Cabin","102  HIDDEN POND DR","Kennett",2010,"1991 or Later","2001-2010"
"6201 00540800","R-10","R - Single Family/Cabin","100  HIDDEN POND DR","Kennett",2012,"1991 or Later","2011-2022"
"6201 00540900","R-10","R - Single Family/Cabin","109  HIDDEN POND DR","Kennett",2009,"1991 or Later","2001-2010"
"6201 00541000","R-10","R - Single Family/Cabin","111  HIDDEN POND DR","Kennett",2011,"1991 or Later","2011-2022"
"6201 00541100","R-10","R - Single Family/Cabin","113  HIDDEN POND DR","Kennett",2012,"1991 or Later","2011-2022"
"6201 00541200","R-10","R - Single Family/Cabin","115  HIDDEN POND DR","Kennett",2008,"1991 or Later","2001-2010"
"6201 00541300","R-10","R - Single Family/Cabin","110  HIDDEN POND DR","Kennett",2012,"1991 or Later","2011-2022"
"6201 00541400","R-10","R - Single Family/Cabin","108  HIDDEN POND DR","Kennett",2011,"1991 or Later","2011-2022"
"6201 00541500","R-10","R - Single Family/Cabin","117  HIDDEN POND DR","Kennett",2012,"1991 or Later","2011-2022"
"6201 00541600","R-10","R - Single Family/Cabin","119  HIDDEN POND DR","Kennett",2012,"1991 or Later","2011-2022"
"6201 00541700","R-10","R - Single Family/Cabin","116  HIDDEN POND DR","Kennett",2011,"1991 or Later","2011-2022"
"6201 00541800","R-10","R - Single Family/Cabin","114  HIDDEN POND DR","Kennett",2011,"1991 or Later","2011-2022"
"6201 00541900","R-10","R - Single Family/Cabin","112  HIDDEN POND DR","Kennett",2011,"1991 or Later","2011-2022"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1851,"Before 1991","1950 or older"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1973,"Before 1991","1971-1980"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",2010,"1991 or Later","2001-2010"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1989,"Before 1991","1981-1990"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",1950,"Before 1991","1950 or older"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",2012,"1991 or Later","2011-2022"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",2012,"1991 or Later","2011-2022"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",2012,"1991 or Later","2011-2022"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",2012,"1991 or Later","2011-2022"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",2012,"1991 or Later","2011-2022"
"6202 00140000","R-90","A - Apt Complex (20 or more units","1109 E BALTIMORE PK","Kennett",2012,"1991 or Later","2011-2022"
"6202 00160000","R-10","R - Single Family/Cabin","248  KENNETT PK","Kennett",1845,"Before 1991","1950 or older"
"6202 00190000","R-10","R - Single Family/Cabin","250  KENNETT PK","Kennett",1930,"Before 1991","1950 or older"
"6202 00200000","R-10","R - Single Family/Cabin","253  KENNETT PK","Kennett",1927,"Before 1991","1950 or older"
"6202 00210000","R-10","R - Single Family/Cabin","1  MAPLE LN","Kennett",1960,"Before 1991","1951-1960"
"6202 00280000","R-10","R - Single Family/Cabin","1  SPRUCE LN","Kennett",1939,"Before 1991","1950 or older"
"6202 00300000","R-20","R - Two Family","268  KENNETT PK","Kennett",1906,"Before 1991","1950 or older"
"6202 00300000","R-20","R - Two Family","268  KENNETT PK","Kennett",1900,"Before 1991","1950 or older"
"6202 00340000","R-10","R - Single Family/Cabin","272  KENNETT PK","Kennett",1890,"Before 1991","1950 or older"
"6202 00340100","R-10","R - Single Family/Cabin","2  MONTBARD DR","Kennett",1995,"1991 or Later","1991-2000"
"6202 00340200","R-10","R - Single Family/Cabin","3  NORMANDY DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00340300","R-10","R - Single Family/Cabin","4  NORMANDY DR","Kennett",1988,"Before 1991","1981-1990"
"6202 00340400","R-10","R - Single Family/Cabin","5  NORMANDY DR","Kennett",1986,"Before 1991","1981-1990"
"6202 00340500","R-10","R - Single Family/Cabin","6  NORMANDY DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00340600","R-10","R - Single Family/Cabin","7  NORMANDY DR","Kennett",1988,"Before 1991","1981-1990"
"6202 00340700","R-10","R - Single Family/Cabin","8  NORMANDY DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00340800","R-10","R - Single Family/Cabin","9  NORMANDY DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00340900","R-10","R - Single Family/Cabin","10  NORMANDY DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00341000","R-10","R - Single Family/Cabin","11  NORMANDY DR","Kennett",1988,"Before 1991","1981-1990"
"6202 00341100","R-10","R - Single Family/Cabin","12  NORMANDY DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00341200","R-10","R - Single Family/Cabin","13  MONTBARD DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00341300","R-10","R - Single Family/Cabin","14  MONTBARD DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00341400","R-10","R - Single Family/Cabin","15  MONTBARD DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00341500","R-10","R - Single Family/Cabin","16  MONTBARD DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00341600","R-10","R - Single Family/Cabin","17  MONTBARD DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00341700","R-10","R - Single Family/Cabin","18  MONTBARD DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00341800","R-10","R - Single Family/Cabin","19  MONTBARD DR","Kennett",1988,"Before 1991","1981-1990"
"6202 00341900","R-10","R - Single Family/Cabin","20  MONTBARD DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00342000","R-10","R - Single Family/Cabin","21  MONTBARD DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00342100","R-10","R - Single Family/Cabin","22  MONTBARD DR","Kennett",1987,"Before 1991","1981-1990"
"6202 00420000","R-10","R - Single Family/Cabin","289  KENNETT PK","Kennett",1860,"Before 1991","1950 or older"
"6202 00440000","R-10","R - Single Family/Cabin","291  KENNETT PK","Kennett",1952,"Before 1991","1951-1960"
"6202 00460000","R-10","R - Single Family/Cabin","285  KENNETT PK","Kennett",1860,"Before 1991","1950 or older"
"6202 00480100","R-10","R - Single Family/Cabin","277  KENNETT PK","Kennett",1857,"Before 1991","1950 or older"
"6202 00500000","R-10","R - Single Family/Cabin","269  KENNETT PK","Kennett",1950,"Before 1991","1950 or older"
"6202 00510000","R-10","R - Single Family/Cabin","267  KENNETT PK","Kennett",1950,"Before 1991","1950 or older"
"6202 00540000","R-10","R - Single Family/Cabin","261  KENNETT PK","Kennett",1956,"Before 1991","1951-1960"
"6202 00550000","R-10","R - Single Family/Cabin","259  KENNETT PK","Kennett",1975,"Before 1991","1971-1980"
"6202 00640000","R-10","R - Single Family/Cabin","301  KENNETT PK","Kennett",1978,"Before 1991","1971-1980"
"6202 00660000","R-10","R - Single Family/Cabin","1936  HILLENDALE RD","Kennett",1950,"Before 1991","1950 or older"
"6202 00670000","R-10","R - Single Family/Cabin","1934  HILLENDALE RD","Kennett",1951,"Before 1991","1951-1960"
"6202 00680100","R-10","R - Single Family/Cabin","305  KENNETT PK","Kennett",1965,"Before 1991","1961-1970"
"6202 00680200","R-10","R - Single Family/Cabin","200  BLACK CHERRY LN","Kennett",2009,"1991 or Later","2001-2010"
"6202 00720000","R-10","R - Single Family/Cabin","1924  HILLENDALE RD","Kennett",1953,"Before 1991","1951-1960"
"6202 00720100","R-10","R - Single Family/Cabin","1922  HILLENDALE RD","Kennett",1998,"1991 or Later","1991-2000"
"6202 00750000","R-10","R - Single Family/Cabin","1916  HILLENDALE RD","Kennett",1948,"Before 1991","1950 or older"
"6202 00760000","R-10","R - Single Family/Cabin","1914  HILLENDALE RD","Kennett",1954,"Before 1991","1951-1960"
"6202 00780100","R-10","R - Single Family/Cabin","13  WOODCHUCK WAY","Kennett",1812,"Before 1991","1950 or older"
"6202 00830100","R-10","R - Single Family/Cabin","281  KENNETT PK","Kennett",1925,"Before 1991","1950 or older"
"6202 00830200","R-10","R - Single Family/Cabin","3  CARDINAL LN","Kennett",1972,"Before 1991","1971-1980"
"6202 00830300","R-10","R - Single Family/Cabin","1933  HILLENDALE RD","Kennett",1972,"Before 1991","1971-1980"
"6202 00830400","R-10","R - Single Family/Cabin","1931  HILLENDALE RD","Kennett",1974,"Before 1991","1971-1980"
"6202 00830500","R-10","R - Single Family/Cabin","1929  HILLENDALE RD","Kennett",1972,"Before 1991","1971-1980"
"6202 00840000","R-10","R - Single Family/Cabin","263  KENNETT PK","Kennett",1950,"Before 1991","1950 or older"
"6202 008501B0","R-10","R - Single Family/Cabin","75  WOODCHUCK WAY","Kennett",1977,"Before 1991","1971-1980"
"6202 008501C0","R-10","R - Single Family/Cabin","1925  HILLENDALE RD","Kennett",1972,"Before 1991","1971-1980"
