"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"7302 00350000","R-10","R - Single Family/Cabin","207  SKYCREST DR","London Britain",1973,"Before 1991","1971-1980"
"7303 00611000","R-10","R - Single Family/Cabin","101  RIDGEWOOD DR","London Britain",1988,"Before 1991","1981-1990"
"7303 00611100","R-10","R - Single Family/Cabin","102  RIDGEWOOD DR","London Britain",1988,"Before 1991","1981-1990"
"7303 00611200","R-10","R - Single Family/Cabin","104  RIDGEWOOD DR","London Britain",1989,"Before 1991","1981-1990"
"7303 00611300","R-10","R - Single Family/Cabin","106  RIDGEWOOD DR","London Britain",1985,"Before 1991","1981-1990"
"7303 00611400","R-10","R - Single Family/Cabin","108  RIDGEWOOD DR","London Britain",1989,"Before 1991","1981-1990"
"7303 00611500","R-10","R - Single Family/Cabin","110  RIDGEWOOD DR","London Britain",1988,"Before 1991","1981-1990"
"7303 00611600","R-10","R - Single Family/Cabin","112  RIDGEWOOD DR","London Britain",1988,"Before 1991","1981-1990"
"7303 00611700","R-10","R - Single Family/Cabin","114  RIDGEWOOD DR","London Britain",1988,"Before 1991","1981-1990"
"7303 00611800","R-10","R - Single Family/Cabin","116  RIDGEWOOD DR","London Britain",1989,"Before 1991","1981-1990"
"7303 00611900","R-10","R - Single Family/Cabin","122  RIDGEWOOD DR","London Britain",1989,"Before 1991","1981-1990"
"7303 00612000","R-10","R - Single Family/Cabin","124  RIDGEWOOD DR","London Britain",1988,"Before 1991","1981-1990"
"7303 00612100","R-10","R - Single Family/Cabin","123  RIDGEWOOD DR","London Britain",1988,"Before 1991","1981-1990"
"7303 00612200","R-10","R - Single Family/Cabin","121  RIDGEWOOD DR","London Britain",1989,"Before 1991","1981-1990"
"7303 00612300","R-10","R - Single Family/Cabin","119  RIDGEWOOD DR","London Britain",1988,"Before 1991","1981-1990"
"7303 00612400","R-10","R - Single Family/Cabin","117  RIDGEWOOD DR","London Britain",1989,"Before 1991","1981-1990"
"7303 00612500","R-10","R - Single Family/Cabin","115  RIDGEWOOD DR","London Britain",1989,"Before 1991","1981-1990"
"7303 00612600","R-10","R - Single Family/Cabin","107  RIDGEWOOD DR","London Britain",1988,"Before 1991","1981-1990"
"7304 00720100","R-10","R - Single Family/Cabin","1272  CORNER KETCH RD","London Britain",1952,"Before 1991","1951-1960"
"7305 00190200","R-10","R - Single Family/Cabin","1438  FLINT HILL RD","London Britain",1971,"Before 1991","1971-1980"
"7306 00140800","R-20","R - Two Family","25  BILLS WAY","London Britain",1988,"Before 1991","1981-1990"
"7306 00140800","R-20","R - Two Family","25  BILLS WAY","London Britain",1990,"Before 1991","1981-1990"
"7306 00190000","R-10","R - Single Family/Cabin","1164  NEW LONDON RD","London Britain",1942,"Before 1991","1950 or older"
"7306 00200000","R-10","R - Single Family/Cabin","1162  NEW LONDON RD","London Britain",1950,"Before 1991","1950 or older"
"7306 00210000","R-10","R - Single Family/Cabin","414  CHAMBERS ROCK RD","London Britain",1900,"Before 1991","1950 or older"
"7306 00210200","R-10","R - Single Family/Cabin","428  CHAMBERS ROCK RD","London Britain",1970,"Before 1991","1961-1970"
"7306 00210300","R-10","R - Single Family/Cabin","9  MORGAN HOLLOW WAY","London Britain",1984,"Before 1991","1981-1990"
"7306 00210400","R-10","R - Single Family/Cabin","1292  NEW LONDON RD","London Britain",1987,"Before 1991","1981-1990"
"7306 00210600","R-10","R - Single Family/Cabin","23  KETCHAM CRT","London Britain",1986,"Before 1991","1981-1990"
"7306 00210700","R-10","R - Single Family/Cabin","25  KETCHAM CRT","London Britain",1985,"Before 1991","1981-1990"
"7306 00210800","R-10","R - Single Family/Cabin","27  KETCHAM CRT","London Britain",2011,"1991 or Later","2011-2022"
"7306 00210900","R-10","R - Single Family/Cabin","29  MORGAN HOLLOW WAY","London Britain",1988,"Before 1991","1981-1990"
"7306 00211000","R-10","R - Single Family/Cabin","31  MORGAN HOLLOW WAY","London Britain",1988,"Before 1991","1981-1990"
"7306 00211100","R-10","R - Single Family/Cabin","33  MORGAN HOLLOW WAY","London Britain",1982,"Before 1991","1981-1990"
"7306 00211200","R-10","R - Single Family/Cabin","35  MORGAN HOLLOW WAY","London Britain",1985,"Before 1991","1981-1990"
"7306 00211300","R-10","R - Single Family/Cabin","37  MORGAN HOLLOW WAY","London Britain",1987,"Before 1991","1981-1990"
"7306 00211400","R-10","R - Single Family/Cabin","39  MORGAN HOLLOW WAY","London Britain",1988,"Before 1991","1981-1990"
"7306 00211500","R-10","R - Single Family/Cabin","41  MORGAN HOLLOW WAY","London Britain",1987,"Before 1991","1981-1990"
"7306 00211600","R-10","R - Single Family/Cabin","43  MORGAN HOLLOW WAY","London Britain",1987,"Before 1991","1981-1990"
"7306 00211700","R-10","R - Single Family/Cabin","45  MORGAN HOLLOW WAY","London Britain",1988,"Before 1991","1981-1990"
"7306 00211800","R-10","R - Single Family/Cabin","47  MORGAN HOLLOW WAY","London Britain",1984,"Before 1991","1981-1990"
"7306 00212000","R-10","R - Single Family/Cabin","51  MORGAN HOLLOW WAY","London Britain",1982,"Before 1991","1981-1990"
"7306 00212100","R-10","R - Single Family/Cabin","15  LAETITIA LN","London Britain",2003,"1991 or Later","2001-2010"
"7306 00212200","R-10","R - Single Family/Cabin","17  LAETITIA LN","London Britain",1982,"Before 1991","1981-1990"
"7306 00212300","R-10","R - Single Family/Cabin","16  LAETITIA LN","London Britain",1982,"Before 1991","1981-1990"
"7306 00212400","R-10","R - Single Family/Cabin","14  LAETITIA LN","London Britain",1985,"Before 1991","1981-1990"
"7306 00212500","R-10","R - Single Family/Cabin","1  SPRINGER WAY","London Britain",1981,"Before 1991","1981-1990"
"7306 00212600","R-10","R - Single Family/Cabin","3  SPRINGER WAY","London Britain",1986,"Before 1991","1981-1990"
"7306 00212700","R-10","R - Single Family/Cabin","5  SPRINGER WAY","London Britain",1998,"1991 or Later","1991-2000"
"7306 00212800","R-10","R - Single Family/Cabin","7  SPRINGER WAY","London Britain",1993,"1991 or Later","1991-2000"
"7306 00212900","R-10","R - Single Family/Cabin","9  SPRINGER WAY","London Britain",1985,"Before 1991","1981-1990"
"7306 00213000","R-10","R - Single Family/Cabin","10  SPRINGER WAY","London Britain",1987,"Before 1991","1981-1990"
"7306 00213100","R-10","R - Single Family/Cabin","8  SPRINGER WAY","London Britain",1987,"Before 1991","1981-1990"
"7306 00213200","R-10","R - Single Family/Cabin","6  SPRINGER WAY","London Britain",1992,"1991 or Later","1991-2000"
"7306 00213400","R-10","R - Single Family/Cabin","2  SPRINGER WAY","London Britain",1984,"Before 1991","1981-1990"
"7306 00213500","R-10","R - Single Family/Cabin","6  LAETITIA LN","London Britain",1985,"Before 1991","1981-1990"
