"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0504 02660000","R-10","R - Single Family/Cabin","209  CHESTNUT RD","London Grove",1957,"Before 1991","1951-1960"
"0505 00010500","R-10","R - Single Family/Cabin","208  CHESTNUT RD","London Grove",1977,"Before 1991","1971-1980"
"0506 00200000","R-10","R - Single Family/Cabin","4  DAISY DR","London Grove",1975,"Before 1991","1971-1980"
"0506 00210000","R-10","R - Single Family/Cabin","5  DAISY DR","London Grove",1975,"Before 1991","1971-1980"
"0507 00340000","R-10","R - Single Family/Cabin","433  CHAMBERS WAY","London Grove",1970,"Before 1991","1961-1970"
"5906 00150000","R-10","R - Single Family/Cabin","178  GAP NEWPORT PK","London Grove",1792,"Before 1991","1950 or older"
"5906 00180000","R-10","R - Single Family/Cabin","359  PENNSYLVANIA AVE","London Grove",1929,"Before 1991","1950 or older"
"5906 00190000","R-10","R - Single Family/Cabin","95  GAP NEWPORT PK","London Grove",1928,"Before 1991","1950 or older"
"5906 00200000","R-10","R - Single Family/Cabin","77  GAP NEWPORT PK","London Grove",1928,"Before 1991","1950 or older"
"5906 00210000","R-10","R - Single Family/Cabin","61  GAP NEWPORT PK","London Grove",1910,"Before 1991","1950 or older"
"5906 00220000","R-10","R - Single Family/Cabin","43  GAP NEWPORT PK","London Grove",1895,"Before 1991","1950 or older"
"5907 00150000","R-10","R - Single Family/Cabin","293 N GUERNSEY RD","London Grove",1950,"Before 1991","1950 or older"
"5907 00160000","R-10","R - Single Family/Cabin","289 N GUERNSEY RD","London Grove",1954,"Before 1991","1951-1960"
"5907 00170000","R-10","R - Single Family/Cabin","285 N GUERNSEY RD","London Grove",1952,"Before 1991","1951-1960"
"5907 00180000","R-10","R - Single Family/Cabin","281 N GUERNSEY RD","London Grove",1955,"Before 1991","1951-1960"
"5907 00190000","R-10","R - Single Family/Cabin","277 N GUERNSEY RD","London Grove",1950,"Before 1991","1950 or older"
"5907 00200000","R-10","R - Single Family/Cabin","273 N GUERNSEY RD","London Grove",1955,"Before 1991","1951-1960"
"5907 00210000","R-10","R - Single Family/Cabin","265 N GUERNSEY RD","London Grove",1954,"Before 1991","1951-1960"
"5907 00220000","R-10","R - Single Family/Cabin","269 N GUERNSEY RD","London Grove",1951,"Before 1991","1951-1960"
"5907 00230000","R-10","R - Single Family/Cabin","263 N GUERNSEY RD","London Grove",1955,"Before 1991","1951-1960"
"5907 00240000","R-10","R - Single Family/Cabin","259 N GUERNSEY RD","London Grove",1960,"Before 1991","1951-1960"
"5907 00250000","R-10","R - Single Family/Cabin","253 N GUERNSEY RD","London Grove",1955,"Before 1991","1951-1960"
"5907 00550400","R-10","R - Single Family/Cabin","152 S GUERNSEY RD","London Grove",1950,"Before 1991","1950 or older"
"5907 01170000","R-10","R - Single Family/Cabin","1  AIRDALE CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01180000","R-10","R - Single Family/Cabin","3  AIRDALE CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01190000","R-10","R - Single Family/Cabin","5  AIRDALE CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01200000","R-10","R - Single Family/Cabin","4  AIRDALE CIR","London Grove",2003,"1991 or Later","2001-2010"
"5907 01210000","R-10","R - Single Family/Cabin","2  AIRDALE CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01220000","R-10","R - Single Family/Cabin","21  MARCUS WAY","London Grove",2001,"1991 or Later","2001-2010"
"5907 01230000","R-10","R - Single Family/Cabin","23  MARCUS WAY","London Grove",2002,"1991 or Later","2001-2010"
"5907 01240000","R-10","R - Single Family/Cabin","25  MARCUS WAY","London Grove",2003,"1991 or Later","2001-2010"
"5907 01250000","R-10","R - Single Family/Cabin","24  MARCUS WAY","London Grove",2003,"1991 or Later","2001-2010"
"5907 01260000","R-10","R - Single Family/Cabin","22  MARCUS WAY","London Grove",2002,"1991 or Later","2001-2010"
"5907 01270000","R-10","R - Single Family/Cabin","20  MARCUS WAY","London Grove",2002,"1991 or Later","2001-2010"
"5907 01280000","R-10","R - Single Family/Cabin","41  FLINTLOCK CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01290000","R-10","R - Single Family/Cabin","43  FLINTLOCK CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01300000","R-10","R - Single Family/Cabin","45  FLINTLOCK CIR","London Grove",2003,"1991 or Later","2001-2010"
"5907 01310000","R-10","R - Single Family/Cabin","42  FLINTLOCK CIR","London Grove",2003,"1991 or Later","2001-2010"
"5907 01320000","R-10","R - Single Family/Cabin","40  FLINTLOCK CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01330000","R-10","R - Single Family/Cabin","63  KENT FARM LN","London Grove",2002,"1991 or Later","2001-2010"
"5907 01340000","R-10","R - Single Family/Cabin","65  KENT FARM LN","London Grove",2002,"1991 or Later","2001-2010"
"5907 01350000","R-10","R - Single Family/Cabin","64  KENT FARM LN","London Grove",2003,"1991 or Later","2001-2010"
"5907 01360000","R-10","R - Single Family/Cabin","62  KENT FARM LN","London Grove",2002,"1991 or Later","2001-2010"
"5907 01370000","R-10","R - Single Family/Cabin","51  EATON CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01380000","R-10","R - Single Family/Cabin","53  EATON CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01390000","R-10","R - Single Family/Cabin","52  EATON CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01400000","R-10","R - Single Family/Cabin","50  EATON CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01410000","R-10","R - Single Family/Cabin","31  BANDON CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01420000","R-10","R - Single Family/Cabin","33  BANDON CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01430000","R-10","R - Single Family/Cabin","32  BANDON CIR","London Grove",2002,"1991 or Later","2001-2010"
"5907 01440000","R-10","R - Single Family/Cabin","30  BANDON CIR","London Grove",2002,"1991 or Later","2001-2010"
"5908 00540500","R-10","R - Single Family/Cabin","35  HOLLY DR","London Grove",1960,"Before 1991","1951-1960"
"5908 00540600","R-10","R - Single Family/Cabin","212  CHESTNUT RD","London Grove",1961,"Before 1991","1961-1970"
"5908 00540700","R-10","R - Single Family/Cabin","25  HOLLY DR","London Grove",1961,"Before 1991","1961-1970"
"5908 00540900","R-10","R - Single Family/Cabin","5  HOLLY DR","London Grove",1976,"Before 1991","1971-1980"
"5908 00550000","R-10","R - Single Family/Cabin","10  HOLLY DR","London Grove",1960,"Before 1991","1951-1960"
"5908 00560000","R-10","R - Single Family/Cabin","20  HOLLY DR","London Grove",1960,"Before 1991","1951-1960"
"5908 00560100","R-10","R - Single Family/Cabin","30  HOLLY DR","London Grove",1960,"Before 1991","1951-1960"
"5908 00560200","R-10","R - Single Family/Cabin","40  HOLLY DR","London Grove",1960,"Before 1991","1951-1960"
"5908 00570200","R-10","R - Single Family/Cabin","253  ROSE HILL RD","London Grove",1986,"Before 1991","1981-1990"
"5908 00570600","R-10","R - Single Family/Cabin","239  ROSE HILL RD","London Grove",1986,"Before 1991","1981-1990"
"5908 00570900","R-10","R - Single Family/Cabin","4  DINGEE RD","London Grove",1990,"Before 1991","1981-1990"
"5908 00571000","R-10","R - Single Family/Cabin","166 E STATE RD","London Grove",1860,"Before 1991","1950 or older"
"5908 00571100","R-10","R - Single Family/Cabin","6  DINGEE RD","London Grove",1988,"Before 1991","1981-1990"
"5908 006502A0","R-10","R - Single Family/Cabin","1  MEADOW WOOD LN","London Grove",1988,"Before 1991","1981-1990"
"5908 006502B0","R-10","R - Single Family/Cabin","2  MEADOW WOOD LN","London Grove",1988,"Before 1991","1981-1990"
"5908 006502C0","R-10","R - Single Family/Cabin","3  MEADOW WOOD LN","London Grove",1989,"Before 1991","1981-1990"
"5908 006502D0","R-10","R - Single Family/Cabin","4  MEADOW WOOD LN","London Grove",1988,"Before 1991","1981-1990"
"5908 006502E0","R-10","R - Single Family/Cabin","5  MEADOW WOOD LN","London Grove",1989,"Before 1991","1981-1990"
"5908 006502F0","R-10","R - Single Family/Cabin","6  MEADOW WOOD LN","London Grove",1988,"Before 1991","1981-1990"
"5908 006502G0","R-10","R - Single Family/Cabin","7  MEADOWWOODS LN","London Grove",1989,"Before 1991","1981-1990"
"5908 006502H0","R-10","R - Single Family/Cabin","8  MEADOW WOOD LN","London Grove",1990,"Before 1991","1981-1990"
"5908 006502J0","R-10","R - Single Family/Cabin","9  MEADOW WOOD LN","London Grove",1990,"Before 1991","1981-1990"
"5908 006502K0","R-10","R - Single Family/Cabin","10  MEADOW WOOD LN","London Grove",1990,"Before 1991","1981-1990"
"5908 006502L0","R-10","R - Single Family/Cabin","11  MEADOW WOOD LN","London Grove",1989,"Before 1991","1981-1990"
"5908 006502M0","R-10","R - Single Family/Cabin","12  MEADOW WOOD LN","London Grove",1990,"Before 1991","1981-1990"
"5908 006502N0","R-10","R - Single Family/Cabin","13  MEADOW WOOD LN","London Grove",1988,"Before 1991","1981-1990"
"5908 00780100","R-10","R - Single Family/Cabin","147  RAYMOND AVE","London Grove",1990,"Before 1991","1981-1990"
"5908 00900200","R-10","R - Single Family/Cabin","102 E STATE RD","London Grove",2003,"1991 or Later","2001-2010"
"5908 00920200","R-10","R - Single Family/Cabin","105  CARDINAL CRT","London Grove",2020,"1991 or Later","2011-2022"
"5908 00920300","R-10","R - Single Family/Cabin","107  CARDINAL CRT","London Grove",2022,"1991 or Later","2011-2022"
"5908 00920400","R-10","R - Single Family/Cabin","109  CARDINAL CRT","London Grove",2021,"1991 or Later","2011-2022"
"5908 00920500","R-10","R - Single Family/Cabin","114  CARDINAL CRT","London Grove",2022,"1991 or Later","2011-2022"
"5908 00920600","R-10","R - Single Family/Cabin","112  CARDINAL CRT","London Grove",2021,"1991 or Later","2011-2022"
"5908 00920700","R-10","R - Single Family/Cabin","110  CARDINAL CRT","London Grove",2021,"1991 or Later","2011-2022"
"5908 00920800","R-10","R - Single Family/Cabin","108  CARDINAL CRT","London Grove",2021,"1991 or Later","2011-2022"
"5908 00920900","R-10","R - Single Family/Cabin","106  CARDINAL CRT","London Grove",2021,"1991 or Later","2011-2022"
"5908 00921000","R-10","R - Single Family/Cabin","102  CARDINAL CRT","London Grove",2021,"1991 or Later","2011-2022"
"5908 00921100","R-10","R - Single Family/Cabin","301  PURPLE MARTIN LN","London Grove",2021,"1991 or Later","2011-2022"
