"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"4602 00500300","R-10","R - Single Family/Cabin","148  DALEVILLE RD","Londonderry",1900,"Before 1991","1950 or older"
"4602 00520000","R-10","R - Single Family/Cabin","180  FERNWOOD RD","Londonderry",2002,"1991 or Later","2001-2010"
"4602 00520300","R-10","R - Single Family/Cabin","190  FERNWOOD RD","Londonderry",1988,"Before 1991","1981-1990"
"4602 00530100","R-10","R - Single Family/Cabin","221  DERRY MEETING RD","Londonderry",1900,"Before 1991","1950 or older"
"4602 00550000","R-10","R - Single Family/Cabin","140  DALEVILLE RD","Londonderry",1900,"Before 1991","1950 or older"
"4602 00560000","R-10","R - Single Family/Cabin","2122  GAP NEWPORT PK","Londonderry",2006,"1991 or Later","2001-2010"
"4602 005601B0","R-10","R - Single Family/Cabin","2112  GAP NEWPORT PK","Londonderry",1992,"1991 or Later","1991-2000"
"4602 00570000","R-10","R - Single Family/Cabin","2130  GAP NEWPORT PK","Londonderry",1900,"Before 1991","1950 or older"
"4602 00630200","R-10","R - Single Family/Cabin","635  STREET RD","Londonderry",1900,"Before 1991","1950 or older"
"4602 00640000","R-10","R - Single Family/Cabin","640  JENNERSVILLE RD","Londonderry",1966,"Before 1991","1961-1970"
"4602 00650100","R-10","R - Single Family/Cabin","259  DALEVILLE RD","Londonderry",1900,"Before 1991","1950 or older"
"4602 01660000","R-10","R - Single Family/Cabin","10  BITTERSWEET DR","Londonderry",2002,"1991 or Later","2001-2010"
"4602 01710000","R-10","R - Single Family/Cabin","114  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01720000","R-10","R - Single Family/Cabin","118  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01730000","R-10","R - Single Family/Cabin","122  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01740000","R-10","R - Single Family/Cabin","126  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01750000","R-10","R - Single Family/Cabin","130  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01760000","R-10","R - Single Family/Cabin","134  HEMLOCK DR","Londonderry",1986,"Before 1991","1981-1990"
"4602 01780000","R-10","R - Single Family/Cabin","138  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01790000","R-10","R - Single Family/Cabin","142  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01800000","R-10","R - Single Family/Cabin","146  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01810000","R-10","R - Single Family/Cabin","150  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01820000","R-10","R - Single Family/Cabin","154  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01830000","R-10","R - Single Family/Cabin","158  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01840000","R-10","R - Single Family/Cabin","162  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01850000","R-10","R - Single Family/Cabin","166  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01860000","R-10","R - Single Family/Cabin","170  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01870000","R-10","R - Single Family/Cabin","161  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01880000","R-10","R - Single Family/Cabin","143  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01890000","R-10","R - Single Family/Cabin","127  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01900000","R-10","R - Single Family/Cabin","167  HEMLOCK DR","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01940000","R-10","R - Single Family/Cabin","202  COLUMBA ST","Londonderry",2008,"1991 or Later","2001-2010"
"4602 01950000","R-10","R - Single Family/Cabin","204  COLUMBA ST","Londonderry",2009,"1991 or Later","2001-2010"
"4602 01960000","R-10","R - Single Family/Cabin","206  COLUMBA ST","Londonderry",2006,"1991 or Later","2001-2010"
"4602 01970000","R-10","R - Single Family/Cabin","208  COLUMBA ST","Londonderry",2007,"1991 or Later","2001-2010"
"4602 01980000","R-10","R - Single Family/Cabin","210  COLUMBA ST","Londonderry",2008,"1991 or Later","2001-2010"
"4602 01990000","R-10","R - Single Family/Cabin","212  COLUMBA ST","Londonderry",2007,"1991 or Later","2001-2010"
"4602 02000000","R-10","R - Single Family/Cabin","214  COLUMBA ST","Londonderry",2008,"1991 or Later","2001-2010"
"4602 02010000","R-10","R - Single Family/Cabin","216  COLUMBA ST","Londonderry",2008,"1991 or Later","2001-2010"
"4602 02020000","R-10","R - Single Family/Cabin","218  COLUMBA ST","Londonderry",2007,"1991 or Later","2001-2010"
"4602 02030000","R-10","R - Single Family/Cabin","220  COLUMBA ST","Londonderry",2009,"1991 or Later","2001-2010"
"4602 02040000","R-10","R - Single Family/Cabin","222  COLUMBA ST","Londonderry",2009,"1991 or Later","2001-2010"
"4602 02050000","R-10","R - Single Family/Cabin","224  COLUMBA ST","Londonderry",2008,"1991 or Later","2001-2010"
"4602 02060000","R-10","R - Single Family/Cabin","226  COLUMBA ST","Londonderry",2007,"1991 or Later","2001-2010"
"4602 02070000","R-10","R - Single Family/Cabin","228  COLUMBA ST","Londonderry",2006,"1991 or Later","2001-2010"
"4602 02080000","R-10","R - Single Family/Cabin","230  COLUMBA ST","Londonderry",2006,"1991 or Later","2001-2010"
