"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"5603 003902B0","R-10","R - Single Family/Cabin","419  SCROGGY RD","Lower Oxford",1987,"Before 1991","1981-1990"
"5603 006201B0","R-10","R - Single Family/Cabin","380  UNION SCHOOL RD","Lower Oxford",2009,"1991 or Later","2001-2010"
"5603 00694500","R-10","R - Single Family/Cabin","223  WYNCOTE DR","Lower Oxford",1999,"1991 or Later","1991-2000"
"5604 00070600","R-10","R - Single Family/Cabin","103  TOWNSHIP RD","Lower Oxford",1978,"Before 1991","1971-1980"
"5604 003915N0","R-10","R - Single Family/Cabin","109  LAVENDER CRT","Lower Oxford",2016,"1991 or Later","2011-2022"
"5604 00540400","R-10","R - Single Family/Cabin","141  JANES LN","Lower Oxford",1974,"Before 1991","1971-1980"
"5604 00540500","R-10","R - Single Family/Cabin","101  JANES LN","Lower Oxford",1976,"Before 1991","1971-1980"
"5604 00540800","R-10","R - Single Family/Cabin","121  JANES LN","Lower Oxford",1988,"Before 1991","1981-1990"
"5604 00541000","R-10","R - Single Family/Cabin","172  JANES LN","Lower Oxford",1978,"Before 1991","1971-1980"
"5604 00541100","R-10","R - Single Family/Cabin","162  JANES LN","Lower Oxford",1986,"Before 1991","1981-1990"
"5604 00541300","R-10","R - Single Family/Cabin","142  JANES LN","Lower Oxford",1987,"Before 1991","1981-1990"
"5604 00541500","R-10","R - Single Family/Cabin","122  JANES LN","Lower Oxford",1990,"Before 1991","1981-1990"
"5604 00541600","R-10","R - Single Family/Cabin","112  JANES LN","Lower Oxford",1987,"Before 1991","1981-1990"
"5604 00541700","R-10","R - Single Family/Cabin","102  JANES LN","Lower Oxford",1987,"Before 1991","1981-1990"
"5604 005910A0","R-10","R - Single Family/Cabin","115  HILL LN","Lower Oxford",1997,"1991 or Later","1991-2000"
"5604 01470000","R-10","R - Single Family/Cabin","214  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01480000","R-10","R - Single Family/Cabin","220  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01490000","R-10","R - Single Family/Cabin","224  GREENWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 01500000","R-10","R - Single Family/Cabin","230  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01510000","R-10","R - Single Family/Cabin","234  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01520000","R-10","R - Single Family/Cabin","242  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01530000","R-10","R - Single Family/Cabin","246  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01540000","R-10","R - Single Family/Cabin","256  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01550000","R-10","R - Single Family/Cabin","260  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01560000","R-10","R - Single Family/Cabin","270  GREENWOOD DR","Lower Oxford",2020,"1991 or Later","2011-2022"
"5604 01570000","R-10","R - Single Family/Cabin","274  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01580000","R-10","R - Single Family/Cabin","284  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01590000","R-10","R - Single Family/Cabin","288  GREENWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 01600000","R-10","R - Single Family/Cabin","294  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01610000","R-10","R - Single Family/Cabin","298  GREENWOOD DR","Lower Oxford",2020,"1991 or Later","2011-2022"
"5604 01800000","R-10","R - Single Family/Cabin","312  GREENWOOD DR","Lower Oxford",2020,"1991 or Later","2011-2022"
"5604 01810000","R-10","R - Single Family/Cabin","316  GREENWOOD DR","Lower Oxford",2020,"1991 or Later","2011-2022"
"5604 01840000","R-10","R - Single Family/Cabin","305  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01850000","R-10","R - Single Family/Cabin","309  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01860000","R-10","R - Single Family/Cabin","244  FLINTWOOD DR","Lower Oxford",2023,"1991 or Later","2011-2022"
"5604 01870000","R-10","R - Single Family/Cabin","240  FLINTWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 01960000","R-10","R - Single Family/Cabin","215  GREENWOOD DR","Lower Oxford",2020,"1991 or Later","2011-2022"
"5604 01970000","R-10","R - Single Family/Cabin","219  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 01980000","R-10","R - Single Family/Cabin","237  GREENWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 01990000","R-10","R - Single Family/Cabin","239  GREENWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02000000","R-10","R - Single Family/Cabin","249  GREENWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02010000","R-10","R - Single Family/Cabin","253  GREENWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02020000","R-10","R - Single Family/Cabin","263  GREENWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02030000","R-10","R - Single Family/Cabin","267  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 02040000","R-10","R - Single Family/Cabin","277  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 02050000","R-10","R - Single Family/Cabin","281  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 02060000","R-10","R - Single Family/Cabin","289  GREENWOOD DR","Lower Oxford",2021,"1991 or Later","2011-2022"
"5604 02070000","R-10","R - Single Family/Cabin","293  GREENWOOD DR","Lower Oxford",2020,"1991 or Later","2011-2022"
"5604 02140000","R-10","R - Single Family/Cabin","112  JUNIPER DR","Lower Oxford",2023,"1991 or Later","2011-2022"
"5604 02150000","R-10","R - Single Family/Cabin","108  JUNIPER DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02160000","R-10","R - Single Family/Cabin","209  FLINTWOOD DR","Lower Oxford",2023,"1991 or Later","2011-2022"
"5604 02190000","R-10","R - Single Family/Cabin","225  FLINTWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02220000","R-10","R - Single Family/Cabin","245  FLINTWOOD DR","Lower Oxford",2023,"1991 or Later","2011-2022"
"5604 02230000","R-10","R - Single Family/Cabin","249  FLINTWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02240000","R-10","R - Single Family/Cabin","107  HINSON DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02340000","R-10","R - Single Family/Cabin","101  GREENWOOD DR","Lower Oxford",2023,"1991 or Later","2011-2022"
"5604 02350000","R-10","R - Single Family/Cabin","105  GREENWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02360000","R-10","R - Single Family/Cabin","210  HINSON DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02370000","R-10","R - Single Family/Cabin","204  HINSON DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02950000","R-10","R - Single Family/Cabin","716  GREENWOOD DR","Lower Oxford",2023,"1991 or Later","2011-2022"
"5604 02960000","R-10","R - Single Family/Cabin","708  GREENWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5604 02970000","R-10","R - Single Family/Cabin","704  GREENWOOD DR","Lower Oxford",2022,"1991 or Later","2011-2022"
"5607 00370000","R-10","R - Single Family/Cabin","5612  FORGE RD","Lower Oxford",1900,"Before 1991","1950 or older"
"5607 00390700","R-10","R - Single Family/Cabin","137  FIELDSTONE DR","Lower Oxford",2003,"1991 or Later","2001-2010"
"5607 00390900","R-10","R - Single Family/Cabin","119  FIELDSTONE DR","Lower Oxford",2005,"1991 or Later","2001-2010"
"5607K00020000","R-10","R - Single Family/Cabin","4825  FORGE RD","Lower Oxford",1952,"Before 1991","1951-1960"
"5607K00030000","R-10","R - Single Family/Cabin","4801  FORGE RD","Lower Oxford",1952,"Before 1991","1951-1960"
"5607K00040000","R-10","R - Single Family/Cabin","4775  FORGE RD","Lower Oxford",1952,"Before 1991","1951-1960"
"5607K00050000","R-10","R - Single Family/Cabin","4751  FORGE RD","Lower Oxford",1952,"Before 1991","1951-1960"
"5607K00060000","R-10","R - Single Family/Cabin","4725  FORGE RD","Lower Oxford",1952,"Before 1991","1951-1960"
"5607K00070000","R-10","R - Single Family/Cabin","4701  FORGE RD","Lower Oxford",1952,"Before 1991","1951-1960"
"5607K00080000","R-10","R - Single Family/Cabin","4675  FORGE RD","Lower Oxford",1952,"Before 1991","1951-1960"
"5607K00090000","R-10","R - Single Family/Cabin","4651  FORGE RD","Lower Oxford",1952,"Before 1991","1951-1960"
"5607K00100000","R-10","R - Single Family/Cabin","4625  FORGE RD","Lower Oxford",1952,"Before 1991","1951-1960"
"5608 00020000","R-10","R - Single Family/Cabin","361  LANCASTER PK","Lower Oxford",1885,"Before 1991","1950 or older"
"5608 00020100","R-10","R - Single Family/Cabin","391  LANCASTER AVE","Lower Oxford",1960,"Before 1991","1951-1960"
"5608 00020300","R-10","R - Single Family/Cabin","3700  LANCASTER PK","Lower Oxford",1960,"Before 1991","1951-1960"
"5608 00020400","R-10","R - Single Family/Cabin","383  LANCASTER PK","Lower Oxford",1962,"Before 1991","1961-1970"
"5608 00020500","R-10","R - Single Family/Cabin","351  LANCASTER PK","Lower Oxford",1961,"Before 1991","1961-1970"
"5608 00030000","R-10","R - Single Family/Cabin","375  LANCASTER PK","Lower Oxford",1970,"Before 1991","1961-1970"
"5608 00070100","R-10","R - Single Family/Cabin","335  LANCASTER PK","Lower Oxford",1966,"Before 1991","1961-1970"
"5608 00150200","R-10","R - Single Family/Cabin","223  LANCASTER PK","Lower Oxford",1900,"Before 1991","1950 or older"
"5608 00170000","R-10","R - Single Family/Cabin","129  LANCASTER PK","Lower Oxford",1957,"Before 1991","1951-1960"
"5608 00180000","R-10","R - Single Family/Cabin","125  LANCASTER AVE","Lower Oxford",1957,"Before 1991","1951-1960"
"5608 00190000","R-10","R - Single Family/Cabin","121  LANCASTER PK","Lower Oxford",1955,"Before 1991","1951-1960"
"5608 00210000","R-10","R - Single Family/Cabin","113  LANCASTER PK","Lower Oxford",1955,"Before 1991","1951-1960"
"5608 00220000","R-10","R - Single Family/Cabin","109  LANCASTER PK","Lower Oxford",1957,"Before 1991","1951-1960"
"5608 00240000","R-10","R - Single Family/Cabin","1  MOUNT VERNON ST","Lower Oxford",1930,"Before 1991","1950 or older"
"5608 00270000","R-10","R - Single Family/Cabin","75 W HILLSIDE DR","Lower Oxford",2005,"1991 or Later","2001-2010"
"5608 00280000","R-10","R - Single Family/Cabin","115  SCROGGY RD","Lower Oxford",1932,"Before 1991","1950 or older"
"5608 00290000","R-10","R - Single Family/Cabin","117  SCROGGY RD","Lower Oxford",1953,"Before 1991","1951-1960"
"5608 00300000","R-10","R - Single Family/Cabin","121  SCROGGY RD","Lower Oxford",1957,"Before 1991","1951-1960"
"5608 00320000","R-10","R - Single Family/Cabin","131  SCROGGY RD","Lower Oxford",1917,"Before 1991","1950 or older"
"5608 00330000","R-61","C - Dwelling W/Comm Use Primary C","141  SCROGGY RD","Lower Oxford",1950,"Before 1991","1950 or older"
"5608 00330000","R-61","C - Dwelling W/Comm Use Primary C","141  SCROGGY RD","Lower Oxford",1917,"Before 1991","1950 or older"
"5608 00340000","R-10","R - Single Family/Cabin","143  SCROGGY RD","Lower Oxford",1917,"Before 1991","1950 or older"
"5608 00360000","R-10","R - Single Family/Cabin","151  SCROGGY RD","Lower Oxford",1955,"Before 1991","1951-1960"
"5608 00370000","R-10","R - Single Family/Cabin","3100  SCROGGY RD","Lower Oxford",1950,"Before 1991","1950 or older"
"5608 00380100","R-10","R - Single Family/Cabin","159  SCROGGY RD","Lower Oxford",1957,"Before 1991","1951-1960"
"5608 00380300","R-10","R - Single Family/Cabin","197  SCROGGY RD","Lower Oxford",1966,"Before 1991","1961-1970"
"5608 00380400","R-10","R - Single Family/Cabin","163  SCROGGY RD","Lower Oxford",1966,"Before 1991","1961-1970"
"5608 00420000","R-10","R - Single Family/Cabin","3600  SCROGGY RD","Lower Oxford",1993,"1991 or Later","1991-2000"
"5608 00420100","R-10","R - Single Family/Cabin","215  SCROGGY RD","Lower Oxford",1993,"1991 or Later","1991-2000"
"5608 00430000","R-10","R - Single Family/Cabin","219  SCROGGY RD","Lower Oxford",1994,"1991 or Later","1991-2000"
"5608 00450000","R-10","R - Single Family/Cabin","227  SCROGGY RD","Lower Oxford",1965,"Before 1991","1961-1970"
"5608 00460000","R-10","R - Single Family/Cabin","231  SCROGGY RD","Lower Oxford",1960,"Before 1991","1951-1960"
"5608 00470000","R-10","R - Single Family/Cabin","235  SCROGGY RD","Lower Oxford",1954,"Before 1991","1951-1960"
"5608 00470100","R-10","R - Single Family/Cabin","239  SCROGGY RD","Lower Oxford",1992,"1991 or Later","1991-2000"
"5608 00540000","R-10","R - Single Family/Cabin","4400  SCROGGY RD","Lower Oxford",1974,"Before 1991","1971-1980"
"5608 00580000","R-10","R - Single Family/Cabin","150  SCROGGY RD","Lower Oxford",1952,"Before 1991","1951-1960"
"5608 00610100","R-10","R - Single Family/Cabin","130  SCROGGY RD","Lower Oxford",1959,"Before 1991","1951-1960"
"5608 00610200","R-10","R - Single Family/Cabin","132  SCROGGY RD","Lower Oxford",1959,"Before 1991","1951-1960"
"5608 00620000","R-10","R - Single Family/Cabin","128  SCROGGY RD","Lower Oxford",1956,"Before 1991","1951-1960"
"5608 00640000","R-10","R - Single Family/Cabin","120  SCROGGY RD","Lower Oxford",1955,"Before 1991","1951-1960"
"5608 00650000","R-10","R - Single Family/Cabin","1100  SCROGGY RD","Lower Oxford",1949,"Before 1991","1950 or older"
"5608 00660000","R-10","R - Single Family/Cabin","114  SCROGGY RD","Lower Oxford",1947,"Before 1991","1950 or older"
"5608 00670000","R-10","R - Single Family/Cabin","110  SCROGGY RD","Lower Oxford",1956,"Before 1991","1951-1960"
"5608 00680000","R-60","R - Dwelling W/Comm Use Primary R","106  SCROGGY RD","Lower Oxford",1927,"Before 1991","1950 or older"
"5608 00680100","R-10","R - Single Family/Cabin","102  SCROGGY RD","Lower Oxford",1959,"Before 1991","1951-1960"
"5608 00720000","R-10","R - Single Family/Cabin","2300  LIMESTONE RD","Lower Oxford",1927,"Before 1991","1950 or older"
"5608 00730000","R-61","C - Dwelling W/Comm Use Primary C","187  LIMESTONE RD","Lower Oxford",1947,"Before 1991","1950 or older"
"5608 00740000","R-10","R - Single Family/Cabin","193  LIMESTONE RD","Lower Oxford",1954,"Before 1991","1951-1960"
