"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0201 00010000","R-10","R - Single Family/Cabin","277  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00020000","R-10","R - Single Family/Cabin","251  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00030000","R-10","R - Single Family/Cabin","249  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00040000","R-10","R - Single Family/Cabin","247  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00050000","R-10","R - Single Family/Cabin","245  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00060000","R-10","R - Single Family/Cabin","243  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00070000","R-10","R - Single Family/Cabin","241  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00080000","R-10","R - Single Family/Cabin","239  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00090000","R-10","R - Single Family/Cabin","284  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00100000","R-10","R - Single Family/Cabin","283  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00110000","R-10","R - Single Family/Cabin","282  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00120000","R-10","R - Single Family/Cabin","281  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00130000","R-10","R - Single Family/Cabin","280  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00140000","R-10","R - Single Family/Cabin","279  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00150000","R-10","R - Single Family/Cabin","278  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00160000","R-10","R - Single Family/Cabin","276  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00170000","R-10","R - Single Family/Cabin","275  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00180000","R-10","R - Single Family/Cabin","274  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00190000","R-10","R - Single Family/Cabin","273  VALLEY VIEW RD","Malvern",1953,"Before 1991","1951-1960"
"0201 00200000","R-10","R - Single Family/Cabin","272  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00210000","R-10","R - Single Family/Cabin","270  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00220000","R-10","R - Single Family/Cabin","268  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00230000","R-10","R - Single Family/Cabin","266  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00240000","R-10","R - Single Family/Cabin","264  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00250000","R-10","R - Single Family/Cabin","262  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00260000","R-10","R - Single Family/Cabin","260  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00270000","R-10","R - Single Family/Cabin","258  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00280000","R-10","R - Single Family/Cabin","256  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00290000","R-10","R - Single Family/Cabin","254  MINER ST","Malvern",1953,"Before 1991","1951-1960"
"0201 00300000","R-10","R - Single Family/Cabin","252  MINER ST","Malvern",1953,"Before 1991","1951-1960"
