"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1001 00110000","R-10","R - Single Family/Cabin","126 N BRANDYWINE AVE","Modena",1900,"Before 1991","1950 or older"
"1003 00030000","R-10","R - Single Family/Cabin","12  BAKER ST","Modena",1920,"Before 1991","1950 or older"
"1003 00040000","R-10","R - Single Family/Cabin","8  BAKER ST","Modena",1947,"Before 1991","1950 or older"
"1003 00050000","R-10","R - Single Family/Cabin","2  BELMAR ST","Modena",1907,"Before 1991","1950 or older"
"1003 00060000","R-10","R - Single Family/Cabin","6  BELMAR ST","Modena",1900,"Before 1991","1950 or older"
"1003 00120000","R-10","R - Single Family/Cabin","7  MARY ST","Modena",1910,"Before 1991","1950 or older"
"1003 00130000","R-10","R - Single Family/Cabin","5  MARY ST","Modena",1910,"Before 1991","1950 or older"
"1003 00140000","R-10","R - Single Family/Cabin","16  WOODLAND AVE","Modena",1900,"Before 1991","1950 or older"
"1003 00150000","R-10","R - Single Family/Cabin","14  WOODLAND AVE","Modena",1900,"Before 1991","1950 or older"
"1003 00160000","R-10","R - Single Family/Cabin","10  WOODLAND AVE","Modena",1910,"Before 1991","1950 or older"
"1003 00170000","R-10","R - Single Family/Cabin","12  WOODLAND AVE","Modena",1910,"Before 1991","1950 or older"
"1003 00170100","R-10","R - Single Family/Cabin","1  MARY ST","Modena",1910,"Before 1991","1950 or older"
"1003 00180000","R-10","R - Single Family/Cabin","3  MARY ST","Modena",1910,"Before 1991","1950 or older"
"1003 00200000","R-10","R - Single Family/Cabin","11  BAKER ST","Modena",2018,"1991 or Later","2011-2022"
"1003 00210000","R-10","R - Single Family/Cabin","9  BAKER ST","Modena",1993,"1991 or Later","1991-2000"
"1003 00220000","R-10","R - Single Family/Cabin","3  JOHNSON ST","Modena",1957,"Before 1991","1951-1960"
"1003 00230000","R-10","R - Single Family/Cabin","6  CLINTON ST","Modena",1953,"Before 1991","1951-1960"
"1003 00250000","R-10","R - Single Family/Cabin","10  CLINTON ST","Modena",1989,"Before 1991","1981-1990"
"1003 00270000","R-10","R - Single Family/Cabin","11  MARY ST","Modena",1900,"Before 1991","1950 or older"
"1003 00280000","R-10","R - Single Family/Cabin","13  MARY ST","Modena",1950,"Before 1991","1950 or older"
"1003 00290000","R-10","R - Single Family/Cabin","15  MARY ST","Modena",1940,"Before 1991","1950 or older"
"1003 00300000","R-10","R - Single Family/Cabin","17  MARY ST","Modena",1940,"Before 1991","1950 or older"
"1003 00310000","R-10","R - Single Family/Cabin","7  BAKER ST","Modena",1950,"Before 1991","1950 or older"
"1003 00320000","R-10","R - Single Family/Cabin","3  BAKER ST","Modena",1952,"Before 1991","1951-1960"
"1003 00340000","R-10","R - Single Family/Cabin","14  MARY ST","Modena",1977,"Before 1991","1971-1980"
"1003 00350000","R-10","R - Single Family/Cabin","12  MARY ST","Modena",1950,"Before 1991","1950 or older"
"1003 00360000","R-10","R - Single Family/Cabin","10  MARY ST","Modena",1950,"Before 1991","1950 or older"
"1003 00370000","R-10","R - Single Family/Cabin","125 N BRANDYWINE AVE","Modena",1942,"Before 1991","1950 or older"
"1003 00380000","R-10","R - Single Family/Cabin","123 N BRANDYWINE AVE","Modena",1950,"Before 1991","1950 or older"
"1003 00390000","R-10","R - Single Family/Cabin","121 N BRANDYWINE AVE","Modena",1900,"Before 1991","1950 or older"
"1003 00400000","R-10","R - Single Family/Cabin","119 N BRANDYWINE AVE","Modena",1900,"Before 1991","1950 or older"
"1003 00410000","R-10","R - Single Family/Cabin","113 N BRANDYWINE AVE","Modena",1910,"Before 1991","1950 or older"
"1003 00430000","R-10","R - Single Family/Cabin","109 N BRANDYWINE AVE","Modena",1921,"Before 1991","1950 or older"
"1003 00490000","R-10","R - Single Family/Cabin","35  WOODLAND AVE","Modena",1991,"1991 or Later","1991-2000"
"1003 00520000","R-10","R - Single Family/Cabin","29  WOODLAND AVE","Modena",1900,"Before 1991","1950 or older"
"1003 00520100","R-10","R - Single Family/Cabin","27  WOODLAND AVE","Modena",1900,"Before 1991","1950 or older"
"1003 00530000","R-10","R - Single Family/Cabin","25  WOODLAND AVE","Modena",1900,"Before 1991","1950 or older"
"1003 00540000","R-10","R - Single Family/Cabin","23  WOODLAND AVE","Modena",1900,"Before 1991","1950 or older"
"1003 00550000","R-10","R - Single Family/Cabin","21  WOODLAND AVE","Modena",1900,"Before 1991","1950 or older"
"1003 005603A0","R-10","R - Single Family/Cabin","19  WOODLAND AVE","Modena",1900,"Before 1991","1950 or older"
"1004 00070000","R-10","R - Single Family/Cabin","1  MORTONVILLE RD","Modena",1900,"Before 1991","1950 or older"
"1004 00250000","R-61","C - Dwelling W/Comm Use Primary C","108 N BRANDYWINE AVE","Modena",1920,"Before 1991","1950 or older"
"1004 00410000","R-40","A - Aparments (4-19 Units)","9  UNION ST","Modena",1910,"Before 1991","1950 or older"
"1004 00410500","R-20","R - Two Family","11  UNION ST","Modena",1930,"Before 1991","1950 or older"
"1004 00510000","R-40","A - Aparments (4-19 Units)","3 S BRANDYWINE AVE","Modena",1930,"Before 1991","1950 or older"
"1004 00900000","R-61","C - Dwelling W/Comm Use Primary C","492  HEPHZIBAH HILL RD","Modena",1920,"Before 1991","1950 or older"
"1004 01130100","R-10","R - Single Family/Cabin","4  HALL HILL RD","Modena",1950,"Before 1991","1950 or older"
"1005 00050200","R-10","R - Single Family/Cabin","61 S BRANDYWINE AVE","Modena",2001,"1991 or Later","2001-2010"
"1005 00050300","R-10","R - Single Family/Cabin","63 S BRANDYWINE AVE","Modena",2001,"1991 or Later","2001-2010"
"1004 00590000","R-70","R - Mobile Home","23 S BRANDYWINE AVE","Modena",NA,NA,NA
"1005 00050000","R-70","R - Mobile Home","73 S BRANDYWINE AVE","Modena",NA,NA,NA
"1005 00050400","R-70","R - Mobile Home","67 S BRANDYWINE AVE","Modena",NA,NA,NA
