"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"6001 00041900","R-10","R - Single Family/Cabin","204  DELAWARE CIR","New Garden",1997,"1991 or Later","1991-2000"
"6001 00043100","R-10","R - Single Family/Cabin","106  RONWAY DR","New Garden",1997,"1991 or Later","1991-2000"
"6001 00330100","R-10","R - Single Family/Cabin","1571 W BALTIMORE PK","New Garden",1900,"Before 1991","1950 or older"
"6001 00340000","R-10","R - Single Family/Cabin","1619 W BALTIMORE PK","New Garden",1977,"Before 1991","1971-1980"
"6001 00350100","R-10","R - Single Family/Cabin","1615 W BALTIMORE PK","New Garden",1900,"Before 1991","1950 or older"
"6001 00350200","R-10","R - Single Family/Cabin","1627 W BALTIMORE PK","New Garden",1989,"Before 1991","1981-1990"
"6001 00620000","R-10","R - Single Family/Cabin","1212  NEWARK RD","New Garden",1958,"Before 1991","1951-1960"
"6001 00620100","R-20","R - Two Family","1245 W BALTIMORE PK","New Garden",1930,"Before 1991","1950 or older"
"6001 00620100","R-20","R - Two Family","1245 W BALTIMORE PK","New Garden",1930,"Before 1991","1950 or older"
"6001 00620300","R-10","R - Single Family/Cabin","3  ROSEHILL LN","New Garden",2000,"1991 or Later","1991-2000"
"6001 00620400","R-10","R - Single Family/Cabin","4  ROSEHILL LN","New Garden",2002,"1991 or Later","2001-2010"
"6001 00860400","R-10","R - Single Family/Cabin","103  PEMBERTON VALLEY DR","New Garden",2008,"1991 or Later","2001-2010"
"6001 00860500","R-10","R - Single Family/Cabin","101  PEMBERTON VALLEY DR","New Garden",2008,"1991 or Later","2001-2010"
"6001 00860600","R-10","R - Single Family/Cabin","102  PEMBERTON VALLEY DR","New Garden",2007,"1991 or Later","2001-2010"
"6001 00860700","R-10","R - Single Family/Cabin","104  PEMBERTON VALLEY DR","New Garden",2007,"1991 or Later","2001-2010"
"6001 00860800","R-10","R - Single Family/Cabin","106  PEMBERTON VALLEY DR","New Garden",2011,"1991 or Later","2011-2022"
"6001 00860900","R-10","R - Single Family/Cabin","108  PEMBERTON VALLEY DR","New Garden",2011,"1991 or Later","2011-2022"
"6001 00861000","R-10","R - Single Family/Cabin","109  PEMBERTON VALLEY DR","New Garden",2008,"1991 or Later","2001-2010"
"6001 00861100","R-10","R - Single Family/Cabin","111  PEMBERTON VALLEY DR","New Garden",2008,"1991 or Later","2001-2010"
"6001 00861200","R-10","R - Single Family/Cabin","112  PEMBERTON VALLEY DR","New Garden",2008,"1991 or Later","2001-2010"
"6001 00861300","R-10","R - Single Family/Cabin","110  PEMBERTON VALLEY DR","New Garden",2008,"1991 or Later","2001-2010"
"6001 009201B0","R-10","R - Single Family/Cabin","1171 W BALTIMORE PK","New Garden",1900,"Before 1991","1950 or older"
"6001 00930000","R-10","R - Single Family/Cabin","1161 W BALTIMORE PK","New Garden",1979,"Before 1991","1971-1980"
"6001 00940000","R-10","R - Single Family/Cabin","1025 W BALTIMORE PK","New Garden",1900,"Before 1991","1950 or older"
"6001 00950000","R-10","R - Single Family/Cabin","1009 W BALTIMORE PK","New Garden",1962,"Before 1991","1961-1970"
"6001 00960000","R-61","C - Dwelling W/Comm Use Primary C","1005 W BALTIMORE PK","New Garden",1940,"Before 1991","1950 or older"
"6001 00990000","R-10","R - Single Family/Cabin","1160 W BALTIMORE PK","New Garden",1900,"Before 1991","1950 or older"
"6001 01000000","R-10","R - Single Family/Cabin","1170 W BALTIMORE PK","New Garden",1900,"Before 1991","1950 or older"
"6001 01050000","R-20","R - Two Family","146  CENTER ST","New Garden",1920,"Before 1991","1950 or older"
"6001 01060000","R-40","A - Aparments (4-19 Units)","130  CENTER ST","New Garden",1940,"Before 1991","1950 or older"
"6001 01090000","R-10","R - Single Family/Cabin","110  CENTER ST","New Garden",1954,"Before 1991","1951-1960"
"6001 01180000","R-10","R - Single Family/Cabin","759  BRIGHTON CIR","New Garden",1993,"1991 or Later","1991-2000"
"6001 01190000","R-10","R - Single Family/Cabin","755  BRIGHTON CIR","New Garden",1993,"1991 or Later","1991-2000"
"6001 01200000","R-10","R - Single Family/Cabin","229  GLENFIELD LN","New Garden",1996,"1991 or Later","1991-2000"
"6001 01210000","R-10","R - Single Family/Cabin","225  GLENFIELD LN","New Garden",1994,"1991 or Later","1991-2000"
"6001 01220000","R-10","R - Single Family/Cabin","221  GLENFIELD LN","New Garden",1994,"1991 or Later","1991-2000"
"6001 01230000","R-10","R - Single Family/Cabin","217  GLENFIELD LN","New Garden",1994,"1991 or Later","1991-2000"
"6001 01240000","R-10","R - Single Family/Cabin","213  GLENFIELD LN","New Garden",1994,"1991 or Later","1991-2000"
"6001 01250000","R-10","R - Single Family/Cabin","209  GLENFIELD LN","New Garden",1994,"1991 or Later","1991-2000"
"6001 01260000","R-10","R - Single Family/Cabin","205  GLENFIELD LN","New Garden",1995,"1991 or Later","1991-2000"
