"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"7101 00240300","R-10","R - Single Family/Cabin","1  LAURA LN","New London",1993,"1991 or Later","1991-2000"
"7101 00240400","R-10","R - Single Family/Cabin","3  LAURA LN","New London",1998,"1991 or Later","1991-2000"
"7101 00240500","R-10","R - Single Family/Cabin","5  LAURA LN","New London",1998,"1991 or Later","1991-2000"
"7101 00240600","R-10","R - Single Family/Cabin","7  LAURA LN","New London",1999,"1991 or Later","1991-2000"
"7101 00240700","R-10","R - Single Family/Cabin","520  SAGINAW RD","New London",1900,"Before 1991","1950 or older"
"7101 00240800","R-10","R - Single Family/Cabin","10  LAURA LN","New London",1994,"1991 or Later","1991-2000"
"7101 00240900","R-10","R - Single Family/Cabin","8  LAURA LN","New London",1996,"1991 or Later","1991-2000"
"7101 00241000","R-10","R - Single Family/Cabin","6  LAURA LN","New London",1995,"1991 or Later","1991-2000"
"7101 00241100","R-10","R - Single Family/Cabin","4  LAURA LN","New London",1998,"1991 or Later","1991-2000"
"7101 00241200","R-10","R - Single Family/Cabin","2  LAURA LN","New London",1997,"1991 or Later","1991-2000"
"7101 00241300","R-10","R - Single Family/Cabin","100  LOCUST DR","New London",1995,"1991 or Later","1991-2000"
"7101 00241400","R-10","R - Single Family/Cabin","102  LOCUST DR","New London",1998,"1991 or Later","1991-2000"
"7101 00241500","R-10","R - Single Family/Cabin","104  LOCUST DR","New London",1998,"1991 or Later","1991-2000"
"7101 00241600","R-10","R - Single Family/Cabin","106  LOCUST DR","New London",1996,"1991 or Later","1991-2000"
"7101 00241700","R-10","R - Single Family/Cabin","108  LOCUST DR","New London",1996,"1991 or Later","1991-2000"
"7101 00241800","R-10","R - Single Family/Cabin","110  LOCUST DR","New London",1996,"1991 or Later","1991-2000"
"7101 00241900","R-10","R - Single Family/Cabin","112  LOCUST DR","New London",1993,"1991 or Later","1991-2000"
"7101 00242000","R-10","R - Single Family/Cabin","114  LOCUST DR","New London",1992,"1991 or Later","1991-2000"
"7101 00242100","R-10","R - Single Family/Cabin","116  LOCUST DR","New London",1992,"1991 or Later","1991-2000"
"7101 00242200","R-10","R - Single Family/Cabin","200  LOCUST DR","New London",1992,"1991 or Later","1991-2000"
"7101 00242300","R-10","R - Single Family/Cabin","202  LOCUST DR","New London",1991,"1991 or Later","1991-2000"
"7101 00242500","R-10","R - Single Family/Cabin","206  LOCUST DR","New London",1992,"1991 or Later","1991-2000"
"7101 00242600","R-10","R - Single Family/Cabin","208  LOCUST DR","New London",1991,"1991 or Later","1991-2000"
