"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"4902 00840000","R-10","R - Single Family/Cabin","301  GROUNDHOG COLLEGE RD","Newlin",1972,"Before 1991","1971-1980"
"4905 00190000","R-10","R - Single Family/Cabin","100  BAILEY CIR","Newlin",2006,"1991 or Later","2001-2010"
"4905 00190200","R-10","R - Single Family/Cabin","102  BAILEY CIR","Newlin",2006,"1991 or Later","2001-2010"
"4905 00190300","R-10","R - Single Family/Cabin","104  BAILEY CIR","Newlin",2005,"1991 or Later","2001-2010"
"4905 00190400","R-10","R - Single Family/Cabin","106  BAILEY CIR","Newlin",2006,"1991 or Later","2001-2010"
"4905 00190500","R-10","R - Single Family/Cabin","108  BAILEY CIR","Newlin",2005,"1991 or Later","2001-2010"
"4905 00190600","R-10","R - Single Family/Cabin","110  BAILEY CIR","Newlin",2004,"1991 or Later","2001-2010"
"4905 00190700","R-10","R - Single Family/Cabin","112  BAILEY CIR","Newlin",2006,"1991 or Later","2001-2010"
"4905 00190800","R-10","R - Single Family/Cabin","114  BAILEY CIR","Newlin",2006,"1991 or Later","2001-2010"
"4905 00190900","R-10","R - Single Family/Cabin","113  BAILEY CIR","Newlin",2006,"1991 or Later","2001-2010"
"4905 00191000","R-10","R - Single Family/Cabin","111  BAILEY CIR","Newlin",2005,"1991 or Later","2001-2010"
"4905 00191100","R-10","R - Single Family/Cabin","109  BAILEY CIR","Newlin",2006,"1991 or Later","2001-2010"
"4905 00191200","R-10","R - Single Family/Cabin","201  LOREN LN","Newlin",2005,"1991 or Later","2001-2010"
"4905 00191300","R-10","R - Single Family/Cabin","200  LOREN LN","Newlin",2006,"1991 or Later","2001-2010"
"4905 00191400","R-10","R - Single Family/Cabin","107  BAILEY CIR","Newlin",2006,"1991 or Later","2001-2010"
"4905 00191500","R-10","R - Single Family/Cabin","105  BAILEY CIR","Newlin",2005,"1991 or Later","2001-2010"
"4905 00191600","R-10","R - Single Family/Cabin","103  BAILEY CIR","Newlin",2006,"1991 or Later","2001-2010"
"4905 00191700","R-10","R - Single Family/Cabin","101  BAILEY CIR","Newlin",2007,"1991 or Later","2001-2010"
"4905 00210600","R-10","R - Single Family/Cabin","101  NEWLIN GREENE CIR","Newlin",2006,"1991 or Later","2001-2010"
"4905 00220000","R-10","R - Single Family/Cabin","301  LAURALI DR","Newlin",2010,"1991 or Later","2001-2010"
"4905 00220100","R-10","R - Single Family/Cabin","400  WYNCHESTER WAY","Newlin",2004,"1991 or Later","2001-2010"
"4905 002201A0","R-10","R - Single Family/Cabin","402  WYNCHESTER WAY","Newlin",2003,"1991 or Later","2001-2010"
"4905 002201B0","R-10","R - Single Family/Cabin","404  WYNCHESTER WAY","Newlin",2004,"1991 or Later","2001-2010"
"4905 002201D0","R-10","R - Single Family/Cabin","407  WYNCHESTER WAY","Newlin",2003,"1991 or Later","2001-2010"
"4905 002201E0","R-10","R - Single Family/Cabin","405  WYNCHESTER WAY","Newlin",2003,"1991 or Later","2001-2010"
"4905 002201F0","R-10","R - Single Family/Cabin","403  WYNCHESTER WAY","Newlin",2003,"1991 or Later","2001-2010"
"4905 002201G0","R-10","R - Single Family/Cabin","401  WYNCHESTER WAY","Newlin",2023,"1991 or Later","2011-2022"
"4905 00220200","R-10","R - Single Family/Cabin","303  LAURALI DR","Newlin",2011,"1991 or Later","2011-2022"
"4905 00220300","R-10","R - Single Family/Cabin","307  LAURALI DR","Newlin",2008,"1991 or Later","2001-2010"
"4905 00220500","R-10","R - Single Family/Cabin","304  LAURALI DR","Newlin",2014,"1991 or Later","2011-2022"
"4905 00220600","R-10","R - Single Family/Cabin","302  LAURALI DR","Newlin",2011,"1991 or Later","2011-2022"
"4905 00560000","R-10","R - Single Family/Cabin","119  NEWLIN GREENE CIR","Newlin",2005,"1991 or Later","2001-2010"
"4905 00570000","R-10","R - Single Family/Cabin","117  NEWLIN GREENE CIR","Newlin",2003,"1991 or Later","2001-2010"
"4905 00580000","R-10","R - Single Family/Cabin","301  LISA LN","Newlin",2005,"1991 or Later","2001-2010"
"4905 00590000","R-10","R - Single Family/Cabin","300  LISA LN","Newlin",2004,"1991 or Later","2001-2010"
"4905 00600000","R-10","R - Single Family/Cabin","115  NEWLIN GREENE CIR","Newlin",2004,"1991 or Later","2001-2010"
"4905 00610000","R-10","R - Single Family/Cabin","113  NEWLIN GREENE CIR","Newlin",2002,"1991 or Later","2001-2010"
"4905 00620000","R-10","R - Single Family/Cabin","111  NEWLIN GREENE CIR","Newlin",2003,"1991 or Later","2001-2010"
"4905 00630000","R-10","R - Single Family/Cabin","200  KIMBERWYCK WAY","Newlin",2002,"1991 or Later","2001-2010"
"4905 00640000","R-10","R - Single Family/Cabin","202  KIMBERWYCK WAY","Newlin",2002,"1991 or Later","2001-2010"
"4905 00650000","R-10","R - Single Family/Cabin","204  KIMBERWYCK WAY","Newlin",2002,"1991 or Later","2001-2010"
"4905 00660000","R-10","R - Single Family/Cabin","206  KIMBERWYCK WAY","Newlin",2003,"1991 or Later","2001-2010"
"4905 00670000","R-10","R - Single Family/Cabin","205  KIMBERWYCK WAY","Newlin",2002,"1991 or Later","2001-2010"
"4905 00680000","R-10","R - Single Family/Cabin","203  KIMBERWYCK WAY","Newlin",2004,"1991 or Later","2001-2010"
"4905 00690000","R-10","R - Single Family/Cabin","201  KIMBERWYCK WAY","Newlin",2003,"1991 or Later","2001-2010"
"4905 00700000","R-10","R - Single Family/Cabin","109  NEWLIN GREENE CIR","Newlin",2004,"1991 or Later","2001-2010"
"4905 00710000","R-10","R - Single Family/Cabin","107  NEWLIN GREENE CIR","Newlin",2004,"1991 or Later","2001-2010"
"4905 00720000","R-10","R - Single Family/Cabin","105  NEWLIN GREENE CIR","Newlin",2005,"1991 or Later","2001-2010"
"4905 00730000","R-10","R - Single Family/Cabin","103  NEWLIN GREENE CIR","Newlin",2005,"1991 or Later","2001-2010"
"4905 00750100","R-10","R - Single Family/Cabin","500  JOSHUA WAY","Newlin",2006,"1991 or Later","2001-2010"
"4905 00750200","R-10","R - Single Family/Cabin","502  JOSHUA WAY","Newlin",2004,"1991 or Later","2001-2010"
"4905 00750300","R-10","R - Single Family/Cabin","504  JOSHUA WAY","Newlin",2004,"1991 or Later","2001-2010"
"4905 00750400","R-10","R - Single Family/Cabin","506  JOSHUA WAY","Newlin",2005,"1991 or Later","2001-2010"
"4905 00750500","R-10","R - Single Family/Cabin","508  JOSHUA WAY","Newlin",2003,"1991 or Later","2001-2010"
