"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1703 001301A0","R-10","R - Single Family/Cabin","627  LAURELWOOD RD","North Coventry",1961,"Before 1991","1961-1970"
"1703 00130300","R-10","R - Single Family/Cabin","633  LAURELWOOD RD","North Coventry",1859,"Before 1991","1950 or older"
"1703 00270000","R-10","R - Single Family/Cabin","356  RIVER RD","North Coventry",1954,"Before 1991","1951-1960"
"1703 00280000","R-20","R - Two Family","340  RIVER RD","North Coventry",1920,"Before 1991","1950 or older"
"1703 00810200","R-90","A - Apt Complex (20 or more units","616 W SCHUYLKILL RD","North Coventry",1968,"Before 1991","1961-1970"
"1703 00810200","R-90","A - Apt Complex (20 or more units","616 W SCHUYLKILL RD","North Coventry",1968,"Before 1991","1961-1970"
"1703 01080000","R-10","R - Single Family/Cabin","261  URNER ST","North Coventry",1985,"Before 1991","1981-1990"
"1703 01080100","R-10","R - Single Family/Cabin","259 W URNER ST","North Coventry",2005,"1991 or Later","2001-2010"
"1703 01260000","R-90","A - Apt Complex (20 or more units","16 E PARKWAY DR","North Coventry",1962,"Before 1991","1961-1970"
"1703 01260000","R-90","A - Apt Complex (20 or more units","16 E PARKWAY DR","North Coventry",1962,"Before 1991","1961-1970"
"1703 01270000","R-10","R - Single Family/Cabin","776 S HANOVER ST","North Coventry",1920,"Before 1991","1950 or older"
"1703 01270100","R-10","R - Single Family/Cabin","778 S HANOVER ST","North Coventry",1920,"Before 1991","1950 or older"
"1703 01270200","R-10","R - Single Family/Cabin","780 S HANOVER ST","North Coventry",2007,"1991 or Later","2001-2010"
"1703 01290000","R-90","A - Apt Complex (20 or more units","200 E SCHUYLKILL RD","North Coventry",1968,"Before 1991","1961-1970"
"1703 01290000","R-90","A - Apt Complex (20 or more units","200 E SCHUYLKILL RD","North Coventry",1968,"Before 1991","1961-1970"
"1703 01290000","R-90","A - Apt Complex (20 or more units","200 E SCHUYLKILL RD","North Coventry",1968,"Before 1991","1961-1970"
"1703 01290000","R-90","A - Apt Complex (20 or more units","200 E SCHUYLKILL RD","North Coventry",1968,"Before 1991","1961-1970"
"1703 01470400","R-40","A - Aparments (4-19 Units)","1115  DOGWOOD CRT","North Coventry",1966,"Before 1991","1961-1970"
"1703 01520000","R-10","R - Single Family/Cabin","1014 W CEDARVILLE RD","North Coventry",1955,"Before 1991","1951-1960"
