"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0601 00010000","R-10","R - Single Family/Cabin","247 E MOUNT VERNON ST","Oxford",1930,"Before 1991","1950 or older"
"0601 00010100","R-10","R - Single Family/Cabin","245 E MOUNT VERNON ST","Oxford",1930,"Before 1991","1950 or older"
"0601 00020000","R-20","R - Two Family","255 E MOUNT VERNON ST","Oxford",1950,"Before 1991","1950 or older"
"0601 00030000","R-10","R - Single Family/Cabin","261 E MOUNT VERNON ST","Oxford",1922,"Before 1991","1950 or older"
"0601 00040000","R-10","R - Single Family/Cabin","265 E MOUNT VERNON ST","Oxford",1923,"Before 1991","1950 or older"
"0601 00050000","R-10","R - Single Family/Cabin","269 E MOUNT VERNON ST","Oxford",1940,"Before 1991","1950 or older"
"0601 00060100","R-10","R - Single Family/Cabin","271 E MOUNT VERNON ST","Oxford",2003,"1991 or Later","2001-2010"
"0601 00070000","R-10","R - Single Family/Cabin","273 E MOUNT VERNON ST","Oxford",1920,"Before 1991","1950 or older"
"0601 00080000","R-10","R - Single Family/Cabin","279 E MOUNT VERNON ST","Oxford",1910,"Before 1991","1950 or older"
"0601 00090000","R-10","R - Single Family/Cabin","210 N THIRD ST","Oxford",1900,"Before 1991","1950 or older"
"0601 00100000","R-10","R - Single Family/Cabin","283 E MOUNT VERNON ST","Oxford",1949,"Before 1991","1950 or older"
"0601 00110100","R-10","R - Single Family/Cabin","200 N THIRD ST","Oxford",1900,"Before 1991","1950 or older"
"0601 00120000","R-10","R - Single Family/Cabin","204 N THIRD ST","Oxford",1900,"Before 1991","1950 or older"
"0601 00130000","R-10","R - Single Family/Cabin","301  WHEELER BLVD","Oxford",1920,"Before 1991","1950 or older"
"0601 00140000","R-10","R - Single Family/Cabin","225 N THIRD ST","Oxford",1940,"Before 1991","1950 or older"
"0601 00170000","R-10","R - Single Family/Cabin","220 N FOURTH ST","Oxford",1952,"Before 1991","1951-1960"
"0601 00180000","R-10","R - Single Family/Cabin","319  WHEELER BLVD","Oxford",1952,"Before 1991","1951-1960"
"0601 00190000","R-10","R - Single Family/Cabin","309  WHEELER BLVD","Oxford",1920,"Before 1991","1950 or older"
"0601 00200000","R-10","R - Single Family/Cabin","305  WHEELER BLVD","Oxford",1920,"Before 1991","1950 or older"
"0601 00210000","R-10","R - Single Family/Cabin","302  WHEELER BLVD","Oxford",1951,"Before 1991","1951-1960"
"0601 00220000","R-10","R - Single Family/Cabin","306  WHEELER BLVD","Oxford",1928,"Before 1991","1950 or older"
"0601 00230000","R-10","R - Single Family/Cabin","310  WHEELER BLVD","Oxford",1920,"Before 1991","1950 or older"
"0601 00250000","R-10","R - Single Family/Cabin","320  WHEELER BLVD","Oxford",1955,"Before 1991","1951-1960"
"0601 00260000","R-10","R - Single Family/Cabin","325  PARK ST","Oxford",1920,"Before 1991","1950 or older"
"0601 00270000","R-10","R - Single Family/Cabin","319  PARK ST","Oxford",1940,"Before 1991","1950 or older"
"0601 00280000","R-10","R - Single Family/Cabin","313  PARK ST","Oxford",1940,"Before 1991","1950 or older"
"0601 00300000","R-61","C - Dwelling W/Comm Use Primary C","245 N THIRD ST","Oxford",1965,"Before 1991","1961-1970"
"0601 00310000","R-10","R - Single Family/Cabin","208  PINE ST","Oxford",1996,"1991 or Later","1991-2000"
"0601 00320000","R-10","R - Single Family/Cabin","206  PINE ST","Oxford",1986,"Before 1991","1981-1990"
"0601 00330000","R-10","R - Single Family/Cabin","204  PINE ST","Oxford",1987,"Before 1991","1981-1990"
"0601 00350000","R-10","R - Single Family/Cabin","419 N BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00360000","R-10","R - Single Family/Cabin","417 N BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00370000","R-10","R - Single Family/Cabin","415 N BROOKSIDE DR","Oxford",2000,"1991 or Later","1991-2000"
"0601 00380000","R-10","R - Single Family/Cabin","413 N BROOKSIDE DR","Oxford",2000,"1991 or Later","1991-2000"
"0601 00390000","R-10","R - Single Family/Cabin","411 N BROOKSIDE DR","Oxford",2000,"1991 or Later","1991-2000"
"0601 00400000","R-10","R - Single Family/Cabin","409 N BROOKSIDE DR","Oxford",2002,"1991 or Later","2001-2010"
"0601 00410000","R-10","R - Single Family/Cabin","418 N BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00420000","R-10","R - Single Family/Cabin","416 N BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00430000","R-10","R - Single Family/Cabin","414 N BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00440000","R-10","R - Single Family/Cabin","412 N BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00450000","R-10","R - Single Family/Cabin","410 N BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00460000","R-10","R - Single Family/Cabin","408 N BROOKSIDE DR","Oxford",2000,"1991 or Later","1991-2000"
"0601 00470000","R-10","R - Single Family/Cabin","406 N BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00480000","R-10","R - Single Family/Cabin","404 N BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00490000","R-10","R - Single Family/Cabin","402 N BROOKSIDE DR","Oxford",2002,"1991 or Later","2001-2010"
"0601 00500000","R-10","R - Single Family/Cabin","331 S BROOKSIDE DR","Oxford",2002,"1991 or Later","2001-2010"
"0601 00510000","R-10","R - Single Family/Cabin","198  SEBASTIAN DR","Oxford",1999,"1991 or Later","1991-2000"
"0601 00520000","R-10","R - Single Family/Cabin","327 S BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00530000","R-10","R - Single Family/Cabin","325 S BROOKSIDE DR","Oxford",2000,"1991 or Later","1991-2000"
"0601 00540000","R-10","R - Single Family/Cabin","323 S BROOKSIDE DR","Oxford",2000,"1991 or Later","1991-2000"
"0601 00550000","R-10","R - Single Family/Cabin","321  BROOKSIDE DR","Oxford",1999,"1991 or Later","1991-2000"
"0601 00560000","R-10","R - Single Family/Cabin","319 S BROOKSIDE DR","Oxford",2000,"1991 or Later","1991-2000"
"0601 00570000","R-10","R - Single Family/Cabin","317 S BROOKSIDE DR","Oxford",2000,"1991 or Later","1991-2000"
"0601 00580000","R-10","R - Single Family/Cabin","315 S BROOKSIDE DR","Oxford",2000,"1991 or Later","1991-2000"
"0601 00590000","R-10","R - Single Family/Cabin","311 S BROOKSIDE DR","Oxford",2002,"1991 or Later","2001-2010"
"0601 00600000","R-10","R - Single Family/Cabin","202  MCLEOD DR","Oxford",1998,"1991 or Later","1991-2000"
"0601 00610000","R-10","R - Single Family/Cabin","204  MCLEOD DR","Oxford",2000,"1991 or Later","1991-2000"
"0601 00620000","R-10","R - Single Family/Cabin","206  MCLEOD DR","Oxford",1998,"1991 or Later","1991-2000"
"0601 00630000","R-10","R - Single Family/Cabin","208  MCLEOD DR","Oxford",1999,"1991 or Later","1991-2000"
"0601 00640000","R-10","R - Single Family/Cabin","207  MCLEOD DR","Oxford",1999,"1991 or Later","1991-2000"
"0601 00650000","R-10","R - Single Family/Cabin","205  MCLEOD DR","Oxford",1999,"1991 or Later","1991-2000"
"0601 00660000","R-10","R - Single Family/Cabin","203  MCLEOD DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00670000","R-10","R - Single Family/Cabin","305 S BROOKSIDE DR","Oxford",1999,"1991 or Later","1991-2000"
"0601 00680000","R-10","R - Single Family/Cabin","303 S BROOKSIDE DR","Oxford",2001,"1991 or Later","2001-2010"
"0601 00690000","R-10","R - Single Family/Cabin","301 S BROOKSIDE DR","Oxford",2002,"1991 or Later","2001-2010"
"0601 00700000","R-10","R - Single Family/Cabin","302 S BROOKSIDE DR","Oxford",1998,"1991 or Later","1991-2000"
"0601 00710000","R-10","R - Single Family/Cabin","304  BROOKSIDE DR","Oxford",1998,"1991 or Later","1991-2000"
