"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0802 00010100","R-90","A - Apt Complex (20 or more units","601  GREEN ST","Parkesburg",1981,"Before 1991","1981-1990"
"0802 00010100","R-90","A - Apt Complex (20 or more units","601  GREEN ST","Parkesburg",1981,"Before 1991","1981-1990"
"0803 00010000","R-10","R - Single Family/Cabin","402 N CULVERT ST","Parkesburg",1992,"1991 or Later","1991-2000"
"0803 00020300","R-10","R - Single Family/Cabin","421 N CULVERT ST","Parkesburg",1958,"Before 1991","1951-1960"
"0803 00020400","R-10","R - Single Family/Cabin","441 N CULVERT ST","Parkesburg",1962,"Before 1991","1961-1970"
"0803 00020500","R-10","R - Single Family/Cabin","401 N CULVERT ST","Parkesburg",1958,"Before 1991","1951-1960"
"0803 00020600","R-10","R - Single Family/Cabin","399 N CULVERT ST","Parkesburg",1962,"Before 1991","1961-1970"
"0803 00020900","R-10","R - Single Family/Cabin","500  WASHINGTON AVE","Parkesburg",1989,"Before 1991","1981-1990"
"0803 00021000","R-10","R - Single Family/Cabin","502  WASHINGTON AVE","Parkesburg",1989,"Before 1991","1981-1990"
"0803 00021100","R-10","R - Single Family/Cabin","504  WASHINGTON AVE","Parkesburg",1988,"Before 1991","1981-1990"
"0803 00021200","R-10","R - Single Family/Cabin","506  WASHINGTON AVE","Parkesburg",1988,"Before 1991","1981-1990"
"0803 00021300","R-10","R - Single Family/Cabin","508  WASHINGTON AVE","Parkesburg",1988,"Before 1991","1981-1990"
"0803 00021400","R-10","R - Single Family/Cabin","510  WASHINGTON AVE","Parkesburg",1989,"Before 1991","1981-1990"
"0803 00021500","R-10","R - Single Family/Cabin","515  WASHINGTON AVE","Parkesburg",1988,"Before 1991","1981-1990"
"0803 00021600","R-10","R - Single Family/Cabin","513  WASHINGTON AVE","Parkesburg",1988,"Before 1991","1981-1990"
"0803 00021700","R-10","R - Single Family/Cabin","511  WASHINGTON AVE","Parkesburg",1988,"Before 1991","1981-1990"
"0803 00021800","R-10","R - Single Family/Cabin","509  WASHINGTON AVE","Parkesburg",1988,"Before 1991","1981-1990"
"0803 00021900","R-10","R - Single Family/Cabin","507  WASHINGTON AVE","Parkesburg",1988,"Before 1991","1981-1990"
"0803 00022000","R-10","R - Single Family/Cabin","505  WASHINGTON AVE","Parkesburg",1988,"Before 1991","1981-1990"
"0803 00022100","R-10","R - Single Family/Cabin","503  WASHINGTON AVE","Parkesburg",1988,"Before 1991","1981-1990"
"0803 00022200","R-10","R - Single Family/Cabin","501  WASHINGTON AVE","Parkesburg",1989,"Before 1991","1981-1990"
"0803 00030000","R-10","R - Single Family/Cabin","510  OCTORARA AVE","Parkesburg",1977,"Before 1991","1971-1980"
"0803 00050000","R-10","R - Single Family/Cabin","500  OCTORARA AVE","Parkesburg",1961,"Before 1991","1961-1970"
"0803 00060000","R-10","R - Single Family/Cabin","410  OCTORARA AVE","Parkesburg",1900,"Before 1991","1950 or older"
"0803 00060100","R-10","R - Single Family/Cabin","448  WASHINGTON AVE","Parkesburg",1975,"Before 1991","1971-1980"
"0803 00060200","R-10","R - Single Family/Cabin","412  OCTORARA AVE","Parkesburg",2018,"1991 or Later","2011-2022"
"0803 00060300","R-10","R - Single Family/Cabin","414  OCTORARA AVE","Parkesburg",2018,"1991 or Later","2011-2022"
"0803 00080000","R-10","R - Single Family/Cabin","330  OCTORARA AVE","Parkesburg",1951,"Before 1991","1951-1960"
"0803 00090000","R-10","R - Single Family/Cabin","320  OCTORARA AVE","Parkesburg",1950,"Before 1991","1950 or older"
"0803 00100000","R-10","R - Single Family/Cabin","301  NORTH ST","Parkesburg",1970,"Before 1991","1961-1970"
