"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"5803 00270300","R-10","R - Single Family/Cabin","60  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00270400","R-10","R - Single Family/Cabin","58  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00270500","R-10","R - Single Family/Cabin","56  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00270600","R-10","R - Single Family/Cabin","55  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00270700","R-10","R - Single Family/Cabin","53  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00270800","R-10","R - Single Family/Cabin","3  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00270900","R-10","R - Single Family/Cabin","1  MYSTERY ROSE LN","Penn",2004,"1991 or Later","2001-2010"
"5803 00271000","R-10","R - Single Family/Cabin","2  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00271100","R-10","R - Single Family/Cabin","4  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00271200","R-10","R - Single Family/Cabin","6  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00271300","R-10","R - Single Family/Cabin","8  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00271400","R-10","R - Single Family/Cabin","110  TEA CRT","Penn",2002,"1991 or Later","2001-2010"
"5803 00271500","R-10","R - Single Family/Cabin","111  TEA CRT","Penn",2003,"1991 or Later","2001-2010"
"5803 00271600","R-10","R - Single Family/Cabin","112  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00271700","R-10","R - Single Family/Cabin","15  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00271800","R-10","R - Single Family/Cabin","13  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00271900","R-10","R - Single Family/Cabin","11  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00272000","R-10","R - Single Family/Cabin","9  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00272100","R-10","R - Single Family/Cabin","7  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00272200","R-10","R - Single Family/Cabin","5  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00272300","R-10","R - Single Family/Cabin","51  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00272700","R-10","R - Single Family/Cabin","62  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00272800","R-10","R - Single Family/Cabin","29  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00272900","R-10","R - Single Family/Cabin","27  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00273000","R-10","R - Single Family/Cabin","25  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00273100","R-10","R - Single Family/Cabin","23  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00273200","R-10","R - Single Family/Cabin","21  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00273300","R-10","R - Single Family/Cabin","19  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00273400","R-10","R - Single Family/Cabin","17  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00273500","R-10","R - Single Family/Cabin","14  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00273600","R-10","R - Single Family/Cabin","16  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00273700","R-10","R - Single Family/Cabin","18  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00273800","R-10","R - Single Family/Cabin","20  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00273900","R-10","R - Single Family/Cabin","22  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00274000","R-10","R - Single Family/Cabin","24  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00274100","R-10","R - Single Family/Cabin","26  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00274200","R-10","R - Single Family/Cabin","28  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00274300","R-10","R - Single Family/Cabin","30  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00274400","R-10","R - Single Family/Cabin","32  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00274500","R-10","R - Single Family/Cabin","54  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00274600","R-10","R - Single Family/Cabin","52  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00274700","R-10","R - Single Family/Cabin","50  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00274800","R-10","R - Single Family/Cabin","48  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00274900","R-10","R - Single Family/Cabin","46  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00275000","R-10","R - Single Family/Cabin","44  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00275100","R-10","R - Single Family/Cabin","42  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00275200","R-10","R - Single Family/Cabin","40  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00275300","R-10","R - Single Family/Cabin","38  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00275400","R-10","R - Single Family/Cabin","36  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00275500","R-10","R - Single Family/Cabin","238  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00275600","R-10","R - Single Family/Cabin","236  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00275700","R-10","R - Single Family/Cabin","234  CHINA CIR","Penn",2002,"1991 or Later","2001-2010"
"5803 00275800","R-10","R - Single Family/Cabin","232  CHINA CIR","Penn",2002,"1991 or Later","2001-2010"
"5803 00275900","R-10","R - Single Family/Cabin","230  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00276000","R-10","R - Single Family/Cabin","228  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00276100","R-10","R - Single Family/Cabin","226  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00276200","R-10","R - Single Family/Cabin","224  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00276300","R-10","R - Single Family/Cabin","222  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00276400","R-10","R - Single Family/Cabin","220  CHINA CIR","Penn",2002,"1991 or Later","2001-2010"
"5803 00276500","R-10","R - Single Family/Cabin","218  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00276600","R-10","R - Single Family/Cabin","216  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00276700","R-10","R - Single Family/Cabin","214  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00276800","R-10","R - Single Family/Cabin","212  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00276900","R-10","R - Single Family/Cabin","210  CHINA CIR","Penn",2003,"1991 or Later","2001-2010"
"5803 00277000","R-10","R - Single Family/Cabin","34  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00277100","R-10","R - Single Family/Cabin","31  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00277200","R-10","R - Single Family/Cabin","33  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00277300","R-10","R - Single Family/Cabin","35  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00277400","R-10","R - Single Family/Cabin","37  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00277500","R-10","R - Single Family/Cabin","39  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00277600","R-10","R - Single Family/Cabin","41  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00277700","R-10","R - Single Family/Cabin","43  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00277800","R-10","R - Single Family/Cabin","45  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00277900","R-10","R - Single Family/Cabin","47  MYSTERY ROSE LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00278000","R-10","R - Single Family/Cabin","49  MYSTERY ROSE LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00330000","R-10","R - Single Family/Cabin","11  ALLSMEER DR","Penn",2004,"1991 or Later","2001-2010"
"5803 00330200","R-10","R - Single Family/Cabin","78  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
"5803 00330300","R-10","R - Single Family/Cabin","76  ALLSMEER DR","Penn",2004,"1991 or Later","2001-2010"
"5803 00330400","R-10","R - Single Family/Cabin","74  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00330500","R-10","R - Single Family/Cabin","72  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00330600","R-10","R - Single Family/Cabin","70  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00330700","R-10","R - Single Family/Cabin","68  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00330800","R-10","R - Single Family/Cabin","66  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
"5803 00330900","R-10","R - Single Family/Cabin","64  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00331000","R-10","R - Single Family/Cabin","62  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00331100","R-10","R - Single Family/Cabin","60  ALLSMEER DR","Penn",2004,"1991 or Later","2001-2010"
"5803 00331200","R-10","R - Single Family/Cabin","870  BOURBAN LN","Penn",2003,"1991 or Later","2001-2010"
"5803 00331300","R-10","R - Single Family/Cabin","55  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00331400","R-10","R - Single Family/Cabin","57  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
"5803 00331500","R-10","R - Single Family/Cabin","59  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
"5803 00331600","R-10","R - Single Family/Cabin","61  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
"5803 00331700","R-10","R - Single Family/Cabin","63  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
"5803 00331800","R-10","R - Single Family/Cabin","65  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00331900","R-10","R - Single Family/Cabin","67  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
"5803 00332000","R-10","R - Single Family/Cabin","69  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
"5803 00332100","R-10","R - Single Family/Cabin","71  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
"5803 00332200","R-10","R - Single Family/Cabin","73  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
"5803 00332300","R-10","R - Single Family/Cabin","75  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00332400","R-10","R - Single Family/Cabin","77  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00332500","R-10","R - Single Family/Cabin","79  ALLSMEER DR","Penn",2004,"1991 or Later","2001-2010"
"5803 00332800","R-10","R - Single Family/Cabin","869  BOURBAN LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00332900","R-10","R - Single Family/Cabin","868  BOURBAN LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00333000","R-10","R - Single Family/Cabin","867  BOURBAN LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00333100","R-10","R - Single Family/Cabin","866  BOURBAN LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00333200","R-10","R - Single Family/Cabin","865  BOURBAN LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00333300","R-10","R - Single Family/Cabin","864  BOURBAN LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00333400","R-10","R - Single Family/Cabin","863  BOURBAN LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00333500","R-10","R - Single Family/Cabin","862  BOURBAN LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00333600","R-10","R - Single Family/Cabin","861  BOURBAN LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00333700","R-10","R - Single Family/Cabin","860  BOURBAN LN","Penn",2002,"1991 or Later","2001-2010"
"5803 00333800","R-10","R - Single Family/Cabin","54  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00333900","R-10","R - Single Family/Cabin","52  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00334000","R-10","R - Single Family/Cabin","50  ALLSMEER DR","Penn",2003,"1991 or Later","2001-2010"
"5803 00334100","R-10","R - Single Family/Cabin","51  ALLSMEER DR","Penn",2002,"1991 or Later","2001-2010"
