"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"6304 03180000","R-10","R - Single Family/Cabin","19  TULLAMORE DR","Pennsbury",1988,"Before 1991","1981-1990"
"6304 03190000","R-10","R - Single Family/Cabin","20  TULLAMORE DR","Pennsbury",1986,"Before 1991","1981-1990"
"6304 03200000","R-10","R - Single Family/Cabin","21  TULLAMORE DR","Pennsbury",1986,"Before 1991","1981-1990"
"6401 00021100","R-10","R - Single Family/Cabin","1609  CHERYL LN","Pennsbury",1983,"Before 1991","1981-1990"
"6401 00880000","R-10","R - Single Family/Cabin","2024 W STREET RD","Pennsbury",2021,"1991 or Later","2011-2022"
"6401 00910000","R-10","R - Single Family/Cabin","2  COLONIAL DR","Pennsbury",2018,"1991 or Later","2011-2022"
"6401 00920000","R-10","R - Single Family/Cabin","2  COLONIAL DR","Pennsbury",2018,"1991 or Later","2011-2022"
"6401 00930000","R-10","R - Single Family/Cabin","4  COLONIAL DR","Pennsbury",2015,"1991 or Later","2011-2022"
"6401 00940000","R-10","R - Single Family/Cabin","6  COLONIAL DR","Pennsbury",2008,"1991 or Later","2001-2010"
"6401 00950000","R-10","R - Single Family/Cabin","8  COLONIAL DR","Pennsbury",2014,"1991 or Later","2011-2022"
"6401 00970000","R-10","R - Single Family/Cabin","12  COLONIAL DR","Pennsbury",2012,"1991 or Later","2011-2022"
"6401 00980000","R-10","R - Single Family/Cabin","14  COLONIAL DR","Pennsbury",2013,"1991 or Later","2011-2022"
"6401 00990000","R-10","R - Single Family/Cabin","16  COLONIAL DR","Pennsbury",2007,"1991 or Later","2001-2010"
"6401 01000000","R-10","R - Single Family/Cabin","18  COLONIAL DR","Pennsbury",2011,"1991 or Later","2011-2022"
"6401 01010000","R-10","R - Single Family/Cabin","20  COLONIAL DR","Pennsbury",2014,"1991 or Later","2011-2022"
"6401 01020000","R-10","R - Single Family/Cabin","22  COLONIAL DR","Pennsbury",2006,"1991 or Later","2001-2010"
"6401 01030000","R-10","R - Single Family/Cabin","24  COLONIAL DR","Pennsbury",2015,"1991 or Later","2011-2022"
"6401 01040000","R-10","R - Single Family/Cabin","26  COLONIAL DR","Pennsbury",2014,"1991 or Later","2011-2022"
"6401 01050000","R-10","R - Single Family/Cabin","5  COLONIAL DR","Pennsbury",2015,"1991 or Later","2011-2022"
"6401 01060000","R-10","R - Single Family/Cabin","102  ANTHONY WAY","Pennsbury",2013,"1991 or Later","2011-2022"
"6401 01070000","R-10","R - Single Family/Cabin","104  ANTHONY WAY","Pennsbury",2013,"1991 or Later","2011-2022"
"6401 01080000","R-10","R - Single Family/Cabin","105  ANTHONY WAY","Pennsbury",2007,"1991 or Later","2001-2010"
"6401 01090000","R-10","R - Single Family/Cabin","103  ANTHONY WAY","Pennsbury",2014,"1991 or Later","2011-2022"
"6401 01100000","R-10","R - Single Family/Cabin","3  COLONIAL DR","Pennsbury",2015,"1991 or Later","2011-2022"
"6401 01110000","R-10","R - Single Family/Cabin","1  COLONIAL DR","Pennsbury",2010,"1991 or Later","2001-2010"
"6401 01120000","R-10","R - Single Family/Cabin","2  PENN DR","Pennsbury",2008,"1991 or Later","2001-2010"
"6401 01130000","R-10","R - Single Family/Cabin","4  PENN DR","Pennsbury",2019,"1991 or Later","2011-2022"
"6401 01140000","R-10","R - Single Family/Cabin","6  PENN DR","Pennsbury",2009,"1991 or Later","2001-2010"
"6401 01150000","R-10","R - Single Family/Cabin","8  PENN DR","Pennsbury",2013,"1991 or Later","2011-2022"
"6401 01160000","R-10","R - Single Family/Cabin","10  PENN DR","Pennsbury",2015,"1991 or Later","2011-2022"
"6401 01170000","R-10","R - Single Family/Cabin",NA,"Pennsbury",2015,"1991 or Later","2011-2022"
"6401 01180000","R-10","R - Single Family/Cabin","14  PENN DR","Pennsbury",2019,"1991 or Later","2011-2022"
"6401 01190000","R-10","R - Single Family/Cabin","16  PENN DR","Pennsbury",2015,"1991 or Later","2011-2022"
"6402 00020300","R-90","A - Apt Complex (20 or more units","1661 E STREET RD","Pennsbury",1989,"Before 1991","1981-1990"
"6402 00020300","R-90","A - Apt Complex (20 or more units","1661 E STREET RD","Pennsbury",1989,"Before 1991","1981-1990"
"6402 00020300","R-90","A - Apt Complex (20 or more units","1661 E STREET RD","Pennsbury",1989,"Before 1991","1981-1990"
"6402 00020300","R-90","A - Apt Complex (20 or more units","1661 E STREET RD","Pennsbury",1989,"Before 1991","1981-1990"
"6402 00080000","R-10","R - Single Family/Cabin","1001  BALLINTREE LN","Pennsbury",2001,"1991 or Later","2001-2010"
"6402 00090000","R-10","R - Single Family/Cabin","1005  BALLINTREE LN","Pennsbury",2002,"1991 or Later","2001-2010"
"6402 00100000","R-10","R - Single Family/Cabin","1009  BALLINTREE LN","Pennsbury",1998,"1991 or Later","1991-2000"
"6402 00110000","R-10","R - Single Family/Cabin","1013  BALLINTREE LN","Pennsbury",2001,"1991 or Later","2001-2010"
"6402 00120000","R-10","R - Single Family/Cabin","1017  BALLINTREE LN","Pennsbury",2001,"1991 or Later","2001-2010"
"6402 00130000","R-10","R - Single Family/Cabin","1021  BALLINTREE LN","Pennsbury",1999,"1991 or Later","1991-2000"
"6402 00140000","R-10","R - Single Family/Cabin","1025  BALLINTREE LN","Pennsbury",2000,"1991 or Later","1991-2000"
"6402 00150000","R-10","R - Single Family/Cabin","1201  KINTERRA CRT","Pennsbury",2000,"1991 or Later","1991-2000"
"6402 00160000","R-10","R - Single Family/Cabin","1205  KINTERRA CRT","Pennsbury",1999,"1991 or Later","1991-2000"
"6402 00170000","R-10","R - Single Family/Cabin","1209  KINTERRA CRT","Pennsbury",2000,"1991 or Later","1991-2000"
"6402 00180000","R-10","R - Single Family/Cabin","1213  KINTERRA CRT","Pennsbury",2000,"1991 or Later","1991-2000"
"6402 00190000","R-10","R - Single Family/Cabin","1214  KINTERRA CRT","Pennsbury",1999,"1991 or Later","1991-2000"
"6402 00200000","R-10","R - Single Family/Cabin","1210  KINTERRA CRT","Pennsbury",2001,"1991 or Later","2001-2010"
"6402 00210000","R-10","R - Single Family/Cabin","1206  KINTERRA CRT","Pennsbury",2000,"1991 or Later","1991-2000"
"6402 00220000","R-10","R - Single Family/Cabin","1030  BALLINTREE LN","Pennsbury",2000,"1991 or Later","1991-2000"
"6402 00230000","R-10","R - Single Family/Cabin","1026  BALLINTREE LN","Pennsbury",1998,"1991 or Later","1991-2000"
"6402 00240000","R-10","R - Single Family/Cabin","1072  BALLINTREE LN","Pennsbury",2000,"1991 or Later","1991-2000"
"6403 00010000","R-90","A - Apt Complex (20 or more units","1621 E STREET RD","Pennsbury",1988,"Before 1991","1981-1990"
"6403 00010000","R-90","A - Apt Complex (20 or more units","1621 E STREET RD","Pennsbury",1989,"Before 1991","1981-1990"
"6403 00010000","R-90","A - Apt Complex (20 or more units","1621 E STREET RD","Pennsbury",1940,"Before 1991","1950 or older"
"6403 00010000","R-90","A - Apt Complex (20 or more units","1621 E STREET RD","Pennsbury",1989,"Before 1991","1981-1990"
"6403 00243000","R-10","R - Single Family/Cabin","30  CONESTOGA CRT","Pennsbury",1970,"Before 1991","1961-1970"
"6403 00391700","R-10","R - Single Family/Cabin","1  FERNHILL RD","Pennsbury",1990,"Before 1991","1981-1990"
"6403 00391800","R-10","R - Single Family/Cabin","38  FERN HILL RD","Pennsbury",1985,"Before 1991","1981-1990"
"6403 00392400","R-10","R - Single Family/Cabin","31  SAPLING DR","Pennsbury",1978,"Before 1991","1971-1980"
"6403 00392700","R-10","R - Single Family/Cabin","28  SAPLING DR","Pennsbury",1976,"Before 1991","1971-1980"
"6403 00393300","R-10","R - Single Family/Cabin","20  FERN HILL RD","Pennsbury",1980,"Before 1991","1971-1980"
"6403 00480100","R-61","C - Dwelling W/Comm Use Primary C","2 W PENNSBURY WAY","Pennsbury",1971,"Before 1991","1971-1980"
"6403 00480300","R-10","R - Single Family/Cabin","6 W PENNSBURY WAY","Pennsbury",1959,"Before 1991","1951-1960"
"6403 00481500","R-10","R - Single Family/Cabin","19 W PENNSBURY WAY","Pennsbury",1960,"Before 1991","1951-1960"
"6403 00482500","R-61","C - Dwelling W/Comm Use Primary C","519  BALTIMORE PK","Pennsbury",1961,"Before 1991","1961-1970"
"6403 00760000","R-10","R - Single Family/Cabin","497  BALTIMORE PK","Pennsbury",1962,"Before 1991","1961-1970"
"6403 00770000","R-61","C - Dwelling W/Comm Use Primary C","497  BALTIMORE PK","Pennsbury",1920,"Before 1991","1950 or older"
"6403 00890200","R-10","R - Single Family/Cabin","2  TWIN TURNS LN","Pennsbury",1989,"Before 1991","1981-1990"
