"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1501 00030000","R-10","R - Single Family/Cabin","50  CROMBY RD","Phoenixville",1920,"Before 1991","1950 or older"
"1501 00070000","R-10","R - Single Family/Cabin","32  CROMBY RD","Phoenixville",1917,"Before 1991","1950 or older"
"1501 00100000","R-10","R - Single Family/Cabin","24  CROMBY RD","Phoenixville",1900,"Before 1991","1950 or older"
"1501 00120000","R-10","R - Single Family/Cabin","20  CROMBY RD","Phoenixville",1900,"Before 1991","1950 or older"
"1501 00200000","R-10","R - Single Family/Cabin","75  CROMBY RD","Phoenixville",1800,"Before 1991","1950 or older"
"1501 00210000","R-10","R - Single Family/Cabin","71  CROMBY RD","Phoenixville",1900,"Before 1991","1950 or older"
"1501 00220000","R-10","R - Single Family/Cabin","69  CROMBY RD","Phoenixville",1900,"Before 1991","1950 or older"
"1501 00320000","R-10","R - Single Family/Cabin","15  WATER ST","Phoenixville",1959,"Before 1991","1951-1960"
"1502 00010100","R-10","R - Single Family/Cabin","510  SOUTH ST","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 000101A0","R-10","R - Single Family/Cabin","512  SOUTH ST","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00010300","R-10","R - Single Family/Cabin","508  SOUTH ST","Phoenixville",2001,"1991 or Later","2001-2010"
"1502 00010400","R-10","R - Single Family/Cabin","1118  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00010500","R-10","R - Single Family/Cabin","1116  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00010600","R-10","R - Single Family/Cabin","1114  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00010700","R-10","R - Single Family/Cabin","1112  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00010800","R-10","R - Single Family/Cabin","1110  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00010900","R-10","R - Single Family/Cabin","1106  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00011000","R-10","R - Single Family/Cabin","1104  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00011100","R-10","R - Single Family/Cabin","1102  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00011200","R-10","R - Single Family/Cabin","1100  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00011300","R-10","R - Single Family/Cabin","1119  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00011400","R-10","R - Single Family/Cabin","1117  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00011500","R-10","R - Single Family/Cabin","1115  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00011600","R-10","R - Single Family/Cabin","1113  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00011700","R-10","R - Single Family/Cabin","1111  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00011800","R-10","R - Single Family/Cabin","1107  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00011900","R-10","R - Single Family/Cabin","1105  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00012000","R-10","R - Single Family/Cabin","1103  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00012100","R-10","R - Single Family/Cabin","1101  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00012200","R-10","R - Single Family/Cabin","1118  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00012300","R-10","R - Single Family/Cabin","1116  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00012400","R-10","R - Single Family/Cabin","1114  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00012500","R-10","R - Single Family/Cabin","1112  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00012600","R-10","R - Single Family/Cabin","1110  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00012700","R-10","R - Single Family/Cabin","1106  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00012800","R-10","R - Single Family/Cabin","1104  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00012900","R-10","R - Single Family/Cabin","1102  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00013000","R-10","R - Single Family/Cabin","1100  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00013100","R-10","R - Single Family/Cabin","1117  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00013200","R-10","R - Single Family/Cabin","1115  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00013300","R-10","R - Single Family/Cabin","1113  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00013400","R-10","R - Single Family/Cabin","1111  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00013500","R-10","R - Single Family/Cabin","1107  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00013600","R-10","R - Single Family/Cabin","1105  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00013700","R-10","R - Single Family/Cabin","1103  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00013800","R-10","R - Single Family/Cabin","1101  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00014100","R-10","R - Single Family/Cabin","509  SOUTH ST","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00014200","R-10","R - Single Family/Cabin","507  SOUTH ST","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00014300","R-10","R - Single Family/Cabin","505  SOUTH ST","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00014400","R-10","R - Single Family/Cabin","503  SOUTH ST","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00014500","R-10","R - Single Family/Cabin","501  SOUTH ST","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00020100","R-10","R - Single Family/Cabin","1049  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00020200","R-10","R - Single Family/Cabin","1051  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00020300","R-10","R - Single Family/Cabin","1053  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00020400","R-10","R - Single Family/Cabin","1055  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00020500","R-10","R - Single Family/Cabin","1057  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00020600","R-10","R - Single Family/Cabin","1059  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00020700","R-10","R - Single Family/Cabin","1056  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00020800","R-10","R - Single Family/Cabin","1054  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00020900","R-10","R - Single Family/Cabin","1052  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00021000","R-10","R - Single Family/Cabin","1050  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00021100","R-10","R - Single Family/Cabin","1048  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00021200","R-10","R - Single Family/Cabin","1046  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00021300","R-10","R - Single Family/Cabin","1044  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00021400","R-10","R - Single Family/Cabin","1042  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00021500","R-10","R - Single Family/Cabin","1040  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00021600","R-10","R - Single Family/Cabin","1038  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00021700","R-10","R - Single Family/Cabin","1036  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00021800","R-10","R - Single Family/Cabin","1034  ALMOND DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00021900","R-10","R - Single Family/Cabin","1057  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00022000","R-10","R - Single Family/Cabin","1055  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00022100","R-10","R - Single Family/Cabin","1053  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00022200","R-10","R - Single Family/Cabin","1051  BALLY DR","Phoenixville",2004,"1991 or Later","2001-2010"
"1502 00022300","R-10","R - Single Family/Cabin","1049  BALLEY DR","Phoenixville",2004,"1991 or Later","2001-2010"
