"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"6303 00240100","R-10","R - Single Family/Cabin","464  LOCUST GROVE RD","Pocopson",1969,"Before 1991","1961-1970"
"6303 00240200","R-10","R - Single Family/Cabin","460  LOCUST GROVE RD","Pocopson",1980,"Before 1991","1971-1980"
"6303 00730600","R-10","R - Single Family/Cabin","9  TRAYLOR DR","Pocopson",2004,"1991 or Later","2001-2010"
"6303 00730900","R-10","R - Single Family/Cabin","8  TRAYLOR DR","Pocopson",2004,"1991 or Later","2001-2010"
"6303 00731800","R-10","R - Single Family/Cabin","6  EDMONDSON DR","Pocopson",2004,"1991 or Later","2001-2010"
"6303 008701A0","R-10","R - Single Family/Cabin","515  WINDY HILL LN","Pocopson",1992,"1991 or Later","1991-2000"
"6303 01190300","R-10","R - Single Family/Cabin","2  SCALEBY LN","Pocopson",2012,"1991 or Later","2011-2022"
"6303 01190400","R-10","R - Single Family/Cabin","4  SCALEBY LN","Pocopson",2012,"1991 or Later","2011-2022"
"6303 01190500","R-10","R - Single Family/Cabin","6  SCALEBY LN","Pocopson",2014,"1991 or Later","2011-2022"
"6303 01190600","R-10","R - Single Family/Cabin","8  SCALEBY LN","Pocopson",2013,"1991 or Later","2011-2022"
"6303 01190700","R-10","R - Single Family/Cabin","10  SCALEBY LN","Pocopson",2013,"1991 or Later","2011-2022"
"6303 01190800","R-10","R - Single Family/Cabin","12  SCALEBY LN","Pocopson",2013,"1991 or Later","2011-2022"
"6303 01190900","R-10","R - Single Family/Cabin","11  SCALEBY LN","Pocopson",2012,"1991 or Later","2011-2022"
"6303 01191000","R-10","R - Single Family/Cabin","9  SCALEBY LN","Pocopson",2012,"1991 or Later","2011-2022"
"6303 01191100","R-10","R - Single Family/Cabin","7  SCALEBY LN","Pocopson",2012,"1991 or Later","2011-2022"
"6303 01191200","R-10","R - Single Family/Cabin","5  SCALEBY LN","Pocopson",2014,"1991 or Later","2011-2022"
"6303 01191300","R-10","R - Single Family/Cabin","3  SCALEBY LN","Pocopson",2012,"1991 or Later","2011-2022"
"6303 01410000","R-10","R - Single Family/Cabin","753  BEVERSREDE TR","Pocopson",1983,"Before 1991","1981-1990"
"6303 01410100","R-10","R - Single Family/Cabin","755  BEVERSREDE TR","Pocopson",1983,"Before 1991","1981-1990"
"6303 01410200","R-10","R - Single Family/Cabin","757  BEVERSREDE TR","Pocopson",1983,"Before 1991","1981-1990"
"6303 01411900","R-10","R - Single Family/Cabin","457  CHAMBERS LN","Pocopson",1985,"Before 1991","1981-1990"
"6303 01412100","R-10","R - Single Family/Cabin","461  CHAMBERS LN","Pocopson",1985,"Before 1991","1981-1990"
"6303 01412200","R-10","R - Single Family/Cabin","463  CHAMBERS LN","Pocopson",1984,"Before 1991","1981-1990"
"6303 01412300","R-10","R - Single Family/Cabin","465  CHAMBERS LN","Pocopson",1985,"Before 1991","1981-1990"
"6303 01412400","R-10","R - Single Family/Cabin","464  CHAMBERS LN","Pocopson",1986,"Before 1991","1981-1990"
"6303 01412500","R-10","R - Single Family/Cabin","462  CHAMBERS LN","Pocopson",1986,"Before 1991","1981-1990"
"6303 01412600","R-10","R - Single Family/Cabin","460  CHAMBERS LN","Pocopson",1985,"Before 1991","1981-1990"
"6303 01412700","R-10","R - Single Family/Cabin","458  CHAMBERS LN","Pocopson",1985,"Before 1991","1981-1990"
"6303 01412800","R-10","R - Single Family/Cabin","456  CHAMBERS LN","Pocopson",1984,"Before 1991","1981-1990"
"6303 01412900","R-10","R - Single Family/Cabin","454  CHAMBERS LN","Pocopson",1985,"Before 1991","1981-1990"
"6303 01413000","R-10","R - Single Family/Cabin","450  CHAMBERS LN","Pocopson",1984,"Before 1991","1981-1990"
"6303 01413100","R-10","R - Single Family/Cabin","444  CHAMBERS LN","Pocopson",1984,"Before 1991","1981-1990"
"6303 01413200","R-10","R - Single Family/Cabin","442  CHAMBERS LN","Pocopson",1984,"Before 1991","1981-1990"
"6303 01413300","R-10","R - Single Family/Cabin","758  BEVERSREDE TR","Pocopson",1984,"Before 1991","1981-1990"
"6303 01413400","R-10","R - Single Family/Cabin","756  BEVERSREDE TR","Pocopson",1984,"Before 1991","1981-1990"
"6303 01413500","R-10","R - Single Family/Cabin","754  BEVERSREDE TR","Pocopson",1985,"Before 1991","1981-1990"
"6303 01413600","R-10","R - Single Family/Cabin","752  BEVERSREDE TR","Pocopson",1984,"Before 1991","1981-1990"
"6303 01550000","R-10","R - Single Family/Cabin","1047  BALLINTREE LN","Pocopson",2000,"1991 or Later","1991-2000"
"6303 01560000","R-10","R - Single Family/Cabin","1043  BALLINTREE LN","Pocopson",2002,"1991 or Later","2001-2010"
"6303 01570000","R-10","R - Single Family/Cabin","1039  BALLINTREE LN","Pocopson",2001,"1991 or Later","2001-2010"
"6303 01610000","R-10","R - Single Family/Cabin","1057  BALLINTREE LN","Pocopson",2000,"1991 or Later","1991-2000"
"6303 01620000","R-10","R - Single Family/Cabin","1053  BALLINTREE LN","Pocopson",2002,"1991 or Later","2001-2010"
"6303 01660000","R-10","R - Single Family/Cabin","1  PRATT LN","Pocopson",2014,"1991 or Later","2011-2022"
"6303 01670000","R-10","R - Single Family/Cabin","5  PRATT LN","Pocopson",2014,"1991 or Later","2011-2022"
"6303 01680000","R-10","R - Single Family/Cabin","9  PRATT LN","Pocopson",2010,"1991 or Later","2001-2010"
"6303 01690000","R-10","R - Single Family/Cabin","132  PRATT LN","Pocopson",2013,"1991 or Later","2011-2022"
"6303 01700000","R-10","R - Single Family/Cabin","128  PRATT LN","Pocopson",2013,"1991 or Later","2011-2022"
