"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0803 005101C0","R-10","R - Single Family/Cabin","517  STRASBURG AVE","Sadsbury",2005,"1991 or Later","2001-2010"
"3701 00190100","R-10","R - Single Family/Cabin","309  COMPASS RD","Sadsbury",2000,"1991 or Later","1991-2000"
"3702 00180900","R-10","R - Single Family/Cabin","47  MAPLE AVE","Sadsbury",2003,"1991 or Later","2001-2010"
"3702 00181000","R-10","R - Single Family/Cabin","50  OLD MILL RD","Sadsbury",2004,"1991 or Later","2001-2010"
"3702 00430000","R-10","R - Single Family/Cabin","2951  LINCOLN HWY","Sadsbury",1925,"Before 1991","1950 or older"
"3702 00450100","R-10","R - Single Family/Cabin","2961  LINCOLN HWY","Sadsbury",1955,"Before 1991","1951-1960"
"3702 00450200","R-10","R - Single Family/Cabin","2963  LINCOLN HWY","Sadsbury",1980,"Before 1991","1971-1980"
"3702 00550100","R-10","R - Single Family/Cabin","18  WHITETAIL LN","Sadsbury",1973,"Before 1991","1971-1980"
"3702 00550500","R-10","R - Single Family/Cabin","42  WHITETAIL LN","Sadsbury",1995,"1991 or Later","1991-2000"
"3702 00550600","R-10","R - Single Family/Cabin","50  WHITETAIL LN","Sadsbury",1995,"1991 or Later","1991-2000"
"3702 00550700","R-10","R - Single Family/Cabin","51  WHITETAIL LN","Sadsbury",1995,"1991 or Later","1991-2000"
"3702 00550800","R-10","R - Single Family/Cabin","47  WHITETAIL LN","Sadsbury",1995,"1991 or Later","1991-2000"
"3702 00550900","R-10","R - Single Family/Cabin","43  WHITETAIL LN","Sadsbury",1994,"1991 or Later","1991-2000"
"3702 00551000","R-10","R - Single Family/Cabin","39  WHITETAIL LN","Sadsbury",1995,"1991 or Later","1991-2000"
"3702 00551100","R-10","R - Single Family/Cabin","31  WHITETAIL LN","Sadsbury",1994,"1991 or Later","1991-2000"
"3702 00551200","R-10","R - Single Family/Cabin","46  WHITETAIL LN","Sadsbury",1995,"1991 or Later","1991-2000"
"3702 00560000","R-10","R - Single Family/Cabin","3013  LINCOLN HWY","Sadsbury",1938,"Before 1991","1950 or older"
"3702 00750000","R-10","R - Single Family/Cabin","2881  LINCOLN HWY","Sadsbury",1928,"Before 1991","1950 or older"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2011,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2011,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2011,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2011,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2021,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2021,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2021,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2022,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2022,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2022,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2022,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2022,"1991 or Later","2011-2022"
"3702Q00020000","R-90","A - Apt Complex (20 or more units","903  CONTINENTAL DR","Sadsbury",2023,"1991 or Later","2011-2022"
"3702Q00160000","R-10","R - Single Family/Cabin","2927  LINCOLN HWY","Sadsbury",1800,"Before 1991","1950 or older"
"3702Q00250000","R-10","R - Single Family/Cabin","2964  LINCOLN HWY","Sadsbury",1900,"Before 1991","1950 or older"
"3702Q00260000","R-10","R - Single Family/Cabin","2960  LINCOLN HWY","Sadsbury",1931,"Before 1991","1950 or older"
"3702Q00310000","R-20","R - Two Family","885  OLD WILMINGTON RD","Sadsbury",1900,"Before 1991","1950 or older"
"3702Q00330000","R-10","R - Single Family/Cabin","2948  LINCOLN HWY","Sadsbury",1953,"Before 1991","1951-1960"
"3702Q00340000","R-10","R - Single Family/Cabin","2944  LINCOLN HWY","Sadsbury",1900,"Before 1991","1950 or older"
"3702Q00370000","R-10","R - Single Family/Cabin","2938  LINCOLN HWY","Sadsbury",1900,"Before 1991","1950 or older"
"3702Q00470000","R-10","R - Single Family/Cabin","2924  LINCOLN HWY","Sadsbury",1865,"Before 1991","1950 or older"
"3703 00230100","R-10","R - Single Family/Cabin","608 N CULVERT ST","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00230200","R-10","R - Single Family/Cabin","610 N CULVERT ST","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00230300","R-10","R - Single Family/Cabin","204 W JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00230400","R-10","R - Single Family/Cabin","208 W JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00230500","R-10","R - Single Family/Cabin","212 W JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00230600","R-10","R - Single Family/Cabin","211 W JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00230700","R-10","R - Single Family/Cabin","209 W JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00230800","R-10","R - Single Family/Cabin","205 W JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00230900","R-10","R - Single Family/Cabin","201 W JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00231000","R-10","R - Single Family/Cabin","100 E JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00231100","R-10","R - Single Family/Cabin","104 E JULIE DR","Sadsbury",2003,"1991 or Later","2001-2010"
"3703 00231200","R-10","R - Single Family/Cabin","108 E JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00231300","R-10","R - Single Family/Cabin","112 E JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00231400","R-10","R - Single Family/Cabin","116 E JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00231500","R-10","R - Single Family/Cabin","117 E JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00231600","R-10","R - Single Family/Cabin","113 E JULIE DR","Sadsbury",2002,"1991 or Later","2001-2010"
"3703 00231700","R-10","R - Single Family/Cabin","109 E JULIE DR","Sadsbury",2003,"1991 or Later","2001-2010"
"3703 00231800","R-10","R - Single Family/Cabin","105 E JULIE DR","Sadsbury",2003,"1991 or Later","2001-2010"
"3703 00231900","R-10","R - Single Family/Cabin","611 N CULVERT ST","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 00170300","R-10","R - Single Family/Cabin","102  EVERETT CRT","Sadsbury",2013,"1991 or Later","2011-2022"
"3704 00170400","R-10","R - Single Family/Cabin","104  EVERETT CRT","Sadsbury",2012,"1991 or Later","2011-2022"
"3704 00170500","R-10","R - Single Family/Cabin","106  EVERETT CRT","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00170600","R-10","R - Single Family/Cabin","105  EVERETT CRT","Sadsbury",2013,"1991 or Later","2011-2022"
"3704 00170700","R-10","R - Single Family/Cabin","103  EVERETT CRT","Sadsbury",2012,"1991 or Later","2011-2022"
"3704 00170800","R-10","R - Single Family/Cabin","101  EVERETT CRT","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00170900","R-10","R - Single Family/Cabin","202 S COWAN RD","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00171000","R-10","R - Single Family/Cabin","204 S COWAN RD","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00171100","R-10","R - Single Family/Cabin","208 S COWAN RD","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00171200","R-10","R - Single Family/Cabin","206 S COWAN RD","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00171300","R-10","R - Single Family/Cabin","210 S COWAN RD","Sadsbury",2013,"1991 or Later","2011-2022"
"3704 00171400","R-10","R - Single Family/Cabin","212 S COWAN RD","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00171500","R-10","R - Single Family/Cabin","214 S COWAN RD","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00171600","R-10","R - Single Family/Cabin","216 S COWAN RD","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00171700","R-10","R - Single Family/Cabin","218 S COWAN RD","Sadsbury",2013,"1991 or Later","2011-2022"
"3704 00171800","R-10","R - Single Family/Cabin","220 S COWAN RD","Sadsbury",2013,"1991 or Later","2011-2022"
"3704 00171900","R-10","R - Single Family/Cabin","222 S COWAN RD","Sadsbury",2013,"1991 or Later","2011-2022"
"3704 00172000","R-10","R - Single Family/Cabin","201 S COWAN RD","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00172100","R-10","R - Single Family/Cabin","209 S COWAN RD","Sadsbury",2014,"1991 or Later","2011-2022"
"3704 00172200","R-10","R - Single Family/Cabin","217 S COWAN RD","Sadsbury",2013,"1991 or Later","2011-2022"
"3704 00351600","R-10","R - Single Family/Cabin","130  HILLTOP DR","Sadsbury",2001,"1991 or Later","2001-2010"
"3704 00400100","R-10","R - Single Family/Cabin","102  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 004001A0","R-10","R - Single Family/Cabin","104  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 004001B0","R-10","R - Single Family/Cabin","106  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 004001C0","R-10","R - Single Family/Cabin","108  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 004001D0","R-10","R - Single Family/Cabin","110  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 004001E0","R-10","R - Single Family/Cabin","112  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 00400200","R-10","R - Single Family/Cabin","202  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 004002A0","R-10","R - Single Family/Cabin","204  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 004002B0","R-10","R - Single Family/Cabin","206  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 004002C0","R-10","R - Single Family/Cabin","208  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 004002D0","R-10","R - Single Family/Cabin","210  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 004002E0","R-10","R - Single Family/Cabin","212  GREEN HILL RD","Sadsbury",2002,"1991 or Later","2001-2010"
"3704 00400300","R-10","R - Single Family/Cabin","302  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004003A0","R-10","R - Single Family/Cabin","304  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004003B0","R-10","R - Single Family/Cabin","306  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004003C0","R-10","R - Single Family/Cabin","308  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004003D0","R-10","R - Single Family/Cabin","310  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004003E0","R-10","R - Single Family/Cabin","312  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 00400400","R-10","R - Single Family/Cabin","111  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004004A0","R-10","R - Single Family/Cabin","109  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004004B0","R-10","R - Single Family/Cabin","107  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004004C0","R-10","R - Single Family/Cabin","105  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004004D0","R-10","R - Single Family/Cabin","103  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004004E0","R-10","R - Single Family/Cabin","101  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 00400500","R-10","R - Single Family/Cabin","511  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004005A0","R-10","R - Single Family/Cabin","509  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004005B0","R-10","R - Single Family/Cabin","507  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004005C0","R-10","R - Single Family/Cabin","505  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004005D0","R-10","R - Single Family/Cabin","503  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004005E0","R-10","R - Single Family/Cabin","501  GREEN HILL RD","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 00400600","R-10","R - Single Family/Cabin","102  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004006A0","R-10","R - Single Family/Cabin","104  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004006B0","R-10","R - Single Family/Cabin","106  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004006C0","R-10","R - Single Family/Cabin","108  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004006D0","R-10","R - Single Family/Cabin","110  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004006E0","R-10","R - Single Family/Cabin","112  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 00400700","R-10","R - Single Family/Cabin","202  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004007A0","R-10","R - Single Family/Cabin","204  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004007B0","R-10","R - Single Family/Cabin","206  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004007C0","R-10","R - Single Family/Cabin","208  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004007D0","R-10","R - Single Family/Cabin","210  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004007E0","R-10","R - Single Family/Cabin","212  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 00400800","R-10","R - Single Family/Cabin","311  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004008A0","R-10","R - Single Family/Cabin","309  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004008B0","R-10","R - Single Family/Cabin","307  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004008C0","R-10","R - Single Family/Cabin","305  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004008D0","R-10","R - Single Family/Cabin","303  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004008E0","R-10","R - Single Family/Cabin","301  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 00400900","R-10","R - Single Family/Cabin","211  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004009A0","R-10","R - Single Family/Cabin","209  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004009B0","R-10","R - Single Family/Cabin","207  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004009C0","R-10","R - Single Family/Cabin","205  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004009D0","R-10","R - Single Family/Cabin","203  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004009E0","R-10","R - Single Family/Cabin","201  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 00401000","R-10","R - Single Family/Cabin","411  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004010A0","R-10","R - Single Family/Cabin","409  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004010B0","R-10","R - Single Family/Cabin","407  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004010C0","R-10","R - Single Family/Cabin","405  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004010D0","R-10","R - Single Family/Cabin","403  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 004010E0","R-10","R - Single Family/Cabin","401  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
"3704 00401100","R-10","R - Single Family/Cabin","302  FOX TR","Sadsbury",2003,"1991 or Later","2001-2010"
