"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1507 00040000","R-10","R - Single Family/Cabin","192  PENNSYLVANIA AVE","Schuylkill",1900,"Before 1991","1950 or older"
"2702 00650000","R-10","R - Single Family/Cabin","118  DAWSON DR","Schuylkill",1952,"Before 1991","1951-1960"
"2702 00660000","R-10","R - Single Family/Cabin","122  DAWSON DR","Schuylkill",1947,"Before 1991","1950 or older"
"2702 00840000","R-10","R - Single Family/Cabin","192  CHESTER AVE","Schuylkill",1947,"Before 1991","1950 or older"
"2702 00850000","R-10","R - Single Family/Cabin","190  CHESTER AVE","Schuylkill",1950,"Before 1991","1950 or older"
"2702 00920000","R-10","R - Single Family/Cabin","1364  TOWNSHIP LINE RD","Schuylkill",1956,"Before 1991","1951-1960"
"2702 01030000","R-10","R - Single Family/Cabin","1098 W BRIDGE ST","Schuylkill",1959,"Before 1991","1951-1960"
"2702 01060000","R-10","R - Single Family/Cabin","1084 W BRIDGE ST","Schuylkill",1958,"Before 1991","1951-1960"
"2702 01070000","R-10","R - Single Family/Cabin","1082 W BRIDGE ST","Schuylkill",1900,"Before 1991","1950 or older"
"2702 01080000","R-10","R - Single Family/Cabin","1080 W BRIDGE ST","Schuylkill",1900,"Before 1991","1950 or older"
"2702 01090000","R-10","R - Single Family/Cabin","1078 W BRIDGE ST","Schuylkill",1920,"Before 1991","1950 or older"
"2702 01090000","R-10","R - Single Family/Cabin","1078 W BRIDGE ST","Schuylkill",1950,"Before 1991","1950 or older"
"2702N00010000","R-10","R - Single Family/Cabin","1254 S EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00020000","R-10","R - Single Family/Cabin","1390 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00030000","R-10","R - Single Family/Cabin","1380 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00040000","R-10","R - Single Family/Cabin","1370 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00050000","R-10","R - Single Family/Cabin","1360 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00060000","R-10","R - Single Family/Cabin","1350 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00070000","R-10","R - Single Family/Cabin","1340 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00080000","R-10","R - Single Family/Cabin","1330 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00090000","R-10","R - Single Family/Cabin","1320 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00100000","R-10","R - Single Family/Cabin","1310 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00110100","R-10","R - Single Family/Cabin","1300 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00120000","R-10","R - Single Family/Cabin","1290 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00130000","R-10","R - Single Family/Cabin","1280 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00140000","R-10","R - Single Family/Cabin","1270 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00150000","R-10","R - Single Family/Cabin","1260 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00160000","R-10","R - Single Family/Cabin","1250 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00170000","R-10","R - Single Family/Cabin","1240 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00180000","R-10","R - Single Family/Cabin","1230 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00190000","R-10","R - Single Family/Cabin","1220 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00200000","R-10","R - Single Family/Cabin","1259 W EVERGREEN DR","Schuylkill",1963,"Before 1991","1961-1970"
"2702N00210000","R-10","R - Single Family/Cabin","1269 W EVERGREEN DR","Schuylkill",1962,"Before 1991","1961-1970"
"2702N00220000","R-10","R - Single Family/Cabin","1279 W EVERGREEN DR","Schuylkill",1962,"Before 1991","1961-1970"
