"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0901 00020000","R-10","R - Single Family/Cabin","1130  WEST CHESTER RD","South Coatesville",1980,"Before 1991","1971-1980"
"0901 00030100","R-10","R - Single Family/Cabin","1215  WEST CHESTER RD","South Coatesville",1939,"Before 1991","1950 or older"
"0901 00040000","R-10","R - Single Family/Cabin","1225  WEST CHESTER RD","South Coatesville",1939,"Before 1991","1950 or older"
"0901 00050000","R-10","R - Single Family/Cabin","1227  WEST CHESTER RD","South Coatesville",1939,"Before 1991","1950 or older"
"0901 00060000","R-10","R - Single Family/Cabin","1265  WEST CHESTER RD","South Coatesville",1940,"Before 1991","1950 or older"
"0901 00070000","R-10","R - Single Family/Cabin","264 S THIRTEENTH AVE","South Coatesville",1938,"Before 1991","1950 or older"
"0901 00080000","R-10","R - Single Family/Cabin","262 S THIRTEENTH AVE","South Coatesville",1953,"Before 1991","1951-1960"
"0901 00090000","R-10","R - Single Family/Cabin","263 S THIRTEENTH AVE","South Coatesville",1940,"Before 1991","1950 or older"
"0901 00100100","R-10","R - Single Family/Cabin","265 S THIRTEENTH AVE","South Coatesville",1914,"Before 1991","1950 or older"
"0901 00110000","R-10","R - Single Family/Cabin","1303  WEST CHESTER RD","South Coatesville",1954,"Before 1991","1951-1960"
"0901 00120000","R-10","R - Single Family/Cabin","1311  WEST CHESTER RD","South Coatesville",1953,"Before 1991","1951-1960"
"0901 00130000","R-10","R - Single Family/Cabin","1136  WEST CHESTER RD","South Coatesville",1929,"Before 1991","1950 or older"
"0901 00130100","R-40","A - Aparments (4-19 Units)","1064  WAYNE AVE","South Coatesville",1969,"Before 1991","1961-1970"
"0901 00140000","R-10","R - Single Family/Cabin","1138  WEST CHESTER RD","South Coatesville",1918,"Before 1991","1950 or older"
"0901 00150000","R-10","R - Single Family/Cabin","1140  WEST CHESTER RD","South Coatesville",1918,"Before 1991","1950 or older"
"0901 00150000","R-10","R - Single Family/Cabin","1140  WEST CHESTER RD","South Coatesville",1918,"Before 1991","1950 or older"
"0901 00170000","R-10","R - Single Family/Cabin","1280  WEST CHESTER RD","South Coatesville",1940,"Before 1991","1950 or older"
"0901 00190000","R-10","R - Single Family/Cabin","1302  WEST CHESTER RD","South Coatesville",1940,"Before 1991","1950 or older"
"0901 00200000","R-10","R - Single Family/Cabin","1306  WEST CHESTER RD","South Coatesville",1952,"Before 1991","1951-1960"
"0901 00210000","R-10","R - Single Family/Cabin","1040  WAYNE AVE","South Coatesville",1957,"Before 1991","1951-1960"
"0901 00220000","R-10","R - Single Family/Cabin","1058  WAYNE AVE","South Coatesville",1974,"Before 1991","1971-1980"
"0901 00220100","R-10","R - Single Family/Cabin","1054  WAYNE AVE","South Coatesville",1974,"Before 1991","1971-1980"
"0902 00030000","R-20","R - Two Family","506 S FIRST AVE","South Coatesville",1920,"Before 1991","1950 or older"
