"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"2002 009001E0","R-10","R - Single Family/Cabin","101  WEDGEWOOD DR","South Coventry",1997,"1991 or Later","1991-2000"
"2004 02500000","R-10","R - Single Family/Cabin","200  STAUFFER RD","South Coventry",2004,"1991 or Later","2001-2010"
"2004 02510000","R-10","R - Single Family/Cabin","202  STAUFFER RD","South Coventry",2003,"1991 or Later","2001-2010"
"2004 02520000","R-10","R - Single Family/Cabin","204  STAUFFER RD","South Coventry",2004,"1991 or Later","2001-2010"
"2004 02530000","R-10","R - Single Family/Cabin","206  STAUFFER RD","South Coventry",2004,"1991 or Later","2001-2010"
"2004 02540000","R-10","R - Single Family/Cabin","208  STAUFFER RD","South Coventry",2004,"1991 or Later","2001-2010"
"2004 02550000","R-10","R - Single Family/Cabin","210  STAUFFER RD","South Coventry",2004,"1991 or Later","2001-2010"
"2004 02560000","R-10","R - Single Family/Cabin","100  STOCKTON SQ","South Coventry",2002,"1991 or Later","2001-2010"
"2004 02570000","R-10","R - Single Family/Cabin","102  STOCKTON SQ","South Coventry",2003,"1991 or Later","2001-2010"
"2004 02580000","R-10","R - Single Family/Cabin","104  STOCKTON SQ","South Coventry",2004,"1991 or Later","2001-2010"
"2004 02590000","R-10","R - Single Family/Cabin","106  STOCKTON SQ","South Coventry",2002,"1991 or Later","2001-2010"
"2004 02600000","R-10","R - Single Family/Cabin","109  TRINLEY ST","South Coventry",2003,"1991 or Later","2001-2010"
"2004 02630000","R-10","R - Single Family/Cabin","103  TRINLEY ST","South Coventry",2004,"1991 or Later","2001-2010"
"2004 02640000","R-10","R - Single Family/Cabin","101  TRINLEY ST","South Coventry",2004,"1991 or Later","2001-2010"
"2004 02650000","R-10","R - Single Family/Cabin","102  HOLBY LN","South Coventry",2003,"1991 or Later","2001-2010"
"2004 02660000","R-10","R - Single Family/Cabin","104  HOLBY LN","South Coventry",2003,"1991 or Later","2001-2010"
"2004 02670000","R-10","R - Single Family/Cabin","106  HOLBY LN","South Coventry",2004,"1991 or Later","2001-2010"
"2004 02680000","R-10","R - Single Family/Cabin","108  HOLBY LN","South Coventry",2002,"1991 or Later","2001-2010"
"2004 02690000","R-10","R - Single Family/Cabin","110  HOLBY LN","South Coventry",2003,"1991 or Later","2001-2010"
"2004 02700000","R-10","R - Single Family/Cabin","112  HOLBY LN","South Coventry",2001,"1991 or Later","2001-2010"
"2004 02710000","R-10","R - Single Family/Cabin","114  HOLBY LN","South Coventry",2002,"1991 or Later","2001-2010"
"2004 02720000","R-10","R - Single Family/Cabin","116  HOLBY LN","South Coventry",2003,"1991 or Later","2001-2010"
"2004 02730000","R-10","R - Single Family/Cabin","118  HOLBY LN","South Coventry",2003,"1991 or Later","2001-2010"
"2004 02740000","R-10","R - Single Family/Cabin","120  HOLBY LN","South Coventry",2002,"1991 or Later","2001-2010"
