"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1401 00010000","R-10","R - Single Family/Cabin","500  KING ST","Spring City",1952,"Before 1991","1951-1960"
"1401 00030000","R-10","R - Single Family/Cabin","440  KING ST","Spring City",1948,"Before 1991","1950 or older"
"1401 00040000","R-10","R - Single Family/Cabin","410  KING ST","Spring City",1938,"Before 1991","1950 or older"
"1401 00040100","R-10","R - Single Family/Cabin","418  KING ST","Spring City",1937,"Before 1991","1950 or older"
"1401 00050000","R-10","R - Single Family/Cabin","412  KING ST","Spring City",1900,"Before 1991","1950 or older"
"1401 00060000","R-10","R - Single Family/Cabin","406  KING ST","Spring City",1900,"Before 1991","1950 or older"
"1401 00070000","R-10","R - Single Family/Cabin","411  RIDGE AVE","Spring City",1900,"Before 1991","1950 or older"
"1401 00070100","R-10","R - Single Family/Cabin","409  RIDGE AVE","Spring City",1900,"Before 1991","1950 or older"
"1401 000701A0","R-10","R - Single Family/Cabin","405  RIDGE AVE","Spring City",1971,"Before 1991","1971-1980"
"1401 000701B0","R-10","R - Single Family/Cabin","403  RIDGE AVE","Spring City",1971,"Before 1991","1971-1980"
"1401 00080000","R-10","R - Single Family/Cabin","415  RIDGE AVE","Spring City",1953,"Before 1991","1951-1960"
"1401 00090000","R-10","R - Single Family/Cabin","437  RIDGE AVE","Spring City",1900,"Before 1991","1950 or older"
"1401 00100000","R-10","R - Single Family/Cabin","439  RIDGE AVE","Spring City",1900,"Before 1991","1950 or older"
"1401 00110000","R-10","R - Single Family/Cabin","445  RIDGE AVE","Spring City",1952,"Before 1991","1951-1960"
"1401 00120000","R-10","R - Single Family/Cabin","501  RIDGE AVE","Spring City",1947,"Before 1991","1950 or older"
"1401 00130000","R-10","R - Single Family/Cabin","550  RIDGE AVE","Spring City",1952,"Before 1991","1951-1960"
"1401 00140000","R-10","R - Single Family/Cabin","442  RIDGE AVE","Spring City",2013,"1991 or Later","2011-2022"
"1401 00150000","R-10","R - Single Family/Cabin","440  RIDGE AVE","Spring City",2013,"1991 or Later","2011-2022"
"1401 00160000","R-10","R - Single Family/Cabin","434  RIDGE AVE","Spring City",1947,"Before 1991","1950 or older"
"1401 00170000","R-10","R - Single Family/Cabin","404  RIDGE AVE","Spring City",1950,"Before 1991","1950 or older"
"1401 00180000","R-10","R - Single Family/Cabin","411  QUEEN ST","Spring City",1880,"Before 1991","1950 or older"
"1401 00190000","R-10","R - Single Family/Cabin","433  QUEEN ST","Spring City",1930,"Before 1991","1950 or older"
"1401 00200000","R-10","R - Single Family/Cabin","435  QUEEN ST","Spring City",1930,"Before 1991","1950 or older"
"1401 00210000","R-10","R - Single Family/Cabin","437  QUEEN ST","Spring City",1900,"Before 1991","1950 or older"
"1401 00220000","R-10","R - Single Family/Cabin","545  GLASS ST","Spring City",1967,"Before 1991","1961-1970"
"1401 00230000","R-10","R - Single Family/Cabin","446  QUEEN ST","Spring City",1900,"Before 1991","1950 or older"
"1401 00230100","R-10","R - Single Family/Cabin","444  QUEEN ST","Spring City",1900,"Before 1991","1950 or older"
"1401 00240000","R-10","R - Single Family/Cabin","440  QUEEN ST","Spring City",1900,"Before 1991","1950 or older"
"1401 00250000","R-10","R - Single Family/Cabin","434  QUEEN ST","Spring City",1850,"Before 1991","1950 or older"
"1401 00260000","R-10","R - Single Family/Cabin","430  QUEEN ST","Spring City",1950,"Before 1991","1950 or older"
"1401 00270000","R-10","R - Single Family/Cabin","426  QUEEN ST","Spring City",2005,"1991 or Later","2001-2010"
"1401 00280000","R-10","R - Single Family/Cabin","433  BRIDGE ST","Spring City",1972,"Before 1991","1971-1980"
"1401 00280100","R-10","R - Single Family/Cabin","411  GLASS ST","Spring City",1972,"Before 1991","1971-1980"
"1401 00280200","R-10","R - Single Family/Cabin","435  BRIDGE ST","Spring City",1972,"Before 1991","1971-1980"
"1401 00280300","R-10","R - Single Family/Cabin","409  GLASS ST","Spring City",1972,"Before 1991","1971-1980"
"1401 00290000","R-10","R - Single Family/Cabin","429  BRIDGE ST","Spring City",1951,"Before 1991","1951-1960"
"1401 00300000","R-10","R - Single Family/Cabin","423  BRIDGE ST","Spring City",1850,"Before 1991","1950 or older"
"1402 00010000","R-10","R - Single Family/Cabin","570 N CEDAR ST","Spring City",1920,"Before 1991","1950 or older"
"1402 00020000","R-10","R - Single Family/Cabin","562  CEDAR ST","Spring City",1973,"Before 1991","1971-1980"
"1402 00020100","R-10","R - Single Family/Cabin","568  CEDAR ST","Spring City",1920,"Before 1991","1950 or older"
"1402 00020200","R-10","R - Single Family/Cabin","564 N CEDAR ST","Spring City",1973,"Before 1991","1971-1980"
"1402 00030000","R-10","R - Single Family/Cabin","407  QUEEN ST","Spring City",1920,"Before 1991","1950 or older"
"1402 00040000","R-10","R - Single Family/Cabin","414  QUEEN ST","Spring City",1920,"Before 1991","1950 or older"
"1402 00050000","R-10","R - Single Family/Cabin","412  QUEEN ST","Spring City",1920,"Before 1991","1950 or older"
"1402 00060000","R-10","R - Single Family/Cabin","542  CEDAR ST","Spring City",1945,"Before 1991","1950 or older"
"1402 00060100","R-10","R - Single Family/Cabin","538 N CEDAR ST","Spring City",1976,"Before 1991","1971-1980"
"1402 00060200","R-10","R - Single Family/Cabin","534  CEDAR ST","Spring City",1978,"Before 1991","1971-1980"
"1402 00070000","R-10","R - Single Family/Cabin","415  BRIDGE ST","Spring City",1900,"Before 1991","1950 or older"
"1402 00080000","R-10","R - Single Family/Cabin","413  BRIDGE ST","Spring City",1900,"Before 1991","1950 or older"
"1402 00090000","R-10","R - Single Family/Cabin","409  BRIDGE ST","Spring City",1910,"Before 1991","1950 or older"
"1402 00100000","R-10","R - Single Family/Cabin","407  BRIDGE ST","Spring City",1910,"Before 1991","1950 or older"
"1402 00110000","R-10","R - Single Family/Cabin","403  BRIDGE ST","Spring City",1910,"Before 1991","1950 or older"
"1402 00110100","R-10","R - Single Family/Cabin","405  BRIDGE ST","Spring City",1900,"Before 1991","1950 or older"
"1402 00120000","R-10","R - Single Family/Cabin","360  KING ST","Spring City",1945,"Before 1991","1950 or older"
"1402 00130000","R-10","R - Single Family/Cabin","356  KING ST","Spring City",1910,"Before 1991","1950 or older"
"1402 00140000","R-10","R - Single Family/Cabin","310  KING ST","Spring City",1900,"Before 1991","1950 or older"
"1402 00140100","R-10","R - Single Family/Cabin","350  KING ST","Spring City",1959,"Before 1991","1951-1960"
"1402 00150000","R-10","R - Single Family/Cabin","590  PENN ST","Spring City",1950,"Before 1991","1950 or older"
"1402 00150100","R-10","R - Single Family/Cabin","550  PENN ST","Spring City",2002,"1991 or Later","2001-2010"
"1402 00150200","R-10","R - Single Family/Cabin","302  KING ST","Spring City",2002,"1991 or Later","2001-2010"
"1402 00160000","R-10","R - Single Family/Cabin","315  RIDGE AVE","Spring City",1962,"Before 1991","1961-1970"
"1402 00160100","R-10","R - Single Family/Cabin","510  PENN ST","Spring City",1962,"Before 1991","1961-1970"
"1402 00160200","R-10","R - Single Family/Cabin","333  RIDGE AVE","Spring City",1962,"Before 1991","1961-1970"
"1402 00170000","R-10","R - Single Family/Cabin","345  RIDGE AVE","Spring City",1959,"Before 1991","1951-1960"
