"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"6601 000101A0","R-10","R - Single Family/Cabin","204  CALEB DR","Thornbury",2007,"1991 or Later","2001-2010"
"6601 000101B0","R-10","R - Single Family/Cabin","214  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 000101C0","R-10","R - Single Family/Cabin","226  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 000101D0","R-10","R - Single Family/Cabin","263  CALEB DR","Thornbury",2009,"1991 or Later","2001-2010"
"6601 000101E0","R-10","R - Single Family/Cabin","261  CALEB DR","Thornbury",2009,"1991 or Later","2001-2010"
"6601 000101F0","R-10","R - Single Family/Cabin","227  CALEB DR","Thornbury",2009,"1991 or Later","2001-2010"
"6601 000101G0","R-10","R - Single Family/Cabin","225  CALEB DR","Thornbury",2009,"1991 or Later","2001-2010"
"6601 000101H0","R-10","R - Single Family/Cabin","223  CALEB DR","Thornbury",2007,"1991 or Later","2001-2010"
"6601 000101J0","R-10","R - Single Family/Cabin","221  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 000101K0","R-10","R - Single Family/Cabin","215  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 000101L0","R-10","R - Single Family/Cabin","211  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 000101M0","R-10","R - Single Family/Cabin","209  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 000101N0","R-10","R - Single Family/Cabin","205  CALEB DR","Thornbury",2007,"1991 or Later","2001-2010"
"6601 000101P0","R-10","R - Single Family/Cabin","201  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 00060000","R-10","R - Single Family/Cabin","126 E STREET RD","Thornbury",1953,"Before 1991","1951-1960"
"6601 00070000","R-10","R - Single Family/Cabin","190 E STREET RD","Thornbury",1972,"Before 1991","1971-1980"
"6601 01490000","R-10","R - Single Family/Cabin","80 E STREET RD","Thornbury",1963,"Before 1991","1961-1970"
"6601 01520100","R-10","R - Single Family/Cabin","190  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01520200","R-10","R - Single Family/Cabin","188  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01520300","R-10","R - Single Family/Cabin","186  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01520400","R-10","R - Single Family/Cabin","184  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01520500","R-10","R - Single Family/Cabin","172  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01520600","R-10","R - Single Family/Cabin","170  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01520700","R-10","R - Single Family/Cabin","168  LYDIA LN","Thornbury",1999,"1991 or Later","1991-2000"
"6601 01520800","R-10","R - Single Family/Cabin","166  LYDIA LN","Thornbury",1999,"1991 or Later","1991-2000"
"6601 01520900","R-10","R - Single Family/Cabin","152  LYDIA LN","Thornbury",1999,"1991 or Later","1991-2000"
"6601 01521000","R-10","R - Single Family/Cabin","150  LYDIA LN","Thornbury",1999,"1991 or Later","1991-2000"
"6601 01521100","R-10","R - Single Family/Cabin","148  LYDIA LN","Thornbury",1999,"1991 or Later","1991-2000"
"6601 01521200","R-10","R - Single Family/Cabin","146  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01521300","R-10","R - Single Family/Cabin","134  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01521400","R-10","R - Single Family/Cabin","132  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01521500","R-10","R - Single Family/Cabin","130  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01521600","R-10","R - Single Family/Cabin","128  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01521700","R-10","R - Single Family/Cabin","126  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01521800","R-10","R - Single Family/Cabin","202  LYDIA LN","Thornbury",1997,"1991 or Later","1991-2000"
"6601 01521900","R-10","R - Single Family/Cabin","200  LYDIA LN","Thornbury",1997,"1991 or Later","1991-2000"
"6601 01522000","R-10","R - Single Family/Cabin","198  LYDIA LN","Thornbury",1997,"1991 or Later","1991-2000"
"6601 01522100","R-10","R - Single Family/Cabin","196  LYDIA LN","Thornbury",1997,"1991 or Later","1991-2000"
"6601 01530100","R-10","R - Single Family/Cabin","137  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01530200","R-10","R - Single Family/Cabin","139  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01530300","R-10","R - Single Family/Cabin","141  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01530400","R-10","R - Single Family/Cabin","143  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01530500","R-10","R - Single Family/Cabin","145  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 01530600","R-10","R - Single Family/Cabin","149  LYDIA LN","Thornbury",1998,"1991 or Later","1991-2000"
"6601 02010000","R-10","R - Single Family/Cabin","257  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 02020000","R-10","R - Single Family/Cabin","251  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 02030000","R-10","R - Single Family/Cabin","253  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 02040000","R-10","R - Single Family/Cabin","271  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 02050000","R-10","R - Single Family/Cabin","247  CALEB DR","Thornbury",2008,"1991 or Later","2001-2010"
"6601 02060000","R-10","R - Single Family/Cabin","255  CALEB DR","Thornbury",2009,"1991 or Later","2001-2010"
