"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"4202 03550000","R-10","R - Single Family/Cabin","707  STONECLIFFE RD","Tredyffrin",2018,"1991 or Later","2011-2022"
"4202 03560000","R-10","R - Single Family/Cabin","705  STONECLIFFE RD","Tredyffrin",2017,"1991 or Later","2011-2022"
"4301R00010000","R-10","R - Single Family/Cabin","580  GULPH RD","Tredyffrin",1961,"Before 1991","1961-1970"
"4301R00020000","R-10","R - Single Family/Cabin","588  GULPH RD","Tredyffrin",1960,"Before 1991","1951-1960"
"4301R00030000","R-10","R - Single Family/Cabin","596  GULPH RD","Tredyffrin",1960,"Before 1991","1951-1960"
"4301R00040000","R-10","R - Single Family/Cabin","606  GULPH RD","Tredyffrin",1960,"Before 1991","1951-1960"
"4301R00050000","R-10","R - Single Family/Cabin","614  GULPH RD","Tredyffrin",1960,"Before 1991","1951-1960"
"4301R00060000","R-10","R - Single Family/Cabin","624  GULPH RD","Tredyffrin",1958,"Before 1991","1951-1960"
"4301R00070000","R-10","R - Single Family/Cabin","632  GULPH RD","Tredyffrin",1958,"Before 1991","1951-1960"
"4301R00080000","R-10","R - Single Family/Cabin","642  GULPH RD","Tredyffrin",1958,"Before 1991","1951-1960"
"4301R00090000","R-10","R - Single Family/Cabin","653  GULPH RD","Tredyffrin",1966,"Before 1991","1961-1970"
"4301R00100000","R-10","R - Single Family/Cabin","1718  WEEDON RD","Tredyffrin",1970,"Before 1991","1961-1970"
"4301R00110000","R-10","R - Single Family/Cabin","639  GULPH RD","Tredyffrin",1969,"Before 1991","1961-1970"
"4301R00120000","R-10","R - Single Family/Cabin","629  GULPH RD","Tredyffrin",1969,"Before 1991","1961-1970"
"4301R00130000","R-10","R - Single Family/Cabin","617  GULPH RD","Tredyffrin",1969,"Before 1991","1961-1970"
"4301R00140000","R-10","R - Single Family/Cabin","606  THOMAS JEFFERSON RD","Tredyffrin",1970,"Before 1991","1961-1970"
"4301R00150000","R-10","R - Single Family/Cabin","618  THOMAS JEFFERSON RD","Tredyffrin",1974,"Before 1991","1971-1980"
"4301R00160000","R-10","R - Single Family/Cabin","626  THOMAS JEFFERSON RD","Tredyffrin",1975,"Before 1991","1971-1980"
"4301R00170000","R-10","R - Single Family/Cabin","632  THOMAS JEFFERSON RD","Tredyffrin",1974,"Before 1991","1971-1980"
"4301R00180000","R-10","R - Single Family/Cabin","636  THOMAS JEFFERSON RD","Tredyffrin",1974,"Before 1991","1971-1980"
"4301R00190000","R-10","R - Single Family/Cabin","1746  WEEDON RD","Tredyffrin",1974,"Before 1991","1971-1980"
"4301R00200000","R-10","R - Single Family/Cabin","649  THOMAS JEFFERSON RD","Tredyffrin",1979,"Before 1991","1971-1980"
"4301R00210000","R-10","R - Single Family/Cabin","643  THOMAS JEFFERSON RD","Tredyffrin",1979,"Before 1991","1971-1980"
"4301R00220000","R-10","R - Single Family/Cabin","635  THOMAS JEFFERSON RD","Tredyffrin",1976,"Before 1991","1971-1980"
"4301R00230000","R-10","R - Single Family/Cabin","631  THOMAS JEFFERSON RD","Tredyffrin",1976,"Before 1991","1971-1980"
"4301R00240000","R-10","R - Single Family/Cabin","623  THOMAS JEFFERSON RD","Tredyffrin",1976,"Before 1991","1971-1980"
"4301R00250000","R-10","R - Single Family/Cabin","617  THOMAS JEFFERSON RD","Tredyffrin",1975,"Before 1991","1971-1980"
"4301R00260000","R-10","R - Single Family/Cabin","611  THOMAS JEFFERSON RD","Tredyffrin",1975,"Before 1991","1971-1980"
"4301R00270000","R-10","R - Single Family/Cabin","607  THOMAS JEFFERSON RD","Tredyffrin",1975,"Before 1991","1971-1980"
"4301R00280000","R-10","R - Single Family/Cabin","603  THOMAS JEFFERSON RD","Tredyffrin",1975,"Before 1991","1971-1980"
"4301R00290000","R-10","R - Single Family/Cabin","581  GULPH RD","Tredyffrin",1972,"Before 1991","1971-1980"
"4301R00300000","R-10","R - Single Family/Cabin","571  GULPH RD","Tredyffrin",1973,"Before 1991","1971-1980"
"4301R00310000","R-10","R - Single Family/Cabin","569  GULPH RD","Tredyffrin",1974,"Before 1991","1971-1980"
