"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"5703 00800300","R-10","R - Single Family/Cabin","287  RAY MAR RD","Upper Oxford",1982,"Before 1991","1981-1990"
"5703 00850000","R-10","R - Single Family/Cabin","1  WOOD VALLEY LN","Upper Oxford",1994,"1991 or Later","1991-2000"
"5703 00850100","R-10","R - Single Family/Cabin","15  WOOD VALLEY LN","Upper Oxford",1994,"1991 or Later","1991-2000"
"5703 00900100","R-10","R - Single Family/Cabin","434  CATAMOUNT RD","Upper Oxford",1966,"Before 1991","1961-1970"
"5703 00900200","R-10","R - Single Family/Cabin","444  CATAMOUNT RD","Upper Oxford",1988,"Before 1991","1981-1990"
"5703 00930100","R-10","R - Single Family/Cabin","240  SPRING VALLEY RD","Upper Oxford",1974,"Before 1991","1971-1980"
"5703 00930200","R-10","R - Single Family/Cabin","258  SPRING VALLEY RD","Upper Oxford",1996,"1991 or Later","1991-2000"
"5703 00930400","R-10","R - Single Family/Cabin","485  CATAMOUNT RD","Upper Oxford",2000,"1991 or Later","1991-2000"
"5703 00940000","R-10","R - Single Family/Cabin","435  CATAMOUNT RD","Upper Oxford",1900,"Before 1991","1950 or older"
"5703 00950000","R-10","R - Single Family/Cabin","424  CATAMOUNT RD","Upper Oxford",1983,"Before 1991","1981-1990"
"5703 00960000","R-60","R - Dwelling W/Comm Use Primary R","5330  HOMEVILLE RD","Upper Oxford",1900,"Before 1991","1950 or older"
"5703 00980000","R-10","R - Single Family/Cabin","4811  HOMEVILLE RD","Upper Oxford",1981,"Before 1991","1981-1990"
"5703 01020000","R-10","R - Single Family/Cabin","376  CATAMOUNT RD","Upper Oxford",1988,"Before 1991","1981-1990"
"5703 01040000","R-10","R - Single Family/Cabin","416  CATAMOUNT RD","Upper Oxford",1987,"Before 1991","1981-1990"
"5707 00070100","R-10","R - Single Family/Cabin","421  PENNS GROVE RD","Upper Oxford",1900,"Before 1991","1950 or older"
"5707 00170400","R-10","R - Single Family/Cabin","151  UNIVERSITY RD","Upper Oxford",1992,"1991 or Later","1991-2000"
"5708 000404A0","R-10","R - Single Family/Cabin","541  PUSEY MILLL RD","Upper Oxford",2008,"1991 or Later","2001-2010"
"5708 003005P0","R-10","R - Single Family/Cabin","109  BIDDLE LN","Upper Oxford",2003,"1991 or Later","2001-2010"
"5708 00360500","R-10","R - Single Family/Cabin","1237  OLD BALTIMORE PK","Upper Oxford",1999,"1991 or Later","1991-2000"
"5708 00383800","R-10","R - Single Family/Cabin","104  KIMBLE RD","Upper Oxford",2001,"1991 or Later","2001-2010"
"5708 004003B0","R-10","R - Single Family/Cabin","104  WILSON DR","Upper Oxford",1995,"1991 or Later","1991-2000"
