"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3301 00180300","R-10","R - Single Family/Cabin","340 E TOWNSHIP LINE RD","Uwchlan",2008,"1991 or Later","2001-2010"
"3301 001803B0","R-10","R - Single Family/Cabin","360 E TOWNSHIP LINE RD","Uwchlan",2006,"1991 or Later","2001-2010"
"3301 00200100","R-10","R - Single Family/Cabin","482  BYERS RD","Uwchlan",2006,"1991 or Later","2001-2010"
"3301 00200200","R-10","R - Single Family/Cabin","484  BYERS RD","Uwchlan",2006,"1991 or Later","2001-2010"
"3301 00200300","R-10","R - Single Family/Cabin","420  LIONVILLE STATION RD","Uwchlan",2012,"1991 or Later","2011-2022"
"3301 02000000","R-10","R - Single Family/Cabin","101  BUCKLEY CRT","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02010000","R-10","R - Single Family/Cabin","102  BUCKLEY CRT","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02020000","R-10","R - Single Family/Cabin","103  BUCKLEY CRT","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02030000","R-10","R - Single Family/Cabin","104  BUCKLEY CRT","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02040000","R-10","R - Single Family/Cabin","105  BUCKLEY CRT","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02050000","R-10","R - Single Family/Cabin","106  BUCKLEY CRT","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02060000","R-10","R - Single Family/Cabin","201  TINKER DR","Uwchlan",1984,"Before 1991","1981-1990"
"3301 02070000","R-10","R - Single Family/Cabin","202  TINKER DR","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02080000","R-10","R - Single Family/Cabin","203  TINKER DR","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02090000","R-10","R - Single Family/Cabin","204  TINKER DR","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02100000","R-10","R - Single Family/Cabin","205  TINKER DR","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02110000","R-10","R - Single Family/Cabin","206  TINKER DR","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02120000","R-10","R - Single Family/Cabin","207  TINKER DR","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02130000","R-10","R - Single Family/Cabin","301  TINKER DR","Uwchlan",1984,"Before 1991","1981-1990"
"3301 02140000","R-10","R - Single Family/Cabin","302  TINKER DR","Uwchlan",1984,"Before 1991","1981-1990"
"3301 02150000","R-10","R - Single Family/Cabin","303  TINKER DR","Uwchlan",1984,"Before 1991","1981-1990"
"3301 02160000","R-10","R - Single Family/Cabin","304  TINKER DR","Uwchlan",1984,"Before 1991","1981-1990"
"3301 02170000","R-10","R - Single Family/Cabin","305  TINKER DR","Uwchlan",1984,"Before 1991","1981-1990"
"3301 02180000","R-10","R - Single Family/Cabin","306  TINKER DR","Uwchlan",1984,"Before 1991","1981-1990"
"3301 02190000","R-10","R - Single Family/Cabin","307  TINKER DR","Uwchlan",1984,"Before 1991","1981-1990"
"3301 02200000","R-10","R - Single Family/Cabin","401  TINKER DR","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02210000","R-10","R - Single Family/Cabin","402  TINKER DR","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02220000","R-10","R - Single Family/Cabin","403  TINKER DR","Uwchlan",1983,"Before 1991","1981-1990"
"3301 02230000","R-10","R - Single Family/Cabin","404  TINKER DR","Uwchlan",1983,"Before 1991","1981-1990"
