"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3704 01050000","R-10","R - Single Family/Cabin","1302  OLD WILMINGTON RD","Valley",1987,"Before 1991","1981-1990"
"3801 00570100","R-10","R - Single Family/Cabin","25  OAKLYN LN","Valley",2012,"1991 or Later","2011-2022"
"3801 00590000","R-10","R - Single Family/Cabin","20  ROBINSON AVE","Valley",1987,"Before 1991","1981-1990"
"3801 00650000","R-50","R - Condominium","118  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00660000","R-50","R - Condominium","120  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00670000","R-50","R - Condominium","122  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00680000","R-50","R - Condominium","124  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00690000","R-50","R - Condominium","126  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00700000","R-50","R - Condominium","128  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00710000","R-50","R - Condominium","130  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00720000","R-50","R - Condominium","132  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00730000","R-50","R - Condominium","140  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00740000","R-50","R - Condominium","142  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00750000","R-50","R - Condominium","144  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00760000","R-50","R - Condominium","146  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00770000","R-50","R - Condominium","148  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00780000","R-50","R - Condominium","150  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00790000","R-50","R - Condominium","152  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00800000","R-50","R - Condominium","103  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00810000","R-50","R - Condominium","105  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
"3801 00820000","R-50","R - Condominium","107  LAROSE DR","Valley",2007,"1991 or Later","2001-2010"
