"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3102 00201700","R-10","R - Single Family/Cabin","70  MAPLEFLOWER RD","Wallace",2003,"1991 or Later","2001-2010"
"3104 001102D0","R-10","R - Single Family/Cabin","9  PETERS LN","Wallace",2005,"1991 or Later","2001-2010"
"3104 002901A0","R-10","R - Single Family/Cabin","405  BRANCH CRT","Wallace",2009,"1991 or Later","2001-2010"
"3104 00310300","R-10","R - Single Family/Cabin","368  INDIANTOWN RD","Wallace",1975,"Before 1991","1971-1980"
"3104 01481200","R-10","R - Single Family/Cabin","11  WATERVIEW DR","Wallace",2001,"1991 or Later","2001-2010"
"3104 01481300","R-10","R - Single Family/Cabin","21  WATERVIEW DR","Wallace",2000,"1991 or Later","1991-2000"
"3104 01481400","R-10","R - Single Family/Cabin","31  WATERVIEW DR","Wallace",2001,"1991 or Later","2001-2010"
"3104 01482300","R-10","R - Single Family/Cabin","55  WATERVIEW DR","Wallace",2012,"1991 or Later","2011-2022"
"3104 01482600","R-10","R - Single Family/Cabin","40  WATERVIEW DR","Wallace",2000,"1991 or Later","1991-2000"
"3105 00110000","R-10","R - Single Family/Cabin","100  WATERVIEW DR","Wallace",2001,"1991 or Later","2001-2010"
"3105 00170000","R-10","R - Single Family/Cabin","81  WATERVIEW DR","Wallace",2002,"1991 or Later","2001-2010"
"3106 00010200","R-10","R - Single Family/Cabin","35  BRITTANY LN","Wallace",2001,"1991 or Later","2001-2010"
"3106 00010400","R-10","R - Single Family/Cabin","32  BRITTANY LN","Wallace",2001,"1991 or Later","2001-2010"
"3106 00010500","R-10","R - Single Family/Cabin","12  BRITTANY LN","Wallace",2001,"1991 or Later","2001-2010"
"3106 00010800","R-10","R - Single Family/Cabin","4  BRITTANY LN","Wallace",2001,"1991 or Later","2001-2010"
"3106 00011000","R-10","R - Single Family/Cabin","31  BRITTANY LN","Wallace",2002,"1991 or Later","2001-2010"
"3106 000201A0","R-10","R - Single Family/Cabin","40  BRITTANY LN","Wallace",2013,"1991 or Later","2011-2022"
"3106 000201B0","R-10","R - Single Family/Cabin","42  BRITTANY LN","Wallace",2013,"1991 or Later","2011-2022"
"3106 01460000","R-10","R - Single Family/Cabin","102  BRITTANY LN","Wallace",2012,"1991 or Later","2011-2022"
"3106 01470000","R-10","R - Single Family/Cabin","100  BRITTANY LN","Wallace",2008,"1991 or Later","2001-2010"
"3106 01480000","R-10","R - Single Family/Cabin","98  BRITTANY LN","Wallace",2013,"1991 or Later","2011-2022"
"3106 01490000","R-10","R - Single Family/Cabin","96  BRITTANY LN","Wallace",2006,"1991 or Later","2001-2010"
"3106 01500000","R-10","R - Single Family/Cabin","11  COULTER DR","Wallace",2012,"1991 or Later","2011-2022"
"3106 01510000","R-10","R - Single Family/Cabin","13  COULTER DR","Wallace",2008,"1991 or Later","2001-2010"
"3106 01520000","R-10","R - Single Family/Cabin","15  COULTER DR","Wallace",2011,"1991 or Later","2011-2022"
"3106 01530000","R-10","R - Single Family/Cabin","48  BRITTANY LN","Wallace",2011,"1991 or Later","2011-2022"
"3106 01540000","R-10","R - Single Family/Cabin","46  BRITTANY LN","Wallace",2011,"1991 or Later","2011-2022"
"3106 01550000","R-10","R - Single Family/Cabin","44  BRITTANY LN","Wallace",2012,"1991 or Later","2011-2022"
"3106 01560000","R-10","R - Single Family/Cabin","47  BRITTANY LN","Wallace",2008,"1991 or Later","2001-2010"
"3106 01570000","R-10","R - Single Family/Cabin","49  BRITTANY LN","Wallace",2009,"1991 or Later","2001-2010"
"3106 01580000","R-10","R - Single Family/Cabin","51  BRITTANY LN","Wallace",2012,"1991 or Later","2011-2022"
"3106 01590000","R-10","R - Single Family/Cabin","53  BRITTANY LN","Wallace",2008,"1991 or Later","2001-2010"
"3106 01600000","R-10","R - Single Family/Cabin","55  BRITTANY LN","Wallace",2009,"1991 or Later","2001-2010"
"3106 01610000","R-10","R - Single Family/Cabin","57  BRITTANY LN","Wallace",2012,"1991 or Later","2011-2022"
"3106 01620000","R-10","R - Single Family/Cabin","59  BRITTANY LN","Wallace",2008,"1991 or Later","2001-2010"
"3106 01630000","R-10","R - Single Family/Cabin","63  BRITTANY LN","Wallace",2008,"1991 or Later","2001-2010"
"3106 01640000","R-10","R - Single Family/Cabin","65  BRITTANY LN","Wallace",2008,"1991 or Later","2001-2010"
"3106 01650000","R-10","R - Single Family/Cabin","67  BRITTANY LN","Wallace",2009,"1991 or Later","2001-2010"
"3106 01660000","R-10","R - Single Family/Cabin","69  BRITTANY LN","Wallace",2009,"1991 or Later","2001-2010"
"3106 01670000","R-10","R - Single Family/Cabin","71  BRITTANY LN","Wallace",2012,"1991 or Later","2011-2022"
"3106 01680000","R-10","R - Single Family/Cabin","16  BALDWIN CIR","Wallace",2008,"1991 or Later","2001-2010"
"3106 01690000","R-10","R - Single Family/Cabin","18  BALDWIN CIR","Wallace",2008,"1991 or Later","2001-2010"
"3106 01700000","R-10","R - Single Family/Cabin","20  BALDWIN CIR","Wallace",2011,"1991 or Later","2011-2022"
"3106 01710000","R-10","R - Single Family/Cabin","22  BALDWIN CIR","Wallace",2012,"1991 or Later","2011-2022"
"3106 01720000","R-10","R - Single Family/Cabin","26  BALDWIN CIR","Wallace",2012,"1991 or Later","2011-2022"
