"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"5001 00270100","R-10","R - Single Family/Cabin","1517  ELK RUN RD","West Bradford",2007,"1991 or Later","2001-2010"
"5001 00270200","R-10","R - Single Family/Cabin","1519  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00270300","R-10","R - Single Family/Cabin","1521  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00270400","R-10","R - Single Family/Cabin","1523  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00270500","R-10","R - Single Family/Cabin","1525  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00270600","R-10","R - Single Family/Cabin","1527  ELK RUN RD","West Bradford",2010,"1991 or Later","2001-2010"
"5001 00270700","R-10","R - Single Family/Cabin","1529  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00270800","R-10","R - Single Family/Cabin","1531  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00270900","R-10","R - Single Family/Cabin","1533  ELK RUN RD","West Bradford",2010,"1991 or Later","2001-2010"
"5001 00271000","R-10","R - Single Family/Cabin","1535  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00271100","R-10","R - Single Family/Cabin","1537  ELK RUN RD","West Bradford",2010,"1991 or Later","2001-2010"
"5001 00271200","R-10","R - Single Family/Cabin","1539  ELK RUN RD","West Bradford",2007,"1991 or Later","2001-2010"
"5001 00271300","R-10","R - Single Family/Cabin","1541  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00271400","R-10","R - Single Family/Cabin","1530  ELK RUN RD","West Bradford",2011,"1991 or Later","2011-2022"
"5001 00271500","R-10","R - Single Family/Cabin","1528  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00271600","R-10","R - Single Family/Cabin","1526  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00271700","R-10","R - Single Family/Cabin","1524  ELK RUN RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00271800","R-10","R - Single Family/Cabin","1522  ELK RUN RD","West Bradford",2008,"1991 or Later","2001-2010"
"5001 00271900","R-10","R - Single Family/Cabin","1520  ELK RUN RD","West Bradford",2008,"1991 or Later","2001-2010"
"5001 00272000","R-10","R - Single Family/Cabin","1518  ELK RUN RD","West Bradford",2010,"1991 or Later","2001-2010"
"5001 00272100","R-10","R - Single Family/Cabin","1516  ELK RUN RD","West Bradford",2007,"1991 or Later","2001-2010"
"5001 00272200","R-10","R - Single Family/Cabin","1519  HIGH COUNTRY RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00272300","R-10","R - Single Family/Cabin","1521  HIGH COUNTRY RD","West Bradford",2006,"1991 or Later","2001-2010"
"5001 00272400","R-10","R - Single Family/Cabin","1525  HIGH COUNTRY RD","West Bradford",2006,"1991 or Later","2001-2010"
"5001 00272500","R-10","R - Single Family/Cabin","1527  HIGH COUNTRY RD","West Bradford",2008,"1991 or Later","2001-2010"
"5001 00272600","R-10","R - Single Family/Cabin","1529  HIGH COUNTRY RD","West Bradford",2010,"1991 or Later","2001-2010"
"5001 00272700","R-10","R - Single Family/Cabin","1531  HIGH COUNTRY RD","West Bradford",2006,"1991 or Later","2001-2010"
"5001 00272800","R-10","R - Single Family/Cabin","1533  HIGH COUNTRY RD","West Bradford",2006,"1991 or Later","2001-2010"
"5001 00272900","R-10","R - Single Family/Cabin","1535  HIGH COUNTRY RD","West Bradford",2007,"1991 or Later","2001-2010"
"5001 00273000","R-10","R - Single Family/Cabin","1537  HIGH COUNTRY RD","West Bradford",2008,"1991 or Later","2001-2010"
"5001 00273100","R-10","R - Single Family/Cabin","1539  HIGH COUNTRY RD","West Bradford",2008,"1991 or Later","2001-2010"
"5001 00273200","R-10","R - Single Family/Cabin","1541  HIGH COUNTRY RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00273300","R-10","R - Single Family/Cabin","1543  HIGH COUNTRY RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00273400","R-10","R - Single Family/Cabin","1545  HIGH COUNTRY RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00273500","R-10","R - Single Family/Cabin","1534  HIGH COUNTRY RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00273600","R-10","R - Single Family/Cabin","1532  HIGH COUNTRY RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00273700","R-10","R - Single Family/Cabin","1530  HIGH COUNTRY RD","West Bradford",2010,"1991 or Later","2001-2010"
"5001 00273800","R-10","R - Single Family/Cabin","1528  HIGH COUNTRY RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00273900","R-10","R - Single Family/Cabin","1526  HIGH COUNTRY RD","West Bradford",2007,"1991 or Later","2001-2010"
"5001 00274000","R-10","R - Single Family/Cabin","1524  HIGH COUNTRY RD","West Bradford",2007,"1991 or Later","2001-2010"
"5001 00274100","R-10","R - Single Family/Cabin","1522  HIGH COUNTRY RD","West Bradford",2008,"1991 or Later","2001-2010"
"5001 00274200","R-10","R - Single Family/Cabin","1520  HIGH COUNTRY RD","West Bradford",2006,"1991 or Later","2001-2010"
"5001 00274300","R-10","R - Single Family/Cabin","1518  HIGH COUNTRY RD","West Bradford",2006,"1991 or Later","2001-2010"
"5001 00274400","R-10","R - Single Family/Cabin","1516  HIGH COUNTRY RD","West Bradford",2009,"1991 or Later","2001-2010"
"5001 00283100","R-10","R - Single Family/Cabin","1513  HILLTOP RD","West Bradford",1972,"Before 1991","1971-1980"
"5001 00364400","R-10","R - Single Family/Cabin","1525 E SEDONA DR","West Bradford",2015,"1991 or Later","2011-2022"
"5001 00364800","R-10","R - Single Family/Cabin","1503 W SEDONA DR","West Bradford",2004,"1991 or Later","2001-2010"
"5001 00700000","R-55","R - Town House (Common Law Condo)","1800  BOULDER DR","West Bradford",2020,"1991 or Later","2011-2022"
"5001 00710000","R-55","R - Town House (Common Law Condo)","1802  BOULDER DR","West Bradford",2020,"1991 or Later","2011-2022"
"5001 00720000","R-55","R - Town House (Common Law Condo)","1804  BOULDER DR","West Bradford",2020,"1991 or Later","2011-2022"
"5001 00730000","R-55","R - Town House (Common Law Condo)","1806  BOULDER DR","West Bradford",2020,"1991 or Later","2011-2022"
"5001 00740000","R-55","R - Town House (Common Law Condo)","1808  BOULDER DR","West Bradford",2020,"1991 or Later","2011-2022"
"5001 00750000","R-55","R - Town House (Common Law Condo)","1810  BOULDER DR","West Bradford",2020,"1991 or Later","2011-2022"
