"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"2904 009902K0","R-10","R - Single Family/Cabin","2916  MANOR RD","West Brandywine",2007,"1991 or Later","2001-2010"
"2904 01140000","R-10","R - Single Family/Cabin","2820  MANOR RD","West Brandywine",1928,"Before 1991","1950 or older"
"2904 01150000","R-20","R - Two Family","2810  MANOR RD","West Brandywine",1955,"Before 1991","1951-1960"
"2904 01150000","R-20","R - Two Family","2810  MANOR RD","West Brandywine",1950,"Before 1991","1950 or older"
"2904 01380100","R-10","R - Single Family/Cabin","190  CULBERTSON RUN RD","West Brandywine",2004,"1991 or Later","2001-2010"
"2904 01650800","R-10","R - Single Family/Cabin","7  KIMBERWICK CIR","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01650900","R-10","R - Single Family/Cabin","15  KIMBERWICK CIR","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01651000","R-10","R - Single Family/Cabin","23  KIMBERWICK CIR","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01651100","R-10","R - Single Family/Cabin","31  KIMBERWICK CIR","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01651200","R-10","R - Single Family/Cabin","66 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01651300","R-10","R - Single Family/Cabin","58 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01651400","R-10","R - Single Family/Cabin","50 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01651500","R-10","R - Single Family/Cabin","42 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01651600","R-10","R - Single Family/Cabin","34 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01651700","R-10","R - Single Family/Cabin","26 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01651800","R-10","R - Single Family/Cabin","18 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01651900","R-10","R - Single Family/Cabin","10 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01652000","R-10","R - Single Family/Cabin","2 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01652100","R-10","R - Single Family/Cabin","63  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01652200","R-10","R - Single Family/Cabin","71  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01652300","R-10","R - Single Family/Cabin","9 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01652400","R-10","R - Single Family/Cabin","45  KIMBERWICK CIR","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01652500","R-10","R - Single Family/Cabin","51 W BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01652600","R-10","R - Single Family/Cabin","9 E BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01652700","R-10","R - Single Family/Cabin","25 E BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01652800","R-10","R - Single Family/Cabin","33 E BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01652900","R-10","R - Single Family/Cabin","32 E BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01653000","R-10","R - Single Family/Cabin","24 E BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01653100","R-10","R - Single Family/Cabin","16 E BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01653200","R-10","R - Single Family/Cabin","8 E BRIDLE CRT","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01653300","R-10","R - Single Family/Cabin","48  KIMBERWICK CIR","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01653400","R-10","R - Single Family/Cabin","1  TROTTER LN","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01653500","R-10","R - Single Family/Cabin","3  TROTTER LN","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01653600","R-10","R - Single Family/Cabin","5  TROTTER LN","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01653700","R-10","R - Single Family/Cabin","4  TROTTER LN","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01653800","R-10","R - Single Family/Cabin","2  TROTTER LN","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01653900","R-10","R - Single Family/Cabin","14  KIMBERWICK CIR","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01654200","R-10","R - Single Family/Cabin","87  KIMBERWICK CIR","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01654300","R-10","R - Single Family/Cabin","95  KIMBERWICK CIR","West Brandywine",1986,"Before 1991","1981-1990"
"2904 01654400","R-10","R - Single Family/Cabin","103  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01654500","R-10","R - Single Family/Cabin","111  CANTER LN","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01654600","R-10","R - Single Family/Cabin","119  CANTER LN","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01654700","R-10","R - Single Family/Cabin","127  CANTER LN","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01654800","R-10","R - Single Family/Cabin","135  CANTER LN","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01654900","R-10","R - Single Family/Cabin","111  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01655000","R-10","R - Single Family/Cabin","119  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01655100","R-10","R - Single Family/Cabin","127  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01655200","R-10","R - Single Family/Cabin","135  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01655300","R-10","R - Single Family/Cabin","143  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01655400","R-10","R - Single Family/Cabin","151  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01655500","R-10","R - Single Family/Cabin","155  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01655600","R-10","R - Single Family/Cabin","167  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01655700","R-10","R - Single Family/Cabin","168  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01655800","R-10","R - Single Family/Cabin","88  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01655900","R-10","R - Single Family/Cabin","104  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
"2904 01656000","R-10","R - Single Family/Cabin","112  KIMBERWICK CIR","West Brandywine",1987,"Before 1991","1981-1990"
