"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"2802 00080000","R-10","R - Single Family/Cabin","2870  COMPASS RD","West Caln",1960,"Before 1991","1951-1960"
"2802 00210100","R-10","R - Single Family/Cabin","327  HILL RD","West Caln",1995,"1991 or Later","1991-2000"
"2802 00220000","R-10","R - Single Family/Cabin","715 N SANDY HILL RD","West Caln",2006,"1991 or Later","2001-2010"
"2802 00220100","R-10","R - Single Family/Cabin","711 N SANDY HILL RD","West Caln",2005,"1991 or Later","2001-2010"
"2802 00220200","R-10","R - Single Family/Cabin","705 N SANDY HILL RD","West Caln",2006,"1991 or Later","2001-2010"
"2802 00220300","R-10","R - Single Family/Cabin","701 N SANDY HILL RD","West Caln",2006,"1991 or Later","2001-2010"
"2802 00220400","R-10","R - Single Family/Cabin","315  HILL RD","West Caln",2006,"1991 or Later","2001-2010"
"2802 00220500","R-10","R - Single Family/Cabin","319  HILL RD","West Caln",2006,"1991 or Later","2001-2010"
"2802 00220600","R-10","R - Single Family/Cabin","323  HILL RD","West Caln",2005,"1991 or Later","2001-2010"
"2802 00270000","R-10","R - Single Family/Cabin","311  HILL RD","West Caln",2003,"1991 or Later","2001-2010"
"2802 00361400","R-10","R - Single Family/Cabin","102  SWEETWATER DR","West Caln",1997,"1991 or Later","1991-2000"
"2802 00450100","R-10","R - Single Family/Cabin","1493  TELEGRAPH RD","West Caln",2002,"1991 or Later","2001-2010"
"2802 00510100","R-10","R - Single Family/Cabin","1421  TELEGRAPH RD","West Caln",2001,"1991 or Later","2001-2010"
"2802 00510200","R-10","R - Single Family/Cabin","1425  TELEGRAPH RD","West Caln",2001,"1991 or Later","2001-2010"
"2802 00510400","R-10","R - Single Family/Cabin","328  HILL RD","West Caln",2002,"1991 or Later","2001-2010"
"2802 00510500","R-10","R - Single Family/Cabin","1427  TELEGRAPH RD","West Caln",2001,"1991 or Later","2001-2010"
"2802 00520000","R-10","R - Single Family/Cabin","320  HILL RD","West Caln",2005,"1991 or Later","2001-2010"
"2802 00620600","R-10","R - Single Family/Cabin","1480  TELEGRAPH RD","West Caln",1987,"Before 1991","1981-1990"
"2802 007401A0","R-10","R - Single Family/Cabin","649 N SANDY HILL RD","West Caln",2006,"1991 or Later","2001-2010"
"2802 00820000","R-10","R - Single Family/Cabin","654 N SANDY HILL RD","West Caln",2003,"1991 or Later","2001-2010"
"2802 00820100","R-10","R - Single Family/Cabin","1356  TELEGRAPH RD","West Caln",2002,"1991 or Later","2001-2010"
"2802 00820200","R-10","R - Single Family/Cabin","1366  TELEGRAPH RD","West Caln",2003,"1991 or Later","2001-2010"
"2802 00820300","R-10","R - Single Family/Cabin","1376  TELEGRAPH RD","West Caln",2002,"1991 or Later","2001-2010"
"2802 00820400","R-10","R - Single Family/Cabin","678 N SANDY HILL RD","West Caln",2003,"1991 or Later","2001-2010"
"2802 00820500","R-10","R - Single Family/Cabin","672 N SANDY HILL RD","West Caln",2003,"1991 or Later","2001-2010"
"2802 00820600","R-10","R - Single Family/Cabin","668 N SANDY HILL RD","West Caln",2003,"1991 or Later","2001-2010"
"2802 00820700","R-10","R - Single Family/Cabin","658 N SANDY HILL RD","West Caln",2003,"1991 or Later","2001-2010"
"2802 00840200","R-10","R - Single Family/Cabin","634 N SANDY HILL RD","West Caln",2020,"1991 or Later","2011-2022"
"2802 008404A0","R-10","R - Single Family/Cabin","620 N SANDY HILL RD","West Caln",2006,"1991 or Later","2001-2010"
"2802 00934400","R-10","R - Single Family/Cabin","136  BRANDYWINE DR","West Caln",1997,"1991 or Later","1991-2000"
"2802 00970300","R-10","R - Single Family/Cabin","158  MARTINS CORNER RD","West Caln",1965,"Before 1991","1961-1970"
"2803 00240600","R-10","R - Single Family/Cabin","121  DAVIS RD","West Caln",1987,"Before 1991","1981-1990"
"2803 00240700","R-10","R - Single Family/Cabin","839  CEDAR KNOLL RD","West Caln",1994,"1991 or Later","1991-2000"
"2804 00250500","R-10","R - Single Family/Cabin","123  CAINS RD","West Caln",1981,"Before 1991","1981-1990"
"2804 007603A0","R-10","R - Single Family/Cabin","104  KIBLER LN","West Caln",1985,"Before 1991","1981-1990"
"2804 007604D0","R-10","R - Single Family/Cabin","101  PIERCE LN","West Caln",1988,"Before 1991","1981-1990"
"2804 01341100","R-10","R - Single Family/Cabin","111  CHRISTOPHERS LN","West Caln",1994,"1991 or Later","1991-2000"
"2804 01341300","R-10","R - Single Family/Cabin","101  CHRISTOPHERS LN","West Caln",1994,"1991 or Later","1991-2000"
"2805 00470400","R-10","R - Single Family/Cabin","405 N SANDY HILL RD","West Caln",2005,"1991 or Later","2001-2010"
"2805 00550100","R-10","R - Single Family/Cabin","358 N SANDY HILL RD","West Caln",1964,"Before 1991","1961-1970"
"2805 005503A0","R-10","R - Single Family/Cabin","324 N SANDY HILL RD","West Caln",2003,"1991 or Later","2001-2010"
"2805 00580000","R-10","R - Single Family/Cabin","410 N SANDY HILL RD","West Caln",2006,"1991 or Later","2001-2010"
"2805 00590300","R-10","R - Single Family/Cabin","460 N SANDY HILL RD","West Caln",2002,"1991 or Later","2001-2010"
"2805 00590400","R-10","R - Single Family/Cabin","450 N SANDY HILL RD","West Caln",2002,"1991 or Later","2001-2010"
"2805 00590500","R-10","R - Single Family/Cabin","456 N SANDY HILL RD","West Caln",2004,"1991 or Later","2001-2010"
"2805 00780200","R-10","R - Single Family/Cabin","1103 W KINGS HWY","West Caln",1964,"Before 1991","1961-1970"
"2805 00810100","R-10","R - Single Family/Cabin","104  HARDY LN","West Caln",1987,"Before 1991","1981-1990"
"2805 00880000","R-10","R - Single Family/Cabin","102  FARMINGTON LN","West Caln",2001,"1991 or Later","2001-2010"
"2805 00880100","R-10","R - Single Family/Cabin","101  FARMINGTON LN","West Caln",2001,"1991 or Later","2001-2010"
"2805 00880200","R-10","R - Single Family/Cabin","103  FARMINGTON LN","West Caln",2001,"1991 or Later","2001-2010"
"2805 00890100","R-10","R - Single Family/Cabin","133  CAMBRIDGE RD","West Caln",2000,"1991 or Later","1991-2000"
"2805 00900500","R-10","R - Single Family/Cabin","121  CAMBRIDGE RD","West Caln",2000,"1991 or Later","1991-2000"
"2805 009006A0","R-10","R - Single Family/Cabin","202  WOODLAND DR","West Caln",2001,"1991 or Later","2001-2010"
"2805 009006B0","R-10","R - Single Family/Cabin","204  WOODLAND DR","West Caln",2001,"1991 or Later","2001-2010"
"2805 009006C0","R-10","R - Single Family/Cabin","206  WOODLAND DR","West Caln",2003,"1991 or Later","2001-2010"
"2805 009006D0","R-10","R - Single Family/Cabin","208  WOODLAND DR","West Caln",2002,"1991 or Later","2001-2010"
"2805 009006E0","R-10","R - Single Family/Cabin","210  WOODLAND DR","West Caln",2002,"1991 or Later","2001-2010"
"2805 009006F0","R-10","R - Single Family/Cabin","211  WOODLAND DR","West Caln",2002,"1991 or Later","2001-2010"
"2805 009006G0","R-10","R - Single Family/Cabin","209  WOODLAND DR","West Caln",2000,"1991 or Later","1991-2000"
"2805 009006H0","R-10","R - Single Family/Cabin","207  WOODLAND DR","West Caln",2002,"1991 or Later","2001-2010"
"2805 009006J0","R-10","R - Single Family/Cabin","205  WOODLAND DR","West Caln",2000,"1991 or Later","1991-2000"
"2805 00940000","R-10","R - Single Family/Cabin","1025 W KINGS HWY","West Caln",1955,"Before 1991","1951-1960"
"2805 00950000","R-10","R - Single Family/Cabin","102  WOODLAND DR","West Caln",1980,"Before 1991","1971-1980"
"2805 00950600","R-10","R - Single Family/Cabin","104  CAMBRIDGE RD","West Caln",1978,"Before 1991","1971-1980"
"2805 00951300","R-10","R - Single Family/Cabin","141 S SANDY HILL RD","West Caln",1979,"Before 1991","1971-1980"
"2805 00951400","R-10","R - Single Family/Cabin","107  WOODLAND DR","West Caln",1979,"Before 1991","1971-1980"
"2805 00951500","R-10","R - Single Family/Cabin","104  WOODLAND DR","West Caln",1979,"Before 1991","1971-1980"
"2805 00951600","R-10","R - Single Family/Cabin","111  WOODLAND DR","West Caln",1979,"Before 1991","1971-1980"
"2805 00951700","R-10","R - Single Family/Cabin","101  WOODLAND DR","West Caln",1980,"Before 1991","1971-1980"
"2805 00953000","R-10","R - Single Family/Cabin","106  WOODLAND DR","West Caln",1980,"Before 1991","1971-1980"
"2805 01020500","R-10","R - Single Family/Cabin","202  SANDY WAY","West Caln",2005,"1991 or Later","2001-2010"
"2805 01020600","R-10","R - Single Family/Cabin","204  SANDY WAY","West Caln",2005,"1991 or Later","2001-2010"
"2805 01020700","R-10","R - Single Family/Cabin","208  SANDY WAY","West Caln",2005,"1991 or Later","2001-2010"
"2805 01020800","R-10","R - Single Family/Cabin","210  SANDY WAY","West Caln",2005,"1991 or Later","2001-2010"
"2805 01020900","R-10","R - Single Family/Cabin","212  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01021000","R-10","R - Single Family/Cabin","214  SANDY WAY","West Caln",2005,"1991 or Later","2001-2010"
"2805 01021100","R-10","R - Single Family/Cabin","216  SANDY WAY","West Caln",2005,"1991 or Later","2001-2010"
"2805 01021200","R-10","R - Single Family/Cabin","218  SANDY WAY","West Caln",2005,"1991 or Later","2001-2010"
"2805 01021300","R-10","R - Single Family/Cabin","222  SANDY WAY","West Caln",2007,"1991 or Later","2001-2010"
"2805 01021400","R-10","R - Single Family/Cabin","224  SANDY WAY","West Caln",2008,"1991 or Later","2001-2010"
"2805 01021500","R-10","R - Single Family/Cabin","226  SANDY WAY","West Caln",2008,"1991 or Later","2001-2010"
"2805 01021600","R-10","R - Single Family/Cabin","228  SANDY WAY","West Caln",2008,"1991 or Later","2001-2010"
"2805 01021700","R-10","R - Single Family/Cabin","230  SANDY WAY","West Caln",2008,"1991 or Later","2001-2010"
"2805 01021800","R-10","R - Single Family/Cabin","232  SANDY WAY","West Caln",2008,"1991 or Later","2001-2010"
"2805 01021900","R-10","R - Single Family/Cabin","234  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01022000","R-10","R - Single Family/Cabin","236  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01022100","R-10","R - Single Family/Cabin","238  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01022200","R-10","R - Single Family/Cabin","240  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01022300","R-10","R - Single Family/Cabin","242  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01022400","R-10","R - Single Family/Cabin","244  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01022500","R-10","R - Single Family/Cabin","246  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01022700","R-10","R - Single Family/Cabin","250  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01022800","R-10","R - Single Family/Cabin","252  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01022900","R-10","R - Single Family/Cabin","254  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01023000","R-10","R - Single Family/Cabin","256  SANDY WAY","West Caln",2006,"1991 or Later","2001-2010"
"2805 01023100","R-10","R - Single Family/Cabin","258  SANDY WAY","West Caln",2005,"1991 or Later","2001-2010"
