"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0101 00010000","R-10","R - Single Family/Cabin","100  GOSHEN RD","West Chester",1880,"Before 1991","1950 or older"
"0101 00010100","R-10","R - Single Family/Cabin","102  GOSHEN RD","West Chester",2016,"1991 or Later","2011-2022"
"0101 00020000","R-10","R - Single Family/Cabin","750 N WALNUT ST","West Chester",1927,"Before 1991","1950 or older"
"0101 00030000","R-10","R - Single Family/Cabin","101  CLARKE ST","West Chester",1966,"Before 1991","1961-1970"
"0101 00040000","R-10","R - Single Family/Cabin","104  GOSHEN RD","West Chester",1945,"Before 1991","1950 or older"
"0101 00060000","R-10","R - Single Family/Cabin","725 N FRANKLIN ST","West Chester",1956,"Before 1991","1951-1960"
"0101 00070000","R-10","R - Single Family/Cabin","723 N FRANKLIN ST","West Chester",1956,"Before 1991","1951-1960"
"0101 00080000","R-10","R - Single Family/Cabin","721 N FRANKLIN ST","West Chester",1957,"Before 1991","1951-1960"
"0101 00090000","R-10","R - Single Family/Cabin","747 N WALNUT ST","West Chester",1920,"Before 1991","1950 or older"
"0101 00100000","R-10","R - Single Family/Cabin","737 N WALNUT ST","West Chester",1920,"Before 1991","1950 or older"
"0101 00110000","R-10","R - Single Family/Cabin","735 N WALNUT ST","West Chester",1920,"Before 1991","1950 or older"
"0101 00140000","R-10","R - Single Family/Cabin","201 E ASHBRIDGE ST","West Chester",1948,"Before 1991","1950 or older"
"0102 00010000","R-10","R - Single Family/Cabin","205 E ASHBRIDGE ST","West Chester",1953,"Before 1991","1951-1960"
"0102 00020000","R-10","R - Single Family/Cabin","215 E ASHBRIDGE ST","West Chester",1952,"Before 1991","1951-1960"
"0102 00030000","R-10","R - Single Family/Cabin","711 N FRANKLIN ST","West Chester",1941,"Before 1991","1950 or older"
"0102 00040000","R-10","R - Single Family/Cabin","715 N FRANKLIN ST","West Chester",1940,"Before 1991","1950 or older"
"0102 00050000","R-10","R - Single Family/Cabin","717 N FRANKLIN ST","West Chester",1954,"Before 1991","1951-1960"
"0102 00060000","R-10","R - Single Family/Cabin","308  GOSHEN RD","West Chester",1949,"Before 1991","1950 or older"
"0102 00070000","R-10","R - Single Family/Cabin","310  GOSHEN RD","West Chester",1949,"Before 1991","1950 or older"
"0102 00080000","R-10","R - Single Family/Cabin","312  GOSHEN RD","West Chester",1949,"Before 1991","1950 or older"
"0102 00090000","R-10","R - Single Family/Cabin","746  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
"0102 00100000","R-10","R - Single Family/Cabin","744  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
"0102 00110000","R-10","R - Single Family/Cabin","742  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
"0102 00120000","R-10","R - Single Family/Cabin","740  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
"0102 00130000","R-10","R - Single Family/Cabin","738  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
"0102 00140000","R-10","R - Single Family/Cabin","736  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
"0102 00150000","R-10","R - Single Family/Cabin","734  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
"0102 00160000","R-10","R - Single Family/Cabin","732  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
"0102 00170000","R-10","R - Single Family/Cabin","730  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
"0102 00180000","R-10","R - Single Family/Cabin","728  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
"0102 00190000","R-10","R - Single Family/Cabin","726  MARSHALL DR","West Chester",1949,"Before 1991","1950 or older"
