"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"4402 00300000","R-10","R - Single Family/Cabin","292  HIGHLAND RD","West Fallowfield",1976,"Before 1991","1971-1980"
"4404 000601A0","R-10","R - Single Family/Cabin","STEELVILLE RD","West Fallowfield",1956,"Before 1991","1951-1960"
"4404 00150000","R-10","R - Single Family/Cabin","976  FALLOWFIELD RD","West Fallowfield",1960,"Before 1991","1951-1960"
"4404 001803B0","R-10","R - Single Family/Cabin","1001  FALLOWFIELD RD","West Fallowfield",1974,"Before 1991","1971-1980"
"4404 00370400","R-10","R - Single Family/Cabin","30  SCHAPANSKY RD","West Fallowfield",1994,"1991 or Later","1991-2000"
"4404 00600100","R-10","R - Single Family/Cabin","150  COCHRAN ST","West Fallowfield",1967,"Before 1991","1961-1970"
"4404 00710200","R-10","R - Single Family/Cabin","248  FRIENDSHIP CHURCH RD","West Fallowfield",1989,"Before 1991","1981-1990"
"4404 00820100","R-10","R - Single Family/Cabin","1043  GAP NEWPORT PK","West Fallowfield",1960,"Before 1991","1951-1960"
"4406 00360100","R-10","R - Single Family/Cabin","4016  GLENVILLE RD","West Fallowfield",1986,"Before 1991","1981-1990"
"4407 01270000","R-60","R - Dwelling W/Comm Use Primary R","14  HOMEVILLE RD","West Fallowfield",1969,"Before 1991","1961-1970"
"4407D00260100","R-61","C - Dwelling W/Comm Use Primary C","501  DALEVILLE RD","West Fallowfield",1896,"Before 1991","1950 or older"
"4404 0000450T","T-10","R - Trailers and Mobile Homes","8  OAK DR","West Fallowfield",NA,NA,NA
"4404 0000850T","T-10","R - Trailers and Mobile Homes","20  HICKORY DR","West Fallowfield",NA,NA,NA
"4404 0001075T","T-10","R - Trailers and Mobile Homes","15  MAPLE DR","West Fallowfield",NA,NA,NA
"4404 0001200T","T-10","R - Trailers and Mobile Homes","4  OAK DR","West Fallowfield",NA,NA,NA
"4404 0001400T","T-10","R - Trailers and Mobile Homes","970  FALLOWFIELD RD","West Fallowfield",NA,NA,NA
"4404 0001550T","T-10","R - Trailers and Mobile Homes","5  HICKORY DR","West Fallowfield",NA,NA,NA
"4404 0001600T","T-10","R - Trailers and Mobile Homes","14  HICKORY DR","West Fallowfield",NA,NA,NA
"4404 0001650T","T-10","R - Trailers and Mobile Homes","19  HICKORY DR","West Fallowfield",NA,NA,NA
"4404 0001950T","T-10","R - Trailers and Mobile Homes","1027  FALLOWFIELD RD","West Fallowfield",NA,NA,NA
"4404 0002175T","T-10","R - Trailers and Mobile Homes","16  MAPLE DR","West Fallowfield",NA,NA,NA
"4404 0002700T","T-10","R - Trailers and Mobile Homes","1015  FALLOWFIELD RD","West Fallowfield",NA,NA,NA
"4404 0003000T","T-10","R - Trailers and Mobile Homes","1031  FALLOWFIELD RD","West Fallowfield",NA,NA,NA
"4404 0003075T","T-10","R - Trailers and Mobile Homes","10  HICKORY DR","West Fallowfield",NA,NA,NA
"4404 0003550T","T-10","R - Trailers and Mobile Homes","2  OAK LN","West Fallowfield",NA,NA,NA
"4404 0003950T","T-10","R - Trailers and Mobile Homes","18  HICKORY DR","West Fallowfield",NA,NA,NA
"4404 00140000","C-92","C - Mobile Home Parks (4+)","964  FALLOWFIELD RD","West Fallowfield",NA,NA,NA
"4404 00140000","C-92","C - Mobile Home Parks (4+)","964  FALLOWFIELD RD","West Fallowfield",NA,NA,NA
"4404 00140000","C-92","C - Mobile Home Parks (4+)","964  FALLOWFIELD RD","West Fallowfield",NA,NA,NA
"4404 0014006T","T-10","R - Trailers and Mobile Homes","6  OAK DR","West Fallowfield",NA,NA,NA
"4404 0014010T","T-10","R - Trailers and Mobile Homes","10  OAK DR","West Fallowfield",NA,NA,NA
"4404 0014041T","T-10","R - Trailers and Mobile Homes","20  OAK DR","West Fallowfield",NA,NA,NA
"4404 001409DT","T-10","R - Trailers and Mobile Homes","9  ROSEWOOD DR","West Fallowfield",NA,NA,NA
"4404 001409MT","T-10","R - Trailers and Mobile Homes","9  MAPLE DR","West Fallowfield",NA,NA,NA
"4404 0014137T","T-10","R - Trailers and Mobile Homes","17  HICKORY DR","West Fallowfield",NA,NA,NA
"4404 001413DT","T-10","R - Trailers and Mobile Homes","10  ROSEWOOD DR","West Fallowfield",NA,NA,NA
"4404 00850100","R-70","R - Mobile Home","3184  LIMESTONE RD","West Fallowfield",NA,NA,NA
"4404 0140139T","T-10","R - Trailers and Mobile Homes","15  HICKORY DR","West Fallowfield",NA,NA,NA
"4404 1400133T","T-10","R - Trailers and Mobile Homes","9  CIRCLE DR","West Fallowfield",NA,NA,NA
"4407 0118005T","T-10","R - Trailers and Mobile Homes","2808  HIGHPOINT RD","West Fallowfield",NA,NA,NA
