"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"4108 02240000","R-10","R - Single Family/Cabin","1183  MACPHERSON DR","West Goshen",1983,"Before 1991","1981-1990"
"5103 00870000","R-10","R - Single Family/Cabin","909  GREENE COUNTRIE DR","West Goshen",1980,"Before 1991","1971-1980"
"5103 00950000","R-10","R - Single Family/Cabin","704  CLOVER RIDGE DR","West Goshen",1987,"Before 1991","1981-1990"
"5201 00011200","R-10","R - Single Family/Cabin","1260  KNOLLWOOD DR","West Goshen",1979,"Before 1991","1971-1980"
"5201 00011300","R-10","R - Single Family/Cabin","1258  KNOLLWOOD DR","West Goshen",1975,"Before 1991","1971-1980"
"5201 00011400","R-10","R - Single Family/Cabin","1256  KNOLLWOOD DR","West Goshen",1972,"Before 1991","1971-1980"
"5201 00011500","R-10","R - Single Family/Cabin","1254  KNOLLWOOD DR","West Goshen",1972,"Before 1991","1971-1980"
"5201 00011600","R-10","R - Single Family/Cabin","1252  KNOLLWOOD DR","West Goshen",1972,"Before 1991","1971-1980"
"5201 00011700","R-10","R - Single Family/Cabin","1251  KNOLLWOOD DR","West Goshen",1973,"Before 1991","1971-1980"
"5201 00011800","R-10","R - Single Family/Cabin","1253  KNOLLWOOD DR","West Goshen",1972,"Before 1991","1971-1980"
"5201 00011900","R-10","R - Single Family/Cabin","1255  KNOLLWOOD DR","West Goshen",2013,"1991 or Later","2011-2022"
"5201 00012000","R-10","R - Single Family/Cabin","1257  KNOLLWOOD DR","West Goshen",1972,"Before 1991","1971-1980"
"5201 00012100","R-10","R - Single Family/Cabin","1259  KNOLLWOOD DR","West Goshen",1972,"Before 1991","1971-1980"
"5201 00012200","R-10","R - Single Family/Cabin","1262  KNOLLWOOD DR","West Goshen",1994,"1991 or Later","1991-2000"
"5201 00012300","R-10","R - Single Family/Cabin","1264  KNOLLWOOD DR","West Goshen",1993,"1991 or Later","1991-2000"
"5201 00012400","R-10","R - Single Family/Cabin","1266  KNOLLWOOD DR","West Goshen",1993,"1991 or Later","1991-2000"
"5201 00012500","R-10","R - Single Family/Cabin","1268  KNOLLWOOD DR","West Goshen",1993,"1991 or Later","1991-2000"
"5201 00012600","R-10","R - Single Family/Cabin","1270  KNOLLWOOD DR","West Goshen",1993,"1991 or Later","1991-2000"
"5201 00012700","R-10","R - Single Family/Cabin","1272  KNOLLWOOD DR","West Goshen",1993,"1991 or Later","1991-2000"
"5201 00012800","R-10","R - Single Family/Cabin","1274  KNOLLWOOD DR","West Goshen",1994,"1991 or Later","1991-2000"
"5201 00012900","R-10","R - Single Family/Cabin","1276  KNOLLWOOD DR","West Goshen",1993,"1991 or Later","1991-2000"
"5201 00013800","R-10","R - Single Family/Cabin","1269  KNOLLWOOD DR","West Goshen",1993,"1991 or Later","1991-2000"
