"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"0501 00020000","R-10","R - Single Family/Cabin","295 W HARMONY RD","West Grove",1940,"Before 1991","1950 or older"
"0502 00010000","R-10","R - Single Family/Cabin","62  FROG HOLLOW LN","West Grove",1989,"Before 1991","1981-1990"
"0502 00020000","R-10","R - Single Family/Cabin","60  FROG HOLLOW LN","West Grove",1992,"1991 or Later","1991-2000"
"0502 00020200","R-10","R - Single Family/Cabin","58  FROG HOLLOW LN","West Grove",1890,"Before 1991","1950 or older"
"0502 00030000","R-10","R - Single Family/Cabin","50  FROG HOLLOW LN","West Grove",1957,"Before 1991","1951-1960"
"0502 00040000","R-10","R - Single Family/Cabin","12  FRIENDS DR","West Grove",2006,"1991 or Later","2001-2010"
"0502 00040100","R-10","R - Single Family/Cabin","8  FRIENDS DR","West Grove",2005,"1991 or Later","2001-2010"
"0502 00040200","R-10","R - Single Family/Cabin","10  FRIENDS DR","West Grove",2004,"1991 or Later","2001-2010"
"0502 00040300","R-10","R - Single Family/Cabin","14  FRIENDS DR","West Grove",2005,"1991 or Later","2001-2010"
"0502 00050000","R-10","R - Single Family/Cabin","113 E HARMONY RD","West Grove",1920,"Before 1991","1950 or older"
"0502 00060000","R-10","R - Single Family/Cabin","121 E HARMONY RD","West Grove",1900,"Before 1991","1950 or older"
"0502 00070000","R-10","R - Single Family/Cabin","123 E HARMONY RD","West Grove",1900,"Before 1991","1950 or older"
"0502 00080000","R-10","R - Single Family/Cabin","125 E HARMONY RD","West Grove",1950,"Before 1991","1950 or older"
"0502 00090000","R-10","R - Single Family/Cabin","127 E HARMONY RD","West Grove",1950,"Before 1991","1950 or older"
"0502 00100100","R-10","R - Single Family/Cabin","129 E HARMONY RD","West Grove",1940,"Before 1991","1950 or older"
"0502 00120000","R-10","R - Single Family/Cabin","165 E HARMONY RD","West Grove",1890,"Before 1991","1950 or older"
"0502 00130000","R-10","R - Single Family/Cabin","50  MEETINGHOUSE RD","West Grove",1946,"Before 1991","1950 or older"
"0502 00140000","R-10","R - Single Family/Cabin","211  CHATHAM ST","West Grove",1900,"Before 1991","1950 or older"
"0502 00170000","R-10","R - Single Family/Cabin","213  CHATHAM ST","West Grove",1955,"Before 1991","1951-1960"
"0502 00190000","R-10","R - Single Family/Cabin","200  CHATHAM ST","West Grove",1920,"Before 1991","1950 or older"
"0502 00220000","R-10","R - Single Family/Cabin","275 E EVERGREEN ST","West Grove",1919,"Before 1991","1950 or older"
"0502 00230000","R-10","R - Single Family/Cabin","255 E EVERGREEN ST","West Grove",1910,"Before 1991","1950 or older"
"0502 00240000","R-10","R - Single Family/Cabin","249 E EVERGREEN ST","West Grove",1917,"Before 1991","1950 or older"
"0502 00240100","R-10","R - Single Family/Cabin","233 E EVERGREEN ST","West Grove",1940,"Before 1991","1950 or older"
"0502 00270000","R-10","R - Single Family/Cabin","212 E EVERGREEN ST","West Grove",1940,"Before 1991","1950 or older"
"0502 00300000","R-10","R - Single Family/Cabin","135  CHATHAM ST","West Grove",1954,"Before 1991","1951-1960"
"0502 00310000","R-10","R - Single Family/Cabin","230 E EVERGREEN ST","West Grove",1960,"Before 1991","1951-1960"
"0502 00320000","R-10","R - Single Family/Cabin","236 E EVERGREEN ST","West Grove",1870,"Before 1991","1950 or older"
"0502 00320100","R-10","R - Single Family/Cabin","125  CHATHAM ST","West Grove",1960,"Before 1991","1951-1960"
"0502 00360000","R-10","R - Single Family/Cabin","12  JOSEPH PYLE DR","West Grove",1927,"Before 1991","1950 or older"
"0502 00370100","R-10","R - Single Family/Cabin","2  HAINES DR","West Grove",1995,"1991 or Later","1991-2000"
"0502 00370200","R-10","R - Single Family/Cabin","4  HAINES DR","West Grove",1997,"1991 or Later","1991-2000"
"0502 00370300","R-10","R - Single Family/Cabin","6  HAINES DR","West Grove",1997,"1991 or Later","1991-2000"
"0502 00370400","R-10","R - Single Family/Cabin","8  HAINES DR","West Grove",1998,"1991 or Later","1991-2000"
"0502 00370500","R-10","R - Single Family/Cabin","10  HAINES DR","West Grove",1998,"1991 or Later","1991-2000"
"0502 00370600","R-10","R - Single Family/Cabin","12  HAINES DR","West Grove",1996,"1991 or Later","1991-2000"
"0502 00370700","R-10","R - Single Family/Cabin","14  HAINES DR","West Grove",1998,"1991 or Later","1991-2000"
"0502 00370800","R-10","R - Single Family/Cabin","16  HAINES DR","West Grove",1997,"1991 or Later","1991-2000"
"0502 00370900","R-10","R - Single Family/Cabin","18  HAINES DR","West Grove",1998,"1991 or Later","1991-2000"
"0502 00371000","R-10","R - Single Family/Cabin","20  HAINES DR","West Grove",1998,"1991 or Later","1991-2000"
"0502 00371100","R-10","R - Single Family/Cabin","19  HAINES DR","West Grove",1995,"1991 or Later","1991-2000"
"0502 00371200","R-10","R - Single Family/Cabin","17  HAINES DR","West Grove",1997,"1991 or Later","1991-2000"
"0502 00371300","R-10","R - Single Family/Cabin","15  HAINES DR","West Grove",1998,"1991 or Later","1991-2000"
"0502 00371400","R-10","R - Single Family/Cabin","13  HAINES DR","West Grove",1996,"1991 or Later","1991-2000"
"0502 00371500","R-10","R - Single Family/Cabin","11  HAINES DR","West Grove",1996,"1991 or Later","1991-2000"
"0502 00371600","R-10","R - Single Family/Cabin","9  HAINES DR","West Grove",1996,"1991 or Later","1991-2000"
"0502 00371700","R-10","R - Single Family/Cabin","7  HAINES DR","West Grove",1998,"1991 or Later","1991-2000"
"0502 00371800","R-10","R - Single Family/Cabin","5  HAINES DR","West Grove",1996,"1991 or Later","1991-2000"
"0502 00371900","R-10","R - Single Family/Cabin","3  HAINES DR","West Grove",1995,"1991 or Later","1991-2000"
"0502 00372000","R-10","R - Single Family/Cabin","1  HAINES DR","West Grove",1997,"1991 or Later","1991-2000"
"0502 00372100","R-10","R - Single Family/Cabin","2  JOSEPH PYLE DR","West Grove",1989,"Before 1991","1981-1990"
"0502 00372200","R-10","R - Single Family/Cabin","4  JOSEPH PYLE DR","West Grove",1989,"Before 1991","1981-1990"
"0502 00372300","R-10","R - Single Family/Cabin","6  JOSEPH PYLE DR","West Grove",1991,"1991 or Later","1991-2000"
"0502 00372400","R-10","R - Single Family/Cabin","8  JOSEPH PYLE DR","West Grove",1992,"1991 or Later","1991-2000"
"0502 00372500","R-10","R - Single Family/Cabin","10  JOSEPH PYLE DR","West Grove",1993,"1991 or Later","1991-2000"
"0502 00372700","R-10","R - Single Family/Cabin","7  JOSEPH PYLE DR","West Grove",1993,"1991 or Later","1991-2000"
"0502 00372800","R-10","R - Single Family/Cabin","4  FRIENDS DR","West Grove",2004,"1991 or Later","2001-2010"
"0502 00372900","R-10","R - Single Family/Cabin","6  FRIENDS DR","West Grove",1993,"1991 or Later","1991-2000"
