"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"2303 00090100","R-10","R - Single Family/Cabin","120  IRONSTONE LN","West Nantmeal",2021,"1991 or Later","2011-2022"
"2303 00090200","R-10","R - Single Family/Cabin","112  IRONSTONE LN","West Nantmeal",2006,"1991 or Later","2001-2010"
"2303 00090400","R-10","R - Single Family/Cabin","202  IRONSTONE LN","West Nantmeal",2016,"1991 or Later","2011-2022"
"2303 00090500","R-10","R - Single Family/Cabin","212  IRONSTONE LN","West Nantmeal",2016,"1991 or Later","2011-2022"
"2303 00090600","R-10","R - Single Family/Cabin","216  IRONSTONE LN","West Nantmeal",2017,"1991 or Later","2011-2022"
"2303 00090700","R-10","R - Single Family/Cabin","222  IRONSTONE LN","West Nantmeal",2017,"1991 or Later","2011-2022"
"2303 00090800","R-10","R - Single Family/Cabin","230  IRONSTONE LN","West Nantmeal",2018,"1991 or Later","2011-2022"
"2303 00090900","R-10","R - Single Family/Cabin","236  IRONSTONE LN","West Nantmeal",2018,"1991 or Later","2011-2022"
"2303 00091000","R-10","R - Single Family/Cabin","300  IRONSTONE LN","West Nantmeal",2005,"1991 or Later","2001-2010"
"2303 00091100","R-10","R - Single Family/Cabin","304  IRONSTONE LN","West Nantmeal",2005,"1991 or Later","2001-2010"
"2303 00091200","R-10","R - Single Family/Cabin","308  IRONSTONE LN","West Nantmeal",2005,"1991 or Later","2001-2010"
"2303 00091300","R-10","R - Single Family/Cabin","314  IRONSTONE LN","West Nantmeal",2005,"1991 or Later","2001-2010"
"2303 00091400","R-10","R - Single Family/Cabin","318  IRONSTONE LN","West Nantmeal",2006,"1991 or Later","2001-2010"
"2303 00091500","R-10","R - Single Family/Cabin","335  IRONSTONE LN","West Nantmeal",2006,"1991 or Later","2001-2010"
"2303 00091600","R-10","R - Single Family/Cabin","331  IRONSTONE LN","West Nantmeal",2006,"1991 or Later","2001-2010"
"2303 00091700","R-10","R - Single Family/Cabin","327  IRONSTONE LN","West Nantmeal",2006,"1991 or Later","2001-2010"
"2303 00091800","R-10","R - Single Family/Cabin","323  IRONSTONE LN","West Nantmeal",2007,"1991 or Later","2001-2010"
"2303 00091900","R-10","R - Single Family/Cabin","319  IRONSTONE LN","West Nantmeal",2008,"1991 or Later","2001-2010"
"2303 00092000","R-10","R - Single Family/Cabin","315  IRONSTONE LN","West Nantmeal",2020,"1991 or Later","2011-2022"
"2303 00092100","R-10","R - Single Family/Cabin","311  IRONSTONE LN","West Nantmeal",2020,"1991 or Later","2011-2022"
"2303 00092200","R-10","R - Single Family/Cabin","233  IRONSTONE LN","West Nantmeal",2018,"1991 or Later","2011-2022"
"2303 00092300","R-10","R - Single Family/Cabin","229  IRONSTONE LN","West Nantmeal",2013,"1991 or Later","2011-2022"
"2303 00092400","R-10","R - Single Family/Cabin","225  IRONSTONE LN","West Nantmeal",2017,"1991 or Later","2011-2022"
"2303 00092500","R-10","R - Single Family/Cabin","221  IRONSTONE LN","West Nantmeal",2011,"1991 or Later","2011-2022"
"2303 00092600","R-10","R - Single Family/Cabin","217  IRONSTONE LN","West Nantmeal",2005,"1991 or Later","2001-2010"
"2303 00092700","R-10","R - Single Family/Cabin","213  IRONSTONE LN","West Nantmeal",2006,"1991 or Later","2001-2010"
"2303 00092800","R-10","R - Single Family/Cabin","209  IRONSTONE LN","West Nantmeal",2006,"1991 or Later","2001-2010"
"2303 00092900","R-10","R - Single Family/Cabin","205  IRONSTONE LN","West Nantmeal",2006,"1991 or Later","2001-2010"
"2303 00093000","R-10","R - Single Family/Cabin","201  IRONSTONE LN","West Nantmeal",2006,"1991 or Later","2001-2010"
"2303 00093100","R-10","R - Single Family/Cabin","BULLTOWN RD","West Nantmeal",1992,"1991 or Later","1991-2000"
"2305 00540000","R-10","R - Single Family/Cabin","14  LANGOMA AVE","West Nantmeal",1948,"Before 1991","1950 or older"
"2305 00550000","R-10","R - Single Family/Cabin","18  LANGOMA AVE","West Nantmeal",1948,"Before 1991","1950 or older"
"2305 00560000","R-10","R - Single Family/Cabin","22  LANGOMA AVE","West Nantmeal",1948,"Before 1991","1950 or older"
"2305 00570000","R-10","R - Single Family/Cabin","26  LANGOMA AVE","West Nantmeal",1948,"Before 1991","1950 or older"
"2305 00580000","R-10","R - Single Family/Cabin","30  LANGOMA AVE","West Nantmeal",1948,"Before 1991","1950 or older"
"2305 00590000","R-10","R - Single Family/Cabin","34  LANGOMA AVE","West Nantmeal",1948,"Before 1991","1950 or older"
"2305 00600000","R-10","R - Single Family/Cabin","38  LANGOMA AVE","West Nantmeal",1948,"Before 1991","1950 or older"
"2305 00630000","R-10","R - Single Family/Cabin","37  LANGOMA AVE","West Nantmeal",1948,"Before 1991","1950 or older"
"2305 00650000","R-10","R - Single Family/Cabin","29  LANGOMA AVE","West Nantmeal",1948,"Before 1991","1950 or older"
"2306 00150300","R-10","R - Single Family/Cabin","274  LIPPITT RD","West Nantmeal",1960,"Before 1991","1951-1960"
"2305 0102041T","T-10","R - Trailers and Mobile Homes","315  GRUBB DR","West Nantmeal",NA,NA,NA
