"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"6801 0015016T","T-10","R - Trailers and Mobile Homes","16  ADAMS DR","West Nottingham",NA,NA,NA
"6801 0015025T","T-10","R - Trailers and Mobile Homes","25  HARRISON DR","West Nottingham",NA,NA,NA
"6801 0015027T","T-10","R - Trailers and Mobile Homes","27  FREMONT RD","West Nottingham",NA,NA,NA
"6801 0015061T","T-10","R - Trailers and Mobile Homes","61  HARRISON DR","West Nottingham",NA,NA,NA
"6801 0015063T","T-10","R - Trailers and Mobile Homes","63  HARRISON DR","West Nottingham",NA,NA,NA
"6802 0018000T","T-10","R - Trailers and Mobile Homes","132 W CHRISTINE RD","West Nottingham",NA,NA,NA
"6802 0025003T","T-10","R - Trailers and Mobile Homes","6  MANOR DR","West Nottingham",NA,NA,NA
"6802 0025026T","T-10","R - Trailers and Mobile Homes","9  WOOD DR","West Nottingham",NA,NA,NA
"6802 0025028T","T-10","R - Trailers and Mobile Homes","5  WOOD DR","West Nottingham",NA,NA,NA
"6802 0025034T","T-10","R - Trailers and Mobile Homes","65  GLEN ROY RD","West Nottingham",NA,NA,NA
"6802 0025118T","T-10","R - Trailers and Mobile Homes","11  RED OAK DR","West Nottingham",NA,NA,NA
"6802 0025135T","T-10","R - Trailers and Mobile Homes","122  HICKORY DR","West Nottingham",NA,NA,NA
"6802 0025142T","T-10","R - Trailers and Mobile Homes","13  LARCH DR","West Nottingham",NA,NA,NA
"6802 0025145T","T-10","R - Trailers and Mobile Homes","10  REID DR","West Nottingham",NA,NA,NA
"6802 0025177T","T-10","R - Trailers and Mobile Homes","216  MAPLE DR","West Nottingham",NA,NA,NA
"6806 0101016T","T-10","R - Trailers and Mobile Homes","11  APPLE DR","West Nottingham",NA,NA,NA
"6806 0101018T","T-10","R - Trailers and Mobile Homes","15  APPLE DR","West Nottingham",NA,NA,NA
"6806 1471016T","T-10","R - Trailers and Mobile Homes","16  SUNRISE DR","West Nottingham",NA,NA,NA
"6806 1471105T","T-10","R - Trailers and Mobile Homes","105  DUSK DR","West Nottingham",NA,NA,NA
