"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3401 00100600","R-10","R - Single Family/Cabin","1665  ART SCHOOL RD","West Pikeland",1830,"Before 1991","1950 or older"
"3401 00222600","R-10","R - Single Family/Cabin","1165  DUNSINANE HILL RD","West Pikeland",2016,"1991 or Later","2011-2022"
"3401 00222700","R-10","R - Single Family/Cabin","1155  DUNSINANE HILL RD","West Pikeland",2016,"1991 or Later","2011-2022"
"3401 00290100","R-10","R - Single Family/Cabin","1890  ART SCHOOL RD","West Pikeland",1934,"Before 1991","1950 or older"
"3403G00010000","R-10","R - Single Family/Cabin","300  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00020000","R-10","R - Single Family/Cabin","301  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00030000","R-10","R - Single Family/Cabin","302  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00040000","R-10","R - Single Family/Cabin","303  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00050000","R-10","R - Single Family/Cabin","304  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00060000","R-10","R - Single Family/Cabin","305  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00070000","R-10","R - Single Family/Cabin","306  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00080000","R-10","R - Single Family/Cabin","307  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00090000","R-10","R - Single Family/Cabin","308  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00100000","R-10","R - Single Family/Cabin","309  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00110000","R-10","R - Single Family/Cabin","310  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00120000","R-10","R - Single Family/Cabin","311  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00130000","R-10","R - Single Family/Cabin","312  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00140000","R-10","R - Single Family/Cabin","313  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00150000","R-10","R - Single Family/Cabin","314  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00160000","R-10","R - Single Family/Cabin","315  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00170000","R-10","R - Single Family/Cabin","316  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00180000","R-10","R - Single Family/Cabin","317  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00190000","R-10","R - Single Family/Cabin","318  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00200000","R-10","R - Single Family/Cabin","319  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00210000","R-10","R - Single Family/Cabin","320  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00220000","R-10","R - Single Family/Cabin","321  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00230000","R-10","R - Single Family/Cabin","322  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00240000","R-10","R - Single Family/Cabin","323  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
"3403G00250000","R-10","R - Single Family/Cabin","324  WELSH CIR","West Pikeland",1993,"1991 or Later","1991-2000"
