"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3602 001602A0","R-20","R - Two Family","2090  SWAN RD","West Sadsbury",1979,"Before 1991","1971-1980"
"3602 00200000","R-60","R - Dwelling W/Comm Use Primary R","5430 W LINCOLN HWY","West Sadsbury",1946,"Before 1991","1950 or older"
"3602 00200100","R-10","R - Single Family/Cabin","5426 W LINCOLN HWY","West Sadsbury",1931,"Before 1991","1950 or older"
"3603 00810200","R-61","C - Dwelling W/Comm Use Primary C","4672 W LINCOLN HWY","West Sadsbury",1960,"Before 1991","1951-1960"
"3604 00050400","R-10","R - Single Family/Cabin","5662  STRASBURG RD","West Sadsbury",2004,"1991 or Later","2001-2010"
"3605 00320100","R-10","R - Single Family/Cabin","4201  CHURCH RD","West Sadsbury",1994,"1991 or Later","1991-2000"
"3605 00720300","R-10","R - Single Family/Cabin","41  STONY DR","West Sadsbury",1977,"Before 1991","1971-1980"
"3605 008510A0","R-10","R - Single Family/Cabin","622 N LIMESTONE RD","West Sadsbury",2002,"1991 or Later","2001-2010"
"3605 00851100","R-40","A - Aparments (4-19 Units)","2939  UPPER VALLEY RD","West Sadsbury",1827,"Before 1991","1950 or older"
"3605 00851200","R-10","R - Single Family/Cabin","610 N LIMESTONE RD","West Sadsbury",2021,"1991 or Later","2011-2022"
"3605 00851400","R-10","R - Single Family/Cabin","632 N LIMESTONE RD","West Sadsbury",2023,"1991 or Later","2011-2022"
"3605 00870000","R-10","R - Single Family/Cabin","3167  BAIR DR","West Sadsbury",1953,"Before 1991","1951-1960"
"3605 00880000","R-10","R - Single Family/Cabin","3177  BAIR DR","West Sadsbury",1964,"Before 1991","1961-1970"
"3605 00900000","R-10","R - Single Family/Cabin","3185  BAIR DR","West Sadsbury",1962,"Before 1991","1961-1970"
"3605 00910000","R-10","R - Single Family/Cabin","3207  BAIR DR","West Sadsbury",1950,"Before 1991","1950 or older"
"3605 00930000","R-10","R - Single Family/Cabin","3243  BAIR DR","West Sadsbury",1957,"Before 1991","1951-1960"
"3605 01010000","R-10","R - Single Family/Cabin","3325  UPPER VALLEY RD","West Sadsbury",1955,"Before 1991","1951-1960"
"3605 01020000","R-10","R - Single Family/Cabin","3277  UPPER VALLEY RD","West Sadsbury",1955,"Before 1991","1951-1960"
"3605 01040100","R-10","R - Single Family/Cabin","76  UPPER VALLEY RD","West Sadsbury",1958,"Before 1991","1951-1960"
"3605 01070000","R-10","R - Single Family/Cabin","3125  UPPER VALLEY RD","West Sadsbury",1865,"Before 1991","1950 or older"
"3605 01090000","R-10","R - Single Family/Cabin","3117  UPPER VALLEY RD","West Sadsbury",1901,"Before 1991","1950 or older"
"3605 01110000","R-10","R - Single Family/Cabin","5740  UPPER VALLEY RD","West Sadsbury",1900,"Before 1991","1950 or older"
"3605 01120000","R-10","R - Single Family/Cabin","5050  UPPER VALLEY RD","West Sadsbury",1900,"Before 1991","1950 or older"
"3605 01130000","R-10","R - Single Family/Cabin","4880  UPPER VALLEY RD","West Sadsbury",1991,"1991 or Later","1991-2000"
"3605 01130100","R-10","R - Single Family/Cabin","4902  UPPER VALLEY RD","West Sadsbury",1988,"Before 1991","1981-1990"
"3605 01170000","R-10","R - Single Family/Cabin","4428  UPPER VALLEY RD","West Sadsbury",1900,"Before 1991","1950 or older"
"3605 01200000","R-20","R - Two Family","3940  UPPER VALLEY RD","West Sadsbury",1900,"Before 1991","1950 or older"
"3605 01150000","R-70","R - Mobile Home","4680  UPPER VALLEY RD","West Sadsbury",NA,NA,NA
