"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"2503 01210600","R-10","R - Single Family/Cabin","1026  JAINE LN","West Vincent",2004,"1991 or Later","2001-2010"
"2503 01530000","R-10","R - Single Family/Cabin","4  ONEIDA CRT","West Vincent",1996,"1991 or Later","1991-2000"
"2503 01540000","R-10","R - Single Family/Cabin","10  ONEIDA CRT","West Vincent",1997,"1991 or Later","1991-2000"
"2503 01550000","R-10","R - Single Family/Cabin","16  ONEIDA CRT","West Vincent",1998,"1991 or Later","1991-2000"
"2503 01560000","R-10","R - Single Family/Cabin","20  ONEIDA CRT","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01570000","R-10","R - Single Family/Cabin","24  ONEIDA CRT","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01580000","R-10","R - Single Family/Cabin","23  ONEIDA CRT","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01590000","R-10","R - Single Family/Cabin","19  ONEIDA CRT","West Vincent",1998,"1991 or Later","1991-2000"
"2503 01600000","R-10","R - Single Family/Cabin","17  ONEIDA CRT","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01610000","R-10","R - Single Family/Cabin","9  ONEIDA CRT","West Vincent",1998,"1991 or Later","1991-2000"
"2503 01620000","R-10","R - Single Family/Cabin","9 N IROQUOIS LN","West Vincent",1996,"1991 or Later","1991-2000"
"2503 01630000","R-10","R - Single Family/Cabin","4  SHAWNEE CRT","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01640000","R-10","R - Single Family/Cabin","10  SHAWNEE CRT","West Vincent",1996,"1991 or Later","1991-2000"
"2503 01650000","R-10","R - Single Family/Cabin","14  SHAWNEE CRT","West Vincent",1997,"1991 or Later","1991-2000"
"2503 01660000","R-10","R - Single Family/Cabin","15  SHAWNEE CRT","West Vincent",1997,"1991 or Later","1991-2000"
"2503 01670000","R-10","R - Single Family/Cabin","11  SHAWNEE CRT","West Vincent",1995,"1991 or Later","1991-2000"
"2503 01680000","R-10","R - Single Family/Cabin","7  SHAWNEE CRT","West Vincent",1998,"1991 or Later","1991-2000"
"2503 01690000","R-10","R - Single Family/Cabin","3  SHAWNEE CRT","West Vincent",1996,"1991 or Later","1991-2000"
"2503 01700000","R-10","R - Single Family/Cabin","33 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01710000","R-10","R - Single Family/Cabin","39 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01720000","R-10","R - Single Family/Cabin","45 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01730000","R-10","R - Single Family/Cabin","51 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01740000","R-10","R - Single Family/Cabin","55 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01750000","R-10","R - Single Family/Cabin","61 N IROQUOIS LN","West Vincent",2000,"1991 or Later","1991-2000"
"2503 01760000","R-10","R - Single Family/Cabin","65 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01770000","R-10","R - Single Family/Cabin","69 N IROQUOIS LN","West Vincent",1997,"1991 or Later","1991-2000"
"2503 01780000","R-10","R - Single Family/Cabin","73 N IROQUOIS LN","West Vincent",2000,"1991 or Later","1991-2000"
"2503 01790000","R-10","R - Single Family/Cabin","77 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01800000","R-10","R - Single Family/Cabin","81 N IROQUOIS LN","West Vincent",2000,"1991 or Later","1991-2000"
"2503 01810000","R-10","R - Single Family/Cabin","85 N IROQUOIS LN","West Vincent",2000,"1991 or Later","1991-2000"
"2503 01850000","R-10","R - Single Family/Cabin","99 N IROQUOIS LN","West Vincent",2000,"1991 or Later","1991-2000"
"2503 01860000","R-10","R - Single Family/Cabin","103 N IROQUOIS LN","West Vincent",1997,"1991 or Later","1991-2000"
"2503 01870000","R-10","R - Single Family/Cabin","107 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01880000","R-10","R - Single Family/Cabin","111 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01890000","R-10","R - Single Family/Cabin","115 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01900000","R-10","R - Single Family/Cabin","119 N IROQUOIS LN","West Vincent",2000,"1991 or Later","1991-2000"
"2503 01910000","R-10","R - Single Family/Cabin","123 N IROQUOIS LN","West Vincent",1997,"1991 or Later","1991-2000"
"2503 01920000","R-10","R - Single Family/Cabin","127 N IROQUOIS LN","West Vincent",1998,"1991 or Later","1991-2000"
"2503 01930000","R-10","R - Single Family/Cabin","38 N IROQUOIS LN","West Vincent",2000,"1991 or Later","1991-2000"
"2503 01940000","R-10","R - Single Family/Cabin","32 N IROQUOIS LN","West Vincent",1999,"1991 or Later","1991-2000"
"2503 01950000","R-10","R - Single Family/Cabin","26 N IROQUOIS LN","West Vincent",1995,"1991 or Later","1991-2000"
"2503 01960000","R-10","R - Single Family/Cabin","22 N IROQUOIS LN","West Vincent",1997,"1991 or Later","1991-2000"
"2503 01980000","R-10","R - Single Family/Cabin","10 N IROQUOIS LN","West Vincent",1995,"1991 or Later","1991-2000"
"2503 01990000","R-10","R - Single Family/Cabin","4 N IROQUOIS LN","West Vincent",1995,"1991 or Later","1991-2000"
"2503 02000000","R-10","R - Single Family/Cabin","7 S IROQUOIS LN","West Vincent",1997,"1991 or Later","1991-2000"
"2503 02010000","R-10","R - Single Family/Cabin","13 S IROQUOIS LN","West Vincent",1997,"1991 or Later","1991-2000"
"2503 02020000","R-10","R - Single Family/Cabin","21 S IROQUOIS LN","West Vincent",1998,"1991 or Later","1991-2000"
"2503 02030000","R-10","R - Single Family/Cabin","27 S IROQUOIS LN","West Vincent",1998,"1991 or Later","1991-2000"
"2503 02040000","R-10","R - Single Family/Cabin","33 S IROQUOIS LN","West Vincent",1996,"1991 or Later","1991-2000"
"2503 02050000","R-10","R - Single Family/Cabin","37 S IROQUOIS LN","West Vincent",1998,"1991 or Later","1991-2000"
"2503 02060000","R-10","R - Single Family/Cabin","42 S IROQUOIS LN","West Vincent",1997,"1991 or Later","1991-2000"
"2503 02070000","R-10","R - Single Family/Cabin","38 S IROQUOIS LN","West Vincent",1996,"1991 or Later","1991-2000"
"2503 02080000","R-10","R - Single Family/Cabin","34 S IROQUOIS LN","West Vincent",1996,"1991 or Later","1991-2000"
"2503 02090000","R-10","R - Single Family/Cabin","26 S IROQUOIS LN","West Vincent",1997,"1991 or Later","1991-2000"
"2503 02100000","R-10","R - Single Family/Cabin","20 S IROQUOIS LN","West Vincent",1997,"1991 or Later","1991-2000"
"2503 02110000","R-10","R - Single Family/Cabin","4  SENECA CRT","West Vincent",1996,"1991 or Later","1991-2000"
"2503 02120000","R-10","R - Single Family/Cabin","10  SENECA CRT","West Vincent",1997,"1991 or Later","1991-2000"
