"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3304 02110000","R-10","R - Single Family/Cabin","501 N WHITFORD RD","West Whiteland",1982,"Before 1991","1981-1990"
"3304R00750000","R-10","R - Single Family/Cabin","409  HOWELL RD","West Whiteland",1977,"Before 1991","1971-1980"
"3304R00760000","R-10","R - Single Family/Cabin","411  HOWELL RD","West Whiteland",1977,"Before 1991","1971-1980"
"3304R00770000","R-10","R - Single Family/Cabin","413  HOWELL RD","West Whiteland",1977,"Before 1991","1971-1980"
"3305N00580000","R-10","R - Single Family/Cabin","417  RENNARD DR","West Whiteland",1977,"Before 1991","1971-1980"
"3305N00590000","R-10","R - Single Family/Cabin","415  RENNARD DR","West Whiteland",1977,"Before 1991","1971-1980"
"3305N00600000","R-10","R - Single Family/Cabin","413  RENNARD DR","West Whiteland",1977,"Before 1991","1971-1980"
"3305N00610000","R-10","R - Single Family/Cabin","411  RENNARD DR","West Whiteland",1977,"Before 1991","1971-1980"
"3305N00620000","R-10","R - Single Family/Cabin","409  RENNARD DR","West Whiteland",1977,"Before 1991","1971-1980"
"3305N00630000","R-10","R - Single Family/Cabin","407  RENNARD DR","West Whiteland",1977,"Before 1991","1971-1980"
"3305N00640000","R-10","R - Single Family/Cabin","405  RENNARD DR","West Whiteland",1977,"Before 1991","1971-1980"
"3305N00670200","R-10","R - Single Family/Cabin","405  HOWELL RD","West Whiteland",1977,"Before 1991","1971-1980"
"4101 00010000","R-10","R - Single Family/Cabin","435 N WHITFORD RD","West Whiteland",1800,"Before 1991","1950 or older"
"4101 00010100","R-10","R - Single Family/Cabin","349  WRIGHTS LN","West Whiteland",1976,"Before 1991","1971-1980"
"4101 000101A0","R-10","R - Single Family/Cabin","345  WRIGHTS LN","West Whiteland",1976,"Before 1991","1971-1980"
"4101 000101B0","R-10","R - Single Family/Cabin","341  WRIGHTS LN","West Whiteland",1976,"Before 1991","1971-1980"
"4101 000101C0","R-10","R - Single Family/Cabin","342  WRIGHTS LN","West Whiteland",1976,"Before 1991","1971-1980"
"4101 000101D0","R-10","R - Single Family/Cabin","346  WRIGHTS LN","West Whiteland",1978,"Before 1991","1971-1980"
